emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,615.8482110660254,0.5369261477045908,0.5209580838323353
cbow,1,2,615.8482110660254,0.38614540466392316,0.32098765432098764
skipgram,1,2,3359.818286283781,0.40585495675316036,0.3413173652694611
SVD,1,3,1438.449888287663,0.5300653594771242,0.5588235294117647
cbow,1,3,0.29763514416313175,0.4346978557504873,0.4269005847953216
skipgram,1,3,42813.32398719387,0.4015594541910331,0.3684210526315789
SVD,1,4,0.29763514416313175,0.5137254901960784,0.5529411764705883
cbow,1,4,100000.0,0.5185185185185185,0.4853801169590643
skipgram,1,4,18329.807108324338,0.41130604288499023,0.32748538011695905
SVD,1,5,263.6650898730355,0.5294117647058824,0.5176470588235295
cbow,1,5,112.88378916846884,0.44834307992202727,0.4502923976608187
skipgram,1,5,8.858667904100823,0.4444444444444444,0.38011695906432746
SVD,1,6,0.01,0.5239344262295081,0.5117647058823529
cbow,1,6,48.32930238571752,0.5308641975308642,0.47368421052631576
skipgram,1,6,615.8482110660254,0.5367121507472384,0.5263157894736842
SVD,1,7,8.858667904100823,0.4944262295081967,0.4764705882352941
cbow,1,7,1438.449888287663,0.5078226857887875,0.4678362573099415
skipgram,1,7,263.6650898730355,0.5195567144719687,0.5380116959064327
SVD,1,8,7847.5997035146065,0.4904918032786885,0.45294117647058824
cbow,1,8,1438.449888287663,0.4908735332464146,0.47953216374269003
skipgram,1,8,1438.449888287663,0.46936114732724904,0.49707602339181284
SVD,2,2,3359.818286283781,0.550326797385621,0.5764705882352941
cbow,2,2,48.32930238571752,0.5441269841269841,0.52
skipgram,2,2,42813.32398719387,0.5318471337579618,0.5257142857142857
SVD,2,3,263.6650898730355,0.5104575163398692,0.5235294117647059
cbow,2,3,8.858667904100823,0.4697855750487329,0.4619883040935672
skipgram,2,3,18329.807108324338,0.4951267056530214,0.5555555555555556
SVD,2,4,1.623776739188721,0.5522875816993464,0.5647058823529412
cbow,2,4,48.32930238571752,0.5549057829759584,0.5087719298245614
