emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.01,0.7977378576180971,0.8203592814371258
cbow,1,2,0.01,0.7983539094650206,0.8148148148148148
skipgram,1,2,0.01,0.7977378576180971,0.8203592814371258
SVD,1,3,0.01,0.8006535947712419,0.7941176470588235
cbow,1,3,0.01,0.7992202729044834,0.8070175438596491
skipgram,1,3,0.01,0.7992202729044834,0.8070175438596491
SVD,1,4,0.01,0.8006535947712419,0.7941176470588235
cbow,1,4,0.01,0.7992202729044834,0.8070175438596491
skipgram,1,4,0.01,0.7992202729044834,0.8070175438596491
SVD,1,5,0.01,0.8006535947712419,0.7941176470588235
cbow,1,5,0.01,0.7992202729044834,0.8070175438596491
skipgram,1,5,0.01,0.7992202729044834,0.8070175438596491
SVD,1,6,0.6951927961775606,0.8216393442622951,0.8352941176470589
cbow,1,6,0.01,0.7992202729044834,0.8070175438596491
skipgram,1,6,0.01,0.7992202729044834,0.8070175438596491
SVD,1,7,1.623776739188721,0.8327868852459016,0.8058823529411765
cbow,1,7,0.6951927961775606,0.8233376792698827,0.7953216374269005
skipgram,1,7,0.023357214690901226,0.8279009126466753,0.8421052631578947
SVD,1,8,0.023357214690901226,0.8373770491803278,0.8411764705882353
cbow,1,8,0.023357214690901226,0.8265971316818774,0.8304093567251462
skipgram,1,8,0.023357214690901226,0.834419817470665,0.8596491228070176
SVD,2,2,8.858667904100823,0.8490196078431372,0.8470588235294118
cbow,2,2,0.01,0.8038095238095239,0.7657142857142857
skipgram,2,2,0.01,0.7968152866242039,0.8285714285714286
SVD,2,3,0.01,0.8006535947712419,0.7941176470588235
cbow,2,3,0.01,0.7992202729044834,0.8070175438596491
skipgram,2,3,0.01,0.7992202729044834,0.8070175438596491
SVD,2,4,3.79269019073225,0.8320261437908497,0.7647058823529411
cbow,2,4,20.69138081114788,0.8323586744639376,0.8187134502923976
skipgram,2,4,20.69138081114788,0.8265107212475633,0.8304093567251462
SVD,2,5,1.623776739188721,0.8326797385620915,0.8058823529411765
cbow,2,5,0.0545559478116852,0.8245614035087719,0.8362573099415205
skipgram,2,5,0.12742749857031335,0.8232618583495777,0.8596491228070176
