emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,615.8482110660254,0.5961111111111111,0.58
cbow,1,2,18329.807108324338,0.6222222222222222,0.61
skipgram,1,2,1438.449888287663,0.6244444444444445,0.615
SVD,1,3,0.6951927961775606,0.5627777777777778,0.61
cbow,1,3,263.6650898730355,0.6116666666666667,0.675
skipgram,1,3,263.6650898730355,0.6361111111111111,0.645
SVD,1,4,1.623776739188721,0.6294444444444445,0.62
cbow,1,4,20.69138081114788,0.6344444444444445,0.665
skipgram,1,4,3.79269019073225,0.6483333333333333,0.635
SVD,1,5,0.0545559478116852,0.6522222222222223,0.655
cbow,1,5,8.858667904100823,0.6755555555555556,0.665
skipgram,1,5,1.623776739188721,0.6733333333333333,0.645
SVD,1,6,0.023357214690901226,0.6738888888888889,0.68
cbow,1,6,0.12742749857031335,0.6727777777777778,0.69
skipgram,1,6,0.0545559478116852,0.6694444444444444,0.665
SVD,1,7,3.79269019073225,0.6761111111111111,0.705
cbow,1,7,0.023357214690901226,0.6927777777777778,0.75
skipgram,1,7,0.12742749857031335,0.6855555555555556,0.655
SVD,1,8,20.69138081114788,0.6861111111111111,0.63
cbow,1,8,0.023357214690901226,0.6855555555555556,0.715
skipgram,1,8,0.01,0.6911111111111111,0.62
SVD,2,2,48.32930238571752,0.6105555555555555,0.615
cbow,2,2,48.32930238571752,0.6522222222222223,0.695
skipgram,2,2,0.01,0.57,0.595
SVD,2,3,8.858667904100823,0.6344444444444445,0.62
cbow,2,3,8.858667904100823,0.6838888888888889,0.67
skipgram,2,3,1.623776739188721,0.6544444444444445,0.635
SVD,2,4,0.12742749857031335,0.6855555555555556,0.665
cbow,2,4,0.0545559478116852,0.685,0.665
skipgram,2,4,0.29763514416313175,0.6972222222222222,0.635
SVD,2,5,0.023357214690901226,0.68,0.745
cbow,2,5,1.623776739188721,0.6905555555555556,0.665
skipgram,2,5,3.79269019073225,0.6777777777777778,0.665
SVD,2,6,0.12742749857031335,0.6916666666666667,0.635
cbow,2,6,3.79269019073225,0.6794444444444444,0.65
skipgram,2,6,0.023357214690901226,0.6833333333333333,0.71
SVD,2,7,263.6650898730355,0.6838888888888889,0.715
cbow,2,7,0.01,0.6938888888888889,0.625
skipgram,2,7,0.0545559478116852,0.6788888888888889,0.66
SVD,2,8,0.023357214690901226,0.6777777777777778,0.74
cbow,2,8,0.023357214690901226,0.6727777777777778,0.69
skipgram,2,8,0.0545559478116852,0.69,0.66
SVD,3,2,0.01,0.5872222222222222,0.595
cbow,3,2,0.01,0.5933333333333334,0.57
skipgram,3,2,0.01,0.5566666666666666,0.515
SVD,3,3,3.79269019073225,0.6738888888888889,0.695
cbow,3,3,3.79269019073225,0.6755555555555556,0.695
skipgram,3,3,0.12742749857031335,0.6633333333333333,0.65
SVD,3,4,20.69138081114788,0.7066666666666667,0.68
cbow,3,4,0.29763514416313175,0.6794444444444444,0.685
skipgram,3,4,0.12742749857031335,0.6716666666666666,0.72
SVD,3,5,20.69138081114788,0.6794444444444444,0.685
cbow,3,5,0.6951927961775606,0.6861111111111111,0.715
skipgram,3,5,1.623776739188721,0.6688888888888889,0.695
SVD,3,6,0.0545559478116852,0.6805555555555556,0.66
cbow,3,6,0.01,0.6916666666666667,0.65
skipgram,3,6,0.01,0.6888888888888889,0.64
SVD,3,7,0.01,0.6788888888888889,0.67
cbow,3,7,0.01,0.6655555555555556,0.715
skipgram,3,7,0.01,0.6738888888888889,0.72
SVD,3,8,0.29763514416313175,0.6738888888888889,0.64
cbow,3,8,0.023357214690901226,0.6727777777777778,0.685
skipgram,3,8,1.623776739188721,0.6661111111111111,0.69
SVD,4,2,8.858667904100823,0.6433333333333333,0.645
cbow,4,2,48.32930238571752,0.6866666666666666,0.66
skipgram,4,2,615.8482110660254,0.7083333333333334,0.725
SVD,4,3,0.01,0.6944444444444444,0.665
cbow,4,3,0.023357214690901226,0.6866666666666666,0.67
skipgram,4,3,0.0545559478116852,0.6811111111111111,0.67
SVD,4,4,263.6650898730355,0.6961111111111111,0.65
cbow,4,4,0.29763514416313175,0.6894444444444444,0.71
skipgram,4,4,0.29763514416313175,0.675,0.745
SVD,4,5,0.0545559478116852,0.6905555555555556,0.69
cbow,4,5,3359.818286283781,0.6816666666666666,0.725
skipgram,4,5,0.01,0.6666666666666666,0.73
SVD,4,6,0.023357214690901226,0.6761111111111111,0.67
cbow,4,6,0.01,0.6844444444444444,0.72
skipgram,4,6,0.023357214690901226,0.6872222222222222,0.72
SVD,4,7,0.01,0.6783333333333333,0.68
cbow,4,7,0.01,0.6805555555555556,0.67
skipgram,4,7,0.023357214690901226,0.6816666666666666,0.64
SVD,4,8,0.01,0.6738888888888889,0.73
cbow,4,8,0.01,0.6777777777777778,0.67
skipgram,4,8,0.01,0.6794444444444444,0.63
SVD,5,2,0.29763514416313175,0.715,0.7
cbow,5,2,263.6650898730355,0.715,0.695
skipgram,5,2,3359.818286283781,0.745,0.745
SVD,5,3,0.12742749857031335,0.7055555555555556,0.67
cbow,5,3,0.023357214690901226,0.6933333333333334,0.7
skipgram,5,3,0.29763514416313175,0.7011111111111111,0.645
SVD,5,4,0.01,0.67,0.75
cbow,5,4,112.88378916846884,0.6888888888888889,0.65
skipgram,5,4,0.01,0.6994444444444444,0.665
SVD,5,5,0.01,0.6872222222222222,0.765
cbow,5,5,0.023357214690901226,0.6783333333333333,0.715
skipgram,5,5,0.01,0.68,0.7
SVD,5,6,0.12742749857031335,0.6777777777777778,0.645
cbow,5,6,0.0545559478116852,0.6927777777777778,0.67
skipgram,5,6,0.023357214690901226,0.68,0.65
SVD,5,7,0.12742749857031335,0.6911111111111111,0.69
cbow,5,7,0.023357214690901226,0.6883333333333334,0.645
skipgram,5,7,0.01,0.6816666666666666,0.655
SVD,5,8,0.01,0.6911111111111111,0.65
cbow,5,8,0.01,0.6755555555555556,0.7
skipgram,5,8,0.023357214690901226,0.6866666666666666,0.635
SVD,6,2,1.623776739188721,0.7172222222222222,0.725
cbow,6,2,20.69138081114788,0.6961111111111111,0.69
skipgram,6,2,263.6650898730355,0.6827777777777778,0.655
SVD,6,3,0.29763514416313175,0.7077777777777777,0.675
cbow,6,3,0.0545559478116852,0.6877777777777778,0.68
skipgram,6,3,0.6951927961775606,0.6727777777777778,0.695
SVD,6,4,0.023357214690901226,0.6933333333333334,0.675
cbow,6,4,0.01,0.6811111111111111,0.685
skipgram,6,4,0.01,0.6955555555555556,0.66
SVD,6,5,0.023357214690901226,0.6811111111111111,0.655
cbow,6,5,0.01,0.6688888888888889,0.715
skipgram,6,5,1.623776739188721,0.6888888888888889,0.695
SVD,6,6,0.6951927961775606,0.675,0.73
cbow,6,6,0.01,0.6744444444444444,0.65
skipgram,6,6,0.023357214690901226,0.6805555555555556,0.705
SVD,6,7,0.01,0.6788888888888889,0.72
cbow,6,7,0.01,0.68,0.67
skipgram,6,7,0.023357214690901226,0.6877777777777778,0.67
SVD,6,8,0.01,0.6822222222222222,0.675
cbow,6,8,0.01,0.6755555555555556,0.705
