emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,263.6650898730355,0.519134775374376,0.5074626865671642
cbow,1,2,615.8482110660254,0.5060034305317325,0.46153846153846156
skipgram,1,2,615.8482110660254,0.5341098169717138,0.5671641791044776
SVD,1,3,8.858667904100823,0.5310457516339869,0.4264705882352941
cbow,1,3,7847.5997035146065,0.5398373983739837,0.5362318840579711
skipgram,1,3,48.32930238571752,0.5479674796747968,0.5362318840579711
SVD,1,4,20.69138081114788,0.5163398692810458,0.4264705882352941
cbow,1,4,0.0545559478116852,0.5121951219512195,0.5362318840579711
skipgram,1,4,0.023357214690901226,0.5235772357723577,0.4492753623188406
SVD,1,5,112.88378916846884,0.5555555555555556,0.5147058823529411
cbow,1,5,0.12742749857031335,0.4943089430894309,0.43478260869565216
skipgram,1,5,0.01,0.4975609756097561,0.463768115942029
SVD,1,6,8.858667904100823,0.6180327868852459,0.6617647058823529
cbow,1,6,0.0545559478116852,0.6308943089430894,0.5652173913043478
skipgram,1,6,0.01,0.6195121951219512,0.6956521739130435
SVD,1,7,0.023357214690901226,0.6819672131147541,0.6617647058823529
cbow,1,7,0.0545559478116852,0.634584013050571,0.6666666666666666
skipgram,1,7,0.12742749857031335,0.6394779771615008,0.7101449275362319
SVD,1,8,0.6951927961775606,0.6508196721311476,0.6176470588235294
cbow,1,8,0.023357214690901226,0.6427406199021207,0.6376811594202898
skipgram,1,8,0.01,0.6557911908646004,0.6666666666666666
SVD,2,2,3359.818286283781,0.8316993464052288,0.8676470588235294
cbow,2,2,8.858667904100823,0.553968253968254,0.5857142857142857
skipgram,2,2,1.623776739188721,0.5732484076433121,0.4714285714285714
SVD,2,3,7847.5997035146065,0.8513071895424836,0.8088235294117647
cbow,2,3,20.69138081114788,0.6065040650406504,0.4782608695652174
skipgram,2,3,0.12742749857031335,0.6016260162601627,0.6521739130434783
SVD,2,4,0.6951927961775606,0.6143790849673203,0.6029411764705882
cbow,2,4,0.29763514416313175,0.6325203252032521,0.6956521739130435
skipgram,2,4,0.12742749857031335,0.616260162601626,0.6811594202898551
SVD,2,5,0.29763514416313175,0.6617647058823529,0.6029411764705882
cbow,2,5,0.0545559478116852,0.6520325203252032,0.6376811594202898
skipgram,2,5,0.29763514416313175,0.6682926829268293,0.6376811594202898
SVD,2,6,1.623776739188721,0.6442622950819672,0.6617647058823529
cbow,2,6,0.6951927961775606,0.6487804878048781,0.5652173913043478
skipgram,2,6,1.623776739188721,0.6455284552845528,0.6811594202898551
SVD,2,7,263.6650898730355,0.6557377049180327,0.6323529411764706
cbow,2,7,615.8482110660254,0.634584013050571,0.7391304347826086
skipgram,2,7,7847.5997035146065,0.6394779771615008,0.6956521739130435
SVD,2,8,100000.0,0.6688524590163935,0.6764705882352942
cbow,2,8,100000.0,0.6313213703099511,0.6231884057971014
skipgram,2,8,1.623776739188721,0.6101141924959217,0.6666666666666666
SVD,3,2,3359.818286283781,0.880718954248366,0.8970588235294118
cbow,3,2,0.6951927961775606,0.6111111111111112,0.6
skipgram,3,2,263.6650898730355,0.8174603174603174,0.8
SVD,3,3,0.0545559478116852,0.6356209150326797,0.5441176470588235
cbow,3,3,3.79269019073225,0.6032520325203252,0.6811594202898551
skipgram,3,3,0.6951927961775606,0.6227642276422765,0.5507246376811594
SVD,3,4,0.6951927961775606,0.6519607843137255,0.6617647058823529
cbow,3,4,20.69138081114788,0.6861788617886179,0.6231884057971014
skipgram,3,4,0.12742749857031335,0.6552845528455284,0.7246376811594203
SVD,3,5,20.69138081114788,0.6519607843137255,0.7058823529411765
cbow,3,5,8.858667904100823,0.6601626016260163,0.6666666666666666
skipgram,3,5,8.858667904100823,0.6455284552845528,0.6231884057971014
SVD,3,6,1.623776739188721,0.6327868852459017,0.6470588235294118
cbow,3,6,18329.807108324338,0.6357723577235772,0.6376811594202898
skipgram,3,6,100000.0,0.6699186991869919,0.6376811594202898
SVD,3,7,0.6951927961775606,0.6540983606557377,0.6470588235294118
cbow,3,7,0.6951927961775606,0.6443719412724307,0.5797101449275363
