emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,48.32930238571752,0.9916666666666667,0.96
cbow,1,2,3.79269019073225,0.5472222222222223,0.545
skipgram,1,2,0.29763514416313175,0.795,0.76
SVD,1,3,0.6951927961775606,0.9911111111111112,0.995
cbow,1,3,0.0545559478116852,0.79,0.83
skipgram,1,3,100000.0,0.6127777777777778,0.575
SVD,1,4,0.01,0.9788888888888889,0.95
cbow,1,4,48.32930238571752,0.8266666666666667,0.805
skipgram,1,4,1438.449888287663,0.7294444444444445,0.74
SVD,1,5,615.8482110660254,0.9722222222222222,0.955
cbow,1,5,615.8482110660254,0.7316666666666667,0.67
skipgram,1,5,3359.818286283781,0.6905555555555556,0.7
SVD,1,6,48.32930238571752,0.8555555555555555,0.795
cbow,1,6,48.32930238571752,0.8305555555555556,0.795
skipgram,1,6,48.32930238571752,0.8422222222222222,0.83
SVD,1,7,48.32930238571752,0.8066666666666666,0.79
cbow,1,7,48.32930238571752,0.8538888888888889,0.875
skipgram,1,7,263.6650898730355,0.8561111111111112,0.83
SVD,1,8,615.8482110660254,0.8477777777777777,0.845
cbow,1,8,18329.807108324338,0.8555555555555555,0.84
skipgram,1,8,3359.818286283781,0.8561111111111112,0.865
SVD,2,2,615.8482110660254,0.9922222222222222,0.99
cbow,2,2,100000.0,0.9605555555555556,0.965
skipgram,2,2,7847.5997035146065,0.9316666666666666,0.945
SVD,2,3,8.858667904100823,0.9877777777777778,0.98
cbow,2,3,1438.449888287663,0.6305555555555555,0.67
skipgram,2,3,615.8482110660254,0.8122222222222222,0.825
SVD,2,4,48.32930238571752,0.9616666666666667,0.965
cbow,2,4,0.01,0.8161111111111111,0.84
skipgram,2,4,112.88378916846884,0.8161111111111111,0.785
SVD,2,5,0.29763514416313175,0.8322222222222222,0.835
cbow,2,5,263.6650898730355,0.8527777777777777,0.85
skipgram,2,5,112.88378916846884,0.8372222222222222,0.875
SVD,2,6,100000.0,0.8444444444444444,0.8
cbow,2,6,100000.0,0.8711111111111111,0.86
skipgram,2,6,100000.0,0.8583333333333333,0.855
SVD,2,7,0.01,0.7861111111111111,0.835
cbow,2,7,0.01,0.7883333333333333,0.825
skipgram,2,7,0.01,0.7844444444444445,0.825
SVD,2,8,0.01,0.7955555555555556,0.805
cbow,2,8,0.01,0.8,0.795
skipgram,2,8,0.01,0.7861111111111111,0.765
SVD,3,2,263.6650898730355,0.9977777777777778,1.0
cbow,3,2,1438.449888287663,0.9883333333333333,0.99
skipgram,3,2,0.12742749857031335,0.6838888888888889,0.705
SVD,3,3,615.8482110660254,0.995,1.0
cbow,3,3,48.32930238571752,0.9416666666666667,0.935
skipgram,3,3,8.858667904100823,0.7922222222222223,0.8
SVD,3,4,615.8482110660254,0.9194444444444444,0.925
cbow,3,4,263.6650898730355,0.805,0.8
skipgram,3,4,263.6650898730355,0.8261111111111111,0.855
SVD,3,5,0.01,0.8233333333333334,0.79
cbow,3,5,100000.0,0.8533333333333334,0.865
skipgram,3,5,100000.0,0.8716666666666667,0.87
SVD,3,6,0.01,0.8016666666666666,0.815
cbow,3,6,0.01,0.7922222222222223,0.805
skipgram,3,6,0.01,0.7844444444444445,0.795
SVD,3,7,0.01,0.7911111111111111,0.755
cbow,3,7,0.01,0.7966666666666666,0.76
skipgram,3,7,0.01,0.7805555555555556,0.825
SVD,3,8,0.01,0.79,0.76
cbow,3,8,0.01,0.7911111111111111,0.805
