emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,1438.449888287663,0.8955555555555555,0.905
cbow,1,2,3359.818286283781,0.8872222222222222,0.89
skipgram,1,2,42813.32398719387,0.9377777777777778,0.915
SVD,1,3,615.8482110660254,0.9333333333333333,0.94
cbow,1,3,20.69138081114788,0.9238888888888889,0.93
skipgram,1,3,7847.5997035146065,0.9494444444444444,0.965
SVD,1,4,20.69138081114788,0.9644444444444444,0.96
cbow,1,4,20.69138081114788,0.9605555555555556,0.965
skipgram,1,4,3.79269019073225,0.9727777777777777,0.97
SVD,1,5,48.32930238571752,0.9644444444444444,0.98
cbow,1,5,20.69138081114788,0.9566666666666667,0.945
skipgram,1,5,48.32930238571752,0.9638888888888889,0.965
SVD,1,6,20.69138081114788,0.9338888888888889,0.91
cbow,1,6,112.88378916846884,0.9066666666666666,0.905
skipgram,1,6,20.69138081114788,0.9277777777777778,0.925
SVD,1,7,1.623776739188721,0.8705555555555555,0.86
cbow,1,7,3.79269019073225,0.8755555555555555,0.88
skipgram,1,7,3.79269019073225,0.8666666666666667,0.895
SVD,1,8,0.01,0.8433333333333334,0.84
cbow,1,8,0.01,0.8244444444444444,0.825
skipgram,1,8,0.01,0.845,0.855
SVD,2,2,8.858667904100823,0.9483333333333334,0.925
cbow,2,2,263.6650898730355,0.8705555555555555,0.865
skipgram,2,2,3359.818286283781,0.8738888888888889,0.875
SVD,2,3,20.69138081114788,0.9705555555555555,0.98
cbow,2,3,3359.818286283781,0.9522222222222222,0.94
skipgram,2,3,1438.449888287663,0.9438888888888889,0.98
SVD,2,4,48.32930238571752,0.9655555555555555,0.95
cbow,2,4,112.88378916846884,0.9566666666666667,0.945
skipgram,2,4,8.858667904100823,0.9672222222222222,0.965
SVD,2,5,0.6951927961775606,0.9094444444444445,0.89
cbow,2,5,0.01,0.8933333333333333,0.875
skipgram,2,5,0.01,0.8916666666666667,0.895
SVD,2,6,48.32930238571752,0.8588888888888889,0.895
cbow,2,6,112.88378916846884,0.8583333333333333,0.835
skipgram,2,6,20.69138081114788,0.8511111111111112,0.835
SVD,2,7,3359.818286283781,0.8427777777777777,0.855
cbow,2,7,615.8482110660254,0.84,0.83
skipgram,2,7,42813.32398719387,0.8305555555555556,0.825
SVD,2,8,3.79269019073225,0.84,0.78
cbow,2,8,20.69138081114788,0.8133333333333334,0.83
skipgram,2,8,3.79269019073225,0.8316666666666667,0.81
SVD,3,2,48.32930238571752,0.9216666666666666,0.9
cbow,3,2,3359.818286283781,0.9305555555555556,0.93
skipgram,3,2,615.8482110660254,0.8222222222222222,0.815
SVD,3,3,3.79269019073225,0.9716666666666667,0.95
cbow,3,3,8.858667904100823,0.9672222222222222,0.99
skipgram,3,3,1438.449888287663,0.9661111111111111,0.955
SVD,3,4,0.6951927961775606,0.9138888888888889,0.93
cbow,3,4,112.88378916846884,0.8938888888888888,0.905
skipgram,3,4,0.01,0.8888888888888888,0.895
SVD,3,5,3359.818286283781,0.8655555555555555,0.875
cbow,3,5,1438.449888287663,0.8566666666666667,0.865
skipgram,3,5,3359.818286283781,0.8583333333333333,0.855
SVD,3,6,20.69138081114788,0.8477777777777777,0.855
cbow,3,6,3.79269019073225,0.8366666666666667,0.795
skipgram,3,6,0.6951927961775606,0.8288888888888889,0.875
SVD,3,7,20.69138081114788,0.825,0.88
cbow,3,7,8.858667904100823,0.83,0.79
skipgram,3,7,8.858667904100823,0.8161111111111111,0.785
SVD,3,8,20.69138081114788,0.825,0.795
cbow,3,8,0.6951927961775606,0.8211111111111111,0.81
skipgram,3,8,48.32930238571752,0.8094444444444444,0.845
SVD,4,2,8.858667904100823,0.9355555555555556,0.92
cbow,4,2,8.858667904100823,0.9627777777777777,0.955
skipgram,4,2,263.6650898730355,0.965,0.965
SVD,4,3,20.69138081114788,0.9666666666666667,0.975
cbow,4,3,20.69138081114788,0.9572222222222222,0.97
skipgram,4,3,112.88378916846884,0.9594444444444444,0.95
SVD,4,4,1438.449888287663,0.8916666666666667,0.885
cbow,4,4,48.32930238571752,0.86,0.855
skipgram,4,4,3.79269019073225,0.8655555555555555,0.85
SVD,4,5,263.6650898730355,0.8672222222222222,0.87
cbow,4,5,48.32930238571752,0.8472222222222222,0.87
skipgram,4,5,8.858667904100823,0.8522222222222222,0.85
SVD,4,6,8.858667904100823,0.8394444444444444,0.855
cbow,4,6,3.79269019073225,0.82,0.87
skipgram,4,6,8.858667904100823,0.8388888888888889,0.85
