emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,100000.0,0.4845679012345679,0.4594017094017094
skipgram,1,2,42813.32398719387,0.559557438794727,0.5614406779661016
svd,1,2,100000.0,0.5127290030930288,0.5481798715203426
cbow,1,3,42813.32398719387,0.583725305738476,0.5369978858350951
skipgram,1,3,7847.5997035146065,0.599247412982126,0.627906976744186
svd,1,3,100000.0,0.6019303201506592,0.6186440677966102
cbow,1,4,100000.0,0.6392285983066792,0.5835095137420718
skipgram,1,4,1438.449888287663,0.6973189087488241,0.6913319238900634
svd,1,4,263.6650898730355,0.7916666666666666,0.7944915254237288
cbow,1,5,7847.5997035146065,0.621354656632173,0.5771670190274841
skipgram,1,5,7847.5997035146065,0.7095484477892756,0.6807610993657506
svd,1,5,8.858667904100823,0.7935499058380414,0.7860169491525424
cbow,1,6,3.79269019073225,0.6940263405456256,0.6448202959830867
skipgram,1,6,0.6951927961775606,0.7062558795860772,0.6828752642706131
svd,1,6,18329.807108324338,0.7794013669573415,0.777542372881356
cbow,1,7,3359.818286283781,0.5851364063969896,0.6109936575052854
skipgram,1,7,3359.818286283781,0.5846660395108184,0.6131078224101479
svd,1,7,42813.32398719387,0.7124675936837144,0.711864406779661
cbow,1,8,112.88378916846884,0.5465663217309501,0.5539112050739958
skipgram,1,8,263.6650898730355,0.5437441204139228,0.5665961945031712
svd,1,8,112.88378916846884,0.5734150365307565,0.5614406779661016
cbow,2,2,100000.0,0.8388993414863594,0.8308668076109936
skipgram,2,2,100000.0,0.7664628410159925,0.7610993657505285
svd,2,2,100000.0,0.6963276836158192,0.7097457627118644
cbow,2,3,42813.32398719387,0.8276105362182502,0.7885835095137421
skipgram,2,3,42813.32398719387,0.7401222953904045,0.7124735729386892
svd,2,3,0.6951927961775606,0.6207627118644068,0.6038135593220338
cbow,2,4,3359.818286283781,0.65310442144873,0.6405919661733616
skipgram,2,4,1438.449888287663,0.570555032925682,0.5306553911205074
svd,2,4,0.6951927961775606,0.786723163841808,0.7944915254237288
cbow,2,5,112.88378916846884,0.5830197554092192,0.5919661733615222
skipgram,2,5,100000.0,0.7387111947318908,0.718816067653277
svd,2,5,42813.32398719387,0.6746704331450094,0.690677966101695
cbow,2,6,20.69138081114788,0.5682031984948259,0.5708245243128964
