emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,0.01,0.8022317188983855,0.7799145299145299
skipgram,1,2,0.01,0.8006120527306968,0.7944915254237288
svd,1,2,0.01,0.8029978586723768,0.7730192719486081
cbow,1,3,0.01,0.8024459078080903,0.7780126849894292
skipgram,1,3,0.01,0.8024459078080903,0.7780126849894292
svd,1,3,263.6650898730355,0.8787664783427496,0.8580508474576272
cbow,1,4,18329.807108324338,0.8029162746942615,0.7780126849894292
skipgram,1,4,100000.0,0.8066792097836313,0.7801268498942917
svd,1,4,20.69138081114788,0.8990112994350282,0.8940677966101694
cbow,1,5,0.01,0.8024459078080903,0.7780126849894292
skipgram,1,5,42813.32398719387,0.8040921919096896,0.7758985200845666
svd,1,5,8.858667904100823,0.9098399246704332,0.9088983050847458
cbow,1,6,263.6650898730355,0.8022107243650047,0.7780126849894292
skipgram,1,6,18329.807108324338,0.827140169332079,0.8181818181818182
svd,1,6,1.623776739188721,0.9410794249351874,0.9258474576271186
cbow,1,7,0.01,0.8024459078080903,0.7780126849894292
skipgram,1,7,0.01,0.8024459078080903,0.7780126849894292
svd,1,7,3359.818286283781,0.9453217063398539,0.9427966101694916
cbow,1,8,1.623776739188721,0.8424270931326434,0.813953488372093
skipgram,1,8,0.0545559478116852,0.8433678269049859,0.8308668076109936
svd,1,8,0.023357214690901226,0.8552910676408202,0.8411016949152542
cbow,2,2,100000.0,0.8219661335841957,0.8076109936575053
skipgram,2,2,18329.807108324338,0.9141580432737535,0.9154334038054969
svd,2,2,0.01,0.8006120527306968,0.7944915254237288
cbow,2,3,0.01,0.8024459078080903,0.7780126849894292
skipgram,2,3,0.01,0.8024459078080903,0.7780126849894292
svd,2,3,0.6951927961775606,0.8057909604519774,0.798728813559322
cbow,2,4,48.32930238571752,0.8036218250235183,0.7822410147991543
skipgram,2,4,0.01,0.8024459078080903,0.7780126849894292
svd,2,4,0.29763514416313175,0.8801789077212806,0.8601694915254238
cbow,2,5,615.8482110660254,0.8111476952022577,0.7970401691331924
skipgram,2,5,1.623776739188721,0.8047977422389464,0.7758985200845666
svd,2,5,20.69138081114788,0.9411487758945386,0.9364406779661016
cbow,2,6,1.623776739188721,0.8567732831608654,0.8435517970401691
skipgram,2,6,0.01,0.8024459078080903,0.7780126849894292
svd,2,6,0.29763514416313175,0.8543483384397832,0.8516949152542372
cbow,2,7,3.79269019073225,0.8436030103480715,0.8414376321353065
skipgram,2,7,42813.32398719387,0.8245531514581373,0.8414376321353065
svd,2,7,112.88378916846884,0.8319585199151543,0.8050847457627118
cbow,2,8,48.32930238571752,0.8358419567262465,0.8118393234672304
