emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,100000.0,0.5576009501187649,0.526595744680851
skipgram,1,2,20.69138081114788,0.5250147145379636,0.48148148148148145
svd,1,2,42813.32398719387,0.635930993456276,0.5561497326203209
cbow,1,3,1.623776739188721,0.5126396237507349,0.47619047619047616
skipgram,1,3,7847.5997035146065,0.5837742504409171,0.6349206349206349
svd,1,3,100000.0,0.681577398469688,0.6402116402116402
cbow,1,4,18329.807108324338,0.5784832451499118,0.5343915343915344
skipgram,1,4,0.29763514416313175,0.5437977660199882,0.5026455026455027
svd,1,4,100000.0,0.711006474396704,0.6984126984126984
cbow,1,5,7847.5997035146065,0.631981187536743,0.5555555555555556
skipgram,1,5,615.8482110660254,0.6155202821869489,0.5608465608465608
svd,1,5,100000.0,0.7669217186580342,0.746031746031746
cbow,1,6,48.32930238571752,0.6901822457378013,0.7142857142857143
skipgram,1,6,3359.818286283781,0.6931216931216931,0.6772486772486772
svd,1,6,100000.0,0.7860931054802592,0.7724867724867724
cbow,1,7,263.6650898730355,0.7542621987066431,0.7513227513227513
skipgram,1,7,48.32930238571752,0.7513227513227513,0.7566137566137566
svd,1,7,112.88378916846884,0.7849145550972304,0.8042328042328042
cbow,1,8,1.623776739188721,0.8165784832451499,0.7936507936507936
skipgram,1,8,0.0545559478116852,0.8089359200470312,0.7883597883597884
svd,1,8,0.01,0.8238067177371833,0.8148148148148148
cbow,2,2,263.6650898730355,0.8400940623162846,0.8306878306878307
skipgram,2,2,7847.5997035146065,0.8900646678424456,0.8941798941798942
svd,2,2,100000.0,0.8540317834020011,0.8624338624338624
cbow,2,3,112.88378916846884,0.8506760728982952,0.8412698412698413
skipgram,2,3,1438.449888287663,0.8265726043503822,0.8412698412698413
svd,2,3,0.0545559478116852,0.559152442613302,0.5132275132275133
cbow,2,4,0.29763514416313175,0.8589065255731922,0.8306878306878307
skipgram,2,4,615.8482110660254,0.7172251616696061,0.671957671957672
svd,2,4,0.6951927961775606,0.6904061212477928,0.6666666666666666
cbow,2,5,20.69138081114788,0.7048794826572604,0.7195767195767195
skipgram,2,5,112.88378916846884,0.7883597883597884,0.7671957671957672
svd,2,5,3.79269019073225,0.8122424955856387,0.8624338624338624
cbow,2,6,8.858667904100823,0.7860082304526749,0.8253968253968254
skipgram,2,6,8.858667904100823,0.823045267489712,0.7883597883597884
svd,2,6,20.69138081114788,0.8326458456098998,0.8677248677248677
cbow,2,7,18329.807108324338,0.823045267489712,0.8359788359788359
skipgram,2,7,100000.0,0.8201058201058201,0.8571428571428571
svd,2,7,100000.0,0.8426635238656452,0.8571428571428571
cbow,2,8,3.79269019073225,0.8142269253380364,0.7883597883597884
skipgram,2,8,615.8482110660254,0.8095238095238095,0.8148148148148148
svd,2,8,8.858667904100823,0.8149675898644667,0.8465608465608465
cbow,3,2,3359.818286283781,0.763668430335097,0.7724867724867724
skipgram,3,2,615.8482110660254,0.9329805996472663,0.9417989417989417
svd,3,2,3359.818286283781,0.8758092995879929,0.9153439153439153
cbow,3,3,0.01,0.5679012345679012,0.5132275132275133
skipgram,3,3,0.29763514416313175,0.8300999412110524,0.8148148148148148
svd,3,3,112.88378916846884,0.937021777516186,0.9047619047619048
cbow,3,4,112.88378916846884,0.7530864197530864,0.746031746031746
skipgram,3,4,20.69138081114788,0.7101704879482658,0.6666666666666666
svd,3,4,48.32930238571752,0.8663919952913478,0.8624338624338624
cbow,3,5,3359.818286283781,0.8242210464432687,0.8359788359788359
skipgram,3,5,1438.449888287663,0.811875367430923,0.798941798941799
svd,3,5,263.6650898730355,0.8475573866980577,0.8201058201058201
cbow,3,6,100000.0,0.8218694885361552,0.8571428571428571
skipgram,3,6,42813.32398719387,0.8242210464432687,0.8042328042328042
svd,3,6,42813.32398719387,0.8308780200353565,0.8095238095238095
cbow,3,7,3.79269019073225,0.8101116990005879,0.8042328042328042
skipgram,3,7,20.69138081114788,0.8106995884773662,0.8095238095238095
svd,3,7,20.69138081114788,0.8232174425456689,0.8253968253968254
cbow,3,8,112.88378916846884,0.8142269253380364,0.7513227513227513
skipgram,3,8,8.858667904100823,0.8136390358612581,0.8201058201058201
svd,3,8,615.8482110660254,0.8179139658220389,0.8412698412698413
cbow,4,2,0.01,0.8747795414462081,0.91005291005291
skipgram,4,2,7847.5997035146065,0.9559082892416225,0.9576719576719577
svd,4,2,263.6650898730355,0.8993525603296056,0.8888888888888888
cbow,4,3,0.023357214690901226,0.6525573192239859,0.6455026455026455
skipgram,4,3,8.858667904100823,0.7977660199882423,0.8306878306878307
svd,4,3,7847.5997035146065,0.9111241907004121,0.9153439153439153
cbow,4,4,20.69138081114788,0.8330393885949442,0.783068783068783
skipgram,4,4,263.6650898730355,0.8242210464432687,0.7883597883597884
svd,4,4,3.79269019073225,0.857563272513243,0.873015873015873
cbow,4,5,100000.0,0.8277483833039389,0.8306878306878307
skipgram,4,5,100000.0,0.8277483833039389,0.8201058201058201
svd,4,5,100000.0,0.836962919364332,0.8412698412698413
cbow,4,6,3.79269019073225,0.8059964726631393,0.7883597883597884
skipgram,4,6,8.858667904100823,0.8189300411522634,0.7724867724867724
svd,4,6,3.79269019073225,0.8126104890984089,0.8571428571428571
cbow,4,7,20.69138081114788,0.8101116990005879,0.798941798941799
skipgram,4,7,48.32930238571752,0.7995296884185773,0.8677248677248677
svd,4,7,48.32930238571752,0.8149675898644667,0.8624338624338624
cbow,4,8,8.858667904100823,0.8130511463844797,0.7777777777777778
skipgram,4,8,263.6650898730355,0.8042328042328042,0.8306878306878307
svd,4,8,20.69138081114788,0.8302887448438421,0.8306878306878307
cbow,5,2,0.0545559478116852,0.8412698412698413,0.7619047619047619
skipgram,5,2,7847.5997035146065,0.8700764256319812,0.8994708994708994
svd,5,2,615.8482110660254,0.9058269570335491,0.8994708994708994
cbow,5,3,112.88378916846884,0.7930629041740153,0.783068783068783
skipgram,5,3,48.32930238571752,0.7654320987654321,0.7301587301587301
