emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,100000.0,0.775,0.845
skipgram,1,2,100000.0,0.6611111111111111,0.615
svd,1,2,112.88378916846884,0.8461111111111111,0.87
cbow,1,3,100000.0,0.7338888888888889,0.71
skipgram,1,3,100000.0,0.8344444444444444,0.795
svd,1,3,3.79269019073225,0.9927777777777778,0.99
cbow,1,4,100000.0,0.6494444444444445,0.715
skipgram,1,4,100000.0,0.7922222222222223,0.73
svd,1,4,0.12742749857031335,0.9938888888888889,1.0
cbow,1,5,3359.818286283781,0.7327777777777778,0.655
skipgram,1,5,100000.0,0.8272222222222222,0.85
svd,1,5,7847.5997035146065,0.9933333333333333,0.99
cbow,1,6,100000.0,0.6577777777777778,0.655
skipgram,1,6,100000.0,0.6733333333333333,0.645
svd,1,6,100000.0,0.99,1.0
cbow,1,7,112.88378916846884,0.5522222222222222,0.6
skipgram,1,7,263.6650898730355,0.5666666666666667,0.53
svd,1,7,615.8482110660254,0.9794444444444445,0.96
cbow,1,8,615.8482110660254,0.5994444444444444,0.61
skipgram,1,8,615.8482110660254,0.6044444444444445,0.545
svd,1,8,8.858667904100823,0.5938888888888889,0.57
cbow,2,2,100000.0,0.9627777777777777,0.98
skipgram,2,2,100000.0,0.8861111111111111,0.86
svd,2,2,615.8482110660254,0.9927777777777778,0.99
cbow,2,3,100000.0,0.9733333333333334,0.97
skipgram,2,3,42813.32398719387,0.95,0.96
svd,2,3,42813.32398719387,0.9944444444444445,0.995
cbow,2,4,1438.449888287663,0.9144444444444444,0.935
skipgram,2,4,42813.32398719387,0.9394444444444444,0.93
svd,2,4,42813.32398719387,0.9944444444444445,0.99
cbow,2,5,615.8482110660254,0.8761111111111111,0.875
skipgram,2,5,7847.5997035146065,0.885,0.865
svd,2,5,615.8482110660254,0.9622222222222222,0.96
cbow,2,6,1.623776739188721,0.6416666666666667,0.62
skipgram,2,6,0.29763514416313175,0.6861111111111111,0.68
svd,2,6,0.29763514416313175,0.6188888888888889,0.61
cbow,2,7,42813.32398719387,0.6033333333333334,0.625
skipgram,2,7,615.8482110660254,0.595,0.575
svd,2,7,112.88378916846884,0.59,0.565
cbow,2,8,100000.0,0.5966666666666667,0.615
skipgram,2,8,100000.0,0.5783333333333334,0.575
svd,2,8,0.12742749857031335,0.5822222222222222,0.525
cbow,3,2,100000.0,0.9611111111111111,0.945
skipgram,3,2,18329.807108324338,0.8872222222222222,0.89
svd,3,2,42813.32398719387,0.9933333333333333,0.995
cbow,3,3,42813.32398719387,0.965,0.97
skipgram,3,3,100000.0,0.9961111111111111,0.99
svd,3,3,18329.807108324338,0.9805555555555555,0.99
cbow,3,4,615.8482110660254,0.8822222222222222,0.865
skipgram,3,4,615.8482110660254,0.7988888888888889,0.83
svd,3,4,263.6650898730355,0.9638888888888889,0.965
cbow,3,5,20.69138081114788,0.66,0.615
skipgram,3,5,8.858667904100823,0.6144444444444445,0.645
svd,3,5,8.858667904100823,0.63,0.575
cbow,3,6,100000.0,0.6088888888888889,0.62
skipgram,3,6,100000.0,0.5977777777777777,0.595
svd,3,6,18329.807108324338,0.5888888888888889,0.53
cbow,3,7,0.12742749857031335,0.5933333333333334,0.63
skipgram,3,7,0.6951927961775606,0.5766666666666667,0.565
svd,3,7,0.29763514416313175,0.5777777777777777,0.565
cbow,3,8,0.6951927961775606,0.5877777777777777,0.6
skipgram,3,8,0.12742749857031335,0.5894444444444444,0.595
svd,3,8,0.0545559478116852,0.5666666666666667,0.565
cbow,4,2,0.023357214690901226,0.9483333333333334,0.95
skipgram,4,2,100000.0,0.955,0.95
svd,4,2,3359.818286283781,0.9855555555555555,0.995
cbow,4,3,0.023357214690901226,0.9388888888888889,0.945
skipgram,4,3,100000.0,0.9872222222222222,0.985
svd,4,3,1438.449888287663,0.9566666666666667,0.955
cbow,4,4,3.79269019073225,0.6461111111111111,0.61
skipgram,4,4,20.69138081114788,0.6261111111111111,0.65
svd,4,4,8.858667904100823,0.6927777777777778,0.685
cbow,4,5,100000.0,0.6222222222222222,0.61
skipgram,4,5,18329.807108324338,0.6027777777777777,0.705
svd,4,5,0.12742749857031335,0.5872222222222222,0.6
cbow,4,6,0.12742749857031335,0.5788888888888889,0.61
skipgram,4,6,0.12742749857031335,0.5822222222222222,0.625
svd,4,6,0.12742749857031335,0.5727777777777778,0.5
cbow,4,7,0.12742749857031335,0.5794444444444444,0.655
skipgram,4,7,3.79269019073225,0.5866666666666667,0.61
svd,4,7,0.0545559478116852,0.5744444444444444,0.59
cbow,4,8,0.12742749857031335,0.585,0.61
skipgram,4,8,3.79269019073225,0.5877777777777777,0.535
svd,4,8,0.29763514416313175,0.5777777777777777,0.575
cbow,5,2,42813.32398719387,0.99,0.99
skipgram,5,2,100000.0,0.9894444444444445,0.985
svd,5,2,0.01,0.9805555555555555,0.98
cbow,5,3,112.88378916846884,0.7322222222222222,0.765
skipgram,5,3,7847.5997035146065,0.8144444444444444,0.78
svd,5,3,3359.818286283781,0.9511111111111111,0.95
cbow,5,4,1438.449888287663,0.6161111111111112,0.625
skipgram,5,4,112.88378916846884,0.6166666666666667,0.59
svd,5,4,112.88378916846884,0.6166666666666667,0.615
