emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,0.023357214690901226,0.9988888888888889,0.99
skipgram,1,2,0.12742749857031335,0.9972222222222222,1.0
svd,1,2,7847.5997035146065,0.9955555555555555,1.0
cbow,1,3,0.01,1.0,1.0
skipgram,1,3,42813.32398719387,1.0,1.0
svd,1,3,0.01,1.0,1.0
cbow,1,4,0.01,1.0,1.0
skipgram,1,4,0.01,1.0,1.0
svd,1,4,0.01,1.0,1.0
cbow,1,5,0.01,1.0,1.0
skipgram,1,5,0.01,1.0,1.0
svd,1,5,0.01,1.0,1.0
cbow,1,6,0.01,1.0,0.995
skipgram,1,6,0.01,1.0,1.0
svd,1,6,0.01,1.0,1.0
cbow,1,7,3.79269019073225,1.0,0.99
skipgram,1,7,20.69138081114788,1.0,1.0
svd,1,7,48.32930238571752,1.0,1.0
cbow,1,8,100000.0,0.9994444444444445,1.0
skipgram,1,8,615.8482110660254,1.0,1.0
svd,1,8,112.88378916846884,0.9977777777777778,0.995
cbow,2,2,18329.807108324338,0.9927777777777778,0.985
skipgram,2,2,100000.0,0.9966666666666667,1.0
svd,2,2,0.023357214690901226,0.7727777777777778,0.79
cbow,2,3,0.023357214690901226,0.9994444444444445,1.0
skipgram,2,3,263.6650898730355,1.0,1.0
svd,2,3,0.01,1.0,1.0
cbow,2,4,0.01,1.0,1.0
skipgram,2,4,0.01,1.0,0.995
svd,2,4,0.01,1.0,1.0
cbow,2,5,3.79269019073225,1.0,1.0
skipgram,2,5,8.858667904100823,1.0,1.0
svd,2,5,48.32930238571752,1.0,1.0
cbow,2,6,112.88378916846884,1.0,1.0
skipgram,2,6,48.32930238571752,1.0,1.0
svd,2,6,263.6650898730355,0.9966666666666667,0.995
cbow,2,7,1438.449888287663,0.9961111111111111,0.985
skipgram,2,7,263.6650898730355,0.9938888888888889,0.995
svd,2,7,263.6650898730355,0.9744444444444444,0.975
cbow,2,8,3359.818286283781,0.9894444444444445,0.995
skipgram,2,8,3359.818286283781,0.9905555555555555,0.995
svd,2,8,112.88378916846884,0.9577777777777777,0.955
cbow,3,2,48.32930238571752,1.0,0.995
skipgram,3,2,48.32930238571752,1.0,1.0
svd,3,2,7847.5997035146065,0.9761111111111112,0.975
cbow,3,3,0.01,1.0,1.0
skipgram,3,3,0.01,1.0,1.0
svd,3,3,7847.5997035146065,0.9994444444444445,1.0
cbow,3,4,1.623776739188721,1.0,1.0
skipgram,3,4,0.01,1.0,1.0
svd,3,4,263.6650898730355,1.0,1.0
cbow,3,5,48.32930238571752,0.9994444444444445,0.995
skipgram,3,5,8.858667904100823,1.0,1.0
svd,3,5,18329.807108324338,0.9955555555555555,1.0
cbow,3,6,48.32930238571752,0.995,0.995
skipgram,3,6,1438.449888287663,0.9977777777777778,1.0
svd,3,6,263.6650898730355,0.9766666666666667,0.97
cbow,3,7,615.8482110660254,0.9827777777777778,0.96
skipgram,3,7,1438.449888287663,0.9833333333333333,0.99
svd,3,7,263.6650898730355,0.9533333333333334,0.975
cbow,3,8,263.6650898730355,0.9611111111111111,0.95
skipgram,3,8,263.6650898730355,0.9683333333333334,0.955
svd,3,8,263.6650898730355,0.9583333333333334,0.935
cbow,4,2,263.6650898730355,1.0,1.0
skipgram,4,2,0.01,1.0,1.0
svd,4,2,0.01,0.9872222222222222,0.995
cbow,4,3,0.01,1.0,1.0
skipgram,4,3,0.01,1.0,1.0
svd,4,3,263.6650898730355,1.0,1.0
cbow,4,4,1.623776739188721,0.9994444444444445,1.0
skipgram,4,4,8.858667904100823,1.0,1.0
svd,4,4,615.8482110660254,1.0,0.995
cbow,4,5,1438.449888287663,0.9983333333333333,1.0
skipgram,4,5,3359.818286283781,0.9988888888888889,1.0
svd,4,5,7847.5997035146065,0.9905555555555555,0.995
cbow,4,6,263.6650898730355,0.9788888888888889,0.975
skipgram,4,6,615.8482110660254,0.9788888888888889,0.985
svd,4,6,615.8482110660254,0.9633333333333334,0.965
cbow,4,7,263.6650898730355,0.9694444444444444,0.955
skipgram,4,7,3359.818286283781,0.9627777777777777,0.96
svd,4,7,263.6650898730355,0.955,0.965
cbow,4,8,263.6650898730355,0.9583333333333334,0.96
skipgram,4,8,18329.807108324338,0.9572222222222222,0.935
svd,4,8,1438.449888287663,0.9488888888888889,0.965
cbow,5,2,48.32930238571752,1.0,1.0
skipgram,5,2,0.01,1.0,1.0
svd,5,2,20.69138081114788,0.9938888888888889,0.995
cbow,5,3,1.623776739188721,1.0,1.0
skipgram,5,3,20.69138081114788,1.0,1.0
svd,5,3,112.88378916846884,0.9994444444444445,1.0
cbow,5,4,3359.818286283781,1.0,1.0
skipgram,5,4,48.32930238571752,1.0,1.0
svd,5,4,3359.818286283781,0.9994444444444445,1.0
cbow,5,5,3359.818286283781,0.9966666666666667,0.995
skipgram,5,5,112.88378916846884,0.9933333333333333,1.0
svd,5,5,1438.449888287663,0.9838888888888889,0.985
cbow,5,6,7847.5997035146065,0.9772222222222222,0.955
skipgram,5,6,1438.449888287663,0.9716666666666667,0.97
svd,5,6,263.6650898730355,0.9561111111111111,0.97
cbow,5,7,615.8482110660254,0.9627777777777777,0.965
skipgram,5,7,615.8482110660254,0.9605555555555556,0.93
svd,5,7,1438.449888287663,0.9572222222222222,0.945
cbow,5,8,7847.5997035146065,0.9522222222222222,0.955
skipgram,5,8,0.01,0.9511111111111111,0.96
svd,5,8,1438.449888287663,0.9538888888888889,0.93
cbow,6,2,0.01,1.0,1.0
skipgram,6,2,0.01,0.9994444444444445,1.0
svd,6,2,263.6650898730355,1.0,0.995
cbow,6,3,0.01,1.0,1.0
skipgram,6,3,1.623776739188721,1.0,1.0
svd,6,3,48.32930238571752,1.0,1.0
cbow,6,4,20.69138081114788,1.0,0.995
skipgram,6,4,48.32930238571752,1.0,1.0
svd,6,4,1438.449888287663,0.9988888888888889,1.0
cbow,6,5,615.8482110660254,0.9955555555555555,0.995
skipgram,6,5,615.8482110660254,0.9961111111111111,0.985
svd,6,5,3359.818286283781,0.9805555555555555,0.965
cbow,6,6,1438.449888287663,0.98,0.96
skipgram,6,6,615.8482110660254,0.9683333333333334,0.99
svd,6,6,263.6650898730355,0.95,0.97
cbow,6,7,3359.818286283781,0.9566666666666667,0.975
skipgram,6,7,615.8482110660254,0.9583333333333334,0.965
svd,6,7,18329.807108324338,0.955,0.935
cbow,6,8,0.01,0.9477777777777778,0.965
skipgram,6,8,0.01,0.9522222222222222,0.96
svd,6,8,0.01,0.95,0.95
cbow,7,2,0.01,1.0,1.0
skipgram,7,2,0.01,1.0,1.0
svd,7,2,112.88378916846884,0.9988888888888889,1.0
cbow,7,3,0.01,1.0,1.0
skipgram,7,3,3.79269019073225,1.0,1.0
svd,7,3,20.69138081114788,1.0,1.0
cbow,7,4,263.6650898730355,1.0,1.0
skipgram,7,4,3359.818286283781,0.9994444444444445,1.0
svd,7,4,1438.449888287663,0.9972222222222222,0.995
cbow,7,5,1438.449888287663,0.9972222222222222,0.99
skipgram,7,5,615.8482110660254,0.985,0.99
svd,7,5,1438.449888287663,0.9716666666666667,0.965
cbow,7,6,615.8482110660254,0.9805555555555555,0.98
skipgram,7,6,1438.449888287663,0.9711111111111111,0.97
svd,7,6,112.88378916846884,0.955,0.96
cbow,7,7,18329.807108324338,0.9616666666666667,0.965
skipgram,7,7,615.8482110660254,0.9544444444444444,0.95
svd,7,7,7847.5997035146065,0.9544444444444444,0.945
cbow,7,8,0.01,0.9555555555555556,0.935
skipgram,7,8,0.01,0.9522222222222222,0.945
svd,7,8,0.01,0.9527777777777777,0.97
cbow,8,2,0.01,0.9994444444444445,1.0
skipgram,8,2,0.01,1.0,0.995
svd,8,2,112.88378916846884,0.9994444444444445,0.995
cbow,8,3,3.79269019073225,1.0,1.0
skipgram,8,3,20.69138081114788,1.0,1.0
svd,8,3,263.6650898730355,1.0,1.0
cbow,8,4,263.6650898730355,1.0,1.0
skipgram,8,4,18329.807108324338,0.9994444444444445,1.0
svd,8,4,112.88378916846884,0.9938888888888889,0.985
cbow,8,5,1438.449888287663,0.9922222222222222,1.0
skipgram,8,5,7847.5997035146065,0.9855555555555555,0.98
svd,8,5,615.8482110660254,0.9755555555555555,0.965
cbow,8,6,3359.818286283781,0.9666666666666667,0.965
skipgram,8,6,7847.5997035146065,0.9611111111111111,0.98
svd,8,6,0.01,0.9516666666666667,0.95
cbow,8,7,0.01,0.9511111111111111,0.955
skipgram,8,7,0.01,0.9538888888888889,0.945
svd,8,7,263.6650898730355,0.9544444444444444,0.96
cbow,8,8,0.01,0.9555555555555556,0.955
skipgram,8,8,0.01,0.9555555555555556,0.955
svd,8,8,0.01,0.9588888888888889,0.96
cbow,9,2,0.01,0.9994444444444445,1.0
skipgram,9,2,48.32930238571752,0.9994444444444445,1.0
svd,9,2,112.88378916846884,0.9994444444444445,0.995
cbow,9,3,0.01,1.0,1.0
skipgram,9,3,112.88378916846884,1.0,1.0
svd,9,3,48.32930238571752,1.0,1.0
cbow,9,4,615.8482110660254,1.0,0.995
skipgram,9,4,18329.807108324338,1.0,1.0
svd,9,4,1438.449888287663,0.9944444444444445,1.0
cbow,9,5,7847.5997035146065,0.99,1.0
skipgram,9,5,1438.449888287663,0.9838888888888889,0.99
svd,9,5,615.8482110660254,0.9677777777777777,0.985
cbow,9,6,1438.449888287663,0.9666666666666667,0.97
skipgram,9,6,615.8482110660254,0.9622222222222222,0.98
svd,9,6,1438.449888287663,0.9544444444444444,0.955
cbow,9,7,1438.449888287663,0.9622222222222222,0.95
skipgram,9,7,0.01,0.9561111111111111,0.94
svd,9,7,0.01,0.955,0.945
cbow,9,8,0.01,0.9577777777777777,0.945
skipgram,9,8,0.01,0.9572222222222222,0.955
svd,9,8,0.01,0.9561111111111111,0.97
cbow,10,2,0.01,0.9994444444444445,1.0
skipgram,10,2,8.858667904100823,0.9994444444444445,1.0
svd,10,2,20.69138081114788,0.9994444444444445,1.0
cbow,10,3,3.79269019073225,1.0,1.0
skipgram,10,3,3.79269019073225,1.0,1.0
svd,10,3,112.88378916846884,1.0,1.0
cbow,10,4,615.8482110660254,1.0,1.0
skipgram,10,4,3359.818286283781,0.9994444444444445,0.995
svd,10,4,615.8482110660254,0.9938888888888889,0.99
cbow,10,5,3359.818286283781,0.9927777777777778,1.0
skipgram,10,5,1438.449888287663,0.9855555555555555,1.0
svd,10,5,1438.449888287663,0.9688888888888889,0.97
cbow,10,6,615.8482110660254,0.965,0.97
skipgram,10,6,615.8482110660254,0.9594444444444444,0.97
svd,10,6,263.6650898730355,0.9533333333333334,0.955
cbow,10,7,0.01,0.95,0.95
skipgram,10,7,0.01,0.9594444444444444,0.93
svd,10,7,0.01,0.9538888888888889,0.95
cbow,10,8,0.01,0.9516666666666667,0.93
skipgram,10,8,0.01,0.96,0.955
svd,10,8,0.01,0.9544444444444444,0.945
cbow,11,2,0.01,1.0,1.0
skipgram,11,2,0.01,1.0,1.0
svd,11,2,48.32930238571752,1.0,1.0
cbow,11,3,112.88378916846884,1.0,1.0
skipgram,11,3,112.88378916846884,1.0,1.0
svd,11,3,48.32930238571752,1.0,1.0
cbow,11,4,1438.449888287663,0.9994444444444445,1.0
skipgram,11,4,3359.818286283781,0.9983333333333333,1.0
svd,11,4,3359.818286283781,0.9922222222222222,1.0
cbow,11,5,3359.818286283781,0.9927777777777778,0.995
skipgram,11,5,7847.5997035146065,0.9833333333333333,0.995
svd,11,5,3359.818286283781,0.9677777777777777,0.985
cbow,11,6,42813.32398719387,0.965,0.97
skipgram,11,6,42813.32398719387,0.9555555555555556,0.965
svd,11,6,1438.449888287663,0.9533333333333334,0.935
cbow,11,7,0.01,0.9538888888888889,0.97
skipgram,11,7,0.01,0.9561111111111111,0.96
svd,11,7,0.01,0.9522222222222222,0.95
cbow,11,8,0.01,0.9572222222222222,0.965
skipgram,11,8,0.01,0.9561111111111111,0.955
svd,11,8,0.01,0.9583333333333334,0.985
cbow,12,2,0.01,1.0,1.0
skipgram,12,2,1.623776739188721,1.0,1.0
svd,12,2,8.858667904100823,1.0,0.995
cbow,12,3,3.79269019073225,1.0,0.995
skipgram,12,3,8.858667904100823,1.0,1.0
svd,12,3,48.32930238571752,1.0,1.0
cbow,12,4,3359.818286283781,0.9994444444444445,0.995
