emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,3.79269019073225,0.38054607508532423,0.3793103448275862
cbow,1,2,48.32930238571752,0.4462051709758132,0.4044943820224719
skipgram,1,2,112.88378916846884,0.44453746337379657,0.44360902255639095
SVD,1,3,615.8482110660254,0.3964076858813701,0.40225563909774437
cbow,1,3,7847.5997035146065,0.5350291909924938,0.5655430711610487
skipgram,1,3,48.32930238571752,0.46872393661384487,0.49812734082397003
SVD,1,4,1438.449888287663,0.44830473001255755,0.46616541353383456
cbow,1,4,3.79269019073225,0.6388657214345288,0.651685393258427
skipgram,1,4,263.6650898730355,0.676814011676397,0.704119850187266
SVD,1,5,0.6951927961775606,0.38886563415655084,0.37969924812030076
cbow,1,5,1438.449888287663,0.49958298582151794,0.50187265917603
skipgram,1,5,1438.449888287663,0.6355296080066722,0.6629213483146067
SVD,1,6,112.88378916846884,0.5424863959815822,0.5601503759398496
cbow,1,6,20.69138081114788,0.48957464553794827,0.5205992509363296
skipgram,1,6,263.6650898730355,0.5496246872393661,0.5880149812734082
SVD,1,7,0.0545559478116852,0.5601851851851852,0.5833333333333334
cbow,1,7,48.32930238571752,0.5508757297748124,0.599250936329588
skipgram,1,7,20.69138081114788,0.5592160133444537,0.6217228464419475
SVD,1,8,3.79269019073225,0.5652356902356902,0.5833333333333334
cbow,1,8,7847.5997035146065,0.5621351125938282,0.6104868913857678
skipgram,1,8,18329.807108324338,0.5704753961634695,0.5880149812734082
SVD,2,2,18329.807108324338,0.7697781498534952,0.7406015037593985
cbow,2,2,615.8482110660254,0.40574282147315854,0.4157303370786517
skipgram,2,2,263.6650898730355,0.50187265917603,0.50187265917603
SVD,2,3,0.29763514416313175,0.6929824561403509,0.7030075187969925
cbow,2,3,1438.449888287663,0.4794007490636704,0.5056179775280899
skipgram,2,3,1438.449888287663,0.6408655846858095,0.599250936329588
SVD,2,4,20.69138081114788,0.5383005441607367,0.5263157894736842
cbow,2,4,48.32930238571752,0.47399084477736164,0.4756554307116105
skipgram,2,4,0.6951927961775606,0.5588847274240533,0.6104868913857678
SVD,2,5,0.12742749857031335,0.5403934700711595,0.5338345864661654
cbow,2,5,0.6951927961775606,0.5439034540158135,0.550561797752809
skipgram,2,5,3359.818286283781,0.6129837702871411,0.6254681647940075
SVD,2,6,20.69138081114788,0.5496023440770197,0.556390977443609
cbow,2,6,0.6951927961775606,0.5462885738115096,0.6179775280898876
skipgram,2,6,1.623776739188721,0.5496246872393661,0.599250936329588
SVD,2,7,100000.0,0.5757575757575758,0.5833333333333334
cbow,2,7,18329.807108324338,0.5725604670558799,0.602996254681648
skipgram,2,7,42813.32398719387,0.5600500417014178,0.5842696629213483
SVD,2,8,100000.0,0.43476430976430974,0.4583333333333333
cbow,2,8,100000.0,0.427022518765638,0.4419475655430712
skipgram,2,8,42813.32398719387,0.41909924937447873,0.4606741573033708
SVD,3,2,20.69138081114788,0.6663886572143453,0.6441947565543071
cbow,3,2,3359.818286283781,0.5930087390761548,0.6104868913857678
skipgram,3,2,1.623776739188721,0.5771951727007907,0.6142322097378277
SVD,3,3,112.88378916846884,0.5267335004177109,0.5451127819548872
cbow,3,3,1438.449888287663,0.5697045359966708,0.5692883895131086
skipgram,3,3,0.0545559478116852,0.6566791510611736,0.6928838951310862
SVD,3,4,0.12742749857031335,0.5441607367099205,0.5413533834586466
cbow,3,4,18329.807108324338,0.5701206824802331,0.5543071161048689
skipgram,3,4,0.0545559478116852,0.5555555555555556,0.550561797752809
SVD,3,5,615.8482110660254,0.578484721640854,0.6090225563909775
cbow,3,5,1.623776739188721,0.5846858094049106,0.599250936329588
skipgram,3,5,0.6951927961775606,0.5851019558884727,0.5917602996254682
SVD,3,6,42813.32398719387,0.583089158643784,0.5864661654135338
cbow,3,6,18329.807108324338,0.5796497080900751,0.602996254681648
skipgram,3,6,42813.32398719387,0.5654712260216848,0.6104868913857678
SVD,3,7,48.32930238571752,0.4305555555555556,0.4356060606060606
