emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.01,0.8020477815699659,0.7816091954022989
cbow,1,2,0.01,0.7998331943286072,0.8014981273408239
skipgram,1,2,263.6650898730355,0.8007534533277522,0.793233082706767
SVD,1,3,0.01,0.7999164578111947,0.8007518796992481
cbow,1,3,615.8482110660254,0.8544620517097581,0.8239700374531835
skipgram,1,3,8.858667904100823,0.871976647206005,0.850187265917603
SVD,1,4,0.01,0.8007534533277522,0.793233082706767
cbow,1,4,0.01,0.7998331943286072,0.8014981273408239
skipgram,1,4,263.6650898730355,0.8023352793994996,0.8014981273408239
SVD,1,5,0.01,0.8007534533277522,0.793233082706767
cbow,1,5,7847.5997035146065,0.8027522935779816,0.8052434456928839
skipgram,1,5,18329.807108324338,0.8010842368640534,0.8014981273408239
SVD,1,6,0.01,0.8007534533277522,0.793233082706767
cbow,1,6,0.01,0.7998331943286072,0.8014981273408239
skipgram,1,6,0.01,0.7998331943286072,0.8014981273408239
SVD,1,7,0.01,0.8047138047138047,0.7575757575757576
cbow,1,7,0.01,0.7998331943286072,0.8014981273408239
skipgram,1,7,0.01,0.7998331943286072,0.8014981273408239
SVD,1,8,112.88378916846884,0.872895622895623,0.8522727272727273
cbow,1,8,0.0545559478116852,0.8748957464553795,0.8576779026217228
skipgram,1,8,0.0545559478116852,0.8786488740617181,0.8951310861423221
SVD,2,2,0.01,0.8007534533277522,0.793233082706767
cbow,2,2,0.01,0.8019142738243862,0.7827715355805244
skipgram,2,2,0.01,0.8019142738243862,0.7827715355805244
SVD,2,3,0.01,0.7999164578111947,0.8007518796992481
cbow,2,3,0.01,0.8019142738243862,0.7827715355805244
skipgram,2,3,0.01,0.8019142738243862,0.7827715355805244
SVD,2,4,0.01,0.8007534533277522,0.793233082706767
cbow,2,4,0.01,0.8019142738243862,0.7827715355805244
skipgram,2,4,1.623776739188721,0.8023304203079484,0.7790262172284644
SVD,2,5,0.01,0.8007534533277522,0.793233082706767
cbow,2,5,3.79269019073225,0.8019142738243862,0.7827715355805244
skipgram,2,5,0.01,0.8019142738243862,0.7827715355805244
SVD,2,6,7847.5997035146065,0.82628714943491,0.8308270676691729
cbow,2,6,8.858667904100823,0.8381984987489575,0.8389513108614233
skipgram,2,6,263.6650898730355,0.8206839032527106,0.8052434456928839
SVD,2,7,615.8482110660254,0.8564814814814815,0.8257575757575758
cbow,2,7,263.6650898730355,0.8661384487072561,0.8651685393258427
skipgram,2,7,42813.32398719387,0.8665554628857381,0.898876404494382
SVD,2,8,3.79269019073225,0.8076599326599326,0.7613636363636364
cbow,2,8,42813.32398719387,0.8419516263552961,0.8352059925093633
skipgram,2,8,100000.0,0.8006672226855713,0.8052434456928839
SVD,3,2,0.01,0.7998331943286072,0.8014981273408239
cbow,3,2,42813.32398719387,0.9521431543903454,0.9588014981273408
skipgram,3,2,7847.5997035146065,0.88722430295464,0.8576779026217228
SVD,3,3,1.623776739188721,0.8057644110275689,0.8045112781954887
cbow,3,3,20.69138081114788,0.9642114024136496,0.9700374531835206
skipgram,3,3,615.8482110660254,0.8489388264669163,0.8164794007490637
SVD,3,4,0.01,0.8007534533277522,0.793233082706767
cbow,3,4,20.69138081114788,0.8747399084477736,0.8838951310861424
skipgram,3,4,0.01,0.8019142738243862,0.7827715355805244
SVD,3,5,1438.449888287663,0.8698200083717036,0.8609022556390977
cbow,3,5,48.32930238571752,0.8938826466916354,0.8838951310861424
skipgram,3,5,8.858667904100823,0.867665418227216,0.8352059925093633
SVD,3,6,42813.32398719387,0.8589367936375052,0.8421052631578947
