emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.29763514416313175,0.5855555555555556,0.56
cbow,1,2,7847.5997035146065,0.5161111111111111,0.505
skipgram,1,2,7847.5997035146065,0.6416666666666667,0.66
SVD,1,3,0.023357214690901226,0.5555555555555556,0.56
cbow,1,3,3359.818286283781,0.5083333333333333,0.515
skipgram,1,3,0.6951927961775606,0.5011111111111111,0.505
SVD,1,4,0.01,0.5,0.505
cbow,1,4,20.69138081114788,0.5111111111111111,0.525
skipgram,1,4,42813.32398719387,0.5405555555555556,0.545
SVD,1,5,0.01,0.49944444444444447,0.47
cbow,1,5,0.12742749857031335,0.5122222222222222,0.515
skipgram,1,5,0.0545559478116852,0.5194444444444445,0.54
SVD,1,6,20.69138081114788,0.5583333333333333,0.54
cbow,1,6,0.01,0.5138888888888888,0.49
skipgram,1,6,0.6951927961775606,0.5288888888888889,0.51
SVD,1,7,615.8482110660254,0.6105555555555555,0.585
cbow,1,7,48.32930238571752,0.5627777777777778,0.565
skipgram,1,7,8.858667904100823,0.5905555555555555,0.53
SVD,1,8,8.858667904100823,0.6505555555555556,0.635
cbow,1,8,3.79269019073225,0.6283333333333333,0.645
skipgram,1,8,48.32930238571752,0.65,0.69
SVD,2,2,100000.0,0.8738888888888889,0.85
cbow,2,2,112.88378916846884,0.8344444444444444,0.85
skipgram,2,2,0.29763514416313175,0.8555555555555555,0.83
SVD,2,3,1.623776739188721,0.8816666666666667,0.85
cbow,2,3,112.88378916846884,0.8344444444444444,0.795
skipgram,2,3,3.79269019073225,0.8377777777777777,0.845
SVD,2,4,263.6650898730355,0.7311111111111112,0.695
cbow,2,4,20.69138081114788,0.6922222222222222,0.64
skipgram,2,4,263.6650898730355,0.7388888888888889,0.755
SVD,2,5,0.0545559478116852,0.4772222222222222,0.495
cbow,2,5,20.69138081114788,0.49833333333333335,0.52
skipgram,2,5,0.023357214690901226,0.4911111111111111,0.455
SVD,2,6,1438.449888287663,0.6111111111111112,0.645
cbow,2,6,20.69138081114788,0.6194444444444445,0.6
skipgram,2,6,615.8482110660254,0.6211111111111111,0.62
SVD,2,7,1438.449888287663,0.6366666666666667,0.615
cbow,2,7,1438.449888287663,0.6561111111111111,0.645
skipgram,2,7,3359.818286283781,0.6572222222222223,0.595
SVD,2,8,100000.0,0.6538888888888889,0.63
cbow,2,8,100000.0,0.6405555555555555,0.725
skipgram,2,8,100000.0,0.6422222222222222,0.655
SVD,3,2,263.6650898730355,0.7627777777777778,0.77
cbow,3,2,7847.5997035146065,0.8783333333333333,0.88
skipgram,3,2,48.32930238571752,0.8355555555555556,0.825
SVD,3,3,8.858667904100823,0.5966666666666667,0.63
cbow,3,3,1438.449888287663,0.7616666666666667,0.795
skipgram,3,3,615.8482110660254,0.77,0.76
SVD,3,4,3.79269019073225,0.5738888888888889,0.615
cbow,3,4,48.32930238571752,0.6383333333333333,0.675
skipgram,3,4,0.0545559478116852,0.56,0.525
SVD,3,5,1438.449888287663,0.6272222222222222,0.585
cbow,3,5,48.32930238571752,0.68,0.67
skipgram,3,5,112.88378916846884,0.6527777777777778,0.59
SVD,3,6,18329.807108324338,0.6555555555555556,0.71
cbow,3,6,18329.807108324338,0.6644444444444444,0.635
skipgram,3,6,42813.32398719387,0.665,0.68
SVD,3,7,0.29763514416313175,0.6044444444444445,0.56
cbow,3,7,0.6951927961775606,0.5988888888888889,0.6
skipgram,3,7,1.623776739188721,0.5866666666666667,0.56
SVD,3,8,0.12742749857031335,0.6011111111111112,0.535
cbow,3,8,0.29763514416313175,0.5927777777777777,0.61
skipgram,3,8,0.29763514416313175,0.5855555555555556,0.625
SVD,4,2,112.88378916846884,0.7272222222222222,0.73
cbow,4,2,42813.32398719387,0.8305555555555556,0.825
skipgram,4,2,1.623776739188721,0.6688888888888889,0.665
SVD,4,3,0.6951927961775606,0.4888888888888889,0.42
cbow,4,3,0.6951927961775606,0.5677777777777778,0.52
skipgram,4,3,0.023357214690901226,0.5344444444444445,0.525
SVD,4,4,615.8482110660254,0.6761111111111111,0.625
cbow,4,4,0.12742749857031335,0.6577777777777778,0.675
skipgram,4,4,0.29763514416313175,0.6466666666666666,0.575
SVD,4,5,18329.807108324338,0.6661111111111111,0.62
cbow,4,5,7847.5997035146065,0.6566666666666666,0.67
skipgram,4,5,18329.807108324338,0.6527777777777778,0.635
SVD,4,6,0.12742749857031335,0.59,0.575
cbow,4,6,1.623776739188721,0.6116666666666667,0.575
skipgram,4,6,0.6951927961775606,0.5988888888888889,0.55
SVD,4,7,1.623776739188721,0.5977777777777777,0.615
cbow,4,7,0.29763514416313175,0.5988888888888889,0.62
skipgram,4,7,0.6951927961775606,0.5922222222222222,0.605
SVD,4,8,0.12742749857031335,0.6033333333333334,0.62
cbow,4,8,48.32930238571752,0.6016666666666667,0.625
skipgram,4,8,8.858667904100823,0.5983333333333334,0.55
SVD,5,2,263.6650898730355,0.4622222222222222,0.44
cbow,5,2,1438.449888287663,0.5455555555555556,0.52
skipgram,5,2,48.32930238571752,0.9088888888888889,0.935
SVD,5,3,8.858667904100823,0.5816666666666667,0.63
cbow,5,3,0.0545559478116852,0.5855555555555556,0.625
skipgram,5,3,0.023357214690901226,0.5394444444444444,0.535
SVD,5,4,18329.807108324338,0.6766666666666666,0.64
cbow,5,4,48.32930238571752,0.6744444444444444,0.65
skipgram,5,4,263.6650898730355,0.6461111111111111,0.63
SVD,5,5,0.29763514416313175,0.5955555555555555,0.59
cbow,5,5,48.32930238571752,0.6016666666666667,0.6
skipgram,5,5,0.29763514416313175,0.5966666666666667,0.64
SVD,5,6,0.0545559478116852,0.5772222222222222,0.61
cbow,5,6,0.12742749857031335,0.5961111111111111,0.555
skipgram,5,6,0.29763514416313175,0.6072222222222222,0.62
SVD,5,7,0.0545559478116852,0.5883333333333334,0.605
cbow,5,7,0.6951927961775606,0.6061111111111112,0.62
skipgram,5,7,0.12742749857031335,0.6116666666666667,0.615
SVD,5,8,0.12742749857031335,0.6011111111111112,0.65
cbow,5,8,0.12742749857031335,0.5988888888888889,0.59
skipgram,5,8,1.623776739188721,0.5983333333333334,0.51
SVD,6,2,615.8482110660254,0.6633333333333333,0.7
cbow,6,2,8.858667904100823,0.5155555555555555,0.49
skipgram,6,2,0.12742749857031335,0.6661111111111111,0.675
SVD,6,3,48.32930238571752,0.6288888888888889,0.64
cbow,6,3,0.0545559478116852,0.6383333333333333,0.625
skipgram,6,3,0.023357214690901226,0.6055555555555555,0.635
SVD,6,4,100000.0,0.6555555555555556,0.64
cbow,6,4,18329.807108324338,0.6877777777777778,0.615
skipgram,6,4,18329.807108324338,0.6566666666666666,0.73
SVD,6,5,0.0545559478116852,0.5944444444444444,0.585
cbow,6,5,0.6951927961775606,0.6027777777777777,0.595
skipgram,6,5,0.6951927961775606,0.595,0.545
SVD,6,6,0.12742749857031335,0.5966666666666667,0.655
cbow,6,6,1.623776739188721,0.6066666666666667,0.6
skipgram,6,6,1.623776739188721,0.6194444444444445,0.555
SVD,6,7,0.0545559478116852,0.5938888888888889,0.605
cbow,6,7,0.0545559478116852,0.6088888888888889,0.6
skipgram,6,7,0.12742749857031335,0.5827777777777777,0.635
SVD,6,8,0.6951927961775606,0.5955555555555555,0.57
cbow,6,8,0.12742749857031335,0.5827777777777777,0.57
skipgram,6,8,1.623776739188721,0.5844444444444444,0.595
SVD,7,2,48.32930238571752,0.5483333333333333,0.51
cbow,7,2,615.8482110660254,0.9022222222222223,0.885
skipgram,7,2,0.12742749857031335,0.7088888888888889,0.705
SVD,7,3,263.6650898730355,0.6583333333333333,0.66
cbow,7,3,0.6951927961775606,0.6783333333333333,0.72
skipgram,7,3,0.12742749857031335,0.6561111111111111,0.71
SVD,7,4,100000.0,0.59,0.65
cbow,7,4,100000.0,0.6122222222222222,0.635
skipgram,7,4,100000.0,0.6194444444444445,0.67
SVD,7,5,0.29763514416313175,0.6022222222222222,0.605
cbow,7,5,0.29763514416313175,0.5883333333333334,0.6
skipgram,7,5,0.12742749857031335,0.5972222222222222,0.595
SVD,7,6,0.6951927961775606,0.5822222222222222,0.56
cbow,7,6,0.12742749857031335,0.6038888888888889,0.635
skipgram,7,6,1.623776739188721,0.6077777777777778,0.6
SVD,7,7,0.12742749857031335,0.5855555555555556,0.66
cbow,7,7,0.12742749857031335,0.5688888888888889,0.535
skipgram,7,7,48.32930238571752,0.5972222222222222,0.565
SVD,7,8,0.01,0.5888888888888889,0.62
cbow,7,8,0.01,0.5833333333333334,0.64
skipgram,7,8,3.79269019073225,0.59,0.565
SVD,8,2,0.023357214690901226,0.6666666666666666,0.68
cbow,8,2,263.6650898730355,0.5611111111111111,0.505
skipgram,8,2,0.0545559478116852,0.5166666666666667,0.56
SVD,8,3,7847.5997035146065,0.6627777777777778,0.63
cbow,8,3,8.858667904100823,0.6522222222222223,0.6
skipgram,8,3,3.79269019073225,0.6605555555555556,0.675
SVD,8,4,1.623776739188721,0.6,0.57
cbow,8,4,0.6951927961775606,0.605,0.565
skipgram,8,4,0.29763514416313175,0.5977777777777777,0.64
SVD,8,5,8.858667904100823,0.595,0.575
cbow,8,5,0.6951927961775606,0.6244444444444445,0.575
skipgram,8,5,0.6951927961775606,0.5927777777777777,0.585
SVD,8,6,0.29763514416313175,0.5922222222222222,0.645
cbow,8,6,1.623776739188721,0.6055555555555555,0.625
skipgram,8,6,1.623776739188721,0.6061111111111112,0.6
SVD,8,7,0.01,0.5816666666666667,0.58
cbow,8,7,0.0545559478116852,0.6027777777777777,0.61
skipgram,8,7,0.29763514416313175,0.5972222222222222,0.605
SVD,8,8,0.01,0.6011111111111112,0.58
cbow,8,8,0.01,0.5933333333333334,0.595
skipgram,8,8,0.0545559478116852,0.6055555555555555,0.625
SVD,9,2,3359.818286283781,0.49722222222222223,0.48
cbow,9,2,1.623776739188721,0.5788888888888889,0.58
skipgram,9,2,0.29763514416313175,0.5166666666666667,0.535
SVD,9,3,42813.32398719387,0.6666666666666666,0.71
cbow,9,3,263.6650898730355,0.6816666666666666,0.67
skipgram,9,3,263.6650898730355,0.68,0.62
SVD,9,4,0.12742749857031335,0.6005555555555555,0.56
cbow,9,4,0.6951927961775606,0.6005555555555555,0.61
skipgram,9,4,1.623776739188721,0.6,0.57
SVD,9,5,0.29763514416313175,0.5911111111111111,0.565
