emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,263.6650898730355,0.9433333333333334,0.95
cbow,1,2,42813.32398719387,0.9194444444444444,0.93
skipgram,1,2,18329.807108324338,0.91,0.915
SVD,1,3,48.32930238571752,0.9777777777777777,0.98
cbow,1,3,1438.449888287663,0.9677777777777777,0.975
skipgram,1,3,1438.449888287663,0.9622222222222222,0.965
SVD,1,4,0.6951927961775606,0.9961111111111111,0.98
cbow,1,4,8.858667904100823,0.9816666666666667,0.99
skipgram,1,4,8.858667904100823,0.9822222222222222,0.975
SVD,1,5,8.858667904100823,0.9977777777777778,0.995
cbow,1,5,8.858667904100823,0.9916666666666667,0.99
skipgram,1,5,8.858667904100823,0.9872222222222222,0.985
SVD,1,6,48.32930238571752,0.9961111111111111,1.0
cbow,1,6,615.8482110660254,0.9883333333333333,0.97
skipgram,1,6,1438.449888287663,0.9883333333333333,0.99
SVD,1,7,48.32930238571752,0.9938888888888889,0.995
cbow,1,7,3359.818286283781,0.9833333333333333,0.99
skipgram,1,7,18329.807108324338,0.9877777777777778,0.985
SVD,1,8,48.32930238571752,0.9966666666666667,1.0
cbow,1,8,48.32930238571752,0.9872222222222222,0.995
skipgram,1,8,20.69138081114788,0.9855555555555555,0.985
SVD,2,2,20.69138081114788,0.9438888888888889,0.97
cbow,2,2,0.01,0.7205555555555555,0.755
skipgram,2,2,3.79269019073225,0.4988888888888889,0.48
SVD,2,3,0.6951927961775606,0.9966666666666667,0.995
cbow,2,3,8.858667904100823,0.9855555555555555,0.98
skipgram,2,3,48.32930238571752,0.9461111111111111,0.975
SVD,2,4,3.79269019073225,0.9972222222222222,1.0
cbow,2,4,0.01,0.9894444444444445,0.98
skipgram,2,4,48.32930238571752,0.9888888888888889,0.995
SVD,2,5,20.69138081114788,0.9955555555555555,0.985
cbow,2,5,20.69138081114788,0.9883333333333333,0.995
skipgram,2,5,20.69138081114788,0.9905555555555555,0.99
SVD,2,6,48.32930238571752,0.9994444444444445,1.0
cbow,2,6,20.69138081114788,0.99,0.985
skipgram,2,6,112.88378916846884,0.9883333333333333,0.985
SVD,2,7,48.32930238571752,0.9983333333333333,0.99
cbow,2,7,112.88378916846884,0.985,0.985
skipgram,2,7,112.88378916846884,0.9827777777777778,0.975
SVD,2,8,615.8482110660254,0.995,0.995
cbow,2,8,112.88378916846884,0.9794444444444445,0.99
skipgram,2,8,112.88378916846884,0.985,0.98
SVD,3,2,48.32930238571752,0.9788888888888889,0.96
cbow,3,2,263.6650898730355,0.9877777777777778,0.98
skipgram,3,2,263.6650898730355,0.9705555555555555,0.965
SVD,3,3,263.6650898730355,0.9972222222222222,0.995
cbow,3,3,112.88378916846884,0.995,0.995
skipgram,3,3,48.32930238571752,0.9944444444444445,1.0
SVD,3,4,112.88378916846884,0.9977777777777778,0.995
cbow,3,4,8.858667904100823,0.9927777777777778,0.985
skipgram,3,4,20.69138081114788,0.9916666666666667,0.99
SVD,3,5,615.8482110660254,0.9944444444444445,1.0
cbow,3,5,8.858667904100823,0.9905555555555555,0.98
skipgram,3,5,263.6650898730355,0.9922222222222222,0.99
SVD,3,6,263.6650898730355,0.9972222222222222,0.995
cbow,3,6,615.8482110660254,0.9894444444444445,0.99
skipgram,3,6,112.88378916846884,0.985,0.97
SVD,3,7,112.88378916846884,0.9955555555555555,1.0
cbow,3,7,263.6650898730355,0.9822222222222222,0.985
skipgram,3,7,112.88378916846884,0.985,0.99
SVD,3,8,263.6650898730355,0.9966666666666667,0.995
cbow,3,8,263.6650898730355,0.98,0.995
skipgram,3,8,263.6650898730355,0.9811111111111112,1.0
SVD,4,2,20.69138081114788,0.9861111111111112,0.99
cbow,4,2,1.623776739188721,0.9838888888888889,0.985
skipgram,4,2,112.88378916846884,0.9855555555555555,0.96
SVD,4,3,42813.32398719387,0.9972222222222222,1.0
cbow,4,3,263.6650898730355,0.9911111111111112,1.0
skipgram,4,3,263.6650898730355,0.9922222222222222,0.985
SVD,4,4,20.69138081114788,0.9966666666666667,0.99
cbow,4,4,112.88378916846884,0.9905555555555555,0.99
skipgram,4,4,20.69138081114788,0.9894444444444445,0.985
SVD,4,5,48.32930238571752,0.9944444444444445,1.0
cbow,4,5,20.69138081114788,0.9877777777777778,0.985
skipgram,4,5,48.32930238571752,0.9877777777777778,0.995
SVD,4,6,7847.5997035146065,0.995,0.995
