emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,42813.32398719387,0.9361111111111111,0.965
cbow,1,2,48.32930238571752,0.9761111111111112,0.96
skipgram,1,2,48.32930238571752,0.9794444444444445,0.955
SVD,1,3,100000.0,0.8822222222222222,0.885
cbow,1,3,48.32930238571752,0.9688888888888889,0.99
skipgram,1,3,1.623776739188721,0.9816666666666667,0.985
SVD,1,4,100000.0,0.7166666666666667,0.68
cbow,1,4,18329.807108324338,0.9694444444444444,0.965
skipgram,1,4,3359.818286283781,0.9638888888888889,0.955
SVD,1,5,18329.807108324338,0.6627777777777778,0.66
cbow,1,5,1438.449888287663,0.965,0.975
skipgram,1,5,263.6650898730355,0.9738888888888889,0.995
SVD,1,6,48.32930238571752,0.8838888888888888,0.84
cbow,1,6,8.858667904100823,0.9188888888888889,0.92
skipgram,1,6,1.623776739188721,0.9388888888888889,0.945
SVD,1,7,0.0545559478116852,0.9122222222222223,0.86
cbow,1,7,0.01,0.9305555555555556,0.955
skipgram,1,7,0.01,0.9266666666666666,0.96
SVD,1,8,0.01,0.8883333333333333,0.89
cbow,1,8,0.01,0.9,0.885
skipgram,1,8,0.01,0.8994444444444445,0.89
SVD,2,2,615.8482110660254,0.9438888888888889,0.9
cbow,2,2,0.29763514416313175,0.9077777777777778,0.91
skipgram,2,2,48.32930238571752,0.9394444444444444,0.955
SVD,2,3,3359.818286283781,0.9505555555555556,0.925
cbow,2,3,0.12742749857031335,0.7638888888888888,0.7
skipgram,2,3,48.32930238571752,0.8911111111111111,0.895
SVD,2,4,0.01,0.7133333333333334,0.695
cbow,2,4,0.6951927961775606,0.5677777777777778,0.615
skipgram,2,4,1438.449888287663,0.7844444444444445,0.8
SVD,2,5,1.623776739188721,0.8266666666666667,0.78
cbow,2,5,0.6951927961775606,0.8961111111111111,0.895
skipgram,2,5,1.623776739188721,0.84,0.835
SVD,2,6,0.12742749857031335,0.9194444444444444,0.89
cbow,2,6,0.12742749857031335,0.9316666666666666,0.935
skipgram,2,6,0.29763514416313175,0.9272222222222222,0.935
SVD,2,7,0.0545559478116852,0.915,0.925
cbow,2,7,0.0545559478116852,0.9272222222222222,0.94
skipgram,2,7,0.023357214690901226,0.9316666666666666,0.95
SVD,2,8,3359.818286283781,0.9122222222222223,0.92
cbow,2,8,0.023357214690901226,0.9288888888888889,0.955
skipgram,2,8,0.0545559478116852,0.9261111111111111,0.945
SVD,3,2,20.69138081114788,0.9244444444444444,0.94
cbow,3,2,615.8482110660254,0.9627777777777777,0.97
skipgram,3,2,3359.818286283781,0.9744444444444444,0.965
SVD,3,3,1438.449888287663,0.6594444444444445,0.695
cbow,3,3,7847.5997035146065,0.9694444444444444,0.98
skipgram,3,3,48.32930238571752,0.9405555555555556,0.96
SVD,3,4,0.12742749857031335,0.8872222222222222,0.915
cbow,3,4,0.01,0.9316666666666666,0.935
skipgram,3,4,0.0545559478116852,0.9277777777777778,0.915
SVD,3,5,0.12742749857031335,0.9266666666666666,0.935
cbow,3,5,0.01,0.9411111111111111,0.92
skipgram,3,5,0.023357214690901226,0.9344444444444444,0.93
SVD,3,6,0.023357214690901226,0.9244444444444444,0.88
cbow,3,6,0.01,0.9266666666666666,0.945
skipgram,3,6,0.01,0.9327777777777778,0.945
SVD,3,7,0.29763514416313175,0.9116666666666666,0.915
cbow,3,7,0.0545559478116852,0.9083333333333333,0.955
skipgram,3,7,0.023357214690901226,0.9244444444444444,0.925
SVD,3,8,1.623776739188721,0.9161111111111111,0.93
cbow,3,8,0.0545559478116852,0.92,0.96
skipgram,3,8,0.6951927961775606,0.9116666666666666,0.92
SVD,4,2,48.32930238571752,0.8794444444444445,0.9
cbow,4,2,1.623776739188721,0.9422222222222222,0.95
skipgram,4,2,0.01,0.5322222222222223,0.52
SVD,4,3,112.88378916846884,0.7777777777777778,0.785
cbow,4,3,8.858667904100823,0.9522222222222222,0.955
skipgram,4,3,112.88378916846884,0.9322222222222222,0.955
SVD,4,4,0.12742749857031335,0.9294444444444444,0.935
cbow,4,4,0.01,0.9422222222222222,0.945
skipgram,4,4,0.01,0.9394444444444444,0.955
SVD,4,5,0.023357214690901226,0.9261111111111111,0.94
cbow,4,5,0.01,0.9294444444444444,0.94
