emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,263.6650898730355,0.3792325056433409,0.31313131313131315
cbow,1,2,100000.0,0.496,0.6428571428571429
skipgram,1,2,42813.32398719387,0.4634974533106961,0.4696969696969697
SVD,1,3,3359.818286283781,0.46349557522123896,0.43564356435643564
cbow,1,3,18329.807108324338,0.4794952681388013,0.5774647887323944
skipgram,1,3,18329.807108324338,0.47877758913412566,0.45454545454545453
SVD,1,4,100000.0,0.5199115044247787,0.5148514851485149
cbow,1,4,18329.807108324338,0.5362776025236593,0.5211267605633803
skipgram,1,4,42813.32398719387,0.5076400679117148,0.5
SVD,1,5,0.12742749857031335,0.5420353982300885,0.504950495049505
cbow,1,5,42813.32398719387,0.5788643533123028,0.5070422535211268
skipgram,1,5,100000.0,0.4923599320882852,0.5303030303030303
SVD,1,6,3.79269019073225,0.5276548672566371,0.45544554455445546
cbow,1,6,0.0545559478116852,0.5441640378548895,0.5211267605633803
skipgram,1,6,0.023357214690901226,0.5483870967741935,0.45454545454545453
SVD,1,7,0.12742749857031335,0.5121681415929203,0.5841584158415841
cbow,1,7,0.01,0.5394321766561514,0.5070422535211268
skipgram,1,7,615.8482110660254,0.5551782682512734,0.6212121212121212
SVD,1,8,615.8482110660254,0.5143805309734514,0.5346534653465347
cbow,1,8,3359.818286283781,0.5457413249211357,0.6056338028169014
skipgram,1,8,20.69138081114788,0.5263157894736842,0.5454545454545454
SVD,2,2,3359.818286283781,0.41482300884955753,0.4158415841584158
cbow,2,2,20.69138081114788,0.46845425867507884,0.4225352112676056
skipgram,2,2,18329.807108324338,0.3293718166383701,0.2878787878787879
SVD,2,3,7847.5997035146065,0.5663716814159292,0.49504950495049505
cbow,2,3,7847.5997035146065,0.526813880126183,0.43661971830985913
skipgram,2,3,112.88378916846884,0.44142614601018676,0.3787878787878788
SVD,2,4,20.69138081114788,0.5730088495575221,0.6237623762376238
cbow,2,4,263.6650898730355,0.5851735015772871,0.5492957746478874
skipgram,2,4,3.79269019073225,0.5568760611205433,0.6515151515151515
SVD,2,5,3.79269019073225,0.5453539823008849,0.48514851485148514
cbow,2,5,7847.5997035146065,0.5473186119873817,0.5633802816901409
skipgram,2,5,8.858667904100823,0.5534804753820034,0.5757575757575758
SVD,2,6,3359.818286283781,0.5254424778761062,0.5247524752475248
cbow,2,6,263.6650898730355,0.5678233438485805,0.647887323943662
skipgram,2,6,100000.0,0.5246179966044142,0.5757575757575758
SVD,2,7,3359.818286283781,0.47898230088495575,0.40594059405940597
cbow,2,7,100000.0,0.49369085173501576,0.4507042253521127
skipgram,2,7,100000.0,0.48047538200339557,0.4090909090909091
SVD,2,8,8.858667904100823,0.4690265486725664,0.49504950495049505
cbow,2,8,112.88378916846884,0.42902208201892744,0.4788732394366197
skipgram,2,8,1.623776739188721,0.466893039049236,0.5
SVD,3,2,1.623776739188721,0.39491150442477874,0.3465346534653465
cbow,3,2,0.12742749857031335,0.35173501577287064,0.323943661971831
skipgram,3,2,615.8482110660254,0.45161290322580644,0.5
SVD,3,3,7847.5997035146065,0.5829646017699115,0.6831683168316832
cbow,3,3,0.6951927961775606,0.5457413249211357,0.5774647887323944
skipgram,3,3,7847.5997035146065,0.6095076400679117,0.5303030303030303
SVD,3,4,1.623776739188721,0.5652654867256637,0.5346534653465347
cbow,3,4,1.623776739188721,0.582018927444795,0.5492957746478874
skipgram,3,4,48.32930238571752,0.5534804753820034,0.5
SVD,3,5,7847.5997035146065,0.543141592920354,0.6138613861386139
cbow,3,5,100000.0,0.5315457413249212,0.5633802816901409
skipgram,3,5,7847.5997035146065,0.5466893039049237,0.5
SVD,3,6,1438.449888287663,0.4446902654867257,0.39603960396039606
cbow,3,6,7847.5997035146065,0.444794952681388,0.4084507042253521
