emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.01,0.7979683972911964,0.8181818181818182
cbow,1,2,0.01,0.8016,0.7857142857142857
skipgram,1,2,100000.0,0.8471986417657046,0.8787878787878788
SVD,1,3,42813.32398719387,0.7986725663716814,0.8118811881188119
cbow,1,3,1438.449888287663,0.9100946372239748,0.9154929577464789
skipgram,1,3,615.8482110660254,0.9202037351443124,0.9242424242424242
SVD,1,4,48.32930238571752,0.8462389380530974,0.8514851485148515
cbow,1,4,48.32930238571752,0.919558359621451,0.9014084507042254
skipgram,1,4,3359.818286283781,0.9032258064516129,0.8333333333333334
SVD,1,5,615.8482110660254,0.8086283185840708,0.8415841584158416
cbow,1,5,8.858667904100823,0.8690851735015773,0.8450704225352113
skipgram,1,5,263.6650898730355,0.8522920203735145,0.7575757575757576
SVD,1,6,0.12742749857031335,0.8097345132743363,0.7920792079207921
cbow,1,6,0.12742749857031335,0.8201892744479495,0.8873239436619719
skipgram,1,6,20.69138081114788,0.8149405772495756,0.803030303030303
SVD,1,7,1.623776739188721,0.8196902654867256,0.801980198019802
cbow,1,7,0.12742749857031335,0.8154574132492114,0.7605633802816901
skipgram,1,7,8.858667904100823,0.8183361629881154,0.7272727272727273
SVD,1,8,0.01,0.7986725663716814,0.8118811881188119
cbow,1,8,8.858667904100823,0.804416403785489,0.7746478873239436
skipgram,1,8,1.623776739188721,0.8200339558573854,0.7121212121212122
SVD,2,2,0.01,0.7986725663716814,0.8118811881188119
cbow,2,2,0.01,0.8012618296529969,0.7887323943661971
skipgram,2,2,0.01,0.8047538200339559,0.7575757575757576
SVD,2,3,0.01,0.7986725663716814,0.8118811881188119
cbow,2,3,48.32930238571752,0.8769716088328076,0.9295774647887324
skipgram,2,3,0.01,0.8047538200339559,0.7575757575757576
SVD,2,4,0.01,0.7986725663716814,0.8118811881188119
cbow,2,4,0.6951927961775606,0.9116719242902208,0.9014084507042254
skipgram,2,4,1.623776739188721,0.8268251273344652,0.7727272727272727
SVD,2,5,0.01,0.7986725663716814,0.8118811881188119
cbow,2,5,0.29763514416313175,0.8548895899053628,0.8591549295774648
skipgram,2,5,48.32930238571752,0.8234295415959253,0.7121212121212122
SVD,2,6,1.623776739188721,0.8042035398230089,0.7821782178217822
cbow,2,6,0.01,0.8012618296529969,0.7887323943661971
skipgram,2,6,263.6650898730355,0.8115449915110357,0.7575757575757576
SVD,2,7,0.29763514416313175,0.7986725663716814,0.8316831683168316
cbow,2,7,0.0545559478116852,0.8028391167192429,0.7746478873239436
skipgram,2,7,0.12742749857031335,0.8132427843803056,0.7424242424242424
SVD,2,8,0.29763514416313175,0.8108407079646017,0.8613861386138614
cbow,2,8,20.69138081114788,0.807570977917981,0.7323943661971831
skipgram,2,8,112.88378916846884,0.8081494057724957,0.7575757575757576
SVD,3,2,0.6951927961775606,0.8042035398230089,0.8118811881188119
cbow,3,2,0.01,0.8012618296529969,0.7887323943661971
skipgram,3,2,0.01,0.8047538200339559,0.7575757575757576
SVD,3,3,0.29763514416313175,0.8097345132743363,0.8316831683168316
cbow,3,3,0.6951927961775606,0.919558359621451,0.8873239436619719
skipgram,3,3,20.69138081114788,0.967741935483871,0.9545454545454546
SVD,3,4,0.01,0.7986725663716814,0.8118811881188119
cbow,3,4,0.12742749857031335,0.8280757097791798,0.8309859154929577
skipgram,3,4,0.29763514416313175,0.8387096774193549,0.7878787878787878
SVD,3,5,0.12742749857031335,0.8042035398230089,0.801980198019802
cbow,3,5,0.12742749857031335,0.8107255520504731,0.8028169014084507
skipgram,3,5,0.01,0.8047538200339559,0.7575757575757576
SVD,3,6,42813.32398719387,0.7997787610619469,0.801980198019802
cbow,3,6,18329.807108324338,0.8123028391167192,0.7464788732394366
skipgram,3,6,100000.0,0.8132427843803056,0.7424242424242424
SVD,3,7,8.858667904100823,0.8174778761061947,0.7722772277227723
cbow,3,7,0.01,0.8012618296529969,0.7887323943661971
skipgram,3,7,1.623776739188721,0.8098471986417657,0.7575757575757576
SVD,3,8,0.29763514416313175,0.8053097345132744,0.8316831683168316
cbow,3,8,0.6951927961775606,0.8028391167192429,0.8028169014084507
skipgram,3,8,3.79269019073225,0.8132427843803056,0.7575757575757576
SVD,4,2,112.88378916846884,0.8285398230088495,0.8118811881188119
cbow,4,2,263.6650898730355,0.9274447949526814,0.9436619718309859
skipgram,4,2,3359.818286283781,0.8743633276740238,0.8484848484848485
SVD,4,3,0.12742749857031335,0.827433628318584,0.8217821782178217
cbow,4,3,0.12742749857031335,0.8769716088328076,0.8591549295774648
