emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,7847.5997035146065,0.78,0.745
cbow,1,2,100000.0,0.7472222222222222,0.76
skipgram,1,2,18329.807108324338,0.8044444444444444,0.815
SVD,1,3,100000.0,0.8766666666666667,0.92
cbow,1,3,3359.818286283781,0.8838888888888888,0.865
skipgram,1,3,7847.5997035146065,0.915,0.92
SVD,1,4,3359.818286283781,0.9488888888888889,0.93
cbow,1,4,18329.807108324338,0.9511111111111111,0.955
skipgram,1,4,112.88378916846884,0.9422222222222222,0.945
SVD,1,5,1.623776739188721,0.96,0.95
cbow,1,5,1.623776739188721,0.955,0.94
skipgram,1,5,1438.449888287663,0.9666666666666667,0.975
SVD,1,6,1.623776739188721,0.9638888888888889,0.955
cbow,1,6,112.88378916846884,0.9644444444444444,0.975
skipgram,1,6,48.32930238571752,0.9694444444444444,0.96
SVD,1,7,0.29763514416313175,0.9638888888888889,0.96
cbow,1,7,1.623776739188721,0.9672222222222222,0.98
skipgram,1,7,0.29763514416313175,0.9644444444444444,0.975
SVD,1,8,0.01,0.9638888888888889,0.97
cbow,1,8,0.01,0.9683333333333334,0.965
skipgram,1,8,0.01,0.9616666666666667,0.97
SVD,2,2,8.858667904100823,0.6772222222222222,0.64
cbow,2,2,48.32930238571752,0.6972222222222222,0.675
skipgram,2,2,100000.0,0.6838888888888889,0.69
SVD,2,3,112.88378916846884,0.91,0.91
cbow,2,3,8.858667904100823,0.84,0.86
skipgram,2,3,20.69138081114788,0.8027777777777778,0.785
SVD,2,4,0.12742749857031335,0.96,0.975
cbow,2,4,0.023357214690901226,0.95,0.965
skipgram,2,4,3.79269019073225,0.9405555555555556,0.915
SVD,2,5,0.0545559478116852,0.9655555555555555,0.955
cbow,2,5,0.023357214690901226,0.9572222222222222,0.96
skipgram,2,5,1.623776739188721,0.9577777777777777,0.94
SVD,2,6,20.69138081114788,0.9611111111111111,0.955
cbow,2,6,48.32930238571752,0.9572222222222222,0.99
skipgram,2,6,0.01,0.9644444444444444,0.975
SVD,2,7,0.6951927961775606,0.9633333333333334,0.94
cbow,2,7,0.29763514416313175,0.9677777777777777,0.965
skipgram,2,7,8.858667904100823,0.9666666666666667,0.94
SVD,2,8,0.6951927961775606,0.9616666666666667,0.97
cbow,2,8,0.6951927961775606,0.9577777777777777,0.955
skipgram,2,8,0.6951927961775606,0.9627777777777777,0.935
SVD,3,2,0.0545559478116852,0.7438888888888889,0.77
cbow,3,2,0.0545559478116852,0.7522222222222222,0.755
skipgram,3,2,0.023357214690901226,0.6705555555555556,0.65
SVD,3,3,0.01,0.955,0.955
cbow,3,3,0.29763514416313175,0.9627777777777777,0.95
skipgram,3,3,8.858667904100823,0.9594444444444444,0.94
SVD,3,4,0.023357214690901226,0.965,0.965
cbow,3,4,0.29763514416313175,0.9688888888888889,0.945
skipgram,3,4,0.6951927961775606,0.9672222222222222,0.96
SVD,3,5,0.6951927961775606,0.9722222222222222,0.955
cbow,3,5,112.88378916846884,0.96,0.955
skipgram,3,5,48.32930238571752,0.9644444444444444,0.97
SVD,3,6,3.79269019073225,0.9588888888888889,0.955
cbow,3,6,0.29763514416313175,0.9605555555555556,0.945
skipgram,3,6,0.29763514416313175,0.9566666666666667,0.955
SVD,3,7,20.69138081114788,0.9588888888888889,0.985
cbow,3,7,0.6951927961775606,0.9588888888888889,0.98
skipgram,3,7,0.6951927961775606,0.9633333333333334,0.955
SVD,3,8,3.79269019073225,0.9611111111111111,0.965
