emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,3359.818286283781,0.8577777777777778,0.82
cbow,1,2,42813.32398719387,0.9238888888888889,0.93
skipgram,1,2,7847.5997035146065,0.8611111111111112,0.825
SVD,1,3,3359.818286283781,0.9533333333333334,0.945
cbow,1,3,615.8482110660254,0.9705555555555555,0.96
skipgram,1,3,263.6650898730355,0.9483333333333334,0.95
SVD,1,4,263.6650898730355,0.9794444444444445,0.985
cbow,1,4,615.8482110660254,0.9933333333333333,0.985
skipgram,1,4,1438.449888287663,0.9811111111111112,0.995
SVD,1,5,48.32930238571752,0.9883333333333333,0.985
cbow,1,5,1.623776739188721,0.9866666666666667,0.995
skipgram,1,5,0.29763514416313175,0.9805555555555555,0.97
SVD,1,6,20.69138081114788,0.98,0.985
cbow,1,6,20.69138081114788,0.9855555555555555,0.995
skipgram,1,6,1.623776739188721,0.9811111111111112,0.99
SVD,1,7,0.023357214690901226,0.98,0.995
cbow,1,7,0.12742749857031335,0.985,0.975
skipgram,1,7,8.858667904100823,0.9838888888888889,0.985
SVD,1,8,0.01,0.9855555555555555,0.99
cbow,1,8,0.01,0.9788888888888889,0.995
skipgram,1,8,0.01,0.9805555555555555,0.975
SVD,2,2,1438.449888287663,0.7472222222222222,0.81
cbow,2,2,0.023357214690901226,0.7822222222222223,0.79
skipgram,2,2,263.6650898730355,0.7233333333333334,0.74
SVD,2,3,8.858667904100823,0.9672222222222222,0.965
cbow,2,3,48.32930238571752,0.9583333333333334,0.96
skipgram,2,3,112.88378916846884,0.9494444444444444,0.955
SVD,2,4,0.6951927961775606,0.9794444444444445,0.98
cbow,2,4,0.023357214690901226,0.9888888888888889,0.995
skipgram,2,4,8.858667904100823,0.9844444444444445,0.985
SVD,2,5,0.0545559478116852,0.9811111111111112,0.97
cbow,2,5,0.0545559478116852,0.9827777777777778,0.985
skipgram,2,5,0.29763514416313175,0.9827777777777778,0.975
SVD,2,6,0.01,0.9805555555555555,0.98
cbow,2,6,1.623776739188721,0.9833333333333333,0.98
skipgram,2,6,20.69138081114788,0.9861111111111112,0.985
SVD,2,7,3359.818286283781,0.9877777777777778,0.99
cbow,2,7,8.858667904100823,0.9833333333333333,0.995
skipgram,2,7,7847.5997035146065,0.9755555555555555,0.985
SVD,2,8,0.29763514416313175,0.975,0.985
cbow,2,8,0.6951927961775606,0.9783333333333334,0.975
skipgram,2,8,0.12742749857031335,0.9777777777777777,0.975
SVD,3,2,8.858667904100823,0.8927777777777778,0.905
cbow,3,2,7847.5997035146065,0.8622222222222222,0.85
skipgram,3,2,0.6951927961775606,0.7672222222222222,0.77
SVD,3,3,20.69138081114788,0.9888888888888889,1.0
cbow,3,3,48.32930238571752,0.9883333333333333,0.99
skipgram,3,3,0.6951927961775606,0.9833333333333333,0.985
SVD,3,4,0.023357214690901226,0.9877777777777778,0.98
cbow,3,4,0.01,0.9816666666666667,0.995
skipgram,3,4,0.023357214690901226,0.9833333333333333,0.98
SVD,3,5,8.858667904100823,0.9855555555555555,0.98
cbow,3,5,8.858667904100823,0.9794444444444445,1.0
skipgram,3,5,1.623776739188721,0.9838888888888889,0.975
SVD,3,6,0.12742749857031335,0.9844444444444445,0.975
cbow,3,6,3.79269019073225,0.9777777777777777,0.99
skipgram,3,6,8.858667904100823,0.9822222222222222,0.98
SVD,3,7,0.6951927961775606,0.9838888888888889,0.99
cbow,3,7,3.79269019073225,0.9811111111111112,0.98
skipgram,3,7,3.79269019073225,0.9805555555555555,0.97
SVD,3,8,0.29763514416313175,0.985,0.98
cbow,3,8,0.6951927961775606,0.9772222222222222,0.96
skipgram,3,8,0.29763514416313175,0.9755555555555555,0.985
SVD,4,2,8.858667904100823,0.9466666666666667,0.955
cbow,4,2,263.6650898730355,0.9794444444444445,0.97
skipgram,4,2,263.6650898730355,0.9477777777777778,0.95
SVD,4,3,0.01,0.9827777777777778,0.98
cbow,4,3,112.88378916846884,0.9833333333333333,0.995
skipgram,4,3,48.32930238571752,0.9872222222222222,0.99
SVD,4,4,0.01,0.9816666666666667,0.995
cbow,4,4,0.6951927961775606,0.985,0.985
skipgram,4,4,1.623776739188721,0.9783333333333334,0.985
SVD,4,5,3.79269019073225,0.9822222222222222,0.985
cbow,4,5,0.6951927961775606,0.9805555555555555,0.98
skipgram,4,5,3.79269019073225,0.9794444444444445,0.985
SVD,4,6,0.29763514416313175,0.9777777777777777,0.98
cbow,4,6,0.6951927961775606,0.9811111111111112,0.975
skipgram,4,6,1.623776739188721,0.9805555555555555,0.95
SVD,4,7,0.29763514416313175,0.9822222222222222,0.985
cbow,4,7,48.32930238571752,0.9783333333333334,0.97
skipgram,4,7,1.623776739188721,0.9827777777777778,0.97
SVD,4,8,263.6650898730355,0.98,0.97
cbow,4,8,1.623776739188721,0.9811111111111112,0.955
