emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,7847.5997035146065,0.5310734463276836,0.575
cbow,1,2,615.8482110660254,0.804,0.8214285714285714
skipgram,1,2,18329.807108324338,0.8638297872340426,0.8518518518518519
SVD,1,3,20.69138081114788,0.6011080332409973,0.6097560975609756
cbow,1,3,42813.32398719387,0.7470355731225297,0.6551724137931034
skipgram,1,3,100000.0,0.7829787234042553,0.7407407407407407
SVD,1,4,3.79269019073225,0.5789473684210527,0.6341463414634146
cbow,1,4,100000.0,0.5652173913043478,0.5517241379310345
skipgram,1,4,100000.0,0.6510638297872341,0.7037037037037037
SVD,1,5,0.29763514416313175,0.5013850415512465,0.4878048780487805
cbow,1,5,0.01,0.5138339920948617,0.3793103448275862
skipgram,1,5,0.01,0.5106382978723404,0.4074074074074074
SVD,1,6,0.01,0.5013850415512465,0.4878048780487805
cbow,1,6,0.01,0.5138339920948617,0.3793103448275862
skipgram,1,6,112.88378916846884,0.5617021276595745,0.5185185185185185
SVD,1,7,0.0545559478116852,0.5457063711911357,0.5365853658536586
cbow,1,7,0.01,0.5138339920948617,0.3793103448275862
skipgram,1,7,0.01,0.5106382978723404,0.4074074074074074
SVD,1,8,0.01,0.5401662049861495,0.36585365853658536
cbow,1,8,0.01,0.5138339920948617,0.3793103448275862
skipgram,1,8,20.69138081114788,0.5319148936170213,0.3333333333333333
SVD,2,2,263.6650898730355,0.7673130193905817,0.7804878048780488
cbow,2,2,48.32930238571752,0.8695652173913043,0.8275862068965517
skipgram,2,2,7847.5997035146065,0.7446808510638298,0.7407407407407407
SVD,2,3,263.6650898730355,0.7977839335180056,0.8048780487804879
cbow,2,3,42813.32398719387,0.9604743083003953,0.9655172413793104
skipgram,2,3,42813.32398719387,0.6042553191489362,0.7407407407407407
SVD,2,4,0.023357214690901226,0.5678670360110804,0.4634146341463415
cbow,2,4,3359.818286283781,0.849802371541502,0.7931034482758621
skipgram,2,4,1438.449888287663,0.5617021276595745,0.5555555555555556
SVD,2,5,20.69138081114788,0.5096952908587258,0.4146341463414634
cbow,2,5,112.88378916846884,0.5810276679841897,0.7586206896551724
skipgram,2,5,615.8482110660254,0.548936170212766,0.4444444444444444
SVD,2,6,0.01,0.5041551246537396,0.5365853658536586
cbow,2,6,0.01,0.5138339920948617,0.3793103448275862
skipgram,2,6,263.6650898730355,0.5361702127659574,0.3333333333333333
SVD,2,7,0.0545559478116852,0.5373961218836565,0.43902439024390244
cbow,2,7,1438.449888287663,0.5375494071146245,0.5517241379310345
skipgram,2,7,0.0545559478116852,0.5531914893617021,0.48148148148148145
SVD,2,8,0.023357214690901226,0.5069252077562327,0.4146341463414634
cbow,2,8,0.01,0.5138339920948617,0.3793103448275862
skipgram,2,8,0.023357214690901226,0.5148936170212766,0.4074074074074074
SVD,3,2,1.623776739188721,0.6371191135734072,0.6829268292682927
cbow,3,2,3359.818286283781,0.7312252964426877,0.8275862068965517
skipgram,3,2,112.88378916846884,0.9659574468085106,1.0
SVD,3,3,263.6650898730355,0.7063711911357341,0.6341463414634146
cbow,3,3,48.32930238571752,0.5652173913043478,0.5862068965517241
skipgram,3,3,0.6951927961775606,0.9276595744680851,0.9629629629629629
SVD,3,4,8.858667904100823,0.5346260387811634,0.5853658536585366
cbow,3,4,0.01,0.5138339920948617,0.3793103448275862
skipgram,3,4,0.29763514416313175,0.5234042553191489,0.4444444444444444
SVD,3,5,0.0545559478116852,0.5373961218836565,0.34146341463414637
cbow,3,5,48.32930238571752,0.5296442687747036,0.41379310344827586
skipgram,3,5,0.01,0.5106382978723404,0.4074074074074074
SVD,3,6,100000.0,0.5041551246537396,0.36585365853658536
cbow,3,6,0.01,0.5138339920948617,0.3793103448275862
skipgram,3,6,0.01,0.5106382978723404,0.4074074074074074
SVD,3,7,0.01,0.5013850415512465,0.4878048780487805
cbow,3,7,0.01,0.5138339920948617,0.3793103448275862
skipgram,3,7,0.01,0.5106382978723404,0.4074074074074074
SVD,3,8,0.6951927961775606,0.518005540166205,0.36585365853658536
cbow,3,8,0.29763514416313175,0.525691699604743,0.3448275862068966
skipgram,3,8,0.01,0.5106382978723404,0.4074074074074074
SVD,4,2,0.29763514416313175,0.6592797783933518,0.7073170731707317
cbow,4,2,7847.5997035146065,0.9920948616600791,1.0
skipgram,4,2,1.623776739188721,0.902127659574468,0.8518518518518519
SVD,4,3,20.69138081114788,0.5457063711911357,0.4634146341463415
cbow,4,3,615.8482110660254,0.6284584980237155,0.7241379310344828
skipgram,4,3,7847.5997035146065,0.5897435897435898,0.6153846153846154
SVD,4,4,0.023357214690901226,0.5152354570637119,0.5853658536585366
cbow,4,4,0.29763514416313175,0.5296442687747036,0.41379310344827586
skipgram,4,4,0.29763514416313175,0.5085470085470085,0.4230769230769231
SVD,4,5,42813.32398719387,0.5484764542936288,0.5121951219512195
cbow,4,5,0.01,0.5138339920948617,0.3793103448275862
skipgram,4,5,0.01,0.5128205128205128,0.38461538461538464
SVD,4,6,0.01,0.5013850415512465,0.4878048780487805
cbow,4,6,0.01,0.5138339920948617,0.3793103448275862
skipgram,4,6,0.29763514416313175,0.5128205128205128,0.38461538461538464
SVD,4,7,112.88378916846884,0.5207756232686981,0.43902439024390244
cbow,4,7,0.01,0.5138339920948617,0.3793103448275862
skipgram,4,7,0.01,0.5128205128205128,0.38461538461538464
SVD,4,8,0.0545559478116852,0.5041551246537396,0.4878048780487805
cbow,4,8,20.69138081114788,0.525691699604743,0.3793103448275862
skipgram,4,8,0.29763514416313175,0.5384615384615384,0.4230769230769231
SVD,5,2,263.6650898730355,0.775623268698061,0.7560975609756098
cbow,5,2,20.69138081114788,0.7430830039525692,0.8275862068965517
skipgram,5,2,100000.0,0.9914529914529915,0.9615384615384616
SVD,5,3,3.79269019073225,0.5789473684210527,0.3902439024390244
cbow,5,3,0.6951927961775606,0.5770750988142292,0.5172413793103449
skipgram,5,3,20.69138081114788,0.5384615384615384,0.6153846153846154
SVD,5,4,0.01,0.5096952908587258,0.4878048780487805
cbow,5,4,0.0545559478116852,0.5059288537549407,0.41379310344827586
skipgram,5,4,3359.818286283781,0.5427350427350427,0.5
SVD,5,5,0.023357214690901226,0.49584487534626037,0.4634146341463415
cbow,5,5,3.79269019073225,0.5217391304347826,0.5172413793103449
skipgram,5,5,0.01,0.5128205128205128,0.38461538461538464
SVD,5,6,0.01,0.5013850415512465,0.4878048780487805
cbow,5,6,3.79269019073225,0.5335968379446641,0.27586206896551724
