emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,42813.32398719387,0.8983333333333333,0.91
cbow,1,2,7847.5997035146065,0.8572222222222222,0.81
skipgram,1,2,7847.5997035146065,0.8827777777777778,0.89
SVD,1,3,615.8482110660254,0.9505555555555556,0.945
cbow,1,3,615.8482110660254,0.9466666666666667,0.94
skipgram,1,3,1438.449888287663,0.9644444444444444,0.955
SVD,1,4,7847.5997035146065,0.975,0.97
cbow,1,4,3359.818286283781,0.9833333333333333,0.985
skipgram,1,4,1438.449888287663,0.9772222222222222,0.98
SVD,1,5,615.8482110660254,0.9766666666666667,0.985
cbow,1,5,615.8482110660254,0.9816666666666667,0.98
skipgram,1,5,7847.5997035146065,0.9805555555555555,0.975
SVD,1,6,20.69138081114788,0.9755555555555555,0.97
cbow,1,6,48.32930238571752,0.9822222222222222,0.965
skipgram,1,6,263.6650898730355,0.9761111111111112,0.985
SVD,1,7,0.12742749857031335,0.9705555555555555,0.97
cbow,1,7,0.29763514416313175,0.9788888888888889,0.97
skipgram,1,7,0.01,0.9716666666666667,0.98
SVD,1,8,0.01,0.9705555555555555,0.96
cbow,1,8,0.01,0.9766666666666667,0.97
skipgram,1,8,0.12742749857031335,0.9716666666666667,0.98
SVD,2,2,263.6650898730355,0.7916666666666666,0.835
cbow,2,2,0.01,0.7088888888888889,0.63
skipgram,2,2,48.32930238571752,0.7294444444444445,0.665
SVD,2,3,263.6650898730355,0.9727777777777777,0.965
cbow,2,3,3.79269019073225,0.9383333333333334,0.925
skipgram,2,3,20.69138081114788,0.915,0.92
SVD,2,4,0.023357214690901226,0.9783333333333334,0.955
cbow,2,4,8.858667904100823,0.9811111111111112,0.975
skipgram,2,4,112.88378916846884,0.9766666666666667,0.975
SVD,2,5,0.29763514416313175,0.9761111111111112,0.98
cbow,2,5,3.79269019073225,0.9772222222222222,0.965
skipgram,2,5,8.858667904100823,0.9772222222222222,0.98
SVD,2,6,0.023357214690901226,0.9733333333333334,0.965
cbow,2,6,0.0545559478116852,0.9761111111111112,0.975
skipgram,2,6,0.0545559478116852,0.9733333333333334,0.97
SVD,2,7,0.01,0.9766666666666667,0.985
cbow,2,7,0.01,0.9744444444444444,0.98
skipgram,2,7,0.29763514416313175,0.9777777777777777,0.995
SVD,2,8,0.12742749857031335,0.9733333333333334,0.98
cbow,2,8,0.01,0.9766666666666667,0.99
skipgram,2,8,0.01,0.9777777777777777,0.97
SVD,3,2,112.88378916846884,0.8966666666666666,0.88
cbow,3,2,0.12742749857031335,0.8322222222222222,0.805
skipgram,3,2,8.858667904100823,0.8255555555555556,0.805
SVD,3,3,8.858667904100823,0.9788888888888889,0.97
cbow,3,3,112.88378916846884,0.9777777777777777,0.96
skipgram,3,3,0.6951927961775606,0.9711111111111111,0.965
SVD,3,4,0.0545559478116852,0.9794444444444445,0.965
cbow,3,4,20.69138081114788,0.9838888888888889,0.985
skipgram,3,4,0.0545559478116852,0.9772222222222222,0.965
SVD,3,5,0.01,0.9783333333333334,0.965
cbow,3,5,0.023357214690901226,0.9777777777777777,0.98
skipgram,3,5,0.01,0.9738888888888889,0.975
SVD,3,6,0.29763514416313175,0.975,0.985
cbow,3,6,0.12742749857031335,0.9722222222222222,0.97
skipgram,3,6,1.623776739188721,0.9766666666666667,0.985
SVD,3,7,0.12742749857031335,0.9722222222222222,0.985
cbow,3,7,0.01,0.9733333333333334,0.98
skipgram,3,7,0.6951927961775606,0.9766666666666667,0.955
SVD,3,8,20.69138081114788,0.9738888888888889,0.985
cbow,3,8,0.12742749857031335,0.9738888888888889,0.975
skipgram,3,8,0.29763514416313175,0.9788888888888889,0.975
SVD,4,2,20.69138081114788,0.9461111111111111,0.93
cbow,4,2,263.6650898730355,0.9416666666666667,0.94
skipgram,4,2,20.69138081114788,0.94,0.94
SVD,4,3,0.29763514416313175,0.9788888888888889,0.975
cbow,4,3,1.623776739188721,0.9766666666666667,0.98
skipgram,4,3,8.858667904100823,0.9811111111111112,0.98
SVD,4,4,0.023357214690901226,0.9805555555555555,0.975
cbow,4,4,0.29763514416313175,0.9738888888888889,0.975
skipgram,4,4,0.0545559478116852,0.9788888888888889,0.975
SVD,4,5,0.01,0.9722222222222222,0.965
cbow,4,5,0.6951927961775606,0.9783333333333334,0.99
skipgram,4,5,0.29763514416313175,0.9755555555555555,0.965
SVD,4,6,3.79269019073225,0.9744444444444444,0.995
cbow,4,6,0.01,0.975,0.975
skipgram,4,6,0.01,0.9727777777777777,0.99
SVD,4,7,0.01,0.9694444444444444,0.975
cbow,4,7,8.858667904100823,0.9772222222222222,1.0
skipgram,4,7,0.6951927961775606,0.9761111111111112,0.975
SVD,4,8,0.01,0.9733333333333334,0.97
cbow,4,8,0.6951927961775606,0.9744444444444444,0.975
skipgram,4,8,0.01,0.9744444444444444,0.975
SVD,5,2,112.88378916846884,0.9705555555555555,0.975
cbow,5,2,112.88378916846884,0.9727777777777777,0.98
skipgram,5,2,1.623776739188721,0.9627777777777777,0.97
SVD,5,3,0.12742749857031335,0.9811111111111112,0.965
cbow,5,3,3.79269019073225,0.975,0.99
skipgram,5,3,0.01,0.9733333333333334,0.96
SVD,5,4,0.29763514416313175,0.9766666666666667,0.97
cbow,5,4,0.01,0.9794444444444445,0.99
skipgram,5,4,0.01,0.9788888888888889,0.975
SVD,5,5,0.6951927961775606,0.9761111111111112,0.98
cbow,5,5,1.623776739188721,0.9766666666666667,0.98
skipgram,5,5,0.29763514416313175,0.9777777777777777,0.985
SVD,5,6,20.69138081114788,0.9761111111111112,0.975
cbow,5,6,1.623776739188721,0.9727777777777777,0.98
skipgram,5,6,20.69138081114788,0.9744444444444444,0.99
SVD,5,7,0.29763514416313175,0.9738888888888889,0.98
cbow,5,7,0.29763514416313175,0.9777777777777777,0.99
skipgram,5,7,0.01,0.9738888888888889,0.985
SVD,5,8,0.6951927961775606,0.9716666666666667,0.97
cbow,5,8,8.858667904100823,0.9722222222222222,0.98
skipgram,5,8,0.01,0.9733333333333334,0.975
SVD,6,2,20.69138081114788,0.975,0.97
cbow,6,2,20.69138081114788,0.9783333333333334,0.965
skipgram,6,2,48.32930238571752,0.9783333333333334,0.97
SVD,6,3,0.0545559478116852,0.98,0.98
cbow,6,3,0.0545559478116852,0.9777777777777777,0.985
skipgram,6,3,0.29763514416313175,0.9755555555555555,0.99
SVD,6,4,0.29763514416313175,0.9772222222222222,0.96
cbow,6,4,0.023357214690901226,0.9788888888888889,0.975
skipgram,6,4,0.29763514416313175,0.9788888888888889,0.97
SVD,6,5,0.6951927961775606,0.9794444444444445,0.98
cbow,6,5,0.6951927961775606,0.9733333333333334,0.975
skipgram,6,5,1.623776739188721,0.98,0.975
SVD,6,6,0.023357214690901226,0.9744444444444444,0.96
cbow,6,6,0.6951927961775606,0.9722222222222222,0.975
skipgram,6,6,1.623776739188721,0.9722222222222222,0.985
SVD,6,7,1.623776739188721,0.9755555555555555,0.98
cbow,6,7,0.6951927961775606,0.975,0.985
skipgram,6,7,0.01,0.9783333333333334,0.975
SVD,6,8,0.6951927961775606,0.9716666666666667,0.985
cbow,6,8,1.623776739188721,0.9777777777777777,0.99
skipgram,6,8,1.623776739188721,0.9783333333333334,0.97
SVD,7,2,20.69138081114788,0.9805555555555555,0.98
cbow,7,2,0.29763514416313175,0.985,0.99
skipgram,7,2,48.32930238571752,0.9744444444444444,0.995
SVD,7,3,0.01,0.9733333333333334,0.99
cbow,7,3,0.023357214690901226,0.98,0.995
skipgram,7,3,0.01,0.9805555555555555,0.975
SVD,7,4,0.01,0.9766666666666667,1.0
cbow,7,4,0.29763514416313175,0.9783333333333334,0.975
skipgram,7,4,0.6951927961775606,0.98,0.985
SVD,7,5,0.01,0.9772222222222222,0.97
cbow,7,5,3.79269019073225,0.9755555555555555,0.98
skipgram,7,5,0.01,0.98,0.99
SVD,7,6,48.32930238571752,0.9727777777777777,0.955
cbow,7,6,0.01,0.9761111111111112,0.965
skipgram,7,6,3.79269019073225,0.9772222222222222,0.97
SVD,7,7,1.623776739188721,0.975,0.975
