emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,7847.5997035146065,0.3962962962962963,0.4166666666666667
skipgram,1,2,100000.0,0.5092592592592593,0.6166666666666667
svd,1,2,100000.0,0.48148148148148145,0.5
cbow,1,3,100000.0,0.5796296296296296,0.48333333333333334
skipgram,1,3,100000.0,0.5203703703703704,0.5
svd,1,3,48.32930238571752,0.4388888888888889,0.4166666666666667
cbow,1,4,42813.32398719387,0.6037037037037037,0.55
skipgram,1,4,100000.0,0.65,0.6
svd,1,4,3359.818286283781,0.5333333333333333,0.4666666666666667
cbow,1,5,1438.449888287663,0.5907407407407408,0.5166666666666667
skipgram,1,5,100000.0,0.5944444444444444,0.5166666666666667
svd,1,5,1438.449888287663,0.5907407407407408,0.5833333333333334
cbow,1,6,615.8482110660254,0.5537037037037037,0.5
skipgram,1,6,263.6650898730355,0.5574074074074075,0.4666666666666667
svd,1,6,100000.0,0.5481481481481482,0.5
cbow,1,7,42813.32398719387,0.5055555555555555,0.45
skipgram,1,7,100000.0,0.5203703703703704,0.5166666666666667
svd,1,7,100000.0,0.575925925925926,0.5333333333333333
cbow,1,8,263.6650898730355,0.42407407407407405,0.38333333333333336
skipgram,1,8,18329.807108324338,0.4185185185185185,0.35
svd,1,8,112.88378916846884,0.45185185185185184,0.45
cbow,2,2,100000.0,0.7555555555555555,0.65
skipgram,2,2,18329.807108324338,0.5259259259259259,0.5166666666666667
svd,2,2,1438.449888287663,0.85,0.8666666666666667
cbow,2,3,7847.5997035146065,0.7870370370370371,0.7333333333333333
skipgram,2,3,100000.0,0.7962962962962963,0.9
svd,2,3,100000.0,0.8185185185185185,0.7833333333333333
cbow,2,4,42813.32398719387,0.7018518518518518,0.6166666666666667
skipgram,2,4,100000.0,0.6407407407407407,0.65
svd,2,4,42813.32398719387,0.7888888888888889,0.7333333333333333
cbow,2,5,18329.807108324338,0.587037037037037,0.6833333333333333
skipgram,2,5,1438.449888287663,0.65,0.65
svd,2,5,42813.32398719387,0.7759259259259259,0.7833333333333333
cbow,2,6,20.69138081114788,0.4148148148148148,0.4166666666666667
skipgram,2,6,0.023357214690901226,0.4,0.2833333333333333
svd,2,6,7847.5997035146065,0.4925925925925926,0.48333333333333334
cbow,2,7,615.8482110660254,0.3962962962962963,0.3333333333333333
skipgram,2,7,7847.5997035146065,0.40370370370370373,0.31666666666666665
svd,2,7,263.6650898730355,0.47962962962962963,0.45
cbow,2,8,0.023357214690901226,0.37407407407407406,0.38333333333333336
skipgram,2,8,112.88378916846884,0.412962962962963,0.36666666666666664
svd,2,8,263.6650898730355,0.3851851851851852,0.4
cbow,3,2,100000.0,0.8759259259259259,0.9333333333333333
skipgram,3,2,42813.32398719387,0.8666666666666667,0.8666666666666667
svd,3,2,18329.807108324338,0.7925925925925926,0.7833333333333333
cbow,3,3,112.88378916846884,0.7277777777777777,0.65
skipgram,3,3,7847.5997035146065,0.6833333333333333,0.75
svd,3,3,42813.32398719387,0.7907407407407407,0.7666666666666667
cbow,3,4,263.6650898730355,0.5666666666666667,0.55
skipgram,3,4,18329.807108324338,0.6277777777777778,0.7333333333333333
svd,3,4,42813.32398719387,0.8018518518518518,0.8166666666666667
cbow,3,5,1438.449888287663,0.4,0.35
skipgram,3,5,112.88378916846884,0.40185185185185185,0.35
svd,3,5,18329.807108324338,0.5703703703703704,0.5166666666666667
cbow,3,6,7847.5997035146065,0.4148148148148148,0.3
skipgram,3,6,0.023357214690901226,0.39444444444444443,0.3333333333333333
svd,3,6,3359.818286283781,0.37962962962962965,0.38333333333333336
cbow,3,7,48.32930238571752,0.38333333333333336,0.36666666666666664
skipgram,3,7,1438.449888287663,0.4,0.35
svd,3,7,0.0545559478116852,0.3537037037037037,0.3333333333333333
cbow,3,8,0.0545559478116852,0.37592592592592594,0.31666666666666665
skipgram,3,8,0.0545559478116852,0.37962962962962965,0.3333333333333333
svd,3,8,263.6650898730355,0.3814814814814815,0.36666666666666664
cbow,4,2,42813.32398719387,0.7333333333333333,0.7333333333333333
skipgram,4,2,100000.0,0.7814814814814814,0.7
svd,4,2,100000.0,0.8351851851851851,0.8333333333333334
cbow,4,3,42813.32398719387,0.7648148148148148,0.8
skipgram,4,3,100000.0,0.7074074074074074,0.6666666666666666
svd,4,3,7847.5997035146065,0.762962962962963,0.75
cbow,4,4,615.8482110660254,0.4185185185185185,0.36666666666666664
skipgram,4,4,112.88378916846884,0.5,0.43333333333333335
svd,4,4,615.8482110660254,0.5185185185185185,0.48333333333333334
cbow,4,5,18329.807108324338,0.4,0.35
skipgram,4,5,48.32930238571752,0.3925925925925926,0.3
svd,4,5,3359.818286283781,0.39814814814814814,0.4166666666666667
cbow,4,6,615.8482110660254,0.387037037037037,0.3333333333333333
skipgram,4,6,0.0545559478116852,0.3685185185185185,0.31666666666666665
svd,4,6,615.8482110660254,0.38333333333333336,0.36666666666666664
cbow,4,7,0.0545559478116852,0.3814814814814815,0.35
skipgram,4,7,263.6650898730355,0.4,0.3333333333333333
svd,4,7,3359.818286283781,0.3907407407407407,0.36666666666666664
cbow,4,8,0.12742749857031335,0.37407407407407406,0.31666666666666665
skipgram,4,8,1438.449888287663,0.40185185185185185,0.38333333333333336
svd,4,8,1438.449888287663,0.362962962962963,0.31666666666666665
cbow,5,2,7847.5997035146065,0.762962962962963,0.7333333333333333
skipgram,5,2,100000.0,0.7037037037037037,0.7
svd,5,2,42813.32398719387,0.8092592592592592,0.8
cbow,5,3,7847.5997035146065,0.6259259259259259,0.6833333333333333
skipgram,5,3,1438.449888287663,0.5962962962962963,0.5166666666666667
svd,5,3,18329.807108324338,0.7722222222222223,0.8166666666666667
cbow,5,4,42813.32398719387,0.42962962962962964,0.38333333333333336
skipgram,5,4,48.32930238571752,0.4203703703703704,0.36666666666666664
svd,5,4,18329.807108324338,0.5685185185185185,0.65
cbow,5,5,0.023357214690901226,0.3925925925925926,0.31666666666666665
skipgram,5,5,0.023357214690901226,0.4,0.31666666666666665
svd,5,5,615.8482110660254,0.3907407407407407,0.4166666666666667
cbow,5,6,0.0545559478116852,0.39444444444444443,0.2833333333333333
skipgram,5,6,1438.449888287663,0.40370370370370373,0.3333333333333333
svd,5,6,263.6650898730355,0.387037037037037,0.35
cbow,5,7,0.0545559478116852,0.37592592592592594,0.3333333333333333
skipgram,5,7,615.8482110660254,0.36666666666666664,0.3
svd,5,7,263.6650898730355,0.3814814814814815,0.38333333333333336
cbow,5,8,0.12742749857031335,0.37777777777777777,0.3
skipgram,5,8,0.12742749857031335,0.3685185185185185,0.2833333333333333
svd,5,8,263.6650898730355,0.3685185185185185,0.35
cbow,6,2,100000.0,0.75,0.85
skipgram,6,2,42813.32398719387,0.6370370370370371,0.5833333333333334
svd,6,2,100000.0,0.7962962962962963,0.7166666666666667
cbow,6,3,100000.0,0.49444444444444446,0.36666666666666664
skipgram,6,3,18329.807108324338,0.562962962962963,0.5
svd,6,3,3359.818286283781,0.6814814814814815,0.7166666666666667
cbow,6,4,18329.807108324338,0.40370370370370373,0.3333333333333333
skipgram,6,4,112.88378916846884,0.3925925925925926,0.3333333333333333
svd,6,4,100000.0,0.5370370370370371,0.5833333333333334
cbow,6,5,263.6650898730355,0.40925925925925927,0.35
skipgram,6,5,0.023357214690901226,0.40370370370370373,0.36666666666666664
svd,6,5,615.8482110660254,0.4203703703703704,0.45
cbow,6,6,0.0545559478116852,0.37777777777777777,0.3333333333333333
skipgram,6,6,0.0545559478116852,0.4,0.36666666666666664
svd,6,6,263.6650898730355,0.3592592592592593,0.36666666666666664
cbow,6,7,0.12742749857031335,0.3925925925925926,0.3333333333333333
skipgram,6,7,615.8482110660254,0.37407407407407406,0.3333333333333333
svd,6,7,48.32930238571752,0.37037037037037035,0.36666666666666664
cbow,6,8,0.12742749857031335,0.39444444444444443,0.3
skipgram,6,8,615.8482110660254,0.3925925925925926,0.3
svd,6,8,112.88378916846884,0.37592592592592594,0.4166666666666667
cbow,7,2,18329.807108324338,0.6129629629629629,0.65
skipgram,7,2,18329.807108324338,0.7148148148148148,0.7166666666666667
svd,7,2,48.32930238571752,0.7703703703703704,0.75
cbow,7,3,1438.449888287663,0.5907407407407408,0.4666666666666667
skipgram,7,3,263.6650898730355,0.5703703703703704,0.43333333333333335
svd,7,3,7847.5997035146065,0.6666666666666666,0.65
cbow,7,4,48.32930238571752,0.39814814814814814,0.36666666666666664
skipgram,7,4,0.023357214690901226,0.3925925925925926,0.36666666666666664
svd,7,4,112.88378916846884,0.4722222222222222,0.4666666666666667
cbow,7,5,0.0545559478116852,0.38333333333333336,0.3333333333333333
skipgram,7,5,0.0545559478116852,0.3888888888888889,0.3333333333333333
svd,7,5,112.88378916846884,0.3962962962962963,0.43333333333333335
cbow,7,6,0.0545559478116852,0.387037037037037,0.38333333333333336
skipgram,7,6,0.0545559478116852,0.39444444444444443,0.3333333333333333
svd,7,6,48.32930238571752,0.37592592592592594,0.36666666666666664
cbow,7,7,0.12742749857031335,0.40185185185185185,0.2833333333333333
skipgram,7,7,0.12742749857031335,0.39814814814814814,0.3333333333333333
svd,7,7,7847.5997035146065,0.3907407407407407,0.38333333333333336
cbow,7,8,0.12742749857031335,0.37962962962962965,0.2833333333333333
skipgram,7,8,0.29763514416313175,0.37962962962962965,0.2833333333333333
svd,7,8,0.29763514416313175,0.35,0.3333333333333333
cbow,8,2,1438.449888287663,0.7981481481481482,0.85
skipgram,8,2,100000.0,0.8185185185185185,0.85
svd,8,2,48.32930238571752,0.7685185185185185,0.7
cbow,8,3,48.32930238571752,0.5592592592592592,0.4666666666666667
skipgram,8,3,7847.5997035146065,0.5388888888888889,0.4666666666666667
svd,8,3,615.8482110660254,0.6148148148148148,0.7
cbow,8,4,615.8482110660254,0.44074074074074077,0.3333333333333333
skipgram,8,4,263.6650898730355,0.4,0.3333333333333333
svd,8,4,1438.449888287663,0.4740740740740741,0.4166666666666667
cbow,8,5,263.6650898730355,0.38333333333333336,0.31666666666666665
skipgram,8,5,263.6650898730355,0.39444444444444443,0.2833333333333333
svd,8,5,263.6650898730355,0.37962962962962965,0.38333333333333336
cbow,8,6,7847.5997035146065,0.3814814814814815,0.2833333333333333
skipgram,8,6,1438.449888287663,0.3814814814814815,0.35
svd,8,6,3359.818286283781,0.3888888888888889,0.4
cbow,8,7,263.6650898730355,0.3611111111111111,0.3333333333333333
skipgram,8,7,3359.818286283781,0.3851851851851852,0.31666666666666665
svd,8,7,615.8482110660254,0.3574074074074074,0.4
cbow,8,8,3359.818286283781,0.3574074074074074,0.3333333333333333
skipgram,8,8,3359.818286283781,0.387037037037037,0.35
svd,8,8,7847.5997035146065,0.37777777777777777,0.36666666666666664
cbow,9,2,112.88378916846884,0.7962962962962963,0.7166666666666667
skipgram,9,2,100000.0,0.8537037037037037,0.8833333333333333
svd,9,2,18329.807108324338,0.8314814814814815,0.9166666666666666
cbow,9,3,42813.32398719387,0.5592592592592592,0.48333333333333334
skipgram,9,3,615.8482110660254,0.5148148148148148,0.4666666666666667
svd,9,3,7847.5997035146065,0.5407407407407407,0.43333333333333335
cbow,9,4,615.8482110660254,0.39814814814814814,0.36666666666666664
