emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,0.01,0.8277777777777777,0.8833333333333333
svd,1,2,0.01,0.8296296296296296,0.8666666666666667
cbow,1,3,42813.32398719387,0.8277777777777777,0.8833333333333333
skipgram,1,3,100000.0,0.8444444444444444,0.9
svd,1,3,42813.32398719387,0.8907407407407407,0.85
cbow,1,4,100000.0,0.837037037037037,0.9166666666666666
skipgram,1,4,100000.0,0.9462962962962963,0.9666666666666667
svd,1,4,100000.0,0.8851851851851852,0.8833333333333333
cbow,1,5,42813.32398719387,0.9203703703703704,0.95
skipgram,1,5,7847.5997035146065,0.8277777777777777,0.8833333333333333
svd,1,5,7847.5997035146065,0.8981481481481481,0.9333333333333333
cbow,1,6,100000.0,0.9203703703703704,0.95
skipgram,1,6,3359.818286283781,0.837037037037037,0.8833333333333333
svd,1,6,615.8482110660254,0.8296296296296296,0.8666666666666667
cbow,1,7,100000.0,0.8962962962962963,0.8833333333333333
skipgram,1,7,42813.32398719387,0.9,0.9333333333333333
svd,1,7,42813.32398719387,0.8407407407407408,0.8666666666666667
cbow,1,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,8,0.01,0.8277777777777777,0.8833333333333333
svd,1,8,3.79269019073225,0.8314814814814815,0.8666666666666667
cbow,2,2,100000.0,0.9685185185185186,0.9833333333333333
skipgram,2,2,48.32930238571752,0.8351851851851851,0.8833333333333333
svd,2,2,42813.32398719387,0.9833333333333333,0.9666666666666667
cbow,2,3,100000.0,0.9259259259259259,0.9833333333333333
skipgram,2,3,0.01,0.8277777777777777,0.8833333333333333
svd,2,3,1438.449888287663,0.9611111111111111,0.9833333333333333
cbow,2,4,18329.807108324338,0.8296296296296296,0.9333333333333333
skipgram,2,4,0.01,0.8277777777777777,0.8833333333333333
svd,2,4,3359.818286283781,0.8407407407407408,0.8833333333333333
cbow,2,5,0.01,0.8277777777777777,0.8833333333333333
skipgram,2,5,0.01,0.8277777777777777,0.8833333333333333
svd,2,5,0.01,0.8296296296296296,0.8666666666666667
cbow,2,6,0.01,0.8277777777777777,0.8833333333333333
skipgram,2,6,0.01,0.8277777777777777,0.8833333333333333
svd,2,6,0.01,0.8296296296296296,0.8666666666666667
cbow,2,7,8.858667904100823,0.8277777777777777,0.8833333333333333
skipgram,2,7,48.32930238571752,0.8314814814814815,0.8666666666666667
svd,2,7,0.01,0.8296296296296296,0.8666666666666667
cbow,2,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,2,8,0.01,0.8277777777777777,0.8833333333333333
svd,2,8,0.01,0.8296296296296296,0.8666666666666667
cbow,3,2,100000.0,0.8666666666666667,0.8833333333333333
skipgram,3,2,100000.0,0.9314814814814815,0.95
svd,3,2,18329.807108324338,0.8796296296296297,0.9166666666666666
cbow,3,3,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,3,0.01,0.8277777777777777,0.8833333333333333
svd,3,3,0.01,0.8296296296296296,0.8666666666666667
cbow,3,4,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,4,0.01,0.8277777777777777,0.8833333333333333
svd,3,4,0.01,0.8296296296296296,0.8666666666666667
cbow,3,5,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,5,48.32930238571752,0.8277777777777777,0.8833333333333333
svd,3,5,0.01,0.8296296296296296,0.8666666666666667
cbow,3,6,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,6,0.01,0.8277777777777777,0.8833333333333333
svd,3,6,0.01,0.8296296296296296,0.8666666666666667
cbow,3,7,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,7,0.01,0.8277777777777777,0.8833333333333333
svd,3,7,0.01,0.8296296296296296,0.8666666666666667
cbow,3,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,3,8,0.01,0.8277777777777777,0.8833333333333333
svd,3,8,0.01,0.8296296296296296,0.8666666666666667
cbow,4,2,100000.0,0.8277777777777777,0.8833333333333333
skipgram,4,2,42813.32398719387,0.8962962962962963,0.9166666666666666
svd,4,2,3359.818286283781,0.8481481481481481,0.9
cbow,4,3,0.01,0.8277777777777777,0.8833333333333333
skipgram,4,3,100000.0,0.8296296296296296,0.8833333333333333
svd,4,3,0.01,0.8296296296296296,0.8666666666666667
cbow,4,4,0.01,0.8277777777777777,0.8833333333333333
skipgram,4,4,263.6650898730355,0.8629629629629629,0.8666666666666667
svd,4,4,0.01,0.8296296296296296,0.8666666666666667
cbow,4,5,0.01,0.8277777777777777,0.8833333333333333
skipgram,4,5,0.01,0.8277777777777777,0.8833333333333333
svd,4,5,48.32930238571752,0.8333333333333334,0.8666666666666667
cbow,4,6,263.6650898730355,0.8277777777777777,0.8833333333333333
skipgram,4,6,0.01,0.8277777777777777,0.8833333333333333
svd,4,6,20.69138081114788,0.8351851851851851,0.8666666666666667
cbow,4,7,0.01,0.8277777777777777,0.8833333333333333
skipgram,4,7,3.79269019073225,0.8296296296296296,0.8833333333333333
svd,4,7,0.01,0.8296296296296296,0.8666666666666667
cbow,4,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,4,8,0.01,0.8277777777777777,0.8833333333333333
svd,4,8,0.01,0.8296296296296296,0.8666666666666667
cbow,5,2,42813.32398719387,0.9722222222222222,0.9833333333333333
skipgram,5,2,0.01,0.8277777777777777,0.8833333333333333
svd,5,2,0.01,0.8296296296296296,0.8666666666666667
cbow,5,3,18329.807108324338,0.8296296296296296,0.8833333333333333
skipgram,5,3,3359.818286283781,0.8314814814814815,0.8833333333333333
svd,5,3,0.01,0.8296296296296296,0.8666666666666667
cbow,5,4,1438.449888287663,0.8555555555555555,0.8333333333333334
skipgram,5,4,615.8482110660254,0.837037037037037,0.8833333333333333
svd,5,4,7847.5997035146065,0.8314814814814815,0.8833333333333333
