emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,18329.807108324338,0.7212389380530974,0.6153846153846154
skipgram,1,2,100000.0,0.7123893805309734,0.7307692307692307
svd,1,2,42813.32398719387,0.6150442477876106,0.6153846153846154
cbow,1,3,1438.449888287663,0.7610619469026548,0.6153846153846154
skipgram,1,3,615.8482110660254,0.8230088495575221,0.7692307692307693
svd,1,3,615.8482110660254,0.6327433628318584,0.6153846153846154
cbow,1,4,263.6650898730355,0.7699115044247787,0.8076923076923077
skipgram,1,4,112.88378916846884,0.8539823008849557,0.7692307692307693
svd,1,4,615.8482110660254,0.6858407079646017,0.7692307692307693
cbow,1,5,20.69138081114788,0.8053097345132744,0.7307692307692307
skipgram,1,5,20.69138081114788,0.8849557522123894,0.8846153846153846
svd,1,5,48.32930238571752,0.7522123893805309,0.6923076923076923
cbow,1,6,263.6650898730355,0.7566371681415929,0.8461538461538461
skipgram,1,6,100000.0,0.8451327433628318,0.7692307692307693
svd,1,6,100000.0,0.8407079646017699,0.9230769230769231
cbow,1,7,42813.32398719387,0.915929203539823,1.0
skipgram,1,7,18329.807108324338,0.915929203539823,0.9230769230769231
svd,1,7,100000.0,0.9247787610619469,0.9615384615384616
cbow,1,8,0.29763514416313175,0.7300884955752213,0.7307692307692307
skipgram,1,8,1438.449888287663,0.7477876106194691,0.5769230769230769
svd,1,8,0.01,0.672566371681416,0.5769230769230769
cbow,2,2,112.88378916846884,0.9646017699115044,1.0
skipgram,2,2,42813.32398719387,0.8097345132743363,0.6923076923076923
svd,2,2,0.12742749857031335,0.995575221238938,0.9615384615384616
cbow,2,3,100000.0,0.9778761061946902,1.0
skipgram,2,3,615.8482110660254,0.8362831858407079,0.8076923076923077
svd,2,3,0.6951927961775606,1.0,1.0
cbow,2,4,3359.818286283781,0.9469026548672567,0.8461538461538461
skipgram,2,4,615.8482110660254,0.7787610619469026,0.6538461538461539
svd,2,4,8.858667904100823,0.995575221238938,1.0
cbow,2,5,615.8482110660254,0.7743362831858407,0.6923076923076923
skipgram,2,5,263.6650898730355,0.6637168141592921,0.6923076923076923
svd,2,5,112.88378916846884,0.9823008849557522,0.9615384615384616
cbow,2,6,263.6650898730355,0.6504424778761062,0.5769230769230769
skipgram,2,6,112.88378916846884,0.7035398230088495,0.8076923076923077
svd,2,6,263.6650898730355,0.7079646017699115,0.7692307692307693
cbow,2,7,615.8482110660254,0.6769911504424779,0.8076923076923077
skipgram,2,7,0.12742749857031335,0.6946902654867256,0.7692307692307693
svd,2,7,8.858667904100823,0.6769911504424779,0.6153846153846154
cbow,2,8,0.6951927961775606,0.6991150442477876,0.6538461538461539
skipgram,2,8,3.79269019073225,0.6946902654867256,0.6923076923076923
svd,2,8,1.623776739188721,0.7035398230088495,0.7307692307692307
cbow,3,2,1438.449888287663,0.995575221238938,1.0
skipgram,3,2,1.623776739188721,1.0,1.0
svd,3,2,0.0545559478116852,0.995575221238938,1.0
cbow,3,3,42813.32398719387,0.995575221238938,1.0
skipgram,3,3,0.29763514416313175,0.995575221238938,1.0
svd,3,3,0.0545559478116852,0.995575221238938,1.0
cbow,3,4,112.88378916846884,0.8716814159292036,0.8076923076923077
skipgram,3,4,48.32930238571752,0.6017699115044248,0.6538461538461539
svd,3,4,3359.818286283781,0.995575221238938,0.9615384615384616
cbow,3,5,0.29763514416313175,0.7168141592920354,0.6923076923076923
skipgram,3,5,0.6951927961775606,0.6946902654867256,0.8461538461538461
svd,3,5,1438.449888287663,0.6769911504424779,0.5769230769230769
cbow,3,6,0.29763514416313175,0.6902654867256637,0.6538461538461539
skipgram,3,6,0.12742749857031335,0.6637168141592921,0.7692307692307693
svd,3,6,0.6951927961775606,0.7168141592920354,0.6538461538461539
cbow,3,7,20.69138081114788,0.6858407079646017,0.7307692307692307
skipgram,3,7,0.6951927961775606,0.7300884955752213,0.6153846153846154
svd,3,7,1.623776739188721,0.6902654867256637,0.46153846153846156
cbow,3,8,3.79269019073225,0.7035398230088495,0.6153846153846154
skipgram,3,8,20.69138081114788,0.6946902654867256,0.5384615384615384
svd,3,8,3.79269019073225,0.6946902654867256,0.5
cbow,4,2,18329.807108324338,0.995575221238938,1.0
skipgram,4,2,1438.449888287663,1.0,1.0
svd,4,2,0.12742749857031335,0.995575221238938,1.0
cbow,4,3,3359.818286283781,0.9911504424778761,1.0
skipgram,4,3,42813.32398719387,0.9646017699115044,1.0
svd,4,3,615.8482110660254,0.995575221238938,1.0
cbow,4,4,3359.818286283781,0.831858407079646,0.8076923076923077
skipgram,4,4,0.6951927961775606,0.7300884955752213,0.7692307692307693
svd,4,4,112.88378916846884,0.8185840707964602,0.7307692307692307
cbow,4,5,3.79269019073225,0.7035398230088495,0.7692307692307693
skipgram,4,5,3.79269019073225,0.7212389380530974,0.6153846153846154
svd,4,5,0.6951927961775606,0.6814159292035398,0.6923076923076923
cbow,4,6,0.12742749857031335,0.6858407079646017,0.6923076923076923
skipgram,4,6,0.12742749857031335,0.6946902654867256,0.6923076923076923
svd,4,6,48.32930238571752,0.6902654867256637,0.6923076923076923
cbow,4,7,112.88378916846884,0.6858407079646017,0.8076923076923077
skipgram,4,7,0.12742749857031335,0.7079646017699115,0.5384615384615384
svd,4,7,112.88378916846884,0.7389380530973452,0.6153846153846154
cbow,4,8,20.69138081114788,0.6991150442477876,0.5384615384615384
skipgram,4,8,3.79269019073225,0.7168141592920354,0.7307692307692307
svd,4,8,3.79269019073225,0.7079646017699115,0.7307692307692307
cbow,5,2,0.6951927961775606,0.995575221238938,0.9615384615384616
skipgram,5,2,3359.818286283781,0.995575221238938,1.0
svd,5,2,0.29763514416313175,0.995575221238938,1.0
cbow,5,3,263.6650898730355,0.9823008849557522,0.9615384615384616
skipgram,5,3,1438.449888287663,0.9557522123893806,0.9230769230769231
svd,5,3,3359.818286283781,0.9778761061946902,1.0
cbow,5,4,0.023357214690901226,0.7433628318584071,0.7692307692307693
skipgram,5,4,0.0545559478116852,0.7433628318584071,0.7307692307692307
svd,5,4,1.623776739188721,0.6548672566371682,0.7692307692307693
cbow,5,5,0.6951927961775606,0.7079646017699115,0.5769230769230769
skipgram,5,5,1.623776739188721,0.6946902654867256,0.8461538461538461
svd,5,5,1.623776739188721,0.7035398230088495,0.7692307692307693
cbow,5,6,0.12742749857031335,0.6991150442477876,0.6538461538461539
skipgram,5,6,1.623776739188721,0.672566371681416,0.9230769230769231
svd,5,6,8.858667904100823,0.7300884955752213,0.46153846153846156
cbow,5,7,8.858667904100823,0.6991150442477876,0.7307692307692307
skipgram,5,7,8.858667904100823,0.6946902654867256,0.7307692307692307
svd,5,7,3.79269019073225,0.6814159292035398,0.7307692307692307
cbow,5,8,8.858667904100823,0.6946902654867256,0.6923076923076923
skipgram,5,8,3.79269019073225,0.7168141592920354,0.8846153846153846
svd,5,8,8.858667904100823,0.6902654867256637,0.7307692307692307
cbow,6,2,7847.5997035146065,0.9867256637168141,1.0
skipgram,6,2,18329.807108324338,0.9911504424778761,1.0
svd,6,2,0.29763514416313175,1.0,1.0
cbow,6,3,263.6650898730355,0.9778761061946902,1.0
skipgram,6,3,263.6650898730355,0.9646017699115044,0.9230769230769231
svd,6,3,1438.449888287663,0.9469026548672567,0.9230769230769231
cbow,6,4,100000.0,0.7389380530973452,0.7692307692307693
skipgram,6,4,0.6951927961775606,0.7389380530973452,0.7307692307692307
svd,6,4,1.623776739188721,0.7079646017699115,0.6923076923076923
cbow,6,5,20.69138081114788,0.6814159292035398,0.8076923076923077
skipgram,6,5,0.0545559478116852,0.7256637168141593,0.5769230769230769
svd,6,5,3.79269019073225,0.6946902654867256,0.6153846153846154
cbow,6,6,20.69138081114788,0.7256637168141593,0.6538461538461539
skipgram,6,6,1.623776739188721,0.7123893805309734,0.7307692307692307
svd,6,6,0.6951927961775606,0.7123893805309734,0.5384615384615384
cbow,6,7,1.623776739188721,0.6769911504424779,0.8076923076923077
skipgram,6,7,8.858667904100823,0.7079646017699115,0.7307692307692307
svd,6,7,0.6951927961775606,0.7079646017699115,0.7307692307692307
cbow,6,8,3.79269019073225,0.6902654867256637,0.5769230769230769
skipgram,6,8,8.858667904100823,0.6814159292035398,0.6923076923076923
svd,6,8,20.69138081114788,0.6902654867256637,0.7692307692307693
cbow,7,2,18329.807108324338,0.9911504424778761,0.9615384615384616
skipgram,7,2,3359.818286283781,0.9778761061946902,1.0
svd,7,2,615.8482110660254,1.0,1.0
cbow,7,3,263.6650898730355,0.9380530973451328,0.9615384615384616
skipgram,7,3,615.8482110660254,0.911504424778761,0.7692307692307693
svd,7,3,3359.818286283781,0.8716814159292036,0.9230769230769231
cbow,7,4,0.0545559478116852,0.7345132743362832,0.7307692307692307
skipgram,7,4,1.623776739188721,0.7566371681415929,0.7692307692307693
svd,7,4,0.12742749857031335,0.672566371681416,0.6923076923076923
cbow,7,5,0.6951927961775606,0.7168141592920354,0.7307692307692307
skipgram,7,5,3.79269019073225,0.6902654867256637,0.8076923076923077
svd,7,5,0.12742749857031335,0.7522123893805309,0.6538461538461539
cbow,7,6,3.79269019073225,0.6946902654867256,0.7307692307692307
skipgram,7,6,0.29763514416313175,0.6946902654867256,0.7307692307692307
svd,7,6,48.32930238571752,0.7079646017699115,0.6153846153846154
cbow,7,7,20.69138081114788,0.7300884955752213,0.7307692307692307
skipgram,7,7,8.858667904100823,0.7168141592920354,0.5384615384615384
svd,7,7,48.32930238571752,0.6769911504424779,0.6153846153846154
cbow,7,8,20.69138081114788,0.7123893805309734,0.7307692307692307
skipgram,7,8,48.32930238571752,0.6415929203539823,0.7692307692307693
svd,7,8,20.69138081114788,0.6991150442477876,0.6923076923076923
cbow,8,2,0.6951927961775606,0.995575221238938,1.0
skipgram,8,2,615.8482110660254,0.9911504424778761,1.0
