emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,100000.0,0.5636887608069164,0.6062176165803109
skipgram,1,2,42813.32398719387,0.5769452449567724,0.5077720207253886
svd,1,2,42813.32398719387,0.8595279217040875,0.9119170984455959
cbow,1,3,8.858667904100823,0.7731721358664364,0.7772020725388601
skipgram,1,3,8.858667904100823,0.7484168105929764,0.7772020725388601
svd,1,3,100000.0,0.8520437535981578,0.8031088082901554
cbow,1,4,1.623776739188721,0.8272884283246977,0.8652849740932642
skipgram,1,4,1.623776739188721,0.8520437535981578,0.9015544041450777
svd,1,4,100000.0,0.8629821531375935,0.8238341968911918
cbow,1,5,0.29763514416313175,0.8837075417386299,0.8290155440414507
skipgram,1,5,0.29763514416313175,0.9015544041450777,0.8911917098445595
svd,1,5,112.88378916846884,0.8514680483592401,0.8652849740932642
cbow,1,6,0.023357214690901226,0.8606793321819228,0.8393782383419689
skipgram,1,6,0.023357214690901226,0.8612550374208405,0.8652849740932642
svd,1,6,112.88378916846884,0.8318940702360391,0.8186528497409327
cbow,1,7,100000.0,0.7334484743811168,0.7409326424870466
skipgram,1,7,42813.32398719387,0.7328727691421992,0.7564766839378239
svd,1,7,3359.818286283781,0.742084052964882,0.7564766839378239
cbow,1,8,0.023357214690901226,0.7345998848589522,0.7150259067357513
skipgram,1,8,0.0545559478116852,0.7345998848589522,0.7616580310880829
svd,1,8,0.023357214690901226,0.740356937248129,0.7512953367875648
cbow,2,2,100000.0,0.9804260218767991,0.9792746113989638
skipgram,2,2,100000.0,0.6574553828439839,0.6217616580310881
svd,2,2,112.88378916846884,0.952216465169833,0.9378238341968912
cbow,2,3,100000.0,0.9833045480713875,0.9844559585492227
skipgram,2,3,100000.0,0.92573402417962,0.9067357512953368
svd,2,3,1438.449888287663,0.9568221070811744,0.927461139896373
cbow,2,4,7847.5997035146065,0.9648819804260219,0.9689119170984456
skipgram,2,4,8.858667904100823,0.795048934945308,0.8238341968911918
svd,2,4,263.6650898730355,0.948762233736327,0.9326424870466321
cbow,2,5,3.79269019073225,0.8854346574553829,0.8601036269430051
