emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,20.69138081114788,0.9873096446700508,1.0
skipgram,1,2,1438.449888287663,0.9758883248730964,0.9886363636363636
svd,1,2,20.69138081114788,0.9553001277139208,0.9770114942528736
cbow,1,3,3.79269019073225,0.9911167512690355,0.9772727272727273
skipgram,1,3,3.79269019073225,0.983502538071066,1.0
svd,1,3,20.69138081114788,0.909323116219668,0.9080459770114943
cbow,1,4,1.623776739188721,0.9923857868020305,1.0
skipgram,1,4,1.623776739188721,0.9923857868020305,1.0
svd,1,4,1.623776739188721,0.9744572158365262,0.9885057471264368
cbow,1,5,42813.32398719387,0.9911167512690355,0.9886363636363636
skipgram,1,5,0.29763514416313175,0.9898477157360406,1.0
svd,1,5,0.29763514416313175,0.9923371647509579,0.9885057471264368
cbow,1,6,0.29763514416313175,0.9784263959390863,0.9772727272727273
skipgram,1,6,0.12742749857031335,0.9860406091370558,0.9886363636363636
svd,1,6,0.12742749857031335,0.9872286079182631,1.0
cbow,1,7,7847.5997035146065,0.7119289340101523,0.75
skipgram,1,7,3359.818286283781,0.7347715736040609,0.7613636363636364
svd,1,7,100000.0,0.9872286079182631,0.9770114942528736
cbow,1,8,0.023357214690901226,0.5532994923857868,0.5454545454545454
skipgram,1,8,0.023357214690901226,0.5647208121827412,0.5113636363636364
svd,1,8,263.6650898730355,0.5862068965517241,0.6091954022988506
cbow,2,2,100000.0,0.9936548223350253,1.0
skipgram,2,2,100000.0,0.7690355329949239,0.7386363636363636
svd,2,2,0.023357214690901226,0.9987228607918263,1.0
cbow,2,3,42813.32398719387,1.0,1.0
skipgram,2,3,18329.807108324338,1.0,1.0
svd,2,3,263.6650898730355,1.0,1.0
cbow,2,4,1438.449888287663,0.998730964467005,0.9886363636363636
skipgram,2,4,100000.0,0.998730964467005,1.0
svd,2,4,0.023357214690901226,1.0,1.0
cbow,2,5,48.32930238571752,0.949238578680203,0.9886363636363636
skipgram,2,5,1438.449888287663,0.9923857868020305,0.9772727272727273
svd,2,5,0.023357214690901226,1.0,1.0
cbow,2,6,263.6650898730355,0.682741116751269,0.6590909090909091
skipgram,2,6,615.8482110660254,0.7195431472081218,0.6590909090909091
svd,2,6,3359.818286283781,0.9987228607918263,1.0
cbow,2,7,0.29763514416313175,0.5215736040609137,0.4772727272727273
skipgram,2,7,0.12742749857031335,0.5126903553299492,0.4659090909090909
svd,2,7,100000.0,0.9284802043422733,0.9770114942528736
cbow,2,8,0.01,0.501269035532995,0.48863636363636365
skipgram,2,8,0.01,0.501269035532995,0.48863636363636365
svd,2,8,20.69138081114788,0.5632183908045977,0.6666666666666666
cbow,3,2,0.023357214690901226,1.0,1.0
skipgram,3,2,100000.0,0.9911167512690355,1.0
svd,3,2,3359.818286283781,0.9987228607918263,1.0
cbow,3,3,0.01,1.0,1.0
skipgram,3,3,0.01,1.0,0.9886363636363636
svd,3,3,0.023357214690901226,0.9961685823754789,1.0
cbow,3,4,112.88378916846884,0.998730964467005,1.0
skipgram,3,4,7847.5997035146065,0.998730964467005,1.0
svd,3,4,1438.449888287663,0.9948914431673053,0.9770114942528736
cbow,3,5,112.88378916846884,0.9175126903553299,0.9318181818181818
skipgram,3,5,263.6650898730355,0.7271573604060914,0.75
svd,3,5,1438.449888287663,0.9770114942528736,0.9885057471264368
cbow,3,6,0.12742749857031335,0.5583756345177665,0.5113636363636364
skipgram,3,6,100000.0,0.5139593908629442,0.48863636363636365
svd,3,6,42813.32398719387,0.6385696040868455,0.6781609195402298
cbow,3,7,0.01,0.501269035532995,0.48863636363636365
skipgram,3,7,0.12742749857031335,0.5126903553299492,0.5
svd,3,7,20.69138081114788,0.4955300127713921,0.5057471264367817
cbow,3,8,8.858667904100823,0.5063451776649747,0.4090909090909091
skipgram,3,8,0.12742749857031335,0.5177664974619289,0.5
svd,3,8,0.01,0.5031928480204342,0.47126436781609193
cbow,4,2,0.0545559478116852,1.0,1.0
skipgram,4,2,18329.807108324338,0.7677664974619289,0.7727272727272727
svd,4,2,1438.449888287663,0.9987228607918263,1.0
cbow,4,3,0.01,0.9974619289340102,1.0
skipgram,4,3,0.01,0.9974619289340102,1.0
svd,4,3,0.01,1.0,1.0
cbow,4,4,112.88378916846884,0.9708121827411168,0.9659090909090909
skipgram,4,4,112.88378916846884,0.9746192893401016,0.9545454545454546
svd,4,4,3359.818286283781,1.0,1.0
cbow,4,5,7847.5997035146065,0.5862944162436549,0.5909090909090909
skipgram,4,5,3359.818286283781,0.5799492385786802,0.5681818181818182
svd,4,5,100000.0,0.8326947637292464,0.8620689655172413
cbow,4,6,0.29763514416313175,0.5101522842639594,0.5340909090909091
skipgram,4,6,0.01,0.501269035532995,0.48863636363636365
svd,4,6,1.623776739188721,0.5185185185185185,0.5172413793103449
cbow,4,7,0.01,0.501269035532995,0.48863636363636365
skipgram,4,7,0.01,0.501269035532995,0.48863636363636365
svd,4,7,0.6951927961775606,0.5006385696040868,0.5057471264367817
cbow,4,8,3.79269019073225,0.5139593908629442,0.5454545454545454
skipgram,4,8,48.32930238571752,0.5139593908629442,0.45454545454545453
svd,4,8,112.88378916846884,0.5210727969348659,0.41379310344827586
cbow,5,2,0.01,1.0,1.0
skipgram,5,2,0.01,1.0,1.0
svd,5,2,0.023357214690901226,0.9987228607918263,1.0
cbow,5,3,112.88378916846884,1.0,1.0
skipgram,5,3,18329.807108324338,1.0,0.9886363636363636
svd,5,3,0.01,1.0,1.0
cbow,5,4,615.8482110660254,0.9175126903553299,0.9090909090909091
skipgram,5,4,1438.449888287663,0.9378172588832487,0.9204545454545454
svd,5,4,1438.449888287663,0.9897828863346104,0.9540229885057471
cbow,5,5,0.0545559478116852,0.5355329949238579,0.5795454545454546
skipgram,5,5,20.69138081114788,0.5634517766497462,0.5113636363636364
svd,5,5,0.29763514416313175,0.6436781609195402,0.6091954022988506
cbow,5,6,0.01,0.501269035532995,0.48863636363636365
skipgram,5,6,0.6951927961775606,0.5139593908629442,0.3977272727272727
svd,5,6,0.01,0.5031928480204342,0.47126436781609193
cbow,5,7,0.023357214690901226,0.501269035532995,0.48863636363636365
skipgram,5,7,0.01,0.501269035532995,0.48863636363636365
svd,5,7,0.01,0.5031928480204342,0.47126436781609193
cbow,5,8,0.6951927961775606,0.5126903553299492,0.38636363636363635
skipgram,5,8,0.01,0.501269035532995,0.48863636363636365
svd,5,8,1.623776739188721,0.5070242656449553,0.4942528735632184
cbow,6,2,0.01,1.0,1.0
skipgram,6,2,0.01,1.0,1.0
svd,6,2,0.01,1.0,0.9885057471264368
cbow,6,3,48.32930238571752,0.998730964467005,1.0
skipgram,6,3,48.32930238571752,1.0,1.0
svd,6,3,0.01,1.0,1.0
cbow,6,4,100000.0,0.9060913705583756,0.9318181818181818
skipgram,6,4,100000.0,0.8591370558375635,0.8863636363636364
svd,6,4,42813.32398719387,0.979565772669221,0.9540229885057471
cbow,6,5,0.6951927961775606,0.5291878172588832,0.6136363636363636
skipgram,6,5,0.29763514416313175,0.5431472081218274,0.5113636363636364
svd,6,5,3.79269019073225,0.6334610472541508,0.5862068965517241
cbow,6,6,1.623776739188721,0.5050761421319797,0.5340909090909091
skipgram,6,6,3.79269019073225,0.5139593908629442,0.5681818181818182
svd,6,6,0.29763514416313175,0.5236270753512133,0.45977011494252873
cbow,6,7,0.01,0.501269035532995,0.48863636363636365
skipgram,6,7,0.01,0.501269035532995,0.48863636363636365
svd,6,7,0.01,0.5031928480204342,0.47126436781609193
cbow,6,8,3.79269019073225,0.5291878172588832,0.3977272727272727
skipgram,6,8,0.01,0.501269035532995,0.48863636363636365
svd,6,8,0.29763514416313175,0.5031928480204342,0.47126436781609193
cbow,7,2,0.01,1.0,1.0
skipgram,7,2,0.01,1.0,0.9886363636363636
svd,7,2,0.01,1.0,1.0
cbow,7,3,1438.449888287663,0.9961928934010152,1.0
skipgram,7,3,8.858667904100823,0.9936548223350253,0.9772727272727273
svd,7,3,0.01,1.0,1.0
cbow,7,4,42813.32398719387,0.75,0.8068181818181818
skipgram,7,4,1.623776739188721,0.75,0.7159090909090909
svd,7,4,263.6650898730355,0.9642401021711366,0.9885057471264368
cbow,7,5,0.6951927961775606,0.5266497461928934,0.45454545454545453
skipgram,7,5,3.79269019073225,0.5520304568527918,0.5681818181818182
svd,7,5,3.79269019073225,0.6181353767560664,0.5977011494252874
cbow,7,6,0.6951927961775606,0.4949238578680203,0.5113636363636364
skipgram,7,6,0.12742749857031335,0.5,0.5
svd,7,6,0.29763514416313175,0.5031928480204342,0.4482758620689655
cbow,7,7,0.6951927961775606,0.5114213197969543,0.4318181818181818
skipgram,7,7,1.623776739188721,0.5177664974619289,0.5
svd,7,7,0.6951927961775606,0.5134099616858238,0.42528735632183906
cbow,7,8,1.623776739188721,0.5126903553299492,0.4431818181818182
skipgram,7,8,0.6951927961775606,0.5317258883248731,0.3977272727272727
svd,7,8,0.01,0.5031928480204342,0.47126436781609193
cbow,8,2,0.01,1.0,1.0
skipgram,8,2,0.01,0.9987277353689568,1.0
svd,8,2,0.01,1.0,1.0
cbow,8,3,0.01,0.9949109414758269,0.9886363636363636
skipgram,8,3,0.01,0.9936386768447837,0.9886363636363636
svd,8,3,0.01,1.0,1.0
