emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,3359.818286283781,0.8833333333333333,0.9
skipgram,1,2,42813.32398719387,0.9888888888888889,0.95
svd,1,2,18329.807108324338,0.9555555555555556,0.85
cbow,1,3,20.69138081114788,0.9888888888888889,1.0
skipgram,1,3,615.8482110660254,0.9944444444444445,1.0
svd,1,3,615.8482110660254,0.9333333333333333,0.8
cbow,1,4,48.32930238571752,1.0,1.0
skipgram,1,4,1.623776739188721,1.0,0.95
svd,1,4,1.623776739188721,1.0,1.0
cbow,1,5,0.12742749857031335,0.9944444444444445,1.0
skipgram,1,5,0.29763514416313175,1.0,1.0
svd,1,5,0.12742749857031335,1.0,1.0
cbow,1,6,0.0545559478116852,1.0,1.0
skipgram,1,6,0.0545559478116852,1.0,1.0
svd,1,6,0.0545559478116852,1.0,1.0
cbow,1,7,0.01,1.0,1.0
skipgram,1,7,615.8482110660254,1.0,1.0
svd,1,7,615.8482110660254,1.0,1.0
cbow,1,8,112.88378916846884,0.9777777777777777,1.0
skipgram,1,8,263.6650898730355,1.0,1.0
svd,1,8,3359.818286283781,1.0,1.0
cbow,2,2,112.88378916846884,0.9833333333333333,0.95
skipgram,2,2,100000.0,0.7555555555555555,0.95
svd,2,2,112.88378916846884,0.9833333333333333,1.0
cbow,2,3,100000.0,0.9777777777777777,0.9
skipgram,2,3,18329.807108324338,0.9833333333333333,1.0
svd,2,3,7847.5997035146065,0.9833333333333333,0.95
cbow,2,4,7847.5997035146065,0.7111111111111111,0.8
skipgram,2,4,7847.5997035146065,0.9888888888888889,1.0
svd,2,4,48.32930238571752,0.8611111111111112,0.95
cbow,2,5,3359.818286283781,1.0,0.95
skipgram,2,5,615.8482110660254,1.0,1.0
svd,2,5,615.8482110660254,0.9611111111111111,0.85
cbow,2,6,0.12742749857031335,0.9944444444444445,1.0
skipgram,2,6,7847.5997035146065,1.0,1.0
svd,2,6,615.8482110660254,0.9944444444444445,1.0
cbow,2,7,0.12742749857031335,0.9944444444444445,1.0
skipgram,2,7,0.12742749857031335,0.9888888888888889,1.0
svd,2,7,0.0545559478116852,0.9888888888888889,1.0
cbow,2,8,0.12742749857031335,0.9888888888888889,1.0
skipgram,2,8,0.12742749857031335,0.9888888888888889,1.0
svd,2,8,0.12742749857031335,0.9777777777777777,1.0
cbow,3,2,263.6650898730355,0.9888888888888889,1.0
skipgram,3,2,48.32930238571752,0.9944444444444445,1.0
svd,3,2,0.29763514416313175,1.0,1.0
cbow,3,3,3359.818286283781,0.8388888888888889,0.9
skipgram,3,3,112.88378916846884,0.6666666666666666,0.55
svd,3,3,0.12742749857031335,0.9944444444444445,1.0
cbow,3,4,112.88378916846884,0.9944444444444445,1.0
skipgram,3,4,20.69138081114788,0.9944444444444445,0.95
svd,3,4,615.8482110660254,0.7888888888888889,0.85
cbow,3,5,0.12742749857031335,1.0,1.0
skipgram,3,5,0.0545559478116852,0.9944444444444445,1.0
svd,3,5,0.29763514416313175,0.9944444444444445,1.0
cbow,3,6,0.12742749857031335,0.9888888888888889,1.0
skipgram,3,6,0.12742749857031335,1.0,1.0
svd,3,6,0.0545559478116852,0.9722222222222222,1.0
cbow,3,7,0.12742749857031335,0.9888888888888889,1.0
skipgram,3,7,263.6650898730355,0.9833333333333333,1.0
svd,3,7,0.12742749857031335,0.9944444444444445,1.0
cbow,3,8,7847.5997035146065,0.9888888888888889,0.85
skipgram,3,8,0.12742749857031335,0.9833333333333333,1.0
svd,3,8,0.29763514416313175,0.9888888888888889,1.0
cbow,4,2,1438.449888287663,0.9444444444444444,1.0
skipgram,4,2,3.79269019073225,0.9833333333333333,1.0
svd,4,2,0.0545559478116852,0.9944444444444445,1.0
cbow,4,3,0.12742749857031335,0.9944444444444445,1.0
skipgram,4,3,0.12742749857031335,0.9888888888888889,1.0
svd,4,3,1438.449888287663,0.9666666666666667,0.95
cbow,4,4,0.12742749857031335,0.9944444444444445,1.0
skipgram,4,4,0.0545559478116852,1.0,1.0
svd,4,4,0.6951927961775606,1.0,1.0
cbow,4,5,0.0545559478116852,1.0,0.95
skipgram,4,5,0.12742749857031335,0.9888888888888889,1.0
svd,4,5,0.12742749857031335,0.9833333333333333,1.0
