emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.7847599703514611,0.20080321285140562,0.19879518072289157
cbow,1,2,5,1.2742749857031335,0.19907100199071,0.20833333333333334
skipgram,1,2,5,0.026366508987303583,0.20039814200398143,0.20238095238095238
SVD,1,2,6,1.2742749857031335,0.20080321285140562,0.19879518072289157
cbow,1,2,6,2.06913808111479,0.205706702057067,0.1488095238095238
skipgram,1,2,6,0.01,0.19508958195089582,0.20833333333333334
SVD,1,2,7,8.858667904100823,0.20281124497991967,0.19879518072289157
cbow,1,2,7,1.2742749857031335,0.205706702057067,0.1488095238095238
skipgram,1,2,7,0.01,0.20106171201061712,0.20833333333333334
SVD,1,2,8,0.026366508987303583,0.20147255689424365,0.19879518072289157
cbow,1,2,8,0.4832930238571752,0.205706702057067,0.1488095238095238
skipgram,1,2,8,0.11288378916846889,0.19973457199734573,0.21428571428571427
SVD,1,2,9,0.016237767391887217,0.1994645247657296,0.19879518072289157
cbow,1,2,9,2.06913808111479,0.205706702057067,0.1488095238095238
skipgram,1,2,9,0.04281332398719394,0.19973457199734573,0.19047619047619047
SVD,1,2,10,0.01,0.2001338688085676,0.19879518072289157
cbow,1,2,10,0.29763514416313175,0.205706702057067,0.1488095238095238
skipgram,1,2,10,0.01,0.2023888520238885,0.21428571428571427
SVD,1,3,5,0.01,0.2001338688085676,0.19879518072289157
cbow,1,3,5,0.06951927961775606,0.20703384207033843,0.1488095238095238
skipgram,1,3,5,0.04281332398719394,0.2116788321167883,0.2261904761904762
SVD,1,3,6,0.7847599703514611,0.22757697456492637,0.21686746987951808
cbow,1,3,6,2.06913808111479,0.205706702057067,0.1488095238095238
skipgram,1,3,6,0.11288378916846889,0.19907100199071,0.20833333333333334
SVD,1,3,7,37.92690190732246,0.23025435073627845,0.24096385542168675
cbow,1,3,7,0.026366508987303583,0.205706702057067,0.1488095238095238
skipgram,1,3,7,0.11288378916846889,0.19907100199071,0.20833333333333334
SVD,1,3,8,0.18329807108324356,0.1894243641231593,0.18674698795180722
cbow,1,3,8,0.7847599703514611,0.205706702057067,0.1488095238095238
skipgram,1,3,8,0.04281332398719394,0.19907100199071,0.20833333333333334
SVD,1,3,9,5.455594781168514,0.22623828647925034,0.2469879518072289
cbow,1,3,9,0.016237767391887217,0.205706702057067,0.1488095238095238
skipgram,1,3,9,0.11288378916846889,0.19907100199071,0.20833333333333334
SVD,1,3,10,14.38449888287663,0.24832663989290496,0.26506024096385544
cbow,1,3,10,0.11288378916846889,0.205706702057067,0.1488095238095238
skipgram,1,3,10,0.18329807108324356,0.19907100199071,0.20833333333333334
SVD,1,4,5,0.18329807108324356,0.2001338688085676,0.19879518072289157
cbow,1,4,5,0.29763514416313175,0.19508958195089582,0.17261904761904762
