emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.29763514416313175,0.20214190093708165,0.19879518072289157
cbow,1,2,5,8.858667904100823,0.7723954877239548,0.7916666666666666
skipgram,1,2,5,0.01,0.80092899800929,0.7916666666666666
SVD,1,2,6,0.18329807108324356,0.20883534136546184,0.21686746987951808
cbow,1,2,6,0.4832930238571752,0.5945587259455872,0.6130952380952381
skipgram,1,2,6,0.11288378916846889,0.794293297942933,0.8511904761904762
SVD,1,2,7,0.11288378916846889,0.21352074966532797,0.22289156626506024
cbow,1,2,7,0.11288378916846889,0.5428002654280026,0.5357142857142857
skipgram,1,2,7,0.18329807108324356,0.794293297942933,0.8511904761904762
SVD,1,2,8,0.016237767391887217,0.2222222222222222,0.21084337349397592
cbow,1,2,8,0.18329807108324356,0.6370272063702721,0.6190476190476191
skipgram,1,2,8,0.4832930238571752,0.794293297942933,0.8511904761904762
SVD,1,2,9,0.026366508987303583,0.21686746987951808,0.2289156626506024
cbow,1,2,9,0.06951927961775606,0.6987392169873922,0.6726190476190477
skipgram,1,2,9,2.06913808111479,0.794293297942933,0.8511904761904762
SVD,1,2,10,0.7847599703514611,0.23092369477911648,0.21084337349397592
cbow,1,2,10,0.11288378916846889,0.6695421366954214,0.6726190476190477
skipgram,1,2,10,14.38449888287663,0.794293297942933,0.8511904761904762
SVD,1,3,5,0.7847599703514611,0.20147255689424365,0.19879518072289157
cbow,1,3,5,0.06951927961775606,0.6960849369608494,0.7083333333333334
skipgram,1,3,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,3,6,2.06913808111479,0.20147255689424365,0.19879518072289157
cbow,1,3,6,0.06951927961775606,0.49767750497677504,0.39880952380952384
skipgram,1,3,6,0.01,0.794293297942933,0.8511904761904762
SVD,1,3,7,1.2742749857031335,0.20147255689424365,0.19879518072289157
cbow,1,3,7,0.06951927961775606,0.5905773059057731,0.5714285714285714
skipgram,1,3,7,0.01,0.794293297942933,0.8511904761904762
SVD,1,3,8,0.18329807108324356,0.2034805890227577,0.20481927710843373
cbow,1,3,8,0.04281332398719394,0.48307896483078966,0.40476190476190477
skipgram,1,3,8,0.01,0.794293297942933,0.8511904761904762
SVD,1,3,9,1.2742749857031335,0.2034805890227577,0.19879518072289157
cbow,1,3,9,0.7847599703514611,0.46648971466489714,0.47023809523809523
skipgram,1,3,9,0.01,0.794293297942933,0.8511904761904762
SVD,1,3,10,0.18329807108324356,0.20481927710843373,0.19879518072289157
cbow,1,3,10,5.455594781168514,0.4492368944923689,0.47619047619047616
skipgram,1,3,10,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,5,0.4832930238571752,0.2001338688085676,0.19879518072289157
cbow,1,4,5,0.7847599703514611,0.49900464499004643,0.5178571428571429
skipgram,1,4,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,6,1.2742749857031335,0.2001338688085676,0.19879518072289157
cbow,1,4,6,3.359818286283781,0.7040477770404777,0.7142857142857143
skipgram,1,4,6,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,7,5.455594781168514,0.20147255689424365,0.19879518072289157
cbow,1,4,7,0.4832930238571752,0.5527538155275381,0.5119047619047619
skipgram,1,4,7,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,8,2.06913808111479,0.20147255689424365,0.19879518072289157
cbow,1,4,8,0.026366508987303583,0.5235567352355673,0.39285714285714285
skipgram,1,4,8,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,9,1.2742749857031335,0.20214190093708165,0.19879518072289157
cbow,1,4,9,0.026366508987303583,0.48374253483742535,0.44642857142857145
skipgram,1,4,9,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,10,14.38449888287663,0.20214190093708165,0.20481927710843373
cbow,1,4,10,0.06951927961775606,0.44990046449900467,0.44047619047619047
skipgram,1,4,10,0.01,0.794293297942933,0.8511904761904762
