emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.026366508987303583,0.4991624790619765,0.5074626865671642
cbow,1,2,5,0.7847599703514611,0.4975124378109453,0.5223880597014925
skipgram,1,2,5,0.4832930238571752,0.5024875621890548,0.47761194029850745
SVD,1,2,6,0.4832930238571752,0.4991624790619765,0.5074626865671642
cbow,1,2,6,0.01,0.5024875621890548,0.47761194029850745
skipgram,1,2,6,0.01,0.4975124378109453,0.5223880597014925
SVD,1,2,7,0.11288378916846889,0.4991624790619765,0.5074626865671642
cbow,1,2,7,0.016237767391887217,0.5024875621890548,0.47761194029850745
skipgram,1,2,7,0.11288378916846889,0.5091210613598673,0.4925373134328358
SVD,1,2,8,0.01,0.4991624790619765,0.5074626865671642
cbow,1,2,8,23.357214690901213,0.5024875621890548,0.47761194029850745
skipgram,1,2,8,0.06951927961775606,0.5621890547263682,0.6716417910447762
SVD,1,2,9,3.359818286283781,0.4991624790619765,0.5074626865671642
cbow,1,2,9,0.29763514416313175,0.5024875621890548,0.47761194029850745
skipgram,1,2,9,0.016237767391887217,0.5588723051409619,0.6567164179104478
SVD,1,2,10,0.06951927961775606,0.4991624790619765,0.5074626865671642
cbow,1,2,10,0.11288378916846889,0.5024875621890548,0.47761194029850745
skipgram,1,2,10,0.4832930238571752,0.5008291873963516,0.4925373134328358
SVD,1,3,5,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,3,5,0.016237767391887217,0.5024875621890548,0.47761194029850745
skipgram,1,3,5,0.04281332398719394,0.4975124378109453,0.5223880597014925
SVD,1,3,6,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,3,6,0.04281332398719394,0.5024875621890548,0.47761194029850745
skipgram,1,3,6,0.01,0.4975124378109453,0.5223880597014925
SVD,1,3,7,0.18329807108324356,0.4991624790619765,0.5074626865671642
cbow,1,3,7,0.016237767391887217,0.5024875621890548,0.47761194029850745
skipgram,1,3,7,0.01,0.4975124378109453,0.5223880597014925
SVD,1,3,8,0.7847599703514611,0.4991624790619765,0.5074626865671642
cbow,1,3,8,0.01,0.5024875621890548,0.47761194029850745
skipgram,1,3,8,0.06951927961775606,0.4975124378109453,0.5223880597014925
SVD,1,3,9,0.11288378916846889,0.4991624790619765,0.5074626865671642
cbow,1,3,9,0.06951927961775606,0.5024875621890548,0.47761194029850745
skipgram,1,3,9,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,3,10,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,3,10,0.016237767391887217,0.5024875621890548,0.47761194029850745
skipgram,1,3,10,0.11288378916846889,0.4975124378109453,0.5223880597014925
SVD,1,4,5,14.38449888287663,0.4991624790619765,0.5074626865671642
cbow,1,4,5,0.026366508987303583,0.5804311774461028,0.5522388059701493
skipgram,1,4,5,0.01,0.4975124378109453,0.5223880597014925
SVD,1,4,6,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,4,6,0.016237767391887217,0.538971807628524,0.5522388059701493
skipgram,1,4,6,0.01,0.4975124378109453,0.5223880597014925
SVD,1,4,7,0.4832930238571752,0.4991624790619765,0.5074626865671642
cbow,1,4,7,0.01,0.49585406301824214,0.43283582089552236
skipgram,1,4,7,0.06951927961775606,0.4975124378109453,0.5223880597014925
SVD,1,4,8,0.7847599703514611,0.4991624790619765,0.5074626865671642
cbow,1,4,8,0.04281332398719394,0.49917081260364843,0.4925373134328358
skipgram,1,4,8,0.18329807108324356,0.4975124378109453,0.5223880597014925
SVD,1,4,9,23.357214690901213,0.4991624790619765,0.5074626865671642
cbow,1,4,9,0.01,0.5058043117744611,0.4925373134328358
skipgram,1,4,9,0.29763514416313175,0.4975124378109453,0.5223880597014925
SVD,1,4,10,0.016237767391887217,0.4991624790619765,0.5074626865671642
cbow,1,4,10,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,1,4,10,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,5,5,1.2742749857031335,0.4991624790619765,0.5074626865671642
cbow,1,5,5,5.455594781168514,0.5024875621890548,0.47761194029850745
skipgram,1,5,5,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,5,6,0.06951927961775606,0.4991624790619765,0.5074626865671642
cbow,1,5,6,0.11288378916846889,0.5024875621890548,0.47761194029850745
skipgram,1,5,6,0.01,0.4975124378109453,0.5223880597014925
SVD,1,5,7,0.026366508987303583,0.4991624790619765,0.5074626865671642
cbow,1,5,7,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,1,5,7,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,5,8,0.01,0.4991624790619765,0.5074626865671642
cbow,1,5,8,0.4832930238571752,0.5024875621890548,0.47761194029850745
skipgram,1,5,8,0.01,0.4975124378109453,0.5223880597014925
SVD,1,5,9,0.016237767391887217,0.4991624790619765,0.5074626865671642
cbow,1,5,9,0.04281332398719394,0.5024875621890548,0.47761194029850745
skipgram,1,5,9,0.18329807108324356,0.4975124378109453,0.5223880597014925
SVD,1,5,10,0.01,0.4991624790619765,0.5074626865671642
cbow,1,5,10,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,1,5,10,0.01,0.4975124378109453,0.5223880597014925
SVD,1,6,5,2.06913808111479,0.4991624790619765,0.5074626865671642
cbow,1,6,5,0.01,0.5024875621890548,0.5074626865671642
skipgram,1,6,5,0.01,0.4975124378109453,0.5223880597014925
SVD,1,6,6,2.06913808111479,0.4991624790619765,0.5074626865671642
cbow,1,6,6,5.455594781168514,0.5024875621890548,0.47761194029850745
skipgram,1,6,6,0.01,0.4975124378109453,0.5223880597014925
SVD,1,6,7,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,6,7,0.01,0.5024875621890548,0.47761194029850745
skipgram,1,6,7,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,6,8,0.18329807108324356,0.4991624790619765,0.5074626865671642
cbow,1,6,8,0.4832930238571752,0.5024875621890548,0.47761194029850745
skipgram,1,6,8,0.04281332398719394,0.4975124378109453,0.5223880597014925
SVD,1,6,9,1.2742749857031335,0.4991624790619765,0.5074626865671642
cbow,1,6,9,0.04281332398719394,0.5024875621890548,0.47761194029850745
skipgram,1,6,9,0.06951927961775606,0.4975124378109453,0.5223880597014925
SVD,1,6,10,2.06913808111479,0.4991624790619765,0.5074626865671642
cbow,1,6,10,0.01,0.5024875621890548,0.47761194029850745
skipgram,1,6,10,0.01,0.4975124378109453,0.5223880597014925
SVD,1,7,5,0.7847599703514611,0.4991624790619765,0.5074626865671642
cbow,1,7,5,0.026366508987303583,0.5024875621890548,0.47761194029850745
skipgram,1,7,5,0.04281332398719394,0.4975124378109453,0.5223880597014925
SVD,1,7,6,1.2742749857031335,0.4991624790619765,0.5074626865671642
cbow,1,7,6,0.016237767391887217,0.5024875621890548,0.47761194029850745
skipgram,1,7,6,0.06951927961775606,0.4975124378109453,0.5223880597014925
SVD,1,7,7,3.359818286283781,0.4991624790619765,0.5074626865671642
cbow,1,7,7,0.11288378916846889,0.5024875621890548,0.47761194029850745
skipgram,1,7,7,0.01,0.4975124378109453,0.5223880597014925
SVD,1,7,8,0.11288378916846889,0.4991624790619765,0.5074626865671642
cbow,1,7,8,0.01,0.5041459369817579,0.4925373134328358
skipgram,1,7,8,0.026366508987303583,0.4975124378109453,0.5223880597014925
SVD,1,7,9,0.29763514416313175,0.4991624790619765,0.5074626865671642
cbow,1,7,9,0.016237767391887217,0.5008291873963516,0.582089552238806
skipgram,1,7,9,0.11288378916846889,0.4975124378109453,0.5223880597014925
SVD,1,7,10,2.06913808111479,0.4991624790619765,0.5074626865671642
cbow,1,7,10,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,1,7,10,0.01,0.4975124378109453,0.5223880597014925
SVD,1,8,5,0.11288378916846889,0.5025210084033613,0.47761194029850745
cbow,1,8,5,0.04281332398719394,0.4975124378109453,0.5223880597014925
skipgram,1,8,5,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,8,6,0.29763514416313175,0.5025210084033613,0.47761194029850745
cbow,1,8,6,0.11288378916846889,0.5058043117744611,0.4925373134328358
skipgram,1,8,6,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,8,7,1.2742749857031335,0.5025210084033613,0.47761194029850745
cbow,1,8,7,0.01,0.49917081260364843,0.5223880597014925
skipgram,1,8,7,0.18329807108324356,0.4975124378109453,0.5223880597014925
SVD,1,8,8,0.4832930238571752,0.5025210084033613,0.47761194029850745
cbow,1,8,8,0.016237767391887217,0.5074626865671642,0.5373134328358209
skipgram,1,8,8,0.11288378916846889,0.4975124378109453,0.5223880597014925
SVD,1,8,9,0.29763514416313175,0.5025210084033613,0.47761194029850745
cbow,1,8,9,0.016237767391887217,0.5140961857379768,0.582089552238806
