emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,1.2742749857031335,0.5005555555555555,0.495
cbow,1,2,5,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,5,0.4832930238571752,0.49944444444444447,0.505
SVD,1,2,6,0.04281332398719394,0.5005555555555555,0.495
cbow,1,2,6,0.01,0.5005555555555555,0.495
skipgram,1,2,6,3.359818286283781,0.5138888888888888,0.515
SVD,1,2,7,0.026366508987303583,0.5005555555555555,0.495
cbow,1,2,7,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,7,3.359818286283781,0.5166666666666667,0.52
SVD,1,2,8,0.026366508987303583,0.5005555555555555,0.495
cbow,1,2,8,0.01,0.5005555555555555,0.495
skipgram,1,2,8,0.4832930238571752,0.6388888888888888,0.635
SVD,1,2,9,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,9,0.01,0.5005555555555555,0.495
skipgram,1,2,9,0.4832930238571752,0.6005555555555555,0.63
SVD,1,2,10,0.06951927961775606,0.5005555555555555,0.495
cbow,1,2,10,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,2,10,0.04281332398719394,0.6533333333333333,0.675
SVD,1,3,5,0.29763514416313175,0.5005555555555555,0.495
cbow,1,3,5,0.01,0.8155555555555556,0.835
skipgram,1,3,5,0.11288378916846889,0.5116666666666667,0.505
SVD,1,3,6,5.455594781168514,0.5005555555555555,0.495
cbow,1,3,6,0.06951927961775606,0.485,0.495
skipgram,1,3,6,0.016237767391887217,0.49944444444444447,0.505
SVD,1,3,7,0.06951927961775606,0.5005555555555555,0.495
cbow,1,3,7,2.06913808111479,0.5005555555555555,0.495
skipgram,1,3,7,1.2742749857031335,0.5261111111111111,0.535
SVD,1,3,8,0.026366508987303583,0.5005555555555555,0.495
cbow,1,3,8,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,3,8,0.7847599703514611,0.5588888888888889,0.525
SVD,1,3,9,0.18329807108324356,0.5005555555555555,0.495
cbow,1,3,9,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,3,9,0.4832930238571752,0.5255555555555556,0.53
SVD,1,3,10,0.06951927961775606,0.5005555555555555,0.495
cbow,1,3,10,0.01,0.5005555555555555,0.495
skipgram,1,3,10,0.04281332398719394,0.5494444444444444,0.52
SVD,1,4,5,0.7847599703514611,0.5005555555555555,0.495
cbow,1,4,5,0.18329807108324356,0.8261111111111111,0.805
skipgram,1,4,5,0.4832930238571752,0.49944444444444447,0.505
SVD,1,4,6,0.4832930238571752,0.5005555555555555,0.495
cbow,1,4,6,0.06951927961775606,0.8338888888888889,0.815
skipgram,1,4,6,0.06951927961775606,0.49944444444444447,0.505
SVD,1,4,7,1.2742749857031335,0.5005555555555555,0.495
cbow,1,4,7,0.06951927961775606,0.4777777777777778,0.495
skipgram,1,4,7,0.4832930238571752,0.49944444444444447,0.505
SVD,1,4,8,1.2742749857031335,0.5005555555555555,0.495
cbow,1,4,8,0.18329807108324356,0.5005555555555555,0.495
