emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.7847599703514611,0.19627270582684594,0.2356687898089172
skipgram,1,2,5,0.29763514416313175,0.20099079971691436,0.18683651804670912
svd,1,2,5,0.01,0.19952718676122932,0.19787234042553192
cbow,1,2,6,37.92690190732246,0.20193441849492805,0.18259023354564755
skipgram,1,2,6,2.06913808111479,0.2014626091059212,0.18683651804670912
svd,1,2,6,0.01,0.2004728132387707,0.1829787234042553
cbow,1,2,7,0.18329807108324356,0.20193441849492805,0.18259023354564755
skipgram,1,2,7,0.4832930238571752,0.2014626091059212,0.18683651804670912
svd,1,2,7,0.01,0.20118203309692673,0.1723404255319149
cbow,1,2,8,14.38449888287663,0.20311394196744514,0.17197452229299362
skipgram,1,2,8,3.359818286283781,0.2014626091059212,0.18683651804670912
svd,1,2,8,0.04281332398719394,0.19905437352245864,0.17659574468085107
cbow,1,2,9,0.7847599703514611,0.20311394196744514,0.17197452229299362
skipgram,1,2,9,1.2742749857031335,0.2014626091059212,0.18683651804670912
svd,1,2,9,2.06913808111479,0.20236406619385341,0.17446808510638298
cbow,1,2,10,3.359818286283781,0.20311394196744514,0.17197452229299362
skipgram,1,2,10,0.29763514416313175,0.2014626091059212,0.18683651804670912
svd,1,2,10,14.38449888287663,0.2016548463356974,0.1723404255319149
cbow,1,3,5,2.06913808111479,0.20032995522036295,0.2033898305084746
skipgram,1,3,5,0.06951927961775606,0.20174404902191845,0.1843220338983051
svd,1,3,5,0.026366508987303583,0.19574468085106383,0.23829787234042554
cbow,1,3,6,5.455594781168514,0.2000942729201037,0.2033898305084746
skipgram,1,3,6,0.29763514416313175,0.20174404902191845,0.1843220338983051
svd,1,3,6,0.01,0.19574468085106383,0.23829787234042554
cbow,1,3,7,100.0,0.2000942729201037,0.2033898305084746
skipgram,1,3,7,0.06951927961775606,0.20174404902191845,0.1843220338983051
svd,1,3,7,0.026366508987303583,0.19574468085106383,0.23829787234042554
cbow,1,3,8,3.359818286283781,0.20032995522036295,0.2033898305084746
skipgram,1,3,8,0.18329807108324356,0.20174404902191845,0.1843220338983051
svd,1,3,8,0.11288378916846889,0.19574468085106383,0.23829787234042554
cbow,1,3,9,14.38449888287663,0.19985859061984446,0.2033898305084746
skipgram,1,3,9,0.06951927961775606,0.20174404902191845,0.1843220338983051
svd,1,3,9,0.7847599703514611,0.24964539007092199,0.2404255319148936
cbow,1,3,10,14.38449888287663,0.19985859061984446,0.2033898305084746
skipgram,1,3,10,0.29763514416313175,0.20174404902191845,0.1843220338983051
svd,1,3,10,0.7847599703514611,0.24657210401891252,0.25957446808510637
cbow,1,4,5,0.29763514416313175,0.20457223662502946,0.211864406779661
skipgram,1,4,5,0.01,0.20174404902191845,0.1843220338983051
svd,1,4,5,0.026366508987303583,0.19574468085106383,0.23829787234042554
cbow,1,4,6,1.2742749857031335,0.2048079189252887,0.2033898305084746
skipgram,1,4,6,1.2742749857031335,0.20174404902191845,0.1843220338983051
svd,1,4,6,5.455594781168514,0.19574468085106383,0.23829787234042554
cbow,1,4,7,0.7847599703514611,0.20716474192788123,0.2097457627118644
skipgram,1,4,7,0.11288378916846889,0.20174404902191845,0.1843220338983051
svd,1,4,7,0.04281332398719394,0.19574468085106383,0.23829787234042554
cbow,1,4,8,14.38449888287663,0.20386518972425172,0.2076271186440678
skipgram,1,4,8,0.016237767391887217,0.20174404902191845,0.1843220338983051
svd,1,4,8,0.11288378916846889,0.19574468085106383,0.23829787234042554
cbow,1,4,9,0.4832930238571752,0.2048079189252887,0.2076271186440678
skipgram,1,4,9,0.11288378916846889,0.20174404902191845,0.1843220338983051
svd,1,4,9,8.858667904100823,0.19574468085106383,0.23829787234042554
cbow,1,4,10,37.92690190732246,0.2048079189252887,0.2033898305084746
skipgram,1,4,10,3.359818286283781,0.20174404902191845,0.1843220338983051
svd,1,4,10,1.2742749857031335,0.19574468085106383,0.23829787234042554
cbow,1,5,5,0.06951927961775606,0.20334984666194858,0.17197452229299362
skipgram,1,5,5,0.026366508987303583,0.2014626091059212,0.18683651804670912
svd,1,5,5,0.4832930238571752,0.19574468085106383,0.23829787234042554
cbow,1,5,6,3.359818286283781,0.203585751356452,0.17197452229299362
skipgram,1,5,6,5.455594781168514,0.2014626091059212,0.18683651804670912
svd,1,5,6,5.455594781168514,0.19574468085106383,0.23829787234042554
cbow,1,5,7,0.11288378916846889,0.203585751356452,0.17197452229299362
skipgram,1,5,7,0.06951927961775606,0.2014626091059212,0.18683651804670912
svd,1,5,7,0.7847599703514611,0.19574468085106383,0.23829787234042554
cbow,1,5,8,0.06951927961775606,0.20382165605095542,0.17197452229299362
skipgram,1,5,8,0.29763514416313175,0.2014626091059212,0.18683651804670912
svd,1,5,8,0.18329807108324356,0.19574468085106383,0.23829787234042554
cbow,1,5,9,0.29763514416313175,0.203585751356452,0.1740976645435244
skipgram,1,5,9,5.455594781168514,0.2014626091059212,0.18683651804670912
svd,1,5,9,0.026366508987303583,0.19574468085106383,0.23829787234042554
