emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.06951927961775606,0.19650861052134938,0.2356687898089172
skipgram,1,2,5,0.11288378916846889,0.8039631988676574,0.7643312101910829
svd,1,2,5,0.01,0.19574468085106383,0.23829787234042554
cbow,1,2,6,3.359818286283781,0.2026421325784383,0.18259023354564755
skipgram,1,2,6,0.18329807108324356,0.7980655815050719,0.8174097664543525
svd,1,2,6,0.01,0.19598108747044918,0.23829787234042554
cbow,1,2,7,1.2742749857031335,0.2026421325784383,0.18259023354564755
skipgram,1,2,7,0.026366508987303583,0.7980655815050719,0.8174097664543525
svd,1,2,7,0.016237767391887217,0.19621749408983452,0.23829787234042554
cbow,1,2,8,0.18329807108324356,0.20382165605095542,0.1740976645435244
skipgram,1,2,8,0.04281332398719394,0.7935833923095069,0.8237791932059448
svd,1,2,8,0.01,0.19621749408983452,0.2404255319148936
cbow,1,2,9,0.18329807108324356,0.20429346543996227,0.1740976645435244
skipgram,1,2,9,0.026366508987303583,0.7954706298655343,0.8280254777070064
svd,1,2,9,0.01,0.1966903073286052,0.23829787234042554
cbow,1,2,10,1.2742749857031335,0.20500117952347252,0.17197452229299362
skipgram,1,2,10,0.06951927961775606,0.7853267280018872,0.8110403397027601
svd,1,2,10,0.016237767391887217,0.1966903073286052,0.23829787234042554
cbow,1,3,5,1.2742749857031335,0.1996229083195852,0.2033898305084746
skipgram,1,3,5,0.04281332398719394,0.8003770916804148,0.7966101694915254
svd,1,3,5,0.026366508987303583,0.19574468085106383,0.23829787234042554
cbow,1,3,6,1.2742749857031335,0.1996229083195852,0.2055084745762712
skipgram,1,3,6,14.38449888287663,0.8003770916804148,0.7966101694915254
svd,1,3,6,0.06951927961775606,0.19574468085106383,0.23829787234042554
cbow,1,3,7,23.357214690901213,0.19985859061984446,0.2033898305084746
skipgram,1,3,7,0.04281332398719394,0.8003770916804148,0.7966101694915254
svd,1,3,7,0.01,0.19574468085106383,0.23829787234042554
cbow,1,3,8,2.06913808111479,0.2000942729201037,0.2033898305084746
skipgram,1,3,8,0.7847599703514611,0.8003770916804148,0.7966101694915254
svd,1,3,8,0.01,0.19574468085106383,0.23829787234042554
cbow,1,3,9,1.2742749857031335,0.20032995522036295,0.2033898305084746
skipgram,1,3,9,0.4832930238571752,0.8003770916804148,0.7966101694915254
svd,1,3,9,0.01,0.19574468085106383,0.23829787234042554
cbow,1,3,10,0.4832930238571752,0.20032995522036295,0.2055084745762712
skipgram,1,3,10,2.06913808111479,0.8003770916804148,0.7966101694915254
svd,1,3,10,0.01,0.19598108747044918,0.2404255319148936
cbow,1,4,5,0.18329807108324356,0.1996229083195852,0.2033898305084746
skipgram,1,4,5,0.04281332398719394,0.8003770916804148,0.7966101694915254
svd,1,4,5,0.04281332398719394,0.19574468085106383,0.23829787234042554
cbow,1,4,6,0.18329807108324356,0.1996229083195852,0.2033898305084746
skipgram,1,4,6,2.06913808111479,0.8003770916804148,0.7966101694915254
svd,1,4,6,0.016237767391887217,0.19574468085106383,0.23829787234042554
cbow,1,4,7,2.06913808111479,0.19985859061984446,0.2033898305084746
skipgram,1,4,7,0.11288378916846889,0.8003770916804148,0.7966101694915254
