emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.01,0.5404129793510325,0.5132275132275133
skipgram,1,2,5,0.016237767391887217,0.49734513274336284,0.5238095238095238
svd,1,2,5,0.04281332398719394,0.5041371158392435,0.4627659574468085
cbow,1,2,6,0.01,0.5339233038348082,0.5767195767195767
skipgram,1,2,6,0.7847599703514611,0.5026548672566372,0.47619047619047616
svd,1,2,6,0.01,0.5053191489361702,0.5478723404255319
cbow,1,2,7,0.01,0.5073746312684366,0.5343915343915344
skipgram,1,2,7,0.026366508987303583,0.5026548672566372,0.47619047619047616
svd,1,2,7,0.026366508987303583,0.49940898345153667,0.5212765957446809
cbow,1,2,8,0.06951927961775606,0.5014749262536873,0.5238095238095238
skipgram,1,2,8,0.11288378916846889,0.5026548672566372,0.47619047619047616
svd,1,2,8,1.2742749857031335,0.491725768321513,0.526595744680851
cbow,1,2,9,0.016237767391887217,0.5026548672566372,0.5343915343915344
skipgram,1,2,9,0.4832930238571752,0.6017699115044248,0.5555555555555556
svd,1,2,9,0.026366508987303583,0.48877068557919623,0.5478723404255319
cbow,1,2,10,0.01,0.503834808259587,0.5238095238095238
skipgram,1,2,10,14.38449888287663,0.6867256637168142,0.6613756613756614
svd,1,2,10,0.7847599703514611,0.4929078014184397,0.526595744680851
cbow,1,3,5,0.29763514416313175,0.8420742486741308,0.8518518518518519
skipgram,1,3,5,0.01,0.4991160872127283,0.5079365079365079
svd,1,3,5,0.4832930238571752,0.5041371158392435,0.4627659574468085
cbow,1,3,6,0.026366508987303583,0.7318797878609311,0.7513227513227513
skipgram,1,3,6,0.01,0.4991160872127283,0.5079365079365079
svd,1,3,6,0.06951927961775606,0.5041371158392435,0.4627659574468085
cbow,1,3,7,0.016237767391887217,0.652327637006482,0.671957671957672
skipgram,1,3,7,0.4832930238571752,0.4991160872127283,0.5079365079365079
svd,1,3,7,0.29763514416313175,0.5041371158392435,0.4627659574468085
cbow,1,3,8,0.026366508987303583,0.8367707719505009,0.8624338624338624
skipgram,1,3,8,0.29763514416313175,0.4991160872127283,0.5079365079365079
svd,1,3,8,0.18329807108324356,0.5041371158392435,0.4627659574468085
cbow,1,3,9,0.026366508987303583,0.915144372421921,0.9206349206349206
skipgram,1,3,9,0.29763514416313175,0.5002946375957572,0.5079365079365079
svd,1,3,9,0.11288378916846889,0.5041371158392435,0.4627659574468085
cbow,1,3,10,0.016237767391887217,0.9051266941661756,0.9047619047619048
skipgram,1,3,10,0.4832930238571752,0.5020624631703006,0.5079365079365079
svd,1,3,10,0.04281332398719394,0.5041371158392435,0.4627659574468085
cbow,1,4,5,0.04281332398719394,0.8456098998232174,0.8624338624338624
skipgram,1,4,5,0.01,0.4991160872127283,0.5079365079365079
svd,1,4,5,3.359818286283781,0.5041371158392435,0.4627659574468085
cbow,1,4,6,0.06951927961775606,0.9322333529758398,0.9576719576719577
skipgram,1,4,6,0.026366508987303583,0.4991160872127283,0.5079365079365079
svd,1,4,6,0.18329807108324356,0.5041371158392435,0.4627659574468085
cbow,1,4,7,0.04281332398719394,0.7200942840306424,0.7407407407407407
skipgram,1,4,7,0.04281332398719394,0.4991160872127283,0.5079365079365079
svd,1,4,7,0.016237767391887217,0.5041371158392435,0.4627659574468085
cbow,1,4,8,1.2742749857031335,0.6352386564525634,0.6402116402116402
skipgram,1,4,8,0.11288378916846889,0.4991160872127283,0.5079365079365079
svd,1,4,8,1.2742749857031335,0.5041371158392435,0.4627659574468085
cbow,1,4,9,0.04281332398719394,0.854449027695934,0.8518518518518519
skipgram,1,4,9,0.7847599703514611,0.4991160872127283,0.5079365079365079
svd,1,4,9,0.4832930238571752,0.5041371158392435,0.4627659574468085
cbow,1,4,10,0.11288378916846889,0.8332351208014143,0.8465608465608465
skipgram,1,4,10,0.01,0.4991160872127283,0.5079365079365079
svd,1,4,10,0.4832930238571752,0.5041371158392435,0.4627659574468085
cbow,1,5,5,0.04281332398719394,0.9126843657817109,0.8994708994708994
skipgram,1,5,5,3.359818286283781,0.5026548672566372,0.47619047619047616
svd,1,5,5,0.01,0.5041371158392435,0.4627659574468085
cbow,1,5,6,0.06951927961775606,0.7616519174041297,0.7777777777777778
skipgram,1,5,6,0.016237767391887217,0.5026548672566372,0.47619047619047616
svd,1,5,6,0.06951927961775606,0.5041371158392435,0.4627659574468085
cbow,1,5,7,0.06951927961775606,0.7321533923303835,0.7354497354497355
skipgram,1,5,7,0.04281332398719394,0.5026548672566372,0.47619047619047616
svd,1,5,7,0.01,0.5041371158392435,0.4627659574468085
cbow,1,5,8,0.11288378916846889,0.7787610619469026,0.8042328042328042
skipgram,1,5,8,0.29763514416313175,0.5026548672566372,0.47619047619047616
svd,1,5,8,0.026366508987303583,0.5041371158392435,0.4627659574468085
cbow,1,5,9,0.11288378916846889,0.5681415929203539,0.5978835978835979
skipgram,1,5,9,0.4832930238571752,0.5026548672566372,0.47619047619047616
svd,1,5,9,0.016237767391887217,0.5041371158392435,0.4627659574468085
cbow,1,5,10,0.04281332398719394,0.7168141592920354,0.7248677248677249
skipgram,1,5,10,0.016237767391887217,0.5026548672566372,0.47619047619047616
svd,1,5,10,0.016237767391887217,0.5041371158392435,0.4627659574468085
cbow,1,6,5,0.06951927961775606,0.8979351032448377,0.8994708994708994
skipgram,1,6,5,0.04281332398719394,0.5026548672566372,0.47619047619047616
svd,1,6,5,0.01,0.5041371158392435,0.4627659574468085
cbow,1,6,6,0.11288378916846889,0.8395280235988201,0.8095238095238095
skipgram,1,6,6,0.016237767391887217,0.5026548672566372,0.47619047619047616
svd,1,6,6,0.01,0.5059101654846335,0.46808510638297873
