emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,5,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,5,0.01,0.7884206045125586,0.7816091954022989
SVD,1,2,6,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,6,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,6,0.01,0.7990634312473393,0.7931034482758621
SVD,1,2,7,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,7,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,7,14.38449888287663,0.7471264367816092,0.7318007662835249
SVD,1,2,8,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,8,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,8,14.38449888287663,0.7850148999574287,0.7662835249042146
SVD,1,2,9,0.01,0.7934782608695652,0.8532608695652174
cbow,1,2,9,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,9,5.455594781168514,0.7884206045125586,0.7854406130268199
SVD,1,2,10,0.01,0.7542270531400966,0.8043478260869565
cbow,1,2,10,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,10,0.29763514416313175,0.7939548744146445,0.7816091954022989
SVD,1,3,5,0.01,0.7966573816155988,0.83
cbow,1,3,5,0.01,0.7531806615776081,0.732824427480916
skipgram,1,3,5,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,6,0.01,0.7966573816155988,0.83
cbow,1,3,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,6,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,7,0.01,0.7966573816155988,0.83
cbow,1,3,7,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,7,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,8,0.01,0.7966573816155988,0.83
cbow,1,3,8,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,8,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,9,0.01,0.7966573816155988,0.83
cbow,1,3,9,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,9,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,10,0.01,0.7966573816155988,0.83
cbow,1,3,10,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,10,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,5,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,5,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,5,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,6,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,6,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,7,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,7,0.01,0.7888040712468194,0.7786259541984732
skipgram,1,4,7,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,8,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,8,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,8,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,9,0.01,0.7944732297063903,0.8497409326424871
