emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.7847599703514611,0.49295774647887325,0.5631067961165048
cbow,1,2,5,0.4832930238571752,0.5026624068157615,0.47619047619047616
skipgram,1,2,5,0.016237767391887217,0.5026624068157615,0.47619047619047616
SVD,1,2,6,0.11288378916846889,0.49295774647887325,0.5631067961165048
cbow,1,2,6,0.7847599703514611,0.5026624068157615,0.47619047619047616
skipgram,1,2,6,0.016237767391887217,0.5026624068157615,0.47619047619047616
SVD,1,2,7,0.18329807108324356,0.49295774647887325,0.5631067961165048
cbow,1,2,7,8.858667904100823,0.5026624068157615,0.47619047619047616
skipgram,1,2,7,0.01,0.5026624068157615,0.47619047619047616
SVD,1,2,8,0.04281332398719394,0.49295774647887325,0.5631067961165048
cbow,1,2,8,0.06951927961775606,0.5026624068157615,0.47619047619047616
skipgram,1,2,8,0.01,0.5026624068157615,0.47619047619047616
SVD,1,2,9,0.06951927961775606,0.49295774647887325,0.5631067961165048
cbow,1,2,9,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,1,2,9,0.04281332398719394,0.5026624068157615,0.47619047619047616
SVD,1,2,10,0.06951927961775606,0.49295774647887325,0.5631067961165048
cbow,1,2,10,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,1,2,10,0.01,0.5026624068157615,0.47619047619047616
SVD,1,3,5,0.016237767391887217,0.503800217155266,0.46601941747572817
cbow,1,3,5,0.18329807108324356,0.5026511134676565,0.47619047619047616
skipgram,1,3,5,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,3,6,0.026366508987303583,0.503800217155266,0.46601941747572817
cbow,1,3,6,0.06951927961775606,0.5026511134676565,0.47619047619047616
skipgram,1,3,6,0.04281332398719394,0.5026511134676565,0.47619047619047616
SVD,1,3,7,0.18329807108324356,0.503800217155266,0.46601941747572817
cbow,1,3,7,0.04281332398719394,0.5026511134676565,0.47619047619047616
skipgram,1,3,7,0.026366508987303583,0.5026511134676565,0.47619047619047616
SVD,1,3,8,0.7847599703514611,0.503800217155266,0.46601941747572817
cbow,1,3,8,0.06951927961775606,0.5026511134676565,0.47619047619047616
skipgram,1,3,8,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,3,9,0.06951927961775606,0.503800217155266,0.46601941747572817
cbow,1,3,9,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,3,9,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,3,10,0.29763514416313175,0.503800217155266,0.46601941747572817
cbow,1,3,10,8.858667904100823,0.5026511134676565,0.47619047619047616
skipgram,1,3,10,0.016237767391887217,0.5026511134676565,0.47619047619047616
SVD,1,4,5,0.06951927961775606,0.49782135076252726,0.5196078431372549
cbow,1,4,5,0.026366508987303583,0.5026511134676565,0.47619047619047616
skipgram,1,4,5,0.04281332398719394,0.5026511134676565,0.47619047619047616
SVD,1,4,6,0.01,0.49782135076252726,0.5196078431372549
cbow,1,4,6,0.04281332398719394,0.5026511134676565,0.47619047619047616
skipgram,1,4,6,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,4,7,0.01,0.49782135076252726,0.5196078431372549
cbow,1,4,7,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,4,7,0.4832930238571752,0.5026511134676565,0.47619047619047616
SVD,1,4,8,0.06951927961775606,0.49782135076252726,0.5196078431372549
cbow,1,4,8,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,4,8,0.01,0.5026511134676565,0.47619047619047616
SVD,1,4,9,0.06951927961775606,0.49782135076252726,0.5196078431372549
cbow,1,4,9,0.026366508987303583,0.5026511134676565,0.47619047619047616
skipgram,1,4,9,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,4,10,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,4,10,1.2742749857031335,0.5026511134676565,0.47619047619047616
skipgram,1,4,10,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,5,5,0.016237767391887217,0.49782135076252726,0.5196078431372549
cbow,1,5,5,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,5,5,3.359818286283781,0.5026511134676565,0.47619047619047616
SVD,1,5,6,0.29763514416313175,0.49782135076252726,0.5196078431372549
cbow,1,5,6,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,5,6,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,5,7,0.06951927961775606,0.49782135076252726,0.5196078431372549
cbow,1,5,7,0.026366508987303583,0.5026511134676565,0.47619047619047616
skipgram,1,5,7,0.04281332398719394,0.5026511134676565,0.47619047619047616
SVD,1,5,8,0.04281332398719394,0.49782135076252726,0.5196078431372549
cbow,1,5,8,0.06951927961775606,0.5026511134676565,0.47619047619047616
skipgram,1,5,8,0.026366508987303583,0.5026511134676565,0.47619047619047616
SVD,1,5,9,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,5,9,0.18329807108324356,0.5026511134676565,0.47619047619047616
skipgram,1,5,9,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,5,10,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,5,10,2.06913808111479,0.5026511134676565,0.47619047619047616
skipgram,1,5,10,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,6,5,0.026366508987303583,0.49782135076252726,0.5196078431372549
cbow,1,6,5,0.7847599703514611,0.5037037037037037,0.4666666666666667
skipgram,1,6,5,0.29763514416313175,0.5037037037037037,0.4666666666666667
SVD,1,6,6,0.026366508987303583,0.49782135076252726,0.5196078431372549
cbow,1,6,6,0.18329807108324356,0.5037037037037037,0.4666666666666667
skipgram,1,6,6,0.11288378916846889,0.5037037037037037,0.4666666666666667
SVD,1,6,7,0.7847599703514611,0.49782135076252726,0.5196078431372549
cbow,1,6,7,0.7847599703514611,0.5037037037037037,0.4666666666666667
skipgram,1,6,7,0.4832930238571752,0.5037037037037037,0.4666666666666667
SVD,1,6,8,0.04281332398719394,0.49782135076252726,0.5196078431372549
cbow,1,6,8,3.359818286283781,0.5037037037037037,0.4666666666666667
skipgram,1,6,8,0.4832930238571752,0.5037037037037037,0.4666666666666667
SVD,1,6,9,0.29763514416313175,0.49782135076252726,0.5196078431372549
cbow,1,6,9,0.29763514416313175,0.5037037037037037,0.4666666666666667
skipgram,1,6,9,0.18329807108324356,0.5037037037037037,0.4666666666666667
SVD,1,6,10,0.4832930238571752,0.49782135076252726,0.5196078431372549
cbow,1,6,10,0.11288378916846889,0.5037037037037037,0.4666666666666667
skipgram,1,6,10,0.11288378916846889,0.5037037037037037,0.4666666666666667
SVD,1,7,5,0.11288378916846889,0.49671772428884026,0.5294117647058824
cbow,1,7,5,1.2742749857031335,0.5026511134676565,0.47619047619047616
skipgram,1,7,5,0.026366508987303583,0.5026511134676565,0.47619047619047616
SVD,1,7,6,0.04281332398719394,0.49671772428884026,0.5294117647058824
cbow,1,7,6,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,7,6,0.18329807108324356,0.5026511134676565,0.47619047619047616
SVD,1,7,7,0.29763514416313175,0.49671772428884026,0.5294117647058824
cbow,1,7,7,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,7,7,0.29763514416313175,0.5026511134676565,0.47619047619047616
SVD,1,7,8,0.01,0.49671772428884026,0.5294117647058824
cbow,1,7,8,0.18329807108324356,0.5026511134676565,0.47619047619047616
skipgram,1,7,8,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,7,9,0.4832930238571752,0.49671772428884026,0.5294117647058824
cbow,1,7,9,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,7,9,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,7,10,0.026366508987303583,0.49671772428884026,0.5294117647058824
cbow,1,7,10,0.4832930238571752,0.5026511134676565,0.47619047619047616
skipgram,1,7,10,0.04281332398719394,0.5026511134676565,0.47619047619047616
SVD,1,8,5,0.04281332398719394,0.49671772428884026,0.5294117647058824
cbow,1,8,5,0.29763514416313175,0.5026511134676565,0.47619047619047616
skipgram,1,8,5,0.01,0.5026511134676565,0.47619047619047616
SVD,1,8,6,0.04281332398719394,0.49671772428884026,0.5294117647058824
cbow,1,8,6,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,8,6,0.4832930238571752,0.5026511134676565,0.47619047619047616
SVD,1,8,7,0.04281332398719394,0.49671772428884026,0.5294117647058824
cbow,1,8,7,0.29763514416313175,0.5026511134676565,0.47619047619047616
skipgram,1,8,7,0.04281332398719394,0.5026511134676565,0.47619047619047616
SVD,1,8,8,0.04281332398719394,0.49671772428884026,0.5294117647058824
cbow,1,8,8,0.7847599703514611,0.5026511134676565,0.47619047619047616
skipgram,1,8,8,0.026366508987303583,0.5026511134676565,0.47619047619047616
SVD,1,8,9,0.18329807108324356,0.49671772428884026,0.5294117647058824
cbow,1,8,9,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,8,9,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,8,10,0.06951927961775606,0.49671772428884026,0.5294117647058824
cbow,1,8,10,0.4832930238571752,0.5026511134676565,0.47619047619047616
skipgram,1,8,10,23.357214690901213,0.5026511134676565,0.47619047619047616
SVD,2,2,5,0.11288378916846889,0.49295774647887325,0.5631067961165048
cbow,2,2,5,0.016237767391887217,0.5026624068157615,0.47619047619047616
skipgram,2,2,5,1.2742749857031335,0.7657082002129926,0.7904761904761904
SVD,2,2,6,0.11288378916846889,0.49295774647887325,0.5631067961165048
cbow,2,2,6,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,2,2,6,0.01,0.5026624068157615,0.47619047619047616
SVD,2,2,7,0.4832930238571752,0.49295774647887325,0.5631067961165048
cbow,2,2,7,0.01,0.5026624068157615,0.47619047619047616
skipgram,2,2,7,0.4832930238571752,0.6293929712460063,0.580952380952381
SVD,2,2,8,0.026366508987303583,0.49295774647887325,0.5631067961165048
cbow,2,2,8,0.01,0.5026624068157615,0.47619047619047616
skipgram,2,2,8,0.29763514416313175,0.5463258785942492,0.5047619047619047
SVD,2,2,9,0.016237767391887217,0.49295774647887325,0.5631067961165048
cbow,2,2,9,0.026366508987303583,0.5026624068157615,0.47619047619047616
skipgram,2,2,9,0.18329807108324356,0.5239616613418531,0.5047619047619047
SVD,2,2,10,0.4832930238571752,0.49295774647887325,0.5631067961165048
cbow,2,2,10,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,2,2,10,0.026366508987303583,0.5026624068157615,0.47619047619047616
SVD,2,3,5,0.11288378916846889,0.503800217155266,0.46601941747572817
cbow,2,3,5,0.01,0.5026511134676565,0.47619047619047616
skipgram,2,3,5,0.01,0.5026511134676565,0.47619047619047616
SVD,2,3,6,0.06951927961775606,0.503800217155266,0.46601941747572817
cbow,2,3,6,0.06951927961775606,0.5026511134676565,0.47619047619047616
skipgram,2,3,6,0.01,0.5026511134676565,0.47619047619047616
SVD,2,3,7,0.04281332398719394,0.503800217155266,0.46601941747572817
cbow,2,3,7,0.01,0.5026511134676565,0.47619047619047616
skipgram,2,3,7,23.357214690901213,0.5026511134676565,0.47619047619047616
SVD,2,3,8,0.016237767391887217,0.503800217155266,0.46601941747572817
cbow,2,3,8,0.29763514416313175,0.5026511134676565,0.47619047619047616
skipgram,2,3,8,0.18329807108324356,0.5026511134676565,0.47619047619047616
SVD,2,3,9,0.11288378916846889,0.503800217155266,0.46601941747572817
cbow,2,3,9,0.4832930238571752,0.5196182396606575,0.5047619047619047
skipgram,2,3,9,0.01,0.5026511134676565,0.47619047619047616
SVD,2,3,10,0.06951927961775606,0.503800217155266,0.46601941747572817
cbow,2,3,10,0.04281332398719394,0.5026511134676565,0.47619047619047616
skipgram,2,3,10,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,2,4,5,0.026366508987303583,0.49782135076252726,0.5196078431372549
cbow,2,4,5,0.29763514416313175,0.5026511134676565,0.47619047619047616
