emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.06951927961775606,0.5005555555555555,0.495
cbow,1,2,5,0.01,0.5377777777777778,0.55
skipgram,1,2,5,0.016237767391887217,0.5,0.51
SVD,1,2,6,0.01,0.5005555555555555,0.495
cbow,1,2,6,0.01,0.5627777777777778,0.535
skipgram,1,2,6,0.016237767391887217,0.5672222222222222,0.605
SVD,1,2,7,0.016237767391887217,0.5005555555555555,0.495
cbow,1,2,7,0.04281332398719394,0.5083333333333333,0.495
skipgram,1,2,7,0.01,0.7327777777777778,0.665
SVD,1,2,8,0.04281332398719394,0.5005555555555555,0.495
cbow,1,2,8,0.026366508987303583,0.5116666666666667,0.505
skipgram,1,2,8,14.38449888287663,0.7416666666666667,0.765
SVD,1,2,9,1.2742749857031335,0.5005555555555555,0.495
cbow,1,2,9,0.016237767391887217,0.5061111111111111,0.515
skipgram,1,2,9,23.357214690901213,0.5338888888888889,0.54
SVD,1,2,10,0.06951927961775606,0.5005555555555555,0.495
cbow,1,2,10,0.06951927961775606,0.5105555555555555,0.51
skipgram,1,2,10,0.01,0.6644444444444444,0.6
SVD,1,3,5,0.06951927961775606,0.5005555555555555,0.495
cbow,1,3,5,0.01,0.49944444444444447,0.505
skipgram,1,3,5,0.01,0.49944444444444447,0.505
SVD,1,3,6,0.01,0.5005555555555555,0.495
cbow,1,3,6,0.01,0.5261111111111111,0.535
skipgram,1,3,6,0.01,0.49944444444444447,0.505
SVD,1,3,7,0.01,0.5005555555555555,0.495
cbow,1,3,7,0.01,0.51,0.505
skipgram,1,3,7,0.01,0.49944444444444447,0.505
SVD,1,3,8,0.01,0.5005555555555555,0.495
cbow,1,3,8,0.016237767391887217,0.5233333333333333,0.53
skipgram,1,3,8,0.01,0.49944444444444447,0.505
SVD,1,3,9,0.01,0.5005555555555555,0.495
cbow,1,3,9,0.01,0.5483333333333333,0.525
skipgram,1,3,9,0.026366508987303583,0.49944444444444447,0.505
SVD,1,3,10,0.01,0.5005555555555555,0.495
cbow,1,3,10,0.01,0.5,0.47
skipgram,1,3,10,0.01,0.49944444444444447,0.505
SVD,1,4,5,0.01,0.5005555555555555,0.495
cbow,1,4,5,0.29763514416313175,0.49944444444444447,0.505
skipgram,1,4,5,0.06951927961775606,0.49944444444444447,0.505
SVD,1,4,6,0.04281332398719394,0.5005555555555555,0.495
cbow,1,4,6,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,4,6,0.06951927961775606,0.49944444444444447,0.505
SVD,1,4,7,0.06951927961775606,0.5005555555555555,0.495
cbow,1,4,7,0.01,0.49944444444444447,0.505
skipgram,1,4,7,0.04281332398719394,0.49944444444444447,0.505
SVD,1,4,8,0.01,0.5005555555555555,0.495
cbow,1,4,8,0.01,0.49944444444444447,0.505
skipgram,1,4,8,0.026366508987303583,0.49944444444444447,0.505
SVD,1,4,9,0.01,0.5005555555555555,0.495
cbow,1,4,9,0.01,0.49944444444444447,0.5
skipgram,1,4,9,0.016237767391887217,0.49944444444444447,0.505
SVD,1,4,10,0.01,0.5005555555555555,0.495
cbow,1,4,10,0.01,0.5011111111111111,0.505
