emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,5.455594781168514,0.20305193206989908,0.21017699115044247
cbow,1,2,5,0.29763514416313175,0.1976302257992399,0.22132796780684105
skipgram,1,2,5,14.38449888287663,0.21372680527610105,0.2052313883299799
SVD,1,2,6,14.38449888287663,0.2020674378538026,0.21017699115044247
cbow,1,2,6,5.455594781168514,0.1976302257992399,0.22132796780684105
skipgram,1,2,6,23.357214690901213,0.21014978761457634,0.2012072434607646
SVD,1,2,7,5.455594781168514,0.2020674378538026,0.2079646017699115
cbow,1,2,7,5.455594781168514,0.1976302257992399,0.22132796780684105
skipgram,1,2,7,5.455594781168514,0.20612564274536105,0.2012072434607646
SVD,1,2,8,0.7847599703514611,0.20034457297563377,0.2079646017699115
cbow,1,2,8,0.7847599703514611,0.1976302257992399,0.22132796780684105
skipgram,1,2,8,100.0,0.2155153141068634,0.2052313883299799
SVD,1,2,9,8.858667904100823,0.20157519074575436,0.21017699115044247
cbow,1,2,9,23.357214690901213,0.1976302257992399,0.22132796780684105
skipgram,1,2,9,61.584821106602604,0.21350324167225576,0.20321931589537223
SVD,1,2,10,3.359818286283781,0.21954221018951514,0.22566371681415928
cbow,1,2,10,8.858667904100823,0.1976302257992399,0.22132796780684105
skipgram,1,2,10,3.359818286283781,0.2076905879722781,0.20724346076458752
SVD,1,3,5,14.38449888287663,0.20547298891247937,0.2356687898089172
cbow,1,3,5,23.357214690901213,0.1976302257992399,0.22132796780684105
skipgram,1,3,5,5.455594781168514,0.3080706460988151,0.32193158953722334
SVD,1,3,6,23.357214690901213,0.199103562160887,0.2229299363057325
cbow,1,3,6,37.92690190732246,0.1976302257992399,0.22132796780684105
skipgram,1,3,6,3.359818286283781,0.3266264252179745,0.34004024144869216
SVD,1,3,7,5.455594781168514,0.199103562160887,0.2229299363057325
cbow,1,3,7,61.584821106602604,0.2005365526492287,0.19517102615694165
skipgram,1,3,7,37.92690190732246,0.2872792309412028,0.3038229376257545
SVD,1,3,8,0.04281332398719394,0.199103562160887,0.22717622080679406
cbow,1,3,8,14.38449888287663,0.2005365526492287,0.19517102615694165
skipgram,1,3,8,5.455594781168514,0.21395036887994634,0.2012072434607646
SVD,1,3,9,0.7847599703514611,0.19933946685539042,0.2229299363057325
cbow,1,3,9,8.858667904100823,0.2005365526492287,0.19517102615694165
skipgram,1,3,9,1.2742749857031335,0.2564274536105522,0.25553319919517103
SVD,1,3,10,0.11288378916846889,0.19933946685539042,0.2229299363057325
cbow,1,3,10,61.584821106602604,0.2005365526492287,0.19517102615694165
skipgram,1,3,10,5.455594781168514,0.32014308070646097,0.33400402414486924
SVD,1,4,5,0.7847599703514611,0.20913348946135832,0.2063157894736842
cbow,1,4,5,3.359818286283781,0.2005365526492287,0.19517102615694165
skipgram,1,4,5,37.92690190732246,0.30292868321037336,0.3158953722334004
SVD,1,4,6,23.357214690901213,0.20679156908665106,0.20210526315789473
cbow,1,4,6,61.584821106602604,0.20008942544153813,0.19919517102615694
skipgram,1,4,6,5.455594781168514,0.30292868321037336,0.323943661971831
SVD,1,4,7,3.359818286283781,0.20913348946135832,0.20421052631578948
cbow,1,4,7,1.2742749857031335,0.20008942544153813,0.19919517102615694
skipgram,1,4,7,0.7847599703514611,0.31544824502570984,0.2977867203219316
SVD,1,4,8,5.455594781168514,0.20843091334894615,0.1957894736842105
cbow,1,4,8,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,4,8,0.29763514416313175,0.3116476637603398,0.3058350100603622
SVD,1,4,9,0.06951927961775606,0.20140515222482436,0.2
cbow,1,4,9,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,4,9,0.4832930238571752,0.3100827185334228,0.3380281690140845
SVD,1,4,10,0.4832930238571752,0.202576112412178,0.1957894736842105
cbow,1,4,10,3.359818286283781,0.20008942544153813,0.19919517102615694
skipgram,1,4,10,2.06913808111479,0.31433042700648334,0.3501006036217304
SVD,1,5,5,0.04281332398719394,0.19986152780983152,0.22199170124481327
cbow,1,5,5,2.06913808111479,0.20008942544153813,0.19919517102615694
skipgram,1,5,5,5.455594781168514,0.20008942544153813,0.19919517102615694
SVD,1,5,6,0.11288378916846889,0.2024001846295869,0.21991701244813278
cbow,1,5,6,5.455594781168514,0.20008942544153813,0.19919517102615694
skipgram,1,5,6,0.18329807108324356,0.20008942544153813,0.19919517102615694
SVD,1,5,7,14.38449888287663,0.20586198938379877,0.21784232365145229
cbow,1,5,7,3.359818286283781,0.20008942544153813,0.19919517102615694
skipgram,1,5,7,1.2742749857031335,0.20008942544153813,0.19919517102615694
SVD,1,5,8,0.29763514416313175,0.20655435033464112,0.22406639004149378
cbow,1,5,8,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,5,8,0.7847599703514611,0.20008942544153813,0.19919517102615694
SVD,1,5,9,5.455594781168514,0.20655435033464112,0.21784232365145229
cbow,1,5,9,2.06913808111479,0.20008942544153813,0.19919517102615694
skipgram,1,5,9,2.06913808111479,0.20008942544153813,0.19919517102615694
SVD,1,5,10,23.357214690901213,0.2084006462035541,0.22614107883817428
cbow,1,5,10,23.357214690901213,0.20008942544153813,0.19919517102615694
skipgram,1,5,10,8.858667904100823,0.20008942544153813,0.19919517102615694
SVD,1,6,5,0.01,0.2024793388429752,0.19421487603305784
cbow,1,6,5,61.584821106602604,0.20008942544153813,0.19919517102615694
skipgram,1,6,5,0.7847599703514611,0.2119382964453387,0.20925553319919518
SVD,1,6,6,0.4832930238571752,0.20293847566574838,0.19008264462809918
cbow,1,6,6,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,6,6,5.455594781168514,0.20008942544153813,0.19919517102615694
SVD,1,6,7,2.06913808111479,0.26377410468319556,0.23140495867768596
cbow,1,6,7,37.92690190732246,0.20008942544153813,0.19919517102615694
skipgram,1,6,7,14.38449888287663,0.20008942544153813,0.19919517102615694
SVD,1,6,8,0.4832930238571752,0.2091368227731864,0.2066115702479339
cbow,1,6,8,5.455594781168514,0.20008942544153813,0.19919517102615694
skipgram,1,6,8,61.584821106602604,0.20008942544153813,0.19919517102615694
SVD,1,6,9,0.01,0.2727272727272727,0.24380165289256198
cbow,1,6,9,3.359818286283781,0.20008942544153813,0.19919517102615694
skipgram,1,6,9,2.06913808111479,0.20008942544153813,0.19919517102615694
SVD,1,6,10,0.016237767391887217,0.22819100091827366,0.2024793388429752
cbow,1,6,10,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,6,10,8.858667904100823,0.20008942544153813,0.19919517102615694
SVD,1,7,5,0.11288378916846889,0.20389461626575028,0.22268041237113403
cbow,1,7,5,2.06913808111479,0.20008942544153813,0.19919517102615694
skipgram,1,7,5,0.4832930238571752,0.20008942544153813,0.19919517102615694
SVD,1,7,6,0.04281332398719394,0.2013745704467354,0.22061855670103092
cbow,1,7,6,0.7847599703514611,0.20008942544153813,0.19919517102615694
skipgram,1,7,6,0.7847599703514611,0.20008942544153813,0.19919517102615694
SVD,1,7,7,0.04281332398719394,0.2027491408934708,0.2268041237113402
cbow,1,7,7,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,7,7,8.858667904100823,0.20008942544153813,0.19919517102615694
SVD,1,7,8,5.455594781168514,0.20549828178694157,0.21649484536082475
cbow,1,7,8,61.584821106602604,0.20008942544153813,0.19919517102615694
skipgram,1,7,8,100.0,0.20008942544153813,0.19919517102615694
SVD,1,7,9,2.06913808111479,0.2034364261168385,0.2309278350515464
cbow,1,7,9,0.7847599703514611,0.20008942544153813,0.19919517102615694
skipgram,1,7,9,2.06913808111479,0.20008942544153813,0.19919517102615694
SVD,1,7,10,0.4832930238571752,0.20526918671248567,0.2268041237113402
cbow,1,7,10,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,7,10,3.359818286283781,0.20008942544153813,0.19919517102615694
SVD,1,8,5,1.2742749857031335,0.2055390249485008,0.205761316872428
cbow,1,8,5,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,8,5,0.11288378916846889,0.20008942544153813,0.19919517102615694
SVD,1,8,6,23.357214690901213,0.2055390249485008,0.19958847736625515
cbow,1,8,6,100.0,0.20008942544153813,0.19919517102615694
skipgram,1,8,6,37.92690190732246,0.20008942544153813,0.19919517102615694
SVD,1,8,7,3.359818286283781,0.20645456626230257,0.19547325102880658
cbow,1,8,7,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,8,7,0.18329807108324356,0.20008942544153813,0.19919517102615694
SVD,1,8,8,23.357214690901213,0.20622568093385213,0.19958847736625515
cbow,1,8,8,61.584821106602604,0.20008942544153813,0.19919517102615694
