emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.11288378916846889,0.7976864385921733,0.8207964601769911
cbow,1,2,5,0.01,0.3641851106639839,0.39436619718309857
skipgram,1,2,5,0.29763514416313175,0.8940308517773307,0.9014084507042254
SVD,1,2,6,0.016237767391887217,0.721142013290672,0.7079646017699115
cbow,1,2,6,0.01,0.43617259110216855,0.47283702213279677
skipgram,1,2,6,0.01,0.914822266934943,0.93158953722334
SVD,1,2,7,0.4832930238571752,0.7976864385921733,0.8207964601769911
cbow,1,2,7,0.01,0.4864744019673597,0.5090543259557344
skipgram,1,2,7,0.01,0.9646769505924435,0.9617706237424547
SVD,1,2,8,5.455594781168514,0.7976864385921733,0.8207964601769911
cbow,1,2,8,0.01,0.5533199195171026,0.5593561368209256
skipgram,1,2,8,0.06951927961775606,0.9760786943885535,0.9879275653923542
SVD,1,2,9,3.359818286283781,0.7976864385921733,0.8207964601769911
cbow,1,2,9,0.06951927961775606,0.5714285714285714,0.6016096579476862
skipgram,1,2,9,0.016237767391887217,0.9890453834115805,0.9859154929577465
SVD,1,2,10,2.06913808111479,0.7976864385921733,0.8207964601769911
cbow,1,2,10,0.04281332398719394,0.6139056561591772,0.6619718309859155
skipgram,1,2,10,0.01,0.9850212385423653,0.9859154929577465
SVD,1,3,5,2.06913808111479,0.7980655815050719,0.8174097664543525
cbow,1,3,5,0.01,0.28012519561815336,0.30181086519114686
skipgram,1,3,5,0.11288378916846889,0.7860496311200537,0.7967806841046278
SVD,1,3,6,0.06951927961775606,0.7103090351497995,0.6815286624203821
cbow,1,3,6,0.7847599703514611,0.3132126089872569,0.317907444668008
skipgram,1,3,6,0.01,0.8119830091661078,0.8148893360160966
SVD,1,3,7,14.38449888287663,0.7980655815050719,0.8174097664543525
cbow,1,3,7,0.026366508987303583,0.3319919517102616,0.32193158953722334
skipgram,1,3,7,0.026366508987303583,0.8549072211044042,0.8631790744466801
SVD,1,3,8,0.18329807108324356,0.7551309271054494,0.7537154989384289
cbow,1,3,8,0.016237767391887217,0.36194947462553095,0.35412474849094566
skipgram,1,3,8,0.01,0.873686563827409,0.8913480885311871
SVD,1,3,9,0.016237767391887217,0.7610285444680349,0.7367303609341825
cbow,1,3,9,0.026366508987303583,0.3753632908562486,0.3843058350100604
skipgram,1,3,9,0.01,0.918622848200313,0.9114688128772636
SVD,1,3,10,0.016237767391887217,0.6994574192026421,0.7112526539278131
cbow,1,3,10,0.04281332398719394,0.38475296221775096,0.38832997987927564
skipgram,1,3,10,0.01,0.9338251732617929,0.9416498993963782
SVD,1,4,5,100.0,0.61615925058548,0.5936842105263158
cbow,1,4,5,0.04281332398719394,0.25866308964900514,0.24346076458752516
skipgram,1,4,5,0.01,0.7516208361278783,0.7806841046277666
SVD,1,4,6,0.4832930238571752,0.760655737704918,0.7726315789473684
cbow,1,4,6,0.016237767391887217,0.2682763246143528,0.2515090543259557
skipgram,1,4,6,0.026366508987303583,0.7858260675162083,0.8008048289738431
SVD,1,4,7,2.06913808111479,0.7377049180327869,0.7263157894736842
cbow,1,4,7,0.01,0.28034875922199864,0.27565392354124746
skipgram,1,4,7,0.04281332398719394,0.803040465012296,0.8370221327967807
SVD,1,4,8,5.455594781168514,0.45362997658079623,0.45052631578947366
cbow,1,4,8,0.01,0.2982338475296222,0.3118712273641851
skipgram,1,4,8,0.01,0.824279007377599,0.8430583501006036
SVD,1,4,9,100.0,0.7203747072599531,0.7073684210526315
cbow,1,4,9,0.7847599703514611,0.29577464788732394,0.3058350100603622
skipgram,1,4,9,0.026366508987303583,0.8405991504583054,0.8490945674044266
SVD,1,4,10,0.29763514416313175,0.6761124121779859,0.6694736842105263
cbow,1,4,10,0.04281332398719394,0.3286384976525822,0.34004024144869216
skipgram,1,4,10,0.01,0.857813547954393,0.8672032193158954
SVD,1,5,5,5.455594781168514,0.22501730902377107,0.2095435684647303
cbow,1,5,5,0.18329807108324356,0.22714062150681869,0.2414486921529175
skipgram,1,5,5,0.18329807108324356,0.7625754527162978,0.7806841046277666
SVD,1,5,6,0.04281332398719394,0.2483267943687976,0.22406639004149378
cbow,1,5,6,0.01,0.22468142186452045,0.22334004024144868
skipgram,1,5,6,5.455594781168514,0.8001341381623072,0.8209255533199196
SVD,1,5,7,0.01,0.3297945995845834,0.3257261410788382
cbow,1,5,7,0.18329807108324356,0.23027051196065282,0.22535211267605634
skipgram,1,5,7,0.18329807108324356,0.8374692600044713,0.8249496981891348
SVD,1,5,8,0.01,0.3124855758135241,0.31742738589211617
cbow,1,5,8,14.38449888287663,0.23027051196065282,0.2454728370221328
skipgram,1,5,8,0.01,0.812206572769953,0.8209255533199196
SVD,1,5,9,0.01,0.4135702746365105,0.4024896265560166
cbow,1,5,9,3.359818286283781,0.23205902079141516,0.23943661971830985
skipgram,1,5,9,0.01,0.7625754527162978,0.7585513078470825
SVD,1,5,10,0.01,0.4105700438495269,0.4045643153526971
cbow,1,5,10,1.2742749857031335,0.2416722557567628,0.2414486921529175
skipgram,1,5,10,0.01,0.7422311647663761,0.7847082494969819
SVD,1,6,5,0.01,0.2775482093663912,0.2892561983471074
cbow,1,6,5,0.01,0.2012072434607646,0.19919517102615694
skipgram,1,6,5,0.29763514416313175,0.6552649228705567,0.6498993963782697
SVD,1,6,6,37.92690190732246,0.2502295684113866,0.25
cbow,1,6,6,0.01,0.2014308070646099,0.19919517102615694
skipgram,1,6,6,61.584821106602604,0.6724793203666443,0.6921529175050302
SVD,1,6,7,5.455594781168514,0.2532139577594123,0.24793388429752067
cbow,1,6,7,0.01,0.20098367985691928,0.19919517102615694
skipgram,1,6,7,0.29763514416313175,0.6948356807511737,0.704225352112676
SVD,1,6,8,1.2742749857031335,0.28971533516988063,0.30991735537190085
cbow,1,6,8,0.01,0.20031298904538342,0.19919517102615694
skipgram,1,6,8,0.06951927961775606,0.7095908786049631,0.7605633802816901
SVD,1,6,9,0.4832930238571752,0.3174931129476584,0.3181818181818182
cbow,1,6,9,0.01,0.20098367985691928,0.19919517102615694
skipgram,1,6,9,0.04281332398719394,0.7323943661971831,0.7283702213279678
SVD,1,6,10,8.858667904100823,0.35032139577594124,0.34297520661157027
