emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.01,0.5261111111111111,0.53
cbow,1,2,5,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,5,0.026366508987303583,0.49944444444444447,0.505
SVD,1,2,6,0.026366508987303583,0.52,0.52
cbow,1,2,6,0.01,0.5005555555555555,0.495
skipgram,1,2,6,0.18329807108324356,0.49944444444444447,0.505
SVD,1,2,7,0.01,0.5311111111111111,0.53
cbow,1,2,7,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,2,7,0.18329807108324356,0.49944444444444447,0.505
SVD,1,2,8,0.06951927961775606,0.49944444444444447,0.505
cbow,1,2,8,0.01,0.5005555555555555,0.495
skipgram,1,2,8,0.11288378916846889,0.49944444444444447,0.505
SVD,1,2,9,0.026366508987303583,0.49944444444444447,0.505
cbow,1,2,9,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,2,9,0.026366508987303583,0.49944444444444447,0.505
SVD,1,2,10,0.4832930238571752,0.49944444444444447,0.505
cbow,1,2,10,0.01,0.5005555555555555,0.495
skipgram,1,2,10,0.06951927961775606,0.49944444444444447,0.505
SVD,1,3,5,0.06951927961775606,0.5322222222222223,0.53
cbow,1,3,5,0.01,0.5005555555555555,0.495
skipgram,1,3,5,0.04281332398719394,0.49944444444444447,0.505
SVD,1,3,6,0.06951927961775606,0.5205555555555555,0.525
cbow,1,3,6,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,3,6,0.06951927961775606,0.49944444444444447,0.505
SVD,1,3,7,0.016237767391887217,0.5311111111111111,0.52
cbow,1,3,7,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,3,7,2.06913808111479,0.49944444444444447,0.505
SVD,1,3,8,0.016237767391887217,0.5327777777777778,0.54
cbow,1,3,8,0.01,0.49944444444444447,0.505
skipgram,1,3,8,0.11288378916846889,0.49944444444444447,0.505
SVD,1,3,9,0.016237767391887217,0.5288888888888889,0.52
cbow,1,3,9,0.4832930238571752,0.49944444444444447,0.505
skipgram,1,3,9,0.29763514416313175,0.49944444444444447,0.505
SVD,1,3,10,0.016237767391887217,0.5394444444444444,0.55
cbow,1,3,10,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,3,10,0.11288378916846889,0.49944444444444447,0.505
SVD,1,4,5,0.18329807108324356,0.5188888888888888,0.515
cbow,1,4,5,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,4,5,0.4832930238571752,0.49944444444444447,0.505
SVD,1,4,6,0.29763514416313175,0.5311111111111111,0.53
cbow,1,4,6,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,4,6,0.016237767391887217,0.49944444444444447,0.505
SVD,1,4,7,0.29763514416313175,0.525,0.515
cbow,1,4,7,0.016237767391887217,0.49944444444444447,0.505
skipgram,1,4,7,0.04281332398719394,0.49944444444444447,0.505
SVD,1,4,8,0.04281332398719394,0.5305555555555556,0.53
cbow,1,4,8,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,4,8,0.026366508987303583,0.49944444444444447,0.505
