emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.7847599703514611,0.59,0.565
cbow,1,2,5,61.584821106602604,0.5005555555555555,0.495
skipgram,1,2,5,3.359818286283781,0.5005555555555555,0.495
SVD,1,2,6,0.18329807108324356,0.5455555555555556,0.55
cbow,1,2,6,5.455594781168514,0.5005555555555555,0.495
skipgram,1,2,6,0.7847599703514611,0.5005555555555555,0.495
SVD,1,2,7,0.016237767391887217,0.5111111111111111,0.525
cbow,1,2,7,2.06913808111479,0.5005555555555555,0.495
skipgram,1,2,7,0.01,0.5005555555555555,0.495
SVD,1,2,8,2.06913808111479,0.5022222222222222,0.495
cbow,1,2,8,14.38449888287663,0.5005555555555555,0.495
skipgram,1,2,8,3.359818286283781,0.5005555555555555,0.495
SVD,1,2,9,0.01,0.5033333333333333,0.5
cbow,1,2,9,14.38449888287663,0.5005555555555555,0.495
skipgram,1,2,9,5.455594781168514,0.5005555555555555,0.495
SVD,1,2,10,0.06951927961775606,0.5005555555555555,0.495
cbow,1,2,10,61.584821106602604,0.5005555555555555,0.495
skipgram,1,2,10,0.4832930238571752,0.5005555555555555,0.495
SVD,1,3,5,2.06913808111479,0.515,0.505
cbow,1,3,5,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,3,5,0.01,0.5005555555555555,0.495
SVD,1,3,6,0.7847599703514611,0.6755555555555556,0.685
cbow,1,3,6,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,3,6,0.7847599703514611,0.5005555555555555,0.495
SVD,1,3,7,0.18329807108324356,0.5216666666666666,0.515
cbow,1,3,7,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,3,7,0.29763514416313175,0.5005555555555555,0.495
SVD,1,3,8,0.01,0.5527777777777778,0.56
cbow,1,3,8,37.92690190732246,0.5005555555555555,0.495
skipgram,1,3,8,3.359818286283781,0.5005555555555555,0.495
SVD,1,3,9,0.06951927961775606,0.5577777777777778,0.57
cbow,1,3,9,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,3,9,3.359818286283781,0.5005555555555555,0.495
SVD,1,3,10,0.04281332398719394,0.5372222222222223,0.545
cbow,1,3,10,3.359818286283781,0.5005555555555555,0.495
skipgram,1,3,10,8.858667904100823,0.5005555555555555,0.495
SVD,1,4,5,0.18329807108324356,0.5322222222222223,0.54
cbow,1,4,5,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,4,5,0.7847599703514611,0.5005555555555555,0.495
SVD,1,4,6,0.18329807108324356,0.6916666666666667,0.635
cbow,1,4,6,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,4,6,0.4832930238571752,0.5005555555555555,0.495
SVD,1,4,7,1.2742749857031335,0.5638888888888889,0.54
cbow,1,4,7,37.92690190732246,0.5005555555555555,0.495
skipgram,1,4,7,1.2742749857031335,0.5005555555555555,0.495
SVD,1,4,8,2.06913808111479,0.7816666666666666,0.76
cbow,1,4,8,2.06913808111479,0.5005555555555555,0.495
skipgram,1,4,8,0.29763514416313175,0.5005555555555555,0.495
SVD,1,4,9,0.18329807108324356,0.5516666666666666,0.545
cbow,1,4,9,37.92690190732246,0.5005555555555555,0.495
skipgram,1,4,9,0.29763514416313175,0.5005555555555555,0.495
SVD,1,4,10,0.016237767391887217,0.705,0.685
cbow,1,4,10,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,4,10,3.359818286283781,0.5005555555555555,0.495
SVD,1,5,5,0.016237767391887217,0.5016666666666667,0.5
cbow,1,5,5,14.38449888287663,0.5005555555555555,0.495
skipgram,1,5,5,0.04281332398719394,0.5005555555555555,0.495
SVD,1,5,6,0.11288378916846889,0.5005555555555555,0.5
cbow,1,5,6,100.0,0.5005555555555555,0.495
skipgram,1,5,6,0.06951927961775606,0.5005555555555555,0.495
SVD,1,5,7,0.06951927961775606,0.5022222222222222,0.495
cbow,1,5,7,0.01,0.5005555555555555,0.495
skipgram,1,5,7,0.06951927961775606,0.5005555555555555,0.495
SVD,1,5,8,0.4832930238571752,0.5027777777777778,0.5
cbow,1,5,8,0.01,0.5005555555555555,0.495
skipgram,1,5,8,0.06951927961775606,0.5005555555555555,0.495
SVD,1,5,9,1.2742749857031335,0.5033333333333333,0.495
cbow,1,5,9,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,5,9,0.29763514416313175,0.5005555555555555,0.495
SVD,1,5,10,3.359818286283781,0.5027777777777778,0.495
cbow,1,5,10,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,5,10,0.06951927961775606,0.5005555555555555,0.495
SVD,1,6,5,0.04281332398719394,0.5705555555555556,0.555
cbow,1,6,5,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,6,5,0.18329807108324356,0.5005555555555555,0.495
SVD,1,6,6,3.359818286283781,0.5372222222222223,0.525
cbow,1,6,6,0.01,0.5005555555555555,0.495
skipgram,1,6,6,0.016237767391887217,0.5005555555555555,0.495
SVD,1,6,7,23.357214690901213,0.56,0.585
cbow,1,6,7,0.01,0.5005555555555555,0.495
skipgram,1,6,7,0.11288378916846889,0.5005555555555555,0.495
SVD,1,6,8,0.11288378916846889,0.5894444444444444,0.61
cbow,1,6,8,0.01,0.5005555555555555,0.495
skipgram,1,6,8,0.026366508987303583,0.5005555555555555,0.495
SVD,1,6,9,0.4832930238571752,0.61,0.585
cbow,1,6,9,0.01,0.5005555555555555,0.495
skipgram,1,6,9,0.06951927961775606,0.5005555555555555,0.495
SVD,1,6,10,0.4832930238571752,0.6066666666666667,0.645
cbow,1,6,10,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,6,10,0.06951927961775606,0.5005555555555555,0.495
SVD,1,7,5,0.18329807108324356,0.6994444444444444,0.775
cbow,1,7,5,0.01,0.5005555555555555,0.495
skipgram,1,7,5,0.06951927961775606,0.5005555555555555,0.495
SVD,1,7,6,0.11288378916846889,0.79,0.755
cbow,1,7,6,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,7,6,0.01,0.5005555555555555,0.495
SVD,1,7,7,0.7847599703514611,0.6866666666666666,0.675
cbow,1,7,7,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,7,7,0.18329807108324356,0.5005555555555555,0.495
SVD,1,7,8,0.7847599703514611,0.6383333333333333,0.635
cbow,1,7,8,23.357214690901213,0.5005555555555555,0.495
skipgram,1,7,8,0.18329807108324356,0.5005555555555555,0.495
SVD,1,7,9,0.11288378916846889,0.7205555555555555,0.725
cbow,1,7,9,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,7,9,0.7847599703514611,0.5005555555555555,0.495
SVD,1,7,10,1.2742749857031335,0.6444444444444445,0.665
cbow,1,7,10,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,7,10,0.06951927961775606,0.5005555555555555,0.495
SVD,1,8,5,0.06951927961775606,0.9333333333333333,0.94
cbow,1,8,5,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,8,5,0.11288378916846889,0.5005555555555555,0.495
SVD,1,8,6,0.4832930238571752,0.8744444444444445,0.845
cbow,1,8,6,23.357214690901213,0.5005555555555555,0.495
