emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.18329807108324356,0.4941307993292342,0.5577889447236181
cbow,1,2,5,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,1,2,5,0.01,0.5064281721632197,0.44221105527638194
SVD,1,2,6,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,2,6,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,1,2,6,0.01,0.5064281721632197,0.44221105527638194
SVD,1,2,7,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,1,2,7,37.92690190732246,0.5064281721632197,0.44221105527638194
skipgram,1,2,7,0.01,0.5064281721632197,0.44221105527638194
SVD,1,2,8,0.06951927961775606,0.4941307993292342,0.5577889447236181
cbow,1,2,8,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,2,8,0.01,0.5064281721632197,0.44221105527638194
SVD,1,2,9,0.29763514416313175,0.49524874231414195,0.5577889447236181
cbow,1,2,9,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,1,2,9,0.01,0.5064281721632197,0.44221105527638194
SVD,1,2,10,0.06951927961775606,0.4958077138065959,0.5628140703517588
cbow,1,2,10,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,1,2,10,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,1,3,5,0.29763514416313175,0.49357182783678033,0.5577889447236181
cbow,1,3,5,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,1,3,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,1,3,6,0.18329807108324356,0.49357182783678033,0.5577889447236181
cbow,1,3,6,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,1,3,6,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,1,3,7,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,1,3,7,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,3,7,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,1,3,8,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,1,3,8,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,1,3,8,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,3,9,0.01,0.4941307993292342,0.5577889447236181
cbow,1,3,9,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,1,3,9,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,1,3,10,0.016237767391887217,0.4946897708216881,0.5577889447236181
cbow,1,3,10,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,3,10,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,4,5,0.01,0.49357182783678033,0.5577889447236181
cbow,1,4,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,1,4,5,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,4,6,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,4,6,23.357214690901213,0.5064281721632197,0.44221105527638194
skipgram,1,4,6,0.06951927961775606,0.5064281721632197,0.44221105527638194
SVD,1,4,7,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,1,4,7,61.584821106602604,0.5064281721632197,0.44221105527638194
skipgram,1,4,7,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,1,4,8,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,1,4,8,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,4,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,4,9,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,4,9,0.04281332398719394,0.5064281721632197,0.44221105527638194
skipgram,1,4,9,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,4,10,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,1,4,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,1,4,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,1,5,5,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,1,5,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,1,5,5,0.06951927961775606,0.5064281721632197,0.44221105527638194
SVD,1,5,6,0.01,0.49357182783678033,0.5577889447236181
cbow,1,5,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,1,5,6,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,1,5,7,2.06913808111479,0.49357182783678033,0.5577889447236181
cbow,1,5,7,0.026366508987303583,0.5064281721632197,0.44221105527638194
skipgram,1,5,7,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,5,8,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,1,5,8,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,1,5,8,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,1,5,9,0.01,0.49357182783678033,0.5577889447236181
cbow,1,5,9,100.0,0.5064281721632197,0.44221105527638194
skipgram,1,5,9,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,5,10,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,5,10,8.858667904100823,0.5064281721632197,0.44221105527638194
