emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.7847599703514611,0.5083076923076923,0.4972375690607735
cbow,1,2,5,0.01,0.5005555555555555,0.495
skipgram,1,2,5,0.06951927961775606,0.49944444444444447,0.505
SVD,1,2,6,0.016237767391887217,0.5144615384615384,0.49171270718232046
cbow,1,2,6,0.01,0.5005555555555555,0.495
skipgram,1,2,6,0.04281332398719394,0.49944444444444447,0.505
SVD,1,2,7,0.06951927961775606,0.5009230769230769,0.49171270718232046
cbow,1,2,7,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,7,0.06951927961775606,0.49944444444444447,0.505
SVD,1,2,8,0.7847599703514611,0.5009230769230769,0.49171270718232046
cbow,1,2,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,2,8,0.026366508987303583,0.49944444444444447,0.505
SVD,1,2,9,0.06951927961775606,0.5009230769230769,0.49171270718232046
cbow,1,2,9,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,9,0.18329807108324356,0.49944444444444447,0.505
SVD,1,2,10,0.06951927961775606,0.5009230769230769,0.49171270718232046
cbow,1,2,10,0.01,0.5005555555555555,0.495
skipgram,1,2,10,5.455594781168514,0.49944444444444447,0.505
SVD,1,3,5,0.29763514416313175,0.49970501474926254,0.5238095238095238
cbow,1,3,5,0.01,0.5005555555555555,0.495
skipgram,1,3,5,0.01,0.49944444444444447,0.505
SVD,1,3,6,0.016237767391887217,0.5056047197640118,0.5291005291005291
cbow,1,3,6,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,3,6,0.04281332398719394,0.49944444444444447,0.505
SVD,1,3,7,0.026366508987303583,0.5067846607669616,0.5238095238095238
cbow,1,3,7,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,3,7,1.2742749857031335,0.49944444444444447,0.505
SVD,1,3,8,0.06951927961775606,0.5056047197640118,0.5396825396825397
cbow,1,3,8,0.01,0.5005555555555555,0.495
skipgram,1,3,8,2.06913808111479,0.49944444444444447,0.505
SVD,1,3,9,0.06951927961775606,0.49734513274336284,0.5238095238095238
cbow,1,3,9,0.01,0.5005555555555555,0.495
skipgram,1,3,9,2.06913808111479,0.49944444444444447,0.505
SVD,1,3,10,0.04281332398719394,0.49734513274336284,0.5238095238095238
cbow,1,3,10,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,3,10,5.455594781168514,0.49944444444444447,0.505
SVD,1,4,5,0.06951927961775606,0.5076112412177985,0.45789473684210524
cbow,1,4,5,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,4,5,0.11288378916846889,0.49944444444444447,0.505
SVD,1,4,6,0.06951927961775606,0.5081967213114754,0.4631578947368421
cbow,1,4,6,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,4,6,0.18329807108324356,0.49944444444444447,0.505
SVD,1,4,7,0.11288378916846889,0.5046838407494145,0.45789473684210524
cbow,1,4,7,0.01,0.49944444444444447,0.505
skipgram,1,4,7,2.06913808111479,0.49944444444444447,0.505
SVD,1,4,8,0.04281332398719394,0.5076112412177985,0.45789473684210524
cbow,1,4,8,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,4,8,1.2742749857031335,0.49944444444444447,0.505
SVD,1,4,9,0.026366508987303583,0.5140515222482436,0.46842105263157896
cbow,1,4,9,1.2742749857031335,0.49944444444444447,0.505
skipgram,1,4,9,1.2742749857031335,0.49944444444444447,0.505
SVD,1,4,10,0.06951927961775606,0.5046838407494145,0.45789473684210524
cbow,1,4,10,0.016237767391887217,0.49944444444444447,0.505
skipgram,1,4,10,0.4832930238571752,0.49944444444444447,0.505
SVD,1,5,5,2.06913808111479,0.4997114829774957,0.5129533678756477
cbow,1,5,5,0.01,0.49944444444444447,0.505
skipgram,1,5,5,0.18329807108324356,0.49944444444444447,0.505
