emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,0.04281332398719394,0.5083477259643063,0.49740932642487046
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,2,0.016237767391887217,0.5094991364421416,0.46632124352331605
skipgram,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,2,0.026366508987303583,0.5083477259643063,0.5025906735751295
skipgram,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,2,0.11288378916846889,0.5014392630972941,0.48704663212435234
cbow,1,2,0.01,0.5048934945308002,0.49222797927461137
skipgram,1,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
svd,1,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,2,0.4832930238571752,0.5083477259643063,0.5284974093264249
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.11288378916846889,0.5014392630972941,0.48704663212435234
cbow,1,2,0.016237767391887217,0.510650546919977,0.48704663212435234
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.04281332398719394,0.5014392630972941,0.48704663212435234
cbow,1,3,0.01,0.6252158894645942,0.6062176165803109
skipgram,1,3,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.4985607369027058,0.5129533678756477
cbow,1,3,0.04281332398719394,0.510650546919977,0.5233160621761658
skipgram,1,3,0.4832930238571752,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.4991364421416235,0.5129533678756477
cbow,1,3,0.4832930238571752,0.5014392630972941,0.5181347150259067
skipgram,1,3,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,3,0.04281332398719394,0.5014392630972941,0.48704663212435234
cbow,1,3,0.016237767391887217,0.5071963154864709,0.5181347150259067
skipgram,1,3,0.01,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.5014392630972941,0.48704663212435234
cbow,1,3,0.06951927961775606,0.515831894070236,0.5647668393782384
skipgram,1,3,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,3,0.04281332398719394,0.5014392630972941,0.48704663212435234
cbow,1,3,0.7847599703514611,0.4985607369027058,0.5129533678756477
skipgram,1,3,0.01,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.5014392630972941,0.48704663212435234
cbow,1,4,0.026366508987303583,0.538860103626943,0.538860103626943
skipgram,1,4,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,4,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,1,4,0.11288378916846889,0.6229130685089235,0.6373056994818653
skipgram,1,4,0.01,0.4985607369027058,0.5129533678756477
svd,1,4,0.01,0.4985607369027058,0.5129533678756477
cbow,1,4,0.04281332398719394,0.6223373632700058,0.5440414507772021
skipgram,1,4,0.01,0.4985607369027058,0.5129533678756477
svd,1,4,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,4,0.026366508987303583,0.643062751871042,0.5958549222797928
skipgram,1,4,0.01,0.4985607369027058,0.5129533678756477
svd,1,4,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,4,0.04281332398719394,0.5008635578583766,0.5129533678756477
skipgram,1,4,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,4,3.359818286283781,0.5877950489349453,0.5492227979274611
cbow,1,4,0.18329807108324356,0.4991364421416235,0.5129533678756477
skipgram,1,4,0.01,0.4985607369027058,0.5129533678756477
svd,1,4,2.06913808111479,0.5014392630972941,0.48704663212435234
cbow,1,5,0.026366508987303583,0.5037420840529648,0.49740932642487046
skipgram,1,5,5.455594781168514,0.4985607369027058,0.5129533678756477
svd,1,5,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,5,0.7847599703514611,0.5394358088658607,0.5440414507772021
skipgram,1,5,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,5,0.4832930238571752,0.5014392630972941,0.48704663212435234
cbow,1,5,0.7847599703514611,0.5066206102475532,0.48704663212435234
skipgram,1,5,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,1,5,1.2742749857031335,0.5014392630972941,0.48704663212435234
cbow,1,5,0.06951927961775606,0.5060449050086355,0.48704663212435234
skipgram,1,5,0.026366508987303583,0.4985607369027058,0.5129533678756477
svd,1,5,2.06913808111479,0.5014392630972941,0.48704663212435234
cbow,1,5,0.016237767391887217,0.5014392630972941,0.48704663212435234
skipgram,1,5,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,5,23.357214690901213,0.5014392630972941,0.48704663212435234
cbow,1,5,0.06951927961775606,0.5043177892918825,0.48704663212435234
skipgram,1,5,0.026366508987303583,0.5331030512377662,0.5233160621761658
svd,1,5,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,6,0.7847599703514611,0.6735751295336787,0.6476683937823834
skipgram,1,6,3.359818286283781,0.669545192861255,0.7253886010362695
svd,1,6,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,6,0.06951927961775606,0.614853195164076,0.5854922279792746
skipgram,1,6,0.06951927961775606,0.6206102475532528,0.5492227979274611
svd,1,6,0.29763514416313175,0.5014392630972941,0.48704663212435234
cbow,1,6,0.04281332398719394,0.6085204375359816,0.5544041450777202
skipgram,1,6,0.4832930238571752,0.563615428900403,0.6269430051813472
svd,1,6,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,6,0.18329807108324356,0.5613126079447323,0.5699481865284974
skipgram,1,6,0.01,0.5785837651122625,0.5958549222797928
svd,1,6,5.455594781168514,0.5014392630972941,0.48704663212435234
cbow,1,6,0.01,0.5031663788140472,0.49740932642487046
skipgram,1,6,0.7847599703514611,0.51237766263673,0.49740932642487046
svd,1,6,0.06951927961775606,0.5014392630972941,0.48704663212435234
cbow,1,6,0.06951927961775606,0.568796776050662,0.5544041450777202
skipgram,1,6,0.11288378916846889,0.5077720207253886,0.49740932642487046
svd,1,6,0.18329807108324356,0.5014392630972941,0.48704663212435234
cbow,1,7,23.357214690901213,0.5100748416810593,0.5284974093264249
skipgram,1,7,0.06951927961775606,0.644789867587795,0.6217616580310881
svd,1,7,0.01,0.5014392630972941,0.48704663212435234
cbow,1,7,0.04281332398719394,0.5169833045480714,0.5077720207253886
skipgram,1,7,0.026366508987303583,0.6505469199769718,0.6010362694300518
svd,1,7,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,7,2.06913808111479,0.5025906735751295,0.5284974093264249
skipgram,1,7,0.11288378916846889,0.6050662061024755,0.5958549222797928
svd,1,7,0.11288378916846889,0.5014392630972941,0.48704663212435234
cbow,1,7,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,7,0.29763514416313175,0.5590097869890616,0.5025906735751295
svd,1,7,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,7,0.7847599703514611,0.4991364421416235,0.5129533678756477
skipgram,1,7,0.7847599703514611,0.5089234312032239,0.49740932642487046
svd,1,7,0.06951927961775606,0.5014392630972941,0.48704663212435234
cbow,1,7,0.18329807108324356,0.4991364421416235,0.5129533678756477
skipgram,1,7,0.06951927961775606,0.5089234312032239,0.49740932642487046
svd,1,7,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,8,0.06951927961775606,0.5187104202648244,0.538860103626943
skipgram,1,8,0.29763514416313175,0.5008635578583766,0.5025906735751295
svd,1,8,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,8,0.04281332398719394,0.5060449050086355,0.5233160621761658
skipgram,1,8,0.18329807108324356,0.6488198042602188,0.6062176165803109
svd,1,8,0.01,0.5014392630972941,0.48704663212435234
cbow,1,8,0.7847599703514611,0.4985607369027058,0.5129533678756477
skipgram,1,8,0.29763514416313175,0.6896948762233737,0.5751295336787565
svd,1,8,0.01,0.5014392630972941,0.48704663212435234
cbow,1,8,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,1,8,1.2742749857031335,0.6787564766839378,0.7046632124352331
svd,1,8,0.18329807108324356,0.5014392630972941,0.48704663212435234
cbow,1,8,0.016237767391887217,0.4991364421416235,0.5233160621761658
skipgram,1,8,0.4832930238571752,0.6804835924006909,0.6787564766839378
svd,1,8,0.01,0.5014392630972941,0.48704663212435234
cbow,1,8,0.01,0.5048934945308002,0.5025906735751295
skipgram,1,8,1.2742749857031335,0.6424870466321243,0.6839378238341969
svd,1,8,0.06951927961775606,0.5014392630972941,0.48704663212435234
cbow,2,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
skipgram,2,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
svd,2,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,2,0.01,0.5014392630972941,0.48704663212435234
skipgram,2,2,0.01,0.4985607369027058,0.5129533678756477
svd,2,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
skipgram,2,2,0.01,0.4985607369027058,0.5129533678756477
svd,2,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,2,0.06951927961775606,0.5014392630972941,0.48704663212435234
skipgram,2,2,0.01,0.4985607369027058,0.5129533678756477
svd,2,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,2,2,0.11288378916846889,0.5014392630972941,0.48704663212435234
skipgram,2,2,0.01,0.4985607369027058,0.5129533678756477
svd,2,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
skipgram,2,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,2,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,2,3,0.4832930238571752,0.5284974093264249,0.5492227979274611
skipgram,2,3,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,2,3,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,2,3,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,2,3,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,2,3,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,2,3,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,3,0.01,0.4985607369027058,0.5129533678756477
svd,2,3,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,3,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,2,3,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,3,0.01,0.5014392630972941,0.48704663212435234
cbow,2,3,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,3,0.01,0.4985607369027058,0.5129533678756477
svd,2,3,0.01,0.5014392630972941,0.48704663212435234
cbow,2,3,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,3,0.01,0.4985607369027058,0.5129533678756477
svd,2,3,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,2,4,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,4,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,2,4,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,2,4,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,4,0.01,0.4985607369027058,0.5129533678756477
svd,2,4,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,2,4,0.026366508987303583,0.4985607369027058,0.5129533678756477
skipgram,2,4,2.06913808111479,0.4985607369027058,0.5129533678756477
svd,2,4,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,2,4,3.359818286283781,0.4985607369027058,0.5129533678756477
skipgram,2,4,0.01,0.4985607369027058,0.5129533678756477
svd,2,4,0.04281332398719394,0.6989061600460564,0.6528497409326425
cbow,2,4,0.016237767391887217,0.4985607369027058,0.5129533678756477
skipgram,2,4,3.359818286283781,0.4985607369027058,0.5129533678756477
svd,2,4,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,2,4,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,4,0.01,0.4985607369027058,0.5129533678756477
svd,2,4,0.04281332398719394,0.5014392630972941,0.48704663212435234
cbow,2,5,0.016237767391887217,0.4899251583189407,0.47150259067357514
skipgram,2,5,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,5,0.06951927961775606,0.5014392630972941,0.48704663212435234
cbow,2,5,0.026366508987303583,0.5014392630972941,0.48704663212435234
skipgram,2,5,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,2,5,0.29763514416313175,0.5014392630972941,0.48704663212435234
cbow,2,5,5.455594781168514,0.5014392630972941,0.48704663212435234
skipgram,2,5,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,2,5,5.455594781168514,0.5014392630972941,0.48704663212435234
cbow,2,5,0.06951927961775606,0.5014392630972941,0.48704663212435234
