emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,61.584821106602604,0.20013431833445267,0.19879518072289157
cbow,1,1,2,0.01,0.2001338688085676,0.19879518072289157
skipgram,1,1,2,0.06951927961775606,0.2001338688085676,0.19879518072289157
SVD,1,1,3,14.38449888287663,0.20013431833445267,0.19879518072289157
cbow,1,1,3,0.11288378916846889,0.2001338688085676,0.19879518072289157
skipgram,1,1,3,0.29763514416313175,0.2001338688085676,0.19879518072289157
SVD,1,1,4,8.858667904100823,0.20013431833445267,0.19879518072289157
cbow,1,1,4,0.11288378916846889,0.2001338688085676,0.19879518072289157
skipgram,1,1,4,23.357214690901213,0.20080321285140562,0.19879518072289157
SVD,1,1,5,37.92690190732246,0.23035594358629952,0.26506024096385544
cbow,1,1,5,0.18329807108324356,0.2001338688085676,0.19879518072289157
skipgram,1,1,5,0.04281332398719394,0.1994645247657296,0.19879518072289157
SVD,1,1,6,0.7847599703514611,0.23572867696440564,0.2469879518072289
cbow,1,1,6,1.2742749857031335,0.2001338688085676,0.19879518072289157
skipgram,1,1,6,0.11288378916846889,0.20147255689424365,0.19879518072289157
SVD,1,1,7,37.92690190732246,0.24647414372061788,0.25903614457831325
cbow,1,1,7,2.06913808111479,0.2001338688085676,0.19879518072289157
skipgram,1,1,7,61.584821106602604,0.20147255689424365,0.1927710843373494
SVD,1,1,8,3.359818286283781,0.20013431833445267,0.19879518072289157
cbow,1,1,8,3.359818286283781,0.2001338688085676,0.1927710843373494
skipgram,1,1,8,14.38449888287663,0.19745649263721554,0.1927710843373494
SVD,1,1,9,5.455594781168514,0.2558764271323036,0.25903614457831325
cbow,1,1,9,1.2742749857031335,0.2001338688085676,0.19879518072289157
skipgram,1,1,9,2.06913808111479,0.2001338688085676,0.1927710843373494
SVD,1,1,10,0.18329807108324356,0.2625923438549362,0.3192771084337349
cbow,1,1,10,0.04281332398719394,0.1994645247657296,0.20481927710843373
skipgram,1,1,10,2.06913808111479,0.19745649263721554,0.1927710843373494
