emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.016237767391887217,0.20013431833445267,0.19879518072289157
cbow,1,1,2,0.026366508987303583,0.2001338688085676,0.19879518072289157
skipgram,1,1,2,0.18329807108324356,0.2001338688085676,0.19879518072289157
SVD,1,1,3,0.06951927961775606,0.21759570181329752,0.2289156626506024
cbow,1,1,3,0.01,0.2001338688085676,0.19879518072289157
skipgram,1,1,3,1.2742749857031335,0.2101740294511379,0.21686746987951808
SVD,1,1,4,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,4,0.016237767391887217,0.2001338688085676,0.19879518072289157
skipgram,1,1,4,0.01,0.20883534136546184,0.19879518072289157
SVD,1,1,5,0.016237767391887217,0.20013431833445267,0.19879518072289157
cbow,1,1,5,0.01,0.20214190093708165,0.20481927710843373
skipgram,1,1,5,0.01,0.22088353413654618,0.21084337349397592
SVD,1,1,6,0.026366508987303583,0.20013431833445267,0.19879518072289157
cbow,1,1,6,0.01,0.24832663989290496,0.2710843373493976
skipgram,1,1,6,0.01,0.23560910307898258,0.23493975903614459
SVD,1,1,7,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,7,0.016237767391887217,0.2737617135207497,0.27710843373493976
skipgram,1,1,7,0.01,0.26907630522088355,0.25903614457831325
SVD,1,1,8,0.016237767391887217,0.20013431833445267,0.19879518072289157
cbow,1,1,8,0.01,0.3132530120481928,0.3132530120481928
skipgram,1,1,8,0.01,0.2991967871485944,0.2891566265060241
SVD,1,1,9,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,9,0.01,0.3353413654618474,0.3072289156626506
skipgram,1,1,9,0.01,0.32262382864792505,0.29518072289156627
SVD,1,1,10,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,10,0.01,0.37215528781793844,0.39156626506024095
skipgram,1,1,10,0.01,0.34069611780455156,0.3795180722891566
SVD,1,1,11,0.026366508987303583,0.20013431833445267,0.19879518072289157
cbow,1,1,11,0.01,0.39959839357429716,0.39759036144578314
skipgram,1,1,11,0.01,0.3654618473895582,0.3433734939759036
SVD,1,1,12,0.11288378916846889,0.20013431833445267,0.19879518072289157
cbow,1,1,12,0.01,0.4745649263721553,0.4879518072289157
skipgram,1,1,12,0.01,0.3708165997322624,0.40963855421686746
SVD,1,1,13,0.06951927961775606,0.20013431833445267,0.19879518072289157
cbow,1,1,13,0.016237767391887217,0.4544846050870147,0.42771084337349397
skipgram,1,1,13,0.4832930238571752,0.40227576974564927,0.41566265060240964
SVD,1,1,14,0.11288378916846889,0.20013431833445267,0.19879518072289157
cbow,1,1,14,0.016237767391887217,0.45180722891566266,0.5060240963855421
skipgram,1,1,14,0.11288378916846889,0.42369477911646586,0.42771084337349397
SVD,1,1,15,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,15,0.01,0.4839357429718876,0.4939759036144578
skipgram,1,1,15,0.016237767391887217,0.4397590361445783,0.41566265060240964
SVD,1,1,16,0.06951927961775606,0.20013431833445267,0.19879518072289157
cbow,1,1,16,0.04281332398719394,0.536813922356091,0.5481927710843374
skipgram,1,1,16,0.016237767391887217,0.4524765729585007,0.5
SVD,1,1,17,0.18329807108324356,0.20013431833445267,0.19879518072289157
cbow,1,1,17,0.04281332398719394,0.5568942436412316,0.5542168674698795
skipgram,1,1,17,0.18329807108324356,0.46653279785809904,0.463855421686747
SVD,1,1,18,0.026366508987303583,0.20013431833445267,0.19879518072289157
cbow,1,1,18,0.01,0.5850066934404283,0.608433734939759
skipgram,1,1,18,0.026366508987303583,0.4866131191432396,0.5060240963855421
SVD,1,1,19,0.01,0.20013431833445267,0.19879518072289157
cbow,1,1,19,0.11288378916846889,0.6171352074966533,0.6144578313253012
skipgram,1,1,19,0.06951927961775606,0.4866131191432396,0.5301204819277109
SVD,1,1,20,0.04281332398719394,0.20013431833445267,0.19879518072289157
cbow,1,1,20,2.06913808111479,0.643908969210174,0.5963855421686747
skipgram,1,1,20,0.29763514416313175,0.5281124497991968,0.4819277108433735
SVD,1,2,2,0.026366508987303583,0.19850948509485095,0.21341463414634146
cbow,1,2,2,0.04281332398719394,0.19932432432432431,0.20606060606060606
skipgram,1,2,2,0.18329807108324356,0.19850441876274644,0.21341463414634146
SVD,1,2,3,0.18329807108324356,0.19850948509485095,0.21341463414634146
cbow,1,2,3,0.01,0.19932432432432431,0.20606060606060606
skipgram,1,2,3,0.016237767391887217,0.19850441876274644,0.21341463414634146
SVD,1,2,4,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,4,0.016237767391887217,0.19932432432432431,0.20606060606060606
skipgram,1,2,4,0.016237767391887217,0.19850441876274644,0.21341463414634146
SVD,1,2,5,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,5,0.04281332398719394,0.19932432432432431,0.20606060606060606
skipgram,1,2,5,2.06913808111479,0.19850441876274644,0.21341463414634146
SVD,1,2,6,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,6,0.04281332398719394,0.19932432432432431,0.20606060606060606
skipgram,1,2,6,0.01,0.19850441876274644,0.21341463414634146
SVD,1,2,7,0.04281332398719394,0.19850948509485095,0.21341463414634146
cbow,1,2,7,0.06951927961775606,0.19932432432432431,0.20606060606060606
skipgram,1,2,7,0.11288378916846889,0.19850441876274644,0.21341463414634146
SVD,1,2,8,0.026366508987303583,0.19850948509485095,0.21341463414634146
cbow,1,2,8,0.4832930238571752,0.19932432432432431,0.20606060606060606
skipgram,1,2,8,0.01,0.24405166553365057,0.25609756097560976
SVD,1,2,9,0.016237767391887217,0.19850948509485095,0.21341463414634146
cbow,1,2,9,0.11288378916846889,0.19932432432432431,0.20606060606060606
skipgram,1,2,9,0.026366508987303583,0.35078178110129166,0.34146341463414637
SVD,1,2,10,0.04281332398719394,0.19850948509485095,0.21341463414634146
cbow,1,2,10,0.016237767391887217,0.19932432432432431,0.20606060606060606
skipgram,1,2,10,0.4832930238571752,0.19850441876274644,0.21341463414634146
SVD,1,2,11,0.4832930238571752,0.19850948509485095,0.21341463414634146
cbow,1,2,11,2.06913808111479,0.22567567567567567,0.22424242424242424
skipgram,1,2,11,37.92690190732246,0.19850441876274644,0.21341463414634146
SVD,1,2,12,0.026366508987303583,0.19850948509485095,0.21341463414634146
cbow,1,2,12,0.01,0.19932432432432431,0.20606060606060606
skipgram,1,2,12,0.11288378916846889,0.44731475186947656,0.4695121951219512
SVD,1,2,13,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,13,0.04281332398719394,0.19932432432432431,0.20606060606060606
skipgram,1,2,13,0.4832930238571752,0.19850441876274644,0.21341463414634146
SVD,1,2,14,37.92690190732246,0.19850948509485095,0.21341463414634146
cbow,1,2,14,0.026366508987303583,0.19932432432432431,0.20606060606060606
skipgram,1,2,14,0.01,0.48198504418762744,0.5487804878048781
SVD,1,2,15,0.04281332398719394,0.19850948509485095,0.21341463414634146
cbow,1,2,15,0.01,0.19932432432432431,0.20606060606060606
skipgram,1,2,15,0.04281332398719394,0.530931339225017,0.5060975609756098
SVD,1,2,16,0.11288378916846889,0.19850948509485095,0.21341463414634146
cbow,1,2,16,0.026366508987303583,0.19932432432432431,0.20606060606060606
skipgram,1,2,16,0.016237767391887217,0.19850441876274644,0.21341463414634146
SVD,1,2,17,3.359818286283781,0.19850948509485095,0.21341463414634146
cbow,1,2,17,0.01,0.19932432432432431,0.20606060606060606
skipgram,1,2,17,0.29763514416313175,0.6043507817811012,0.6280487804878049
SVD,1,2,18,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,18,0.016237767391887217,0.19932432432432431,0.20606060606060606
skipgram,1,2,18,0.016237767391887217,0.3025152957171992,0.3353658536585366
SVD,1,2,19,0.01,0.19850948509485095,0.21341463414634146
cbow,1,2,19,0.01,0.19932432432432431,0.20606060606060606
skipgram,1,2,19,0.01,0.20054384772263767,0.21341463414634146
SVD,1,2,20,0.016237767391887217,0.19850948509485095,0.21341463414634146
cbow,1,2,20,0.06951927961775606,0.2628378378378378,0.2787878787878788
skipgram,1,2,20,0.11288378916846889,0.6621346023113528,0.6829268292682927
SVD,2,1,2,0.4832930238571752,0.19811954331766285,0.21686746987951808
cbow,2,1,2,0.01,0.2001338688085676,0.19879518072289157
skipgram,2,1,2,0.06951927961775606,0.2001338688085676,0.19879518072289157
SVD,2,1,3,0.06951927961775606,0.19811954331766285,0.21686746987951808
cbow,2,1,3,0.016237767391887217,0.2074966532797858,0.19879518072289157
skipgram,2,1,3,0.026366508987303583,0.20080321285140562,0.19879518072289157
SVD,2,1,4,0.01,0.19811954331766285,0.21686746987951808
cbow,2,1,4,0.29763514416313175,0.24899598393574296,0.2289156626506024
skipgram,2,1,4,0.01,0.21285140562248997,0.20481927710843373
SVD,2,1,5,0.01,0.19811954331766285,0.21686746987951808
cbow,2,1,5,3.359818286283781,0.6566265060240963,0.7048192771084337
skipgram,2,1,5,0.01,0.2248995983935743,0.20481927710843373
SVD,2,1,6,0.016237767391887217,0.19811954331766285,0.21686746987951808
cbow,2,1,6,0.7847599703514611,0.7777777777777778,0.7710843373493976
skipgram,2,1,6,5.455594781168514,0.3500669344042838,0.35542168674698793
SVD,2,1,7,0.18329807108324356,0.19811954331766285,0.21686746987951808
cbow,2,1,7,3.359818286283781,0.2001338688085676,0.19879518072289157
skipgram,2,1,7,8.858667904100823,0.30455153949129854,0.3192771084337349
SVD,2,1,8,0.026366508987303583,0.19811954331766285,0.21686746987951808
cbow,2,1,8,0.18329807108324356,0.2001338688085676,0.19879518072289157
skipgram,2,1,8,1.2742749857031335,0.3360107095046854,0.3433734939759036
SVD,2,1,9,0.016237767391887217,0.19811954331766285,0.21686746987951808
cbow,2,1,9,0.18329807108324356,0.2001338688085676,0.19879518072289157
skipgram,2,1,9,0.026366508987303583,0.30589022757697454,0.27710843373493976
SVD,2,1,10,0.026366508987303583,0.19811954331766285,0.21686746987951808
cbow,2,1,10,0.4832930238571752,0.2001338688085676,0.19879518072289157
skipgram,2,1,10,0.016237767391887217,0.3433734939759036,0.3493975903614458
SVD,2,1,11,0.18329807108324356,0.19811954331766285,0.21686746987951808
cbow,2,1,11,0.026366508987303583,0.2001338688085676,0.19879518072289157
skipgram,2,1,11,0.04281332398719394,0.36813922356091033,0.3433734939759036
SVD,2,1,12,0.18329807108324356,0.19811954331766285,0.21686746987951808
cbow,2,1,12,0.7847599703514611,0.2001338688085676,0.19879518072289157
skipgram,2,1,12,2.06913808111479,0.42369477911646586,0.45180722891566266
SVD,2,1,13,0.01,0.19811954331766285,0.21686746987951808
cbow,2,1,13,0.026366508987303583,0.2001338688085676,0.19879518072289157
skipgram,2,1,13,0.016237767391887217,0.4364123159303882,0.4578313253012048
SVD,2,1,14,0.11288378916846889,0.19811954331766285,0.21686746987951808
cbow,2,1,14,0.11288378916846889,0.2001338688085676,0.19879518072289157
skipgram,2,1,14,0.01,0.4678714859437751,0.4819277108433735
SVD,2,1,15,2.06913808111479,0.19811954331766285,0.21686746987951808
cbow,2,1,15,0.29763514416313175,0.1994645247657296,0.19879518072289157
skipgram,2,1,15,0.29763514416313175,0.5100401606425703,0.5421686746987951
SVD,2,1,16,2.06913808111479,0.19811954331766285,0.21686746987951808
cbow,2,1,16,2.06913808111479,0.2001338688085676,0.19879518072289157
skipgram,2,1,16,3.359818286283781,0.5555555555555556,0.5783132530120482
SVD,2,1,17,0.11288378916846889,0.19811954331766285,0.21686746987951808
cbow,2,1,17,0.18329807108324356,0.2001338688085676,0.19879518072289157
skipgram,2,1,17,0.7847599703514611,0.5997322623828648,0.6385542168674698
SVD,2,1,18,0.04281332398719394,0.19811954331766285,0.21686746987951808
cbow,2,1,18,0.29763514416313175,0.2001338688085676,0.19879518072289157
skipgram,2,1,18,0.06951927961775606,0.6305220883534136,0.6325301204819277
SVD,2,1,19,2.06913808111479,0.19811954331766285,0.21686746987951808
cbow,2,1,19,1.2742749857031335,0.2001338688085676,0.19879518072289157
skipgram,2,1,19,3.359818286283781,0.6472556894243642,0.6506024096385542
SVD,2,1,20,0.29763514416313175,0.19811954331766285,0.21686746987951808
cbow,2,1,20,0.04281332398719394,0.2001338688085676,0.19879518072289157
skipgram,2,1,20,0.11288378916846889,0.678714859437751,0.6385542168674698
SVD,2,2,2,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,2,0.016237767391887217,0.19759679572763686,0.2215568862275449
skipgram,2,2,2,0.026366508987303583,0.19759679572763686,0.2215568862275449
SVD,2,2,3,0.06951927961775606,0.20067567567567568,0.19393939393939394
cbow,2,2,3,0.04281332398719394,0.19759679572763686,0.2215568862275449
skipgram,2,2,3,0.026366508987303583,0.19759679572763686,0.2215568862275449
SVD,2,2,4,0.026366508987303583,0.20067567567567568,0.19393939393939394
cbow,2,2,4,0.016237767391887217,0.19759679572763686,0.2215568862275449
skipgram,2,2,4,0.18329807108324356,0.20293724966622162,0.23353293413173654
SVD,2,2,5,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,5,0.06951927961775606,0.19759679572763686,0.2215568862275449
skipgram,2,2,5,0.04281332398719394,0.19893190921228304,0.2215568862275449
SVD,2,2,6,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,6,0.7847599703514611,0.19759679572763686,0.2215568862275449
skipgram,2,2,6,0.11288378916846889,0.19759679572763686,0.2215568862275449
SVD,2,2,7,0.016237767391887217,0.20067567567567568,0.19393939393939394
cbow,2,2,7,1.2742749857031335,0.19759679572763686,0.2215568862275449
skipgram,2,2,7,0.4832930238571752,0.19759679572763686,0.2215568862275449
SVD,2,2,8,0.016237767391887217,0.20067567567567568,0.19393939393939394
cbow,2,2,8,0.11288378916846889,0.19759679572763686,0.2215568862275449
skipgram,2,2,8,0.18329807108324356,0.19759679572763686,0.2215568862275449
SVD,2,2,9,0.06951927961775606,0.20067567567567568,0.19393939393939394
cbow,2,2,9,0.016237767391887217,0.19759679572763686,0.2215568862275449
skipgram,2,2,9,0.29763514416313175,0.19759679572763686,0.2215568862275449
SVD,2,2,10,0.18329807108324356,0.20067567567567568,0.19393939393939394
cbow,2,2,10,0.016237767391887217,0.19759679572763686,0.2215568862275449
skipgram,2,2,10,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,11,0.04281332398719394,0.20067567567567568,0.19393939393939394
cbow,2,2,11,0.01,0.19759679572763686,0.2215568862275449
skipgram,2,2,11,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,12,0.016237767391887217,0.20067567567567568,0.19393939393939394
cbow,2,2,12,0.026366508987303583,0.19759679572763686,0.2215568862275449
skipgram,2,2,12,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,13,0.026366508987303583,0.20067567567567568,0.19393939393939394
cbow,2,2,13,0.29763514416313175,0.19759679572763686,0.2215568862275449
skipgram,2,2,13,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,14,0.026366508987303583,0.20067567567567568,0.19393939393939394
cbow,2,2,14,0.026366508987303583,0.19759679572763686,0.2215568862275449
skipgram,2,2,14,0.026366508987303583,0.19759679572763686,0.2215568862275449
SVD,2,2,15,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,15,0.01,0.19759679572763686,0.2215568862275449
skipgram,2,2,15,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,16,0.016237767391887217,0.20067567567567568,0.19393939393939394
cbow,2,2,16,0.01,0.19759679572763686,0.2215568862275449
skipgram,2,2,16,0.06951927961775606,0.19759679572763686,0.2215568862275449
SVD,2,2,17,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,17,0.7847599703514611,0.19759679572763686,0.2215568862275449
skipgram,2,2,17,0.01,0.19759679572763686,0.2215568862275449
SVD,2,2,18,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,18,0.04281332398719394,0.19759679572763686,0.2215568862275449
skipgram,2,2,18,0.016237767391887217,0.19759679572763686,0.2215568862275449
SVD,2,2,19,0.29763514416313175,0.20067567567567568,0.19393939393939394
cbow,2,2,19,1.2742749857031335,0.19759679572763686,0.2215568862275449
skipgram,2,2,19,0.026366508987303583,0.19759679572763686,0.2215568862275449
SVD,2,2,20,0.01,0.20067567567567568,0.19393939393939394
cbow,2,2,20,14.38449888287663,0.19759679572763686,0.2215568862275449
skipgram,2,2,20,0.016237767391887217,0.19759679572763686,0.2215568862275449
SVD,3,1,2,0.01,0.19811954331766285,0.21686746987951808
cbow,3,1,2,0.016237767391887217,0.2001338688085676,0.19879518072289157
skipgram,3,1,2,0.01,0.2001338688085676,0.19879518072289157
SVD,3,1,3,0.016237767391887217,0.19811954331766285,0.21686746987951808
cbow,3,1,3,0.01,0.2001338688085676,0.19879518072289157
skipgram,3,1,3,0.01,0.2001338688085676,0.19879518072289157
SVD,3,1,4,0.06951927961775606,0.19811954331766285,0.21686746987951808
cbow,3,1,4,0.01,0.2001338688085676,0.19879518072289157
skipgram,3,1,4,0.01,0.22021419009370816,0.2469879518072289
SVD,3,1,5,0.04281332398719394,0.19811954331766285,0.21686746987951808
cbow,3,1,5,0.01,0.2001338688085676,0.19879518072289157
skipgram,3,1,5,0.06951927961775606,0.26706827309236947,0.2891566265060241
SVD,3,1,6,0.06951927961775606,0.19811954331766285,0.21686746987951808
cbow,3,1,6,0.016237767391887217,0.2001338688085676,0.1927710843373494
skipgram,3,1,6,0.01,0.32396251673360105,0.28313253012048195
SVD,3,1,7,0.11288378916846889,0.19811954331766285,0.21686746987951808
cbow,3,1,7,0.01,0.2001338688085676,0.19879518072289157
skipgram,3,1,7,2.06913808111479,0.3949129852744311,0.37349397590361444
SVD,3,1,8,0.11288378916846889,0.19811954331766285,0.21686746987951808
cbow,3,1,8,0.01,0.1994645247657296,0.19879518072289157
skipgram,3,1,8,0.7847599703514611,0.45515394912985274,0.4819277108433735
SVD,3,1,9,2.06913808111479,0.19811954331766285,0.21686746987951808
cbow,3,1,9,0.06951927961775606,0.2001338688085676,0.19879518072289157
skipgram,3,1,9,23.357214690901213,0.5381526104417671,0.5542168674698795
SVD,3,1,10,0.18329807108324356,0.19811954331766285,0.21686746987951808
cbow,3,1,10,0.026366508987303583,0.2001338688085676,0.19879518072289157
skipgram,3,1,10,0.4832930238571752,0.6204819277108434,0.6204819277108434
SVD,3,1,11,1.2742749857031335,0.19811954331766285,0.21686746987951808
cbow,3,1,11,0.01,0.2001338688085676,0.19879518072289157
skipgram,3,1,11,8.858667904100823,0.6894243641231593,0.7048192771084337
SVD,3,1,12,0.04281332398719394,0.19811954331766285,0.21686746987951808
cbow,3,1,12,0.04281332398719394,0.2001338688085676,0.19879518072289157
skipgram,3,1,12,3.359818286283781,0.7423025435073628,0.7228915662650602
SVD,3,1,13,0.01,0.19811954331766285,0.21686746987951808
cbow,3,1,13,0.4832930238571752,0.2001338688085676,0.19879518072289157
