emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,2,0.01,0.5005555555555555,0.495
skipgram,1,1,2,0.01,0.5005555555555555,0.495
SVD,1,1,3,0.18329807108324356,0.52,0.51
cbow,1,1,3,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,3,0.01,0.5005555555555555,0.495
SVD,1,1,4,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,4,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,4,0.7847599703514611,0.5011111111111111,0.495
SVD,1,1,5,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,5,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,5,0.29763514416313175,0.5011111111111111,0.495
SVD,1,1,6,0.01,0.555,0.57
cbow,1,1,6,0.01,0.5005555555555555,0.495
skipgram,1,1,6,0.026366508987303583,0.5005555555555555,0.5
SVD,1,1,7,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,7,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,7,0.01,0.5005555555555555,0.495
SVD,1,1,8,0.18329807108324356,0.5005555555555555,0.495
cbow,1,1,8,0.01,0.5005555555555555,0.495
skipgram,1,1,8,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,9,0.01,0.535,0.57
cbow,1,1,9,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,9,0.01,0.5005555555555555,0.495
SVD,1,1,10,0.11288378916846889,0.5016666666666667,0.495
cbow,1,1,10,0.026366508987303583,0.5422222222222223,0.5
skipgram,1,1,10,0.01,0.5005555555555555,0.495
SVD,1,1,11,0.01,0.5005555555555555,0.495
cbow,1,1,11,0.29763514416313175,0.5605555555555556,0.545
skipgram,1,1,11,0.01,0.505,0.495
SVD,1,1,12,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,12,0.7847599703514611,0.5572222222222222,0.585
skipgram,1,1,12,0.026366508987303583,0.5011111111111111,0.495
SVD,1,1,13,0.4832930238571752,0.5005555555555555,0.495
cbow,1,1,13,0.026366508987303583,0.5872222222222222,0.595
skipgram,1,1,13,0.06951927961775606,0.505,0.495
SVD,1,1,14,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,14,0.01,0.5611111111111111,0.545
