emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.18329807108324356,0.5025210084033613,0.47761194029850745
cbow,1,1,2,0.01,0.4991624790619765,0.5074626865671642
skipgram,1,1,2,0.01,0.4991624790619765,0.5074626865671642
SVD,1,1,3,2.06913808111479,0.5025210084033613,0.47761194029850745
cbow,1,1,3,0.01,0.4991624790619765,0.5074626865671642
skipgram,1,1,3,0.06951927961775606,0.4991624790619765,0.5074626865671642
SVD,1,1,4,37.92690190732246,0.5025210084033613,0.47761194029850745
cbow,1,1,4,0.01,0.4991624790619765,0.5074626865671642
skipgram,1,1,4,0.016237767391887217,0.4991624790619765,0.5074626865671642
SVD,1,1,5,8.858667904100823,0.5025210084033613,0.47761194029850745
cbow,1,1,5,0.11288378916846889,0.4991624790619765,0.5074626865671642
skipgram,1,1,5,0.04281332398719394,0.4991624790619765,0.5074626865671642
SVD,1,1,6,2.06913808111479,0.5025210084033613,0.47761194029850745
cbow,1,1,6,1.2742749857031335,0.4991624790619765,0.5074626865671642
skipgram,1,1,6,3.359818286283781,0.5008375209380235,0.5223880597014925
SVD,1,1,7,37.92690190732246,0.5025210084033613,0.47761194029850745
cbow,1,1,7,0.026366508987303583,0.4991624790619765,0.5074626865671642
skipgram,1,1,7,0.01,0.4991624790619765,0.5074626865671642
SVD,1,1,8,0.04281332398719394,0.5025210084033613,0.47761194029850745
cbow,1,1,8,0.06951927961775606,0.4991624790619765,0.5074626865671642
skipgram,1,1,8,0.016237767391887217,0.4991624790619765,0.5074626865671642
SVD,1,1,9,0.29763514416313175,0.5025210084033613,0.47761194029850745
cbow,1,1,9,0.04281332398719394,0.4991624790619765,0.5074626865671642
skipgram,1,1,9,0.11288378916846889,0.5008375209380235,0.5223880597014925
SVD,1,1,10,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,10,0.06951927961775606,0.5041876046901173,0.4626865671641791
skipgram,1,1,10,0.29763514416313175,0.5025125628140703,0.5223880597014925
SVD,1,1,11,0.4832930238571752,0.5025210084033613,0.47761194029850745
cbow,1,1,11,0.06951927961775606,0.4991624790619765,0.5074626865671642
skipgram,1,1,11,0.04281332398719394,0.5108877721943048,0.5373134328358209
SVD,1,1,12,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,12,0.06951927961775606,0.4991624790619765,0.5074626865671642
skipgram,1,1,12,0.7847599703514611,0.509212730318258,0.5223880597014925
SVD,1,1,13,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,13,5.455594781168514,0.48576214405360135,0.5970149253731343
skipgram,1,1,13,0.18329807108324356,0.5025125628140703,0.5373134328358209
SVD,1,1,14,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,14,0.016237767391887217,0.4991624790619765,0.5074626865671642
skipgram,1,1,14,0.7847599703514611,0.5192629815745393,0.5671641791044776
SVD,1,1,15,0.04281332398719394,0.5025210084033613,0.47761194029850745
cbow,1,1,15,0.04281332398719394,0.5008375209380235,0.47761194029850745
skipgram,1,1,15,0.01,0.4991624790619765,0.5074626865671642
SVD,1,1,16,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,16,0.04281332398719394,0.5159128978224455,0.4925373134328358
skipgram,1,1,16,0.4832930238571752,0.5209380234505863,0.5671641791044776
SVD,1,1,17,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,17,0.18329807108324356,0.5209380234505863,0.47761194029850745
skipgram,1,1,17,5.455594781168514,0.525963149078727,0.5970149253731343
SVD,1,1,18,0.01,0.5025210084033613,0.47761194029850745
cbow,1,1,18,0.01,0.5376884422110553,0.5373134328358209
skipgram,1,1,18,0.29763514416313175,0.5360134003350083,0.5373134328358209
SVD,1,1,19,0.04281332398719394,0.5025210084033613,0.47761194029850745
cbow,1,1,19,0.026366508987303583,0.5661641541038526,0.5074626865671642
skipgram,1,1,19,0.11288378916846889,0.5226130653266332,0.6119402985074627
SVD,1,1,20,0.026366508987303583,0.5025210084033613,0.47761194029850745
cbow,1,1,20,0.01,0.5879396984924623,0.6567164179104478
skipgram,1,1,20,0.06951927961775606,0.5393634840871022,0.5522388059701493
SVD,1,2,2,1.2742749857031335,0.4830508474576271,0.6515151515151515
cbow,1,2,2,0.01,0.49155405405405406,0.5757575757575758
skipgram,1,2,2,3.359818286283781,0.49489795918367346,0.5454545454545454
SVD,1,2,3,23.357214690901213,0.4830508474576271,0.6515151515151515
cbow,1,2,3,0.06951927961775606,0.49155405405405406,0.5757575757575758
skipgram,1,2,3,0.026366508987303583,0.49489795918367346,0.5454545454545454
SVD,1,2,4,5.455594781168514,0.4830508474576271,0.6515151515151515
cbow,1,2,4,0.01,0.49155405405405406,0.5757575757575758
skipgram,1,2,4,8.858667904100823,0.49489795918367346,0.5454545454545454
SVD,1,2,5,3.359818286283781,0.4830508474576271,0.6515151515151515
cbow,1,2,5,0.11288378916846889,0.49155405405405406,0.5757575757575758
skipgram,1,2,5,0.06951927961775606,0.49489795918367346,0.5454545454545454
SVD,1,2,6,0.016237767391887217,0.4830508474576271,0.6515151515151515
cbow,1,2,6,0.016237767391887217,0.49155405405405406,0.5757575757575758
skipgram,1,2,6,0.4832930238571752,0.49489795918367346,0.5454545454545454
SVD,1,2,7,0.7847599703514611,0.4830508474576271,0.6515151515151515
cbow,1,2,7,0.06951927961775606,0.49155405405405406,0.5757575757575758
skipgram,1,2,7,0.11288378916846889,0.49489795918367346,0.5454545454545454
SVD,1,2,8,8.858667904100823,0.4830508474576271,0.6515151515151515
cbow,1,2,8,0.016237767391887217,0.49155405405405406,0.5757575757575758
skipgram,1,2,8,1.2742749857031335,0.49489795918367346,0.5454545454545454
SVD,1,2,9,14.38449888287663,0.4830508474576271,0.6515151515151515
cbow,1,2,9,0.026366508987303583,0.49155405405405406,0.5757575757575758
skipgram,1,2,9,0.01,0.49489795918367346,0.5454545454545454
SVD,1,2,10,0.4832930238571752,0.4830508474576271,0.6515151515151515
cbow,1,2,10,0.7847599703514611,0.49155405405405406,0.5757575757575758
skipgram,1,2,10,0.18329807108324356,0.49489795918367346,0.5454545454545454
SVD,1,2,11,8.858667904100823,0.4830508474576271,0.6515151515151515
cbow,1,2,11,0.01,0.49155405405405406,0.5757575757575758
skipgram,1,2,11,0.01,0.49489795918367346,0.5454545454545454
SVD,1,2,12,1.2742749857031335,0.4830508474576271,0.6515151515151515
cbow,1,2,12,0.11288378916846889,0.49155405405405406,0.5757575757575758
skipgram,1,2,12,2.06913808111479,0.49489795918367346,0.5454545454545454
SVD,1,2,13,0.11288378916846889,0.4830508474576271,0.6515151515151515
cbow,1,2,13,0.016237767391887217,0.49155405405405406,0.5757575757575758
skipgram,1,2,13,0.026366508987303583,0.49489795918367346,0.5454545454545454
SVD,1,2,14,0.4832930238571752,0.4830508474576271,0.6515151515151515
cbow,1,2,14,0.4832930238571752,0.5489864864864865,0.6666666666666666
skipgram,1,2,14,0.016237767391887217,0.49489795918367346,0.5454545454545454
SVD,1,2,15,0.4832930238571752,0.4830508474576271,0.6515151515151515
cbow,1,2,15,0.01,0.49493243243243246,0.5757575757575758
skipgram,1,2,15,0.04281332398719394,0.49489795918367346,0.5454545454545454
SVD,1,2,16,0.29763514416313175,0.4830508474576271,0.6515151515151515
cbow,1,2,16,0.026366508987303583,0.518581081081081,0.5909090909090909
skipgram,1,2,16,0.01,0.49489795918367346,0.5454545454545454
SVD,1,2,17,5.455594781168514,0.4830508474576271,0.6515151515151515
cbow,1,2,17,0.04281332398719394,0.5,0.5909090909090909
skipgram,1,2,17,0.016237767391887217,0.5510204081632653,0.6363636363636364
SVD,1,2,18,8.858667904100823,0.4830508474576271,0.6515151515151515
cbow,1,2,18,0.026366508987303583,0.49155405405405406,0.5757575757575758
skipgram,1,2,18,0.18329807108324356,0.5527210884353742,0.5909090909090909
SVD,1,2,19,2.06913808111479,0.4830508474576271,0.6515151515151515
cbow,1,2,19,0.29763514416313175,0.5304054054054054,0.5454545454545454
skipgram,1,2,19,0.01,0.49489795918367346,0.5454545454545454
SVD,1,2,20,14.38449888287663,0.4830508474576271,0.6515151515151515
cbow,1,2,20,0.01,0.49155405405405406,0.5757575757575758
skipgram,1,2,20,0.01,0.49489795918367346,0.5454545454545454
SVD,2,1,2,0.29763514416313175,0.49747899159663866,0.5223880597014925
cbow,2,1,2,0.18329807108324356,0.4991624790619765,0.5074626865671642
skipgram,2,1,2,2.06913808111479,0.4991624790619765,0.5074626865671642
SVD,2,1,3,2.06913808111479,0.49747899159663866,0.5223880597014925
cbow,2,1,3,0.026366508987303583,0.4991624790619765,0.5074626865671642
skipgram,2,1,3,8.858667904100823,0.5025125628140703,0.5074626865671642
SVD,2,1,4,5.455594781168514,0.49747899159663866,0.5223880597014925
cbow,2,1,4,2.06913808111479,0.5125628140703518,0.4626865671641791
skipgram,2,1,4,0.11288378916846889,0.5008375209380235,0.5074626865671642
SVD,2,1,5,0.04281332398719394,0.49747899159663866,0.5223880597014925
cbow,2,1,5,0.7847599703514611,0.5175879396984925,0.5074626865671642
skipgram,2,1,5,5.455594781168514,0.5025125628140703,0.5074626865671642
SVD,2,1,6,0.016237767391887217,0.49747899159663866,0.5223880597014925
