emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.29763514416313175,0.5005555555555555,0.495
cbow,1,1,2,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,2,0.29763514416313175,0.5005555555555555,0.495
SVD,1,1,3,0.18329807108324356,0.5005555555555555,0.495
cbow,1,1,3,0.01,0.5005555555555555,0.495
skipgram,1,1,3,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,4,37.92690190732246,0.5005555555555555,0.495
cbow,1,1,4,3.359818286283781,0.5005555555555555,0.495
skipgram,1,1,4,0.01,0.5005555555555555,0.495
SVD,1,1,5,5.455594781168514,0.5005555555555555,0.495
cbow,1,1,5,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,1,5,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,6,14.38449888287663,0.5005555555555555,0.495
cbow,1,1,6,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,6,0.01,0.5005555555555555,0.495
SVD,1,1,7,2.06913808111479,0.5005555555555555,0.495
cbow,1,1,7,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,1,7,0.7847599703514611,0.5016666666666667,0.49
SVD,1,1,8,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,8,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,8,0.7847599703514611,0.5011111111111111,0.49
SVD,1,1,9,1.2742749857031335,0.5005555555555555,0.495
cbow,1,1,9,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,9,8.858667904100823,0.4988888888888889,0.495
SVD,1,1,10,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,10,0.01,0.49444444444444446,0.5
skipgram,1,1,10,0.7847599703514611,0.49722222222222223,0.49
SVD,1,1,11,0.29763514416313175,0.5005555555555555,0.495
cbow,1,1,11,0.01,0.49277777777777776,0.455
skipgram,1,1,11,0.18329807108324356,0.49722222222222223,0.5
SVD,1,1,12,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,12,0.01,0.4988888888888889,0.475
skipgram,1,1,12,2.06913808111479,0.4961111111111111,0.485
SVD,1,1,13,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,13,0.18329807108324356,0.49944444444444447,0.49
skipgram,1,1,13,0.04281332398719394,0.5016666666666667,0.495
SVD,1,1,14,0.29763514416313175,0.5005555555555555,0.495
cbow,1,1,14,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,14,0.4832930238571752,0.49166666666666664,0.48
SVD,1,1,15,0.7847599703514611,0.5005555555555555,0.495
cbow,1,1,15,0.18329807108324356,0.5138888888888888,0.49
skipgram,1,1,15,0.18329807108324356,0.4938888888888889,0.495
SVD,1,1,16,5.455594781168514,0.5005555555555555,0.495
cbow,1,1,16,3.359818286283781,0.5005555555555555,0.495
skipgram,1,1,16,0.04281332398719394,0.5044444444444445,0.485
SVD,1,1,17,1.2742749857031335,0.5005555555555555,0.495
cbow,1,1,17,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,17,0.4832930238571752,0.5072222222222222,0.495
SVD,1,1,18,3.359818286283781,0.5005555555555555,0.495
cbow,1,1,18,0.4832930238571752,0.49944444444444447,0.49
skipgram,1,1,18,0.06951927961775606,0.5127777777777778,0.51
SVD,1,1,19,2.06913808111479,0.5005555555555555,0.495
cbow,1,1,19,0.29763514416313175,0.49833333333333335,0.495
skipgram,1,1,19,0.026366508987303583,0.5188888888888888,0.51
SVD,1,1,20,0.4832930238571752,0.5005555555555555,0.495
cbow,1,1,20,3.359818286283781,0.5,0.495
skipgram,1,1,20,0.4832930238571752,0.5372222222222223,0.52
SVD,1,2,2,0.4832930238571752,0.5005555555555555,0.495
cbow,1,2,2,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,2,2,2.06913808111479,0.5005555555555555,0.495
SVD,1,2,3,100.0,0.5005555555555555,0.495
