emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.016237767391887217,0.5005555555555555,0.495
cbow,1,1,2,0.01,0.5005555555555555,0.495
skipgram,1,1,2,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,3,0.01,0.6427777777777778,0.625
cbow,1,1,3,0.01,0.5016666666666667,0.5
skipgram,1,1,3,0.04281332398719394,0.5011111111111111,0.495
SVD,1,1,4,0.026366508987303583,0.5011111111111111,0.5
cbow,1,1,4,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,4,0.016237767391887217,0.5011111111111111,0.5
SVD,1,1,5,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,5,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,1,5,0.01,0.5005555555555555,0.495
SVD,1,1,6,0.01,0.7205555555555555,0.7
cbow,1,1,6,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,6,0.01,0.5094444444444445,0.495
SVD,1,1,7,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,7,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,7,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,8,0.01,0.5255555555555556,0.55
cbow,1,1,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,8,0.01,0.5005555555555555,0.495
SVD,1,1,9,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,9,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,9,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,10,3.359818286283781,0.5005555555555555,0.495
cbow,1,1,10,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,10,0.11288378916846889,0.5005555555555555,0.495
SVD,1,1,11,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,11,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,11,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,12,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,12,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,12,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,13,0.18329807108324356,0.5005555555555555,0.495
cbow,1,1,13,0.026366508987303583,0.5316666666666666,0.55
skipgram,1,1,13,0.29763514416313175,0.5005555555555555,0.495
SVD,1,1,14,0.01,0.5005555555555555,0.495
cbow,1,1,14,0.026366508987303583,0.5033333333333333,0.495
skipgram,1,1,14,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,15,3.359818286283781,0.5005555555555555,0.495
cbow,1,1,15,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,15,3.359818286283781,0.5005555555555555,0.495
SVD,1,1,16,0.01,0.5005555555555555,0.495
cbow,1,1,16,0.4832930238571752,0.5005555555555555,0.495
