emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,37.92690190732246,0.19574468085106383,0.23829787234042554
skipgram,1,1,2,14.38449888287663,0.19574468085106383,0.23829787234042554
svd,1,1,2,0.016237767391887217,0.19574468085106383,0.23829787234042554
cbow,1,1,3,61.584821106602604,0.19574468085106383,0.23829787234042554
skipgram,1,1,3,8.858667904100823,0.19692671394799055,0.23829787234042554
svd,1,1,3,0.026366508987303583,0.20236406619385341,0.2425531914893617
cbow,1,1,4,0.04281332398719394,0.19574468085106383,0.23829787234042554
skipgram,1,1,4,3.359818286283781,0.19574468085106383,0.23829787234042554
svd,1,1,4,1.2742749857031335,0.38747044917257684,0.44680851063829785
cbow,1,1,5,0.06951927961775606,0.19574468085106383,0.23829787234042554
skipgram,1,1,5,8.858667904100823,0.19574468085106383,0.23829787234042554
svd,1,1,5,0.7847599703514611,0.38817966903073287,0.4425531914893617
cbow,1,1,6,2.06913808111479,0.19574468085106383,0.23829787234042554
skipgram,1,1,6,23.357214690901213,0.19574468085106383,0.23829787234042554
svd,1,1,6,37.92690190732246,0.2028368794326241,0.24680851063829787
cbow,1,1,7,3.359818286283781,0.1988179669030733,0.2425531914893617
skipgram,1,1,7,23.357214690901213,0.19574468085106383,0.23829787234042554
svd,1,1,7,0.29763514416313175,0.19574468085106383,0.23829787234042554
cbow,1,1,8,0.026366508987303583,0.19574468085106383,0.23829787234042554
skipgram,1,1,8,37.92690190732246,0.19574468085106383,0.23829787234042554
svd,1,1,8,14.38449888287663,0.20070921985815604,0.23829787234042554
cbow,1,1,9,0.7847599703514611,0.19574468085106383,0.23829787234042554
skipgram,1,1,9,37.92690190732246,0.19574468085106383,0.23829787234042554
svd,1,1,9,23.357214690901213,0.2028368794326241,0.24893617021276596
cbow,1,1,10,100.0,0.19574468085106383,0.23617021276595745
skipgram,1,1,10,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,10,37.92690190732246,0.21583924349881797,0.24680851063829787
cbow,1,1,11,61.584821106602604,0.19527186761229315,0.23617021276595745
skipgram,1,1,11,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,11,23.357214690901213,0.23664302600472814,0.274468085106383
cbow,1,1,12,23.357214690901213,0.19243498817966903,0.23404255319148937
skipgram,1,1,12,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,12,8.858667904100823,0.2680851063829787,0.3191489361702128
cbow,1,1,13,37.92690190732246,0.19574468085106383,0.23829787234042554
skipgram,1,1,13,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,13,100.0,0.29432624113475175,0.33617021276595743
cbow,1,1,14,100.0,0.2520094562647754,0.3021276595744681
skipgram,1,1,14,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,14,23.357214690901213,0.19456264775413712,0.23617021276595745
cbow,1,1,15,61.584821106602604,0.27210401891252955,0.31063829787234043
skipgram,1,1,15,100.0,0.19598108747044918,0.23829787234042554
svd,1,1,15,23.357214690901213,0.17919621749408984,0.22340425531914893
cbow,1,1,16,23.357214690901213,0.2945626477541371,0.33191489361702126
skipgram,1,1,16,100.0,0.1955082742316785,0.23829787234042554
svd,1,1,16,100.0,0.20543735224586288,0.2297872340425532
cbow,1,1,17,61.584821106602604,0.19078014184397163,0.2297872340425532
skipgram,1,1,17,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,17,37.92690190732246,0.1524822695035461,0.17446808510638298
cbow,1,1,18,37.92690190732246,0.19243498817966903,0.2276595744680851
skipgram,1,1,18,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,18,0.29763514416313175,0.17777777777777778,0.19574468085106383
cbow,1,1,19,61.584821106602604,0.22836879432624113,0.23617021276595745
skipgram,1,1,19,100.0,0.20354609929078013,0.24680851063829787
svd,1,1,19,0.11288378916846889,0.13522458628841608,0.17659574468085107
cbow,1,1,20,100.0,0.22009456264775415,0.2531914893617021
skipgram,1,1,20,100.0,0.19574468085106383,0.23829787234042554
svd,1,1,20,0.11288378916846889,0.04539007092198582,0.06595744680851064
cbow,1,2,2,5.455594781168514,0.19792158715162966,0.21868365180467092
skipgram,1,2,2,8.858667904100823,0.20260047281323876,0.17659574468085107
svd,1,2,2,61.584821106602604,0.19776828110161443,0.22008547008547008
cbow,1,2,3,2.06913808111479,0.2021728861596599,0.16772823779193205
skipgram,1,2,3,0.11288378916846889,0.20236406619385341,0.17659574468085107
svd,1,2,3,0.4832930238571752,0.20489078822412155,0.20726495726495728
cbow,1,2,4,23.357214690901213,0.20051960321209258,0.21231422505307856
skipgram,1,2,4,2.06913808111479,0.20732860520094562,0.19574468085106383
svd,1,2,4,0.4832930238571752,0.20489078822412155,0.21153846153846154
cbow,1,2,5,8.858667904100823,0.2009919697685404,0.21443736730360935
skipgram,1,2,5,23.357214690901213,0.2033096926713948,0.19574468085106383
svd,1,2,5,0.7847599703514611,0.25071225071225073,0.25854700854700857
cbow,1,2,6,3.359818286283781,0.20524326877657062,0.21868365180467092
skipgram,1,2,6,2.06913808111479,0.19645390070921986,0.23829787234042554
svd,1,2,6,3.359818286283781,0.36775878442545107,0.3504273504273504
cbow,1,2,7,8.858667904100823,0.21374586679263108,0.22717622080679406
skipgram,1,2,7,14.38449888287663,0.2028368794326241,0.19148936170212766
svd,1,2,7,5.455594781168514,0.36752136752136755,0.3504273504273504
cbow,1,2,8,37.92690190732246,0.21303731695795938,0.2208067940552017
skipgram,1,2,8,100.0,0.21040189125295508,0.19361702127659575
svd,1,2,8,37.92690190732246,0.35208926875593544,0.3482905982905983
