emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,100.0,0.19574468085106383,0.23829787234042554
skipgram,1,1,2,0.18329807108324356,0.19574468085106383,0.23829787234042554
svd,1,1,2,0.016237767391887217,0.19574468085106383,0.23829787234042554
cbow,1,1,3,0.18329807108324356,0.19574468085106383,0.23829787234042554
skipgram,1,1,3,0.11288378916846889,0.19574468085106383,0.23829787234042554
svd,1,1,3,0.11288378916846889,0.19574468085106383,0.23829787234042554
cbow,1,1,4,0.18329807108324356,0.19574468085106383,0.23829787234042554
skipgram,1,1,4,0.11288378916846889,0.19574468085106383,0.23829787234042554
svd,1,1,4,2.06913808111479,0.19598108747044918,0.23829787234042554
cbow,1,1,5,0.29763514416313175,0.19574468085106383,0.23829787234042554
skipgram,1,1,5,0.29763514416313175,0.19574468085106383,0.23829787234042554
svd,1,1,5,0.29763514416313175,0.19787234042553192,0.23829787234042554
cbow,1,1,6,2.06913808111479,0.19574468085106383,0.23829787234042554
skipgram,1,1,6,0.06951927961775606,0.19574468085106383,0.23829787234042554
svd,1,1,6,2.06913808111479,0.22340425531914893,0.2702127659574468
cbow,1,1,7,1.2742749857031335,0.19574468085106383,0.23829787234042554
skipgram,1,1,7,0.04281332398719394,0.19598108747044918,0.23829787234042554
svd,1,1,7,0.7847599703514611,0.2581560283687943,0.3021276595744681
cbow,1,1,8,0.026366508987303583,0.19574468085106383,0.23829787234042554
skipgram,1,1,8,0.01,0.19574468085106383,0.2404255319148936
svd,1,1,8,1.2742749857031335,0.19574468085106383,0.23829787234042554
cbow,1,1,9,0.04281332398719394,0.19574468085106383,0.23829787234042554
skipgram,1,1,9,0.01,0.19621749408983452,0.2404255319148936
svd,1,1,9,5.455594781168514,0.30094562647754136,0.3404255319148936
cbow,1,1,10,0.18329807108324356,0.19574468085106383,0.23829787234042554
skipgram,1,1,10,0.04281332398719394,0.19598108747044918,0.2404255319148936
svd,1,1,10,8.858667904100823,0.25673758865248225,0.2957446808510638
cbow,1,1,11,23.357214690901213,0.19574468085106383,0.23829787234042554
skipgram,1,1,11,0.01,0.19905437352245864,0.23829787234042554
svd,1,1,11,0.016237767391887217,0.4470449172576832,0.4765957446808511
cbow,1,1,12,0.11288378916846889,0.19574468085106383,0.23829787234042554
skipgram,1,1,12,0.01,0.2044917257683215,0.24893617021276596
svd,1,1,12,0.11288378916846889,0.483451536643026,0.5425531914893617
cbow,1,1,13,0.06951927961775606,0.19574468085106383,0.23829787234042554
skipgram,1,1,13,0.01,0.21300236406619386,0.24893617021276596
svd,1,1,13,0.18329807108324356,0.5229314420803782,0.5638297872340425
cbow,1,1,14,0.18329807108324356,0.19574468085106383,0.23829787234042554
skipgram,1,1,14,0.01,0.21749408983451538,0.25957446808510637
svd,1,1,14,0.026366508987303583,0.27044917257683215,0.3021276595744681
cbow,1,1,15,0.06951927961775606,0.19574468085106383,0.23829787234042554
skipgram,1,1,15,0.01,0.3056737588652482,0.3680851063829787
svd,1,1,15,0.016237767391887217,0.2607565011820331,0.31063829787234043
cbow,1,1,16,0.11288378916846889,0.19621749408983452,0.23829787234042554
skipgram,1,1,16,0.01,0.24397163120567375,0.2978723404255319
