emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,14.38449888287663,0.5041371158392435,0.4627659574468085
skipgram,1,1,2,0.04281332398719394,0.5041371158392435,0.4627659574468085
svd,1,1,2,0.01,0.5041371158392435,0.4627659574468085
cbow,1,1,3,0.7847599703514611,0.5041371158392435,0.4627659574468085
skipgram,1,1,3,23.357214690901213,0.5112293144208038,0.46808510638297873
svd,1,1,3,0.06951927961775606,0.5065011820330969,0.4627659574468085
cbow,1,1,4,0.026366508987303583,0.5041371158392435,0.4627659574468085
skipgram,1,1,4,0.4832930238571752,0.5041371158392435,0.4627659574468085
svd,1,1,4,0.01,0.5041371158392435,0.4627659574468085
cbow,1,1,5,2.06913808111479,0.5041371158392435,0.4627659574468085
skipgram,1,1,5,0.016237767391887217,0.5041371158392435,0.4627659574468085
svd,1,1,5,0.06951927961775606,0.5041371158392435,0.4627659574468085
cbow,1,1,6,0.4832930238571752,0.5041371158392435,0.4627659574468085
skipgram,1,1,6,0.4832930238571752,0.5041371158392435,0.4627659574468085
svd,1,1,6,0.4832930238571752,0.5041371158392435,0.4627659574468085
cbow,1,1,7,23.357214690901213,0.5041371158392435,0.4627659574468085
skipgram,1,1,7,0.4832930238571752,0.5041371158392435,0.4627659574468085
svd,1,1,7,0.016237767391887217,0.5112293144208038,0.4787234042553192
cbow,1,1,8,5.455594781168514,0.5041371158392435,0.4627659574468085
skipgram,1,1,8,0.4832930238571752,0.5041371158392435,0.4627659574468085
svd,1,1,8,0.7847599703514611,0.5070921985815603,0.46808510638297873
cbow,1,1,9,8.858667904100823,0.5041371158392435,0.4627659574468085
skipgram,1,1,9,37.92690190732246,0.5041371158392435,0.4627659574468085
svd,1,1,9,1.2742749857031335,0.5277777777777778,0.4787234042553192
cbow,1,1,10,14.38449888287663,0.5041371158392435,0.4627659574468085
skipgram,1,1,10,100.0,0.5041371158392435,0.4627659574468085
svd,1,1,10,3.359818286283781,0.5531914893617021,0.5159574468085106
