emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,2,0.11288378916846889,0.5005555555555555,0.495
svd,1,1,2,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,3,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,3,0.01,0.5005555555555555,0.495
svd,1,1,3,0.01,0.5005555555555555,0.495
cbow,1,1,4,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,4,0.016237767391887217,0.5005555555555555,0.495
svd,1,1,4,0.01,0.5005555555555555,0.495
cbow,1,1,5,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,5,0.4832930238571752,0.5005555555555555,0.495
svd,1,1,5,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,6,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,6,0.026366508987303583,0.5005555555555555,0.495
svd,1,1,6,0.01,0.5005555555555555,0.495
cbow,1,1,7,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,7,0.4832930238571752,0.5005555555555555,0.495
svd,1,1,7,0.04281332398719394,0.5005555555555555,0.495
cbow,1,1,8,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,8,23.357214690901213,0.5005555555555555,0.495
svd,1,1,8,0.7847599703514611,0.5005555555555555,0.495
cbow,1,1,9,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,9,1.2742749857031335,0.5005555555555555,0.495
svd,1,1,9,0.01,0.5005555555555555,0.495
cbow,1,1,10,0.01,0.5005555555555555,0.495
skipgram,1,1,10,5.455594781168514,0.5005555555555555,0.495
svd,1,1,10,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,11,23.357214690901213,0.4888888888888889,0.49
skipgram,1,1,11,0.7847599703514611,0.5005555555555555,0.495
svd,1,1,11,0.06951927961775606,0.4988888888888889,0.495
cbow,1,1,12,0.29763514416313175,0.49944444444444447,0.48
skipgram,1,1,12,37.92690190732246,0.5005555555555555,0.495
svd,1,1,12,0.29763514416313175,0.49944444444444447,0.495
cbow,1,1,13,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,13,0.29763514416313175,0.5005555555555555,0.495
svd,1,1,13,5.455594781168514,0.5005555555555555,0.495
cbow,1,1,14,14.38449888287663,0.5005555555555555,0.495
skipgram,1,1,14,61.584821106602604,0.5005555555555555,0.495
svd,1,1,14,0.01,0.5005555555555555,0.495
cbow,1,1,15,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,15,61.584821106602604,0.5005555555555555,0.495
svd,1,1,15,0.06951927961775606,0.49166666666666664,0.49
cbow,1,1,16,14.38449888287663,0.5005555555555555,0.495
skipgram,1,1,16,0.4832930238571752,0.5005555555555555,0.495
svd,1,1,16,0.026366508987303583,0.49666666666666665,0.495
cbow,1,1,17,14.38449888287663,0.45166666666666666,0.45
skipgram,1,1,17,100.0,0.5005555555555555,0.495
svd,1,1,17,0.04281332398719394,0.4861111111111111,0.505
cbow,1,1,18,61.584821106602604,0.40055555555555555,0.385
skipgram,1,1,18,0.18329807108324356,0.5005555555555555,0.495
svd,1,1,18,0.026366508987303583,0.4822222222222222,0.485
cbow,1,1,19,14.38449888287663,0.4988888888888889,0.51
skipgram,1,1,19,5.455594781168514,0.5005555555555555,0.495
svd,1,1,19,0.7847599703514611,0.49333333333333335,0.44
cbow,1,1,20,0.016237767391887217,0.49944444444444447,0.505
skipgram,1,1,20,14.38449888287663,0.5005555555555555,0.495
svd,1,1,20,0.4832930238571752,0.5027777777777778,0.55
cbow,1,2,2,5.455594781168514,0.5005555555555555,0.495
skipgram,1,2,2,1.2742749857031335,0.5005555555555555,0.495
svd,1,2,2,0.18329807108324356,0.5005555555555555,0.495
cbow,1,2,3,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,3,0.01,0.5005555555555555,0.495
svd,1,2,3,0.4832930238571752,0.49944444444444447,0.505
cbow,1,2,4,3.359818286283781,0.49944444444444447,0.505
skipgram,1,2,4,0.04281332398719394,0.5005555555555555,0.495
svd,1,2,4,0.01,0.49944444444444447,0.505
cbow,1,2,5,37.92690190732246,0.49944444444444447,0.505
skipgram,1,2,5,0.026366508987303583,0.5005555555555555,0.495
svd,1,2,5,0.016237767391887217,0.49944444444444447,0.505
cbow,1,2,6,2.06913808111479,0.49944444444444447,0.505
skipgram,1,2,6,0.06951927961775606,0.5005555555555555,0.495
svd,1,2,6,0.18329807108324356,0.49944444444444447,0.505
cbow,1,2,7,14.38449888287663,0.49944444444444447,0.505
skipgram,1,2,7,3.359818286283781,0.5005555555555555,0.495
svd,1,2,7,0.01,0.49944444444444447,0.505
cbow,1,2,8,14.38449888287663,0.49944444444444447,0.505
skipgram,1,2,8,0.7847599703514611,0.5005555555555555,0.495
svd,1,2,8,0.01,0.49944444444444447,0.505
cbow,1,2,9,23.357214690901213,0.49944444444444447,0.505
skipgram,1,2,9,1.2742749857031335,0.5005555555555555,0.495
svd,1,2,9,0.016237767391887217,0.49944444444444447,0.505
cbow,1,2,10,1.2742749857031335,0.5016666666666667,0.51
skipgram,1,2,10,0.18329807108324356,0.5005555555555555,0.495
svd,1,2,10,0.026366508987303583,0.49944444444444447,0.505
cbow,1,2,11,23.357214690901213,0.47333333333333333,0.515
skipgram,1,2,11,0.11288378916846889,0.5005555555555555,0.495
svd,1,2,11,0.06951927961775606,0.49944444444444447,0.505
cbow,1,2,12,8.858667904100823,0.4811111111111111,0.475
skipgram,1,2,12,0.04281332398719394,0.5005555555555555,0.495
svd,1,2,12,0.016237767391887217,0.5055555555555555,0.51
cbow,1,2,13,3.359818286283781,0.48388888888888887,0.49
skipgram,1,2,13,0.7847599703514611,0.5005555555555555,0.495
svd,1,2,13,0.01,0.5238888888888888,0.555
cbow,1,2,14,2.06913808111479,0.4861111111111111,0.485
skipgram,1,2,14,8.858667904100823,0.5005555555555555,0.495
svd,1,2,14,3.359818286283781,0.5072222222222222,0.495
cbow,1,2,15,61.584821106602604,0.48277777777777775,0.49
skipgram,1,2,15,0.4832930238571752,0.5005555555555555,0.495
svd,1,2,15,0.29763514416313175,0.5411111111111111,0.565
cbow,1,2,16,0.4832930238571752,0.4872222222222222,0.485
skipgram,1,2,16,0.4832930238571752,0.5005555555555555,0.495
svd,1,2,16,5.455594781168514,0.5005555555555555,0.495
cbow,1,2,17,5.455594781168514,0.4816666666666667,0.47
skipgram,1,2,17,1.2742749857031335,0.5005555555555555,0.495
svd,1,2,17,23.357214690901213,0.5005555555555555,0.495
cbow,1,2,18,100.0,0.48333333333333334,0.485
skipgram,1,2,18,0.29763514416313175,0.5005555555555555,0.495
svd,1,2,18,2.06913808111479,0.5005555555555555,0.495
cbow,1,2,19,23.357214690901213,0.5233333333333333,0.505
skipgram,1,2,19,0.7847599703514611,0.5005555555555555,0.495
svd,1,2,19,23.357214690901213,0.5005555555555555,0.495
cbow,1,2,20,3.359818286283781,0.48388888888888887,0.47
skipgram,1,2,20,0.29763514416313175,0.5005555555555555,0.495
svd,1,2,20,23.357214690901213,0.5138888888888888,0.55
cbow,2,1,2,0.026366508987303583,0.5005555555555555,0.495
skipgram,2,1,2,0.4832930238571752,0.5005555555555555,0.495
svd,2,1,2,0.01,0.5005555555555555,0.495
cbow,2,1,3,0.01,0.5005555555555555,0.495
skipgram,2,1,3,0.11288378916846889,0.5005555555555555,0.495
svd,2,1,3,0.026366508987303583,0.5005555555555555,0.495
cbow,2,1,4,0.7847599703514611,0.42277777777777775,0.43
skipgram,2,1,4,2.06913808111479,0.5005555555555555,0.495
svd,2,1,4,0.016237767391887217,0.5005555555555555,0.495
cbow,2,1,5,0.4832930238571752,0.425,0.42
skipgram,2,1,5,0.7847599703514611,0.5005555555555555,0.495
svd,2,1,5,0.01,0.5005555555555555,0.495
cbow,2,1,6,3.359818286283781,0.4716666666666667,0.435
skipgram,2,1,6,14.38449888287663,0.49944444444444447,0.495
svd,2,1,6,14.38449888287663,0.5005555555555555,0.495
cbow,2,1,7,2.06913808111479,0.425,0.445
skipgram,2,1,7,2.06913808111479,0.5005555555555555,0.495
svd,2,1,7,0.016237767391887217,0.49444444444444446,0.46
cbow,2,1,8,3.359818286283781,0.44666666666666666,0.45
skipgram,2,1,8,0.11288378916846889,0.5005555555555555,0.495
svd,2,1,8,0.026366508987303583,0.5005555555555555,0.495
cbow,2,1,9,3.359818286283781,0.7083333333333334,0.68
skipgram,2,1,9,0.026366508987303583,0.5005555555555555,0.495
svd,2,1,9,0.04281332398719394,0.5005555555555555,0.495
cbow,2,1,10,3.359818286283781,0.7372222222222222,0.81
skipgram,2,1,10,0.4832930238571752,0.5005555555555555,0.495
svd,2,1,10,8.858667904100823,0.47444444444444445,0.51
cbow,2,1,11,3.359818286283781,0.655,0.63
skipgram,2,1,11,2.06913808111479,0.5005555555555555,0.495
svd,2,1,11,0.06951927961775606,0.35777777777777775,0.365
cbow,2,1,12,8.858667904100823,0.5005555555555555,0.495
skipgram,2,1,12,0.11288378916846889,0.5005555555555555,0.495
svd,2,1,12,0.29763514416313175,0.47944444444444445,0.5
cbow,2,1,13,0.11288378916846889,0.5005555555555555,0.495
skipgram,2,1,13,1.2742749857031335,0.5005555555555555,0.495
svd,2,1,13,5.455594781168514,0.48388888888888887,0.495
cbow,2,1,14,3.359818286283781,0.5005555555555555,0.495
skipgram,2,1,14,0.06951927961775606,0.5005555555555555,0.495
svd,2,1,14,3.359818286283781,0.4922222222222222,0.52
cbow,2,1,15,0.06951927961775606,0.5005555555555555,0.495
skipgram,2,1,15,14.38449888287663,0.5005555555555555,0.495
svd,2,1,15,2.06913808111479,0.4961111111111111,0.51
cbow,2,1,16,0.04281332398719394,0.5005555555555555,0.495
skipgram,2,1,16,100.0,0.5005555555555555,0.495
svd,2,1,16,0.01,0.5005555555555555,0.495
cbow,2,1,17,0.06951927961775606,0.5005555555555555,0.495
skipgram,2,1,17,0.4832930238571752,0.5005555555555555,0.495
svd,2,1,17,0.01,0.5005555555555555,0.495
cbow,2,1,18,0.18329807108324356,0.5005555555555555,0.495
skipgram,2,1,18,0.18329807108324356,0.5005555555555555,0.495
svd,2,1,18,0.04281332398719394,0.51,0.54
cbow,2,1,19,0.11288378916846889,0.5005555555555555,0.495
skipgram,2,1,19,100.0,0.5005555555555555,0.495
svd,2,1,19,2.06913808111479,0.5005555555555555,0.515
cbow,2,1,20,0.06951927961775606,0.5005555555555555,0.495
skipgram,2,1,20,0.7847599703514611,0.5005555555555555,0.495
svd,2,1,20,0.016237767391887217,0.5005555555555555,0.495
cbow,2,2,2,0.01,0.5005555555555555,0.495
skipgram,2,2,2,0.01,0.5005555555555555,0.495
svd,2,2,2,0.016237767391887217,0.49944444444444447,0.505
cbow,2,2,3,0.11288378916846889,0.5005555555555555,0.495
skipgram,2,2,3,2.06913808111479,0.5005555555555555,0.495
svd,2,2,3,3.359818286283781,0.49944444444444447,0.505
cbow,2,2,4,14.38449888287663,0.49944444444444447,0.505
skipgram,2,2,4,8.858667904100823,0.5005555555555555,0.495
svd,2,2,4,0.026366508987303583,0.49944444444444447,0.505
cbow,2,2,5,1.2742749857031335,0.49944444444444447,0.505
skipgram,2,2,5,1.2742749857031335,0.5005555555555555,0.495
svd,2,2,5,0.01,0.49944444444444447,0.505
cbow,2,2,6,2.06913808111479,0.5027777777777778,0.505
skipgram,2,2,6,0.4832930238571752,0.5005555555555555,0.495
svd,2,2,6,0.026366508987303583,0.49944444444444447,0.505
cbow,2,2,7,2.06913808111479,0.5288888888888889,0.525
skipgram,2,2,7,61.584821106602604,0.5005555555555555,0.495
svd,2,2,7,0.06951927961775606,0.49944444444444447,0.505
cbow,2,2,8,1.2742749857031335,0.5322222222222223,0.55
skipgram,2,2,8,0.7847599703514611,0.5005555555555555,0.495
svd,2,2,8,0.04281332398719394,0.49944444444444447,0.505
cbow,2,2,9,1.2742749857031335,0.5938888888888889,0.62
skipgram,2,2,9,1.2742749857031335,0.5005555555555555,0.495
svd,2,2,9,2.06913808111479,0.5005555555555555,0.505
cbow,2,2,10,0.026366508987303583,0.535,0.53
skipgram,2,2,10,0.29763514416313175,0.5005555555555555,0.495
svd,2,2,10,0.11288378916846889,0.49944444444444447,0.505
cbow,2,2,11,0.11288378916846889,0.685,0.645
skipgram,2,2,11,0.7847599703514611,0.5005555555555555,0.495
svd,2,2,11,5.455594781168514,0.49944444444444447,0.505
cbow,2,2,12,14.38449888287663,0.5744444444444444,0.54
skipgram,2,2,12,3.359818286283781,0.4905555555555556,0.475
svd,2,2,12,0.016237767391887217,0.49944444444444447,0.505
cbow,2,2,13,3.359818286283781,0.5766666666666667,0.61
skipgram,2,2,13,8.858667904100823,0.45,0.41
svd,2,2,13,0.016237767391887217,0.49944444444444447,0.505
cbow,2,2,14,3.359818286283781,0.5311111111111111,0.505
skipgram,2,2,14,37.92690190732246,0.4288888888888889,0.415
svd,2,2,14,0.04281332398719394,0.49944444444444447,0.505
cbow,2,2,15,14.38449888287663,0.5027777777777778,0.5
skipgram,2,2,15,8.858667904100823,0.4122222222222222,0.42
svd,2,2,15,0.11288378916846889,0.5,0.505
cbow,2,2,16,0.4832930238571752,0.5005555555555555,0.495
skipgram,2,2,16,37.92690190732246,0.4177777777777778,0.42
svd,2,2,16,0.18329807108324356,0.49944444444444447,0.505
cbow,2,2,17,0.29763514416313175,0.5005555555555555,0.495
skipgram,2,2,17,61.584821106602604,0.435,0.435
svd,2,2,17,0.06951927961775606,0.5,0.505
cbow,2,2,18,0.4832930238571752,0.5005555555555555,0.495
skipgram,2,2,18,37.92690190732246,0.4361111111111111,0.42
svd,2,2,18,0.18329807108324356,0.5,0.51
cbow,2,2,19,0.7847599703514611,0.5005555555555555,0.495
skipgram,2,2,19,0.18329807108324356,0.4222222222222222,0.475
svd,2,2,19,0.016237767391887217,0.5083333333333333,0.515
cbow,2,2,20,3.359818286283781,0.5005555555555555,0.495
skipgram,2,2,20,23.357214690901213,0.46111111111111114,0.42
svd,2,2,20,0.01,0.5088888888888888,0.51
cbow,3,1,2,0.01,0.5005555555555555,0.495
skipgram,3,1,2,1.2742749857031335,0.5005555555555555,0.495
svd,3,1,2,5.455594781168514,0.5005555555555555,0.495
cbow,3,1,3,0.06951927961775606,0.5005555555555555,0.495
skipgram,3,1,3,0.7847599703514611,0.5005555555555555,0.495
svd,3,1,3,0.01,0.5005555555555555,0.495
cbow,3,1,4,3.359818286283781,0.5005555555555555,0.495
skipgram,3,1,4,0.06951927961775606,0.5005555555555555,0.495
svd,3,1,4,1.2742749857031335,0.5005555555555555,0.495
cbow,3,1,5,1.2742749857031335,0.5005555555555555,0.495
skipgram,3,1,5,0.04281332398719394,0.5005555555555555,0.495
svd,3,1,5,0.18329807108324356,0.5005555555555555,0.495
cbow,3,1,6,0.18329807108324356,0.5005555555555555,0.495
skipgram,3,1,6,0.7847599703514611,0.5005555555555555,0.495
svd,3,1,6,0.016237767391887217,0.5005555555555555,0.495
cbow,3,1,7,0.04281332398719394,0.5005555555555555,0.495
skipgram,3,1,7,0.7847599703514611,0.5005555555555555,0.495
svd,3,1,7,0.11288378916846889,0.5005555555555555,0.495
cbow,3,1,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,3,1,8,0.7847599703514611,0.5005555555555555,0.495
svd,3,1,8,0.29763514416313175,0.5005555555555555,0.495
cbow,3,1,9,0.11288378916846889,0.5005555555555555,0.495
skipgram,3,1,9,1.2742749857031335,0.5005555555555555,0.495
svd,3,1,9,5.455594781168514,0.4738888888888889,0.49
cbow,3,1,10,0.016237767391887217,0.5005555555555555,0.495
skipgram,3,1,10,0.026366508987303583,0.6011111111111112,0.55
svd,3,1,10,0.29763514416313175,0.48,0.51
cbow,3,1,11,0.026366508987303583,0.5005555555555555,0.495
skipgram,3,1,11,0.18329807108324356,0.5277777777777778,0.55
svd,3,1,11,0.29763514416313175,0.47888888888888886,0.49
cbow,3,1,12,0.01,0.5005555555555555,0.495
skipgram,3,1,12,0.01,0.5583333333333333,0.555
svd,3,1,12,0.01,0.5005555555555555,0.495
cbow,3,1,13,0.01,0.5005555555555555,0.495
skipgram,3,1,13,14.38449888287663,0.5022222222222222,0.495
svd,3,1,13,0.01,0.5005555555555555,0.495
cbow,3,1,14,0.04281332398719394,0.5005555555555555,0.495
skipgram,3,1,14,0.04281332398719394,0.5005555555555555,0.495
svd,3,1,14,0.01,0.5005555555555555,0.495
cbow,3,1,15,0.06951927961775606,0.5005555555555555,0.495
skipgram,3,1,15,0.11288378916846889,0.5005555555555555,0.495
svd,3,1,15,0.026366508987303583,0.5005555555555555,0.495
cbow,3,1,16,0.7847599703514611,0.5005555555555555,0.495
skipgram,3,1,16,0.04281332398719394,0.5005555555555555,0.495
svd,3,1,16,0.01,0.5005555555555555,0.495
cbow,3,1,17,0.01,0.5005555555555555,0.495
