emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,2,0.01,0.5005555555555555,0.495
svd,1,1,2,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,3,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,1,3,0.18329807108324356,0.5005555555555555,0.495
svd,1,1,3,0.18329807108324356,0.5227777777777778,0.52
cbow,1,1,4,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,1,4,0.06951927961775606,0.5005555555555555,0.495
svd,1,1,4,0.01,0.9855555555555555,0.98
cbow,1,1,5,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,5,0.026366508987303583,0.5005555555555555,0.495
svd,1,1,5,0.01,0.9694444444444444,0.965
cbow,1,1,6,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,6,0.18329807108324356,0.5005555555555555,0.495
svd,1,1,6,0.01,0.8077777777777778,0.815
cbow,1,1,7,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,7,0.7847599703514611,0.5005555555555555,0.495
svd,1,1,7,0.11288378916846889,0.6783333333333333,0.71
cbow,1,1,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,8,1.2742749857031335,0.5005555555555555,0.495
svd,1,1,8,1.2742749857031335,0.7166666666666667,0.695
cbow,1,1,9,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,9,0.4832930238571752,0.5005555555555555,0.495
svd,1,1,9,23.357214690901213,0.7922222222222223,0.815
cbow,1,1,10,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,10,1.2742749857031335,0.5005555555555555,0.495
svd,1,1,10,0.29763514416313175,0.88,0.905
cbow,1,1,11,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,11,0.29763514416313175,0.5005555555555555,0.495
svd,1,1,11,0.016237767391887217,0.9422222222222222,0.95
cbow,1,1,12,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,12,0.29763514416313175,0.505,0.495
svd,1,1,12,0.18329807108324356,0.9733333333333334,0.99
cbow,1,1,13,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,13,0.7847599703514611,0.5122222222222222,0.52
svd,1,1,13,0.01,0.9838888888888889,0.985
cbow,1,1,14,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,14,0.29763514416313175,0.5005555555555555,0.495
svd,1,1,14,0.29763514416313175,0.5005555555555555,0.495
cbow,1,1,15,0.01,0.5005555555555555,0.495
skipgram,1,1,15,0.06951927961775606,0.5005555555555555,0.495
svd,1,1,15,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,16,8.858667904100823,0.5005555555555555,0.495
skipgram,1,1,16,0.016237767391887217,0.5005555555555555,0.495
svd,1,1,16,0.06951927961775606,0.1761111111111111,0.18
cbow,1,1,17,8.858667904100823,0.5005555555555555,0.495
skipgram,1,1,17,0.7847599703514611,0.5005555555555555,0.495
svd,1,1,17,0.026366508987303583,0.1288888888888889,0.12
cbow,1,1,18,100.0,0.5005555555555555,0.495
skipgram,1,1,18,0.4832930238571752,0.5005555555555555,0.495
svd,1,1,18,0.016237767391887217,0.075,0.1
cbow,1,1,19,100.0,0.5005555555555555,0.495
skipgram,1,1,19,2.06913808111479,0.5005555555555555,0.495
svd,1,1,19,0.01,0.8133333333333334,0.85
cbow,1,1,20,100.0,0.5005555555555555,0.495
skipgram,1,1,20,23.357214690901213,0.755,0.74
svd,1,1,20,0.01,0.7205555555555555,0.695
cbow,1,2,2,0.01,0.5005555555555555,0.495
skipgram,1,2,2,0.18329807108324356,0.5005555555555555,0.495
svd,1,2,2,37.92690190732246,0.5005555555555555,0.495
cbow,1,2,3,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,3,3.359818286283781,0.5005555555555555,0.495
svd,1,2,3,0.026366508987303583,0.5022222222222222,0.495
cbow,1,2,4,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,2,4,0.11288378916846889,0.5005555555555555,0.495
svd,1,2,4,0.04281332398719394,0.8311111111111111,0.83
cbow,1,2,5,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,5,0.29763514416313175,0.5005555555555555,0.495
svd,1,2,5,0.11288378916846889,0.945,0.935
cbow,1,2,6,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,2,6,0.016237767391887217,0.5005555555555555,0.495
svd,1,2,6,0.01,0.9272222222222222,0.905
cbow,1,2,7,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,2,7,0.026366508987303583,0.5005555555555555,0.495
svd,1,2,7,0.016237767391887217,0.895,0.895
cbow,1,2,8,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,8,0.04281332398719394,0.5005555555555555,0.495
svd,1,2,8,0.29763514416313175,0.8822222222222222,0.86
cbow,1,2,9,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,9,0.01,0.5005555555555555,0.495
svd,1,2,9,0.04281332398719394,0.8894444444444445,0.87
cbow,1,2,10,14.38449888287663,0.5005555555555555,0.495
skipgram,1,2,10,0.01,0.5005555555555555,0.495
svd,1,2,10,0.06951927961775606,0.925,0.915
cbow,1,2,11,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,2,11,0.016237767391887217,0.5005555555555555,0.495
svd,1,2,11,0.016237767391887217,0.9477777777777778,0.955
cbow,1,2,12,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,12,0.11288378916846889,0.5233333333333333,0.51
svd,1,2,12,0.29763514416313175,0.9211111111111111,0.93
cbow,1,2,13,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,13,2.06913808111479,0.5005555555555555,0.495
svd,1,2,13,0.7847599703514611,0.8455555555555555,0.8
cbow,1,2,14,37.92690190732246,0.5005555555555555,0.495
skipgram,1,2,14,0.29763514416313175,0.5005555555555555,0.495
svd,1,2,14,0.01,0.9438888888888889,0.955
cbow,1,2,15,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,15,0.01,0.5005555555555555,0.495
svd,1,2,15,0.01,0.9166666666666666,0.93
cbow,1,2,16,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,16,0.7847599703514611,0.5005555555555555,0.495
svd,1,2,16,0.01,0.92,0.935
cbow,1,2,17,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,17,0.18329807108324356,0.5005555555555555,0.495
svd,1,2,17,1.2742749857031335,0.49944444444444447,0.505
cbow,1,2,18,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,2,18,0.01,0.5005555555555555,0.495
svd,1,2,18,1.2742749857031335,0.06722222222222222,0.09
cbow,1,2,19,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,19,0.18329807108324356,0.5005555555555555,0.495
svd,1,2,19,1.2742749857031335,0.08444444444444445,0.095
cbow,1,2,20,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,2,20,0.01,0.5005555555555555,0.495
svd,1,2,20,1.2742749857031335,0.49944444444444447,0.505
cbow,2,1,2,3.359818286283781,0.5005555555555555,0.495
skipgram,2,1,2,0.06951927961775606,0.5005555555555555,0.495
svd,2,1,2,0.01,0.5011111111111111,0.495
cbow,2,1,3,1.2742749857031335,0.5005555555555555,0.495
skipgram,2,1,3,23.357214690901213,0.5005555555555555,0.495
