emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,37.92690190732246,0.2052469135802469,0.1527777777777778
cbow,1,1,2,61.584821106602604,0.20013431833445267,0.19879518072289157
skipgram,1,1,2,14.38449888287663,0.20013431833445267,0.19879518072289157
SVD,1,1,3,23.357214690901213,0.3333333333333333,0.25
cbow,1,1,3,37.92690190732246,0.20013431833445267,0.19879518072289157
skipgram,1,1,3,100.0,0.20013431833445267,0.19879518072289157
SVD,1,1,4,23.357214690901213,0.19907407407407407,0.1527777777777778
cbow,1,1,4,8.858667904100823,0.20013431833445267,0.19879518072289157
skipgram,1,1,4,100.0,0.20013431833445267,0.19879518072289157
SVD,1,1,5,23.357214690901213,0.19907407407407407,0.1527777777777778
cbow,1,1,5,2.06913808111479,0.20416386836803224,0.19879518072289157
skipgram,1,1,5,14.38449888287663,0.20013431833445267,0.19879518072289157
SVD,1,1,6,1.2742749857031335,0.2052469135802469,0.1527777777777778
cbow,1,1,6,100.0,0.20013431833445267,0.19879518072289157
skipgram,1,1,6,5.455594781168514,0.20013431833445267,0.19879518072289157
SVD,1,1,7,37.92690190732246,0.2052469135802469,0.1527777777777778
cbow,1,1,7,37.92690190732246,0.20013431833445267,0.19879518072289157
skipgram,1,1,7,100.0,0.20013431833445267,0.19879518072289157
SVD,1,1,8,37.92690190732246,0.06790123456790123,0.027777777777777776
cbow,1,1,8,37.92690190732246,0.20013431833445267,0.19879518072289157
skipgram,1,1,8,23.357214690901213,0.1994627266621894,0.20481927710843373
SVD,1,1,9,5.455594781168514,0.19907407407407407,0.125
cbow,1,1,9,14.38449888287663,0.2008059100067159,0.19879518072289157
skipgram,1,1,9,23.357214690901213,0.20013431833445267,0.19879518072289157
SVD,1,1,10,100.0,0.20679012345679013,0.125
cbow,1,1,10,0.7847599703514611,0.20013431833445267,0.19879518072289157
skipgram,1,1,10,23.357214690901213,0.19610476830087306,0.19879518072289157
SVD,1,1,11,8.858667904100823,0.20833333333333334,0.2638888888888889
cbow,1,1,11,0.29763514416313175,0.1974479516453996,0.20481927710843373
skipgram,1,1,11,61.584821106602604,0.20013431833445267,0.19879518072289157
SVD,1,1,12,14.38449888287663,0.2006172839506173,0.25
cbow,1,1,12,100.0,0.20013431833445267,0.19879518072289157
skipgram,1,1,12,14.38449888287663,0.19879113498992612,0.19879518072289157
SVD,1,1,13,37.92690190732246,0.2052469135802469,0.1527777777777778
cbow,1,1,13,3.359818286283781,0.1994627266621894,0.19879518072289157
skipgram,1,1,13,1.2742749857031335,0.19677635997313633,0.19879518072289157
SVD,1,1,14,0.11288378916846889,0.24537037037037038,0.2777777777777778
cbow,1,1,14,5.455594781168514,0.20013431833445267,0.19879518072289157
skipgram,1,1,14,8.858667904100823,0.20013431833445267,0.19879518072289157
SVD,1,1,15,100.0,0.19753086419753085,0.25
cbow,1,1,15,5.455594781168514,0.19811954331766285,0.18072289156626506
skipgram,1,1,15,2.06913808111479,0.20013431833445267,0.19879518072289157
SVD,1,1,16,100.0,0.19444444444444445,0.25
cbow,1,1,16,2.06913808111479,0.2679650772330423,0.23493975903614459
skipgram,1,1,16,0.29763514416313175,0.20013431833445267,0.19879518072289157
SVD,1,1,17,37.92690190732246,0.2021604938271605,0.2361111111111111
cbow,1,1,17,0.06951927961775606,0.2699798522498321,0.25301204819277107
skipgram,1,1,17,0.7847599703514611,0.20013431833445267,0.19879518072289157
SVD,1,1,18,8.858667904100823,0.19135802469135801,0.2777777777777778
cbow,1,1,18,0.06951927961775606,0.2807253190060443,0.26506024096385544
skipgram,1,1,18,0.4832930238571752,0.20013431833445267,0.19879518072289157
SVD,1,1,19,37.92690190732246,0.18209876543209877,0.20833333333333334
cbow,1,1,19,0.11288378916846889,0.30624580255204836,0.28313253012048195
skipgram,1,1,19,2.06913808111479,0.20013431833445267,0.19879518072289157
SVD,1,1,20,0.7847599703514611,0.19907407407407407,0.2361111111111111
cbow,1,1,20,0.06951927961775606,0.31967763599731364,0.27710843373493976
