emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,100.0,0.4212962962962963,0.4166666666666667
cbow,1,1,2,1.2742749857031335,0.20013431833445267,0.19879518072289157
skipgram,1,1,2,0.29763514416313175,0.20013431833445267,0.19879518072289157
SVD,1,1,3,8.858667904100823,0.4351851851851852,0.4166666666666667
cbow,1,1,3,0.4832930238571752,0.20013431833445267,0.19879518072289157
skipgram,1,1,3,1.2742749857031335,0.20013431833445267,0.19879518072289157
SVD,1,1,4,14.38449888287663,0.4876543209876543,0.4166666666666667
cbow,1,1,4,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,4,0.026366508987303583,0.21759570181329752,0.20481927710843373
SVD,1,1,5,2.06913808111479,0.5925925925925926,0.5555555555555556
cbow,1,1,5,0.026366508987303583,0.20013431833445267,0.19879518072289157
skipgram,1,1,5,2.06913808111479,0.20214909335124245,0.19879518072289157
SVD,1,1,6,23.357214690901213,0.4737654320987654,0.4583333333333333
cbow,1,1,6,1.2742749857031335,0.4143720617864338,0.4457831325301205
skipgram,1,1,6,0.01,0.2713230355943586,0.25301204819277107
SVD,1,1,7,100.0,0.4845679012345679,0.4444444444444444
cbow,1,1,7,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,7,37.92690190732246,0.2028206850235057,0.19879518072289157
SVD,1,1,8,0.18329807108324356,0.46296296296296297,0.4444444444444444
cbow,1,1,8,0.29763514416313175,0.42243116185359303,0.4457831325301205
skipgram,1,1,8,0.11288378916846889,0.20752182672934855,0.19879518072289157
SVD,1,1,9,2.06913808111479,0.5833333333333334,0.5694444444444444
cbow,1,1,9,0.026366508987303583,0.20013431833445267,0.19879518072289157
skipgram,1,1,9,0.11288378916846889,0.33848220282068503,0.3192771084337349
SVD,1,1,10,0.11288378916846889,0.4166666666666667,0.4305555555555556
cbow,1,1,10,0.06951927961775606,0.20013431833445267,0.19879518072289157
skipgram,1,1,10,0.01,0.20013431833445267,0.19879518072289157
SVD,1,1,11,1.2742749857031335,0.5123456790123457,0.4583333333333333
cbow,1,1,11,14.38449888287663,0.20013431833445267,0.19879518072289157
skipgram,1,1,11,5.455594781168514,0.21155137676292815,0.22289156626506024
SVD,1,1,12,3.359818286283781,0.4305555555555556,0.4722222222222222
cbow,1,1,12,0.11288378916846889,0.20013431833445267,0.19879518072289157
skipgram,1,1,12,0.016237767391887217,0.20013431833445267,0.19879518072289157
SVD,1,1,13,2.06913808111479,0.4737654320987654,0.4444444444444444
cbow,1,1,13,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,13,8.858667904100823,0.20550705171255876,0.21084337349397592
SVD,1,1,14,0.11288378916846889,0.46141975308641975,0.4027777777777778
cbow,1,1,14,0.04281332398719394,0.20013431833445267,0.19879518072289157
skipgram,1,1,14,0.01,0.20013431833445267,0.19879518072289157
SVD,1,1,15,8.858667904100823,0.4737654320987654,0.4305555555555556
cbow,1,1,15,0.11288378916846889,0.20013431833445267,0.19879518072289157
skipgram,1,1,15,0.11288378916846889,0.20013431833445267,0.19879518072289157
SVD,1,1,16,0.29763514416313175,0.5123456790123457,0.4583333333333333
cbow,1,1,16,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,16,0.4832930238571752,0.20013431833445267,0.19879518072289157
SVD,1,1,17,0.18329807108324356,0.4660493827160494,0.4583333333333333
cbow,1,1,17,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,17,1.2742749857031335,0.20013431833445267,0.19879518072289157
SVD,1,1,18,1.2742749857031335,0.5061728395061729,0.5
cbow,1,1,18,0.016237767391887217,0.20013431833445267,0.19879518072289157
skipgram,1,1,18,0.026366508987303583,0.20013431833445267,0.19879518072289157
SVD,1,1,19,5.455594781168514,0.4799382716049383,0.4305555555555556
cbow,1,1,19,0.01,0.20013431833445267,0.19879518072289157
skipgram,1,1,19,5.455594781168514,0.20013431833445267,0.19879518072289157
SVD,1,1,20,0.18329807108324356,0.4567901234567901,0.4583333333333333
cbow,1,1,20,0.04281332398719394,0.2531900604432505,0.25301204819277107
skipgram,1,1,20,0.01,0.20013431833445267,0.19879518072289157
SVD,1,2,2,8.858667904100823,0.4222222222222222,0.3
cbow,1,2,2,2.06913808111479,0.19724483406386975,0.2247191011235955
skipgram,1,2,2,0.18329807108324356,0.19859402460456943,0.2125984251968504
SVD,1,2,3,100.0,0.4222222222222222,0.5
cbow,1,2,3,3.359818286283781,0.2767689417658109,0.30337078651685395
skipgram,1,2,3,1.2742749857031335,0.19859402460456943,0.2125984251968504
SVD,1,2,4,14.38449888287663,0.45555555555555555,0.4
cbow,1,2,4,0.7847599703514611,0.19724483406386975,0.2247191011235955
skipgram,1,2,4,0.016237767391887217,0.22144112478031636,0.2204724409448819
SVD,1,2,5,0.016237767391887217,0.2,0.2
cbow,1,2,5,0.11288378916846889,0.19724483406386975,0.2247191011235955
skipgram,1,2,5,0.11288378916846889,0.19859402460456943,0.2125984251968504
SVD,1,2,6,1.2742749857031335,0.2,0.2
cbow,1,2,6,2.06913808111479,0.19724483406386975,0.2247191011235955
skipgram,1,2,6,3.359818286283781,0.19859402460456943,0.2125984251968504
SVD,1,2,7,0.7847599703514611,0.4222222222222222,0.4
cbow,1,2,7,0.18329807108324356,0.3575453976205385,0.42696629213483145
skipgram,1,2,7,0.04281332398719394,0.19859402460456943,0.2125984251968504
SVD,1,2,8,0.01,0.3888888888888889,0.4
cbow,1,2,8,0.04281332398719394,0.3944896681277395,0.48314606741573035
skipgram,1,2,8,100.0,0.19859402460456943,0.2125984251968504
SVD,1,2,9,0.01,0.4,0.5
cbow,1,2,9,0.01,0.40513462742642453,0.5
skipgram,1,2,9,0.7847599703514611,0.19859402460456943,0.2125984251968504
SVD,1,2,10,0.29763514416313175,0.2,0.2
cbow,1,2,10,0.016237767391887217,0.19724483406386975,0.2247191011235955
skipgram,1,2,10,0.026366508987303583,0.19859402460456943,0.2125984251968504
SVD,1,2,11,2.06913808111479,0.2111111111111111,0.2
cbow,1,2,11,0.06951927961775606,0.41202254226675017,0.5224719101123596
skipgram,1,2,11,2.06913808111479,0.19947275922671354,0.2125984251968504
SVD,1,2,12,0.04281332398719394,0.2,0.2
cbow,1,2,12,0.06951927961775606,0.41891045710707575,0.5112359550561798
skipgram,1,2,12,8.858667904100823,0.27680140597539543,0.36220472440944884
SVD,1,2,13,0.11288378916846889,0.2,0.2
cbow,1,2,13,0.18329807108324356,0.43206011271133377,0.4887640449438202
skipgram,1,2,13,14.38449888287663,0.19859402460456943,0.2125984251968504
SVD,1,2,14,0.7847599703514611,0.2,0.2
cbow,1,2,14,0.29763514416313175,0.4376956793988729,0.5056179775280899
skipgram,1,2,14,5.455594781168514,0.23550087873462214,0.2992125984251969
SVD,1,2,15,0.29763514416313175,0.2,0.2
cbow,1,2,15,0.18329807108324356,0.45209768315591736,0.550561797752809
skipgram,1,2,15,1.2742749857031335,0.19859402460456943,0.2125984251968504
SVD,1,2,16,0.01,0.5333333333333333,0.6
cbow,1,2,16,0.06951927961775606,0.4765184721352536,0.5617977528089888
