emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,14.38449888287663,0.5016322089227421,0.4854368932038835
cbow,1,1,2,0.04281332398719394,0.4989224137931034,0.5096153846153846
skipgram,1,1,2,0.11288378916846889,0.4989224137931034,0.5096153846153846
SVD,1,1,3,0.29763514416313175,0.5016322089227421,0.4854368932038835
cbow,1,1,3,0.04281332398719394,0.5,0.5192307692307693
skipgram,1,1,3,0.016237767391887217,0.5107758620689655,0.5384615384615384
SVD,1,1,4,0.016237767391887217,0.5016322089227421,0.4854368932038835
cbow,1,1,4,0.06951927961775606,0.5021551724137931,0.5096153846153846
skipgram,1,1,4,0.04281332398719394,0.4989224137931034,0.5096153846153846
SVD,1,1,5,0.29763514416313175,0.5016322089227421,0.4854368932038835
cbow,1,1,5,0.18329807108324356,0.4989224137931034,0.5096153846153846
skipgram,1,1,5,0.01,0.5021551724137931,0.5192307692307693
SVD,1,1,6,0.18329807108324356,0.5016322089227421,0.4854368932038835
cbow,1,1,6,0.4832930238571752,0.521551724137931,0.5192307692307693
skipgram,1,1,6,14.38449888287663,0.4989224137931034,0.5096153846153846
SVD,1,1,7,3.359818286283781,0.5016322089227421,0.4854368932038835
cbow,1,1,7,0.026366508987303583,0.5237068965517241,0.5288461538461539
skipgram,1,1,7,5.455594781168514,0.5,0.5096153846153846
SVD,1,1,8,5.455594781168514,0.5016322089227421,0.4854368932038835
cbow,1,1,8,0.06951927961775606,0.5377155172413793,0.5192307692307693
skipgram,1,1,8,37.92690190732246,0.5571120689655172,0.5096153846153846
SVD,1,1,9,100.0,0.5016322089227421,0.4854368932038835
cbow,1,1,9,8.858667904100823,0.4989224137931034,0.5096153846153846
skipgram,1,1,9,14.38449888287663,0.46228448275862066,0.4326923076923077
SVD,1,1,10,100.0,0.5016322089227421,0.4854368932038835
cbow,1,1,10,0.11288378916846889,0.4989224137931034,0.5096153846153846
skipgram,1,1,10,37.92690190732246,0.47629310344827586,0.4519230769230769
SVD,1,1,11,0.016237767391887217,0.5125136017410229,0.5631067961165048
cbow,1,1,11,0.7847599703514611,0.4989224137931034,0.5096153846153846
skipgram,1,1,11,37.92690190732246,0.49353448275862066,0.46153846153846156
SVD,1,1,12,0.01,0.5059847660500544,0.5436893203883495
cbow,1,1,12,1.2742749857031335,0.4989224137931034,0.5096153846153846
skipgram,1,1,12,23.357214690901213,0.4978448275862069,0.5288461538461539
SVD,1,1,13,0.04281332398719394,0.5190424374319913,0.6116504854368932
cbow,1,1,13,0.4832930238571752,0.4989224137931034,0.5096153846153846
skipgram,1,1,13,8.858667904100823,0.4989224137931034,0.5192307692307693
SVD,1,1,14,0.29763514416313175,0.5212187159956474,0.5533980582524272
cbow,1,1,14,0.06951927961775606,0.5269396551724138,0.5192307692307693
skipgram,1,1,14,0.11288378916846889,0.4989224137931034,0.5096153846153846
SVD,1,1,15,1.2742749857031335,0.5190424374319913,0.5339805825242718
cbow,1,1,15,0.04281332398719394,0.5269396551724138,0.5480769230769231
skipgram,1,1,15,3.359818286283781,0.4956896551724138,0.5096153846153846
SVD,1,1,16,0.06951927961775606,0.5059847660500544,0.5922330097087378
cbow,1,1,16,1.2742749857031335,0.4989224137931034,0.5096153846153846
skipgram,1,1,16,0.7847599703514611,0.4989224137931034,0.5096153846153846
SVD,1,1,17,0.18329807108324356,0.514689880304679,0.5145631067961165
cbow,1,1,17,0.4832930238571752,0.5053879310344828,0.5096153846153846
skipgram,1,1,17,3.359818286283781,0.4989224137931034,0.5096153846153846
SVD,1,1,18,0.7847599703514611,0.5179542981501633,0.5436893203883495
cbow,1,1,18,0.11288378916846889,0.5387931034482759,0.5384615384615384
skipgram,1,1,18,0.18329807108324356,0.4989224137931034,0.5096153846153846
SVD,1,1,19,0.016237767391887217,0.5081610446137106,0.5533980582524272
cbow,1,1,19,2.06913808111479,0.5797413793103449,0.6057692307692307
skipgram,1,1,19,1.2742749857031335,0.4989224137931034,0.5096153846153846
SVD,1,1,20,0.026366508987303583,0.5125136017410229,0.5339805825242718
cbow,1,1,20,0.29763514416313175,0.5064655172413793,0.5288461538461539
skipgram,1,1,20,0.026366508987303583,0.5,0.5096153846153846
SVD,1,2,2,0.18329807108324356,0.5005649717514125,0.5151515151515151
cbow,1,2,2,0.016237767391887217,0.49671772428884026,0.5294117647058824
skipgram,1,2,2,0.18329807108324356,0.5065502183406113,0.4411764705882353
SVD,1,2,3,0.04281332398719394,0.5073446327683616,0.5252525252525253
cbow,1,2,3,0.18329807108324356,0.4912472647702407,0.5588235294117647
skipgram,1,2,3,0.18329807108324356,0.49344978165938863,0.5588235294117647
SVD,1,2,4,0.29763514416313175,0.4994350282485876,0.5353535353535354
cbow,1,2,4,2.06913808111479,0.5207877461706784,0.5
skipgram,1,2,4,0.7847599703514611,0.49344978165938863,0.5588235294117647
SVD,1,2,5,0.01,0.503954802259887,0.5353535353535354
cbow,1,2,5,1.2742749857031335,0.5032822757111597,0.47058823529411764
skipgram,1,2,5,0.18329807108324356,0.4945414847161572,0.5588235294117647
SVD,1,2,6,0.01,0.5050847457627119,0.5151515151515151
cbow,1,2,6,14.38449888287663,0.5645514223194749,0.6078431372549019
skipgram,1,2,6,3.359818286283781,0.49672489082969434,0.5686274509803921
SVD,1,2,7,0.01,0.49491525423728816,0.5151515151515151
cbow,1,2,7,2.06913808111479,0.5054704595185996,0.47058823529411764
skipgram,1,2,7,2.06913808111479,0.4847161572052402,0.5196078431372549
SVD,1,2,8,14.38449888287663,0.4937853107344633,0.5151515151515151
cbow,1,2,8,37.92690190732246,0.6728665207877462,0.6274509803921569
skipgram,1,2,8,14.38449888287663,0.4923580786026201,0.4411764705882353
SVD,1,2,9,0.18329807108324356,0.49830508474576274,0.48484848484848486
cbow,1,2,9,0.06951927961775606,0.5120350109409191,0.46078431372549017
skipgram,1,2,9,37.92690190732246,0.490174672489083,0.5196078431372549
SVD,1,2,10,0.4832930238571752,0.5175141242937853,0.5151515151515151
