emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.026366508987303583,0.5055555555555555,0.49
cbow,1,1,2,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,2,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,3,8.858667904100823,0.4938888888888889,0.475
cbow,1,1,3,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,3,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,4,0.04281332398719394,0.49666666666666665,0.525
cbow,1,1,4,0.01,0.5005555555555555,0.495
skipgram,1,1,4,0.11288378916846889,0.5005555555555555,0.495
SVD,1,1,5,0.01,0.5044444444444445,0.515
cbow,1,1,5,0.06951927961775606,0.5016666666666667,0.495
skipgram,1,1,5,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,6,14.38449888287663,0.6505555555555556,0.65
cbow,1,1,6,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,6,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,7,0.11288378916846889,0.5277777777777778,0.525
cbow,1,1,7,0.01,0.5005555555555555,0.495
skipgram,1,1,7,0.01,0.5005555555555555,0.495
SVD,1,1,8,37.92690190732246,0.5038888888888889,0.51
cbow,1,1,8,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,8,8.858667904100823,0.5033333333333333,0.495
SVD,1,1,9,2.06913808111479,0.5066666666666667,0.515
cbow,1,1,9,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,9,0.01,0.5005555555555555,0.495
SVD,1,1,10,0.11288378916846889,0.4911111111111111,0.475
cbow,1,1,10,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,10,0.29763514416313175,0.5005555555555555,0.495
SVD,1,1,11,0.11288378916846889,0.49444444444444446,0.46
cbow,1,1,11,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,11,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,12,0.01,0.48444444444444446,0.47
cbow,1,1,12,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,12,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,13,0.04281332398719394,0.4872222222222222,0.5
