emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,3.359818286283781,0.5135135135135135,0.5172413793103449
cbow,1,1,2,23.357214690901213,0.5025210084033613,0.47761194029850745
skipgram,1,1,2,23.357214690901213,0.5025210084033613,0.47761194029850745
SVD,1,1,3,100.0,0.4980694980694981,0.5172413793103449
cbow,1,1,3,5.455594781168514,0.5025210084033613,0.47761194029850745
skipgram,1,1,3,14.38449888287663,0.5025210084033613,0.47761194029850745
SVD,1,1,4,8.858667904100823,0.4980694980694981,0.5172413793103449
cbow,1,1,4,61.584821106602604,0.5025210084033613,0.47761194029850745
skipgram,1,1,4,61.584821106602604,0.5025210084033613,0.47761194029850745
SVD,1,1,5,0.016237767391887217,0.9459459459459459,0.9310344827586207
cbow,1,1,5,14.38449888287663,0.5025210084033613,0.47761194029850745
skipgram,1,1,5,100.0,0.5025210084033613,0.47761194029850745
SVD,1,1,6,100.0,0.4980694980694981,0.5172413793103449
cbow,1,1,6,14.38449888287663,0.5025210084033613,0.47761194029850745
skipgram,1,1,6,61.584821106602604,0.5025210084033613,0.47761194029850745
SVD,1,1,7,1.2742749857031335,0.9768339768339769,1.0
cbow,1,1,7,23.357214690901213,0.5042016806722689,0.47761194029850745
skipgram,1,1,7,8.858667904100823,0.5025210084033613,0.47761194029850745
SVD,1,1,8,14.38449888287663,0.4980694980694981,0.5172413793103449
cbow,1,1,8,61.584821106602604,0.5025210084033613,0.47761194029850745
skipgram,1,1,8,61.584821106602604,0.5025210084033613,0.47761194029850745
SVD,1,1,9,0.01,0.9961389961389961,0.9655172413793104
cbow,1,1,9,2.06913808111479,0.6453781512605042,0.6119402985074627
skipgram,1,1,9,3.359818286283781,0.5025210084033613,0.47761194029850745
SVD,1,1,10,1.2742749857031335,0.4980694980694981,0.5172413793103449
cbow,1,1,10,0.4832930238571752,0.7512605042016807,0.6119402985074627
skipgram,1,1,10,8.858667904100823,0.5025210084033613,0.47761194029850745
SVD,1,1,11,14.38449888287663,0.4980694980694981,0.5172413793103449
cbow,1,1,11,0.01,0.5025210084033613,0.47761194029850745
skipgram,1,1,11,14.38449888287663,0.507563025210084,0.47761194029850745
SVD,1,1,12,3.359818286283781,0.4980694980694981,0.5172413793103449
cbow,1,1,12,0.01,0.5025210084033613,0.47761194029850745
skipgram,1,1,12,0.06951927961775606,0.5025210084033613,0.47761194029850745
SVD,1,1,13,23.357214690901213,0.4980694980694981,0.5172413793103449
cbow,1,1,13,0.11288378916846889,0.5025210084033613,0.47761194029850745
skipgram,1,1,13,0.016237767391887217,0.5025210084033613,0.47761194029850745
SVD,1,1,14,0.4832930238571752,0.4980694980694981,0.5172413793103449
cbow,1,1,14,0.01,0.5025210084033613,0.47761194029850745
skipgram,1,1,14,0.01,0.5025210084033613,0.47761194029850745
SVD,1,1,15,1.2742749857031335,0.4980694980694981,0.5172413793103449
cbow,1,1,15,0.29763514416313175,0.5025210084033613,0.47761194029850745
skipgram,1,1,15,0.01,0.5025210084033613,0.47761194029850745
SVD,1,1,16,2.06913808111479,0.4980694980694981,0.5172413793103449
cbow,1,1,16,1.2742749857031335,0.507563025210084,0.47761194029850745
skipgram,1,1,16,0.29763514416313175,0.5025210084033613,0.47761194029850745
SVD,1,1,17,1.2742749857031335,0.4980694980694981,0.5172413793103449
cbow,1,1,17,0.7847599703514611,0.5025210084033613,0.47761194029850745
skipgram,1,1,17,0.01,0.5025210084033613,0.47761194029850745
SVD,1,1,18,8.858667904100823,0.4980694980694981,0.5172413793103449
cbow,1,1,18,0.18329807108324356,0.5025210084033613,0.47761194029850745
skipgram,1,1,18,0.7847599703514611,0.5025210084033613,0.47761194029850745
SVD,1,1,19,5.455594781168514,0.4980694980694981,0.5172413793103449
cbow,1,1,19,8.858667904100823,0.5025210084033613,0.47761194029850745
skipgram,1,1,19,23.357214690901213,0.5025210084033613,0.47761194029850745
SVD,1,1,20,0.4832930238571752,0.4980694980694981,0.5172413793103449
cbow,1,1,20,0.4832930238571752,0.5025210084033613,0.47761194029850745
skipgram,1,1,20,3.359818286283781,0.5025210084033613,0.47761194029850745
