emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,2,0.01,0.5005555555555555,0.495
skipgram,1,1,2,0.01,0.5005555555555555,0.495
SVD,1,1,3,0.016237767391887217,0.5005555555555555,0.495
cbow,1,1,3,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,3,0.01,0.5005555555555555,0.495
SVD,1,1,4,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,4,0.01,0.5005555555555555,0.495
skipgram,1,1,4,0.01,0.5005555555555555,0.495
SVD,1,1,5,0.01,0.5005555555555555,0.495
cbow,1,1,5,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,1,5,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,6,0.016237767391887217,0.5005555555555555,0.495
cbow,1,1,6,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,6,0.01,0.5005555555555555,0.495
SVD,1,1,7,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,7,0.01,0.5005555555555555,0.495
skipgram,1,1,7,0.01,0.5005555555555555,0.495
SVD,1,1,8,8.858667904100823,0.5005555555555555,0.495
cbow,1,1,8,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,8,0.01,0.5005555555555555,0.495
SVD,1,1,9,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,9,0.01,0.5005555555555555,0.495
skipgram,1,1,9,0.01,0.5005555555555555,0.495
SVD,1,1,10,1.2742749857031335,0.5005555555555555,0.495
cbow,1,1,10,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,10,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,11,0.01,0.5005555555555555,0.495
cbow,1,1,11,0.01,0.5005555555555555,0.495
skipgram,1,1,11,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,12,0.7847599703514611,0.5005555555555555,0.495
cbow,1,1,12,0.01,0.5005555555555555,0.495
skipgram,1,1,12,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,13,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,13,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,13,0.01,0.5005555555555555,0.495
SVD,1,1,14,0.01,0.5005555555555555,0.495
cbow,1,1,14,0.01,0.5005555555555555,0.495
skipgram,1,1,14,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,15,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,15,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,15,0.016237767391887217,0.5005555555555555,0.495
SVD,1,1,16,0.11288378916846889,0.5005555555555555,0.495
cbow,1,1,16,0.01,0.5005555555555555,0.495
skipgram,1,1,16,0.01,0.5005555555555555,0.495
SVD,1,1,17,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,17,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,17,0.01,0.5005555555555555,0.495
SVD,1,1,18,0.4832930238571752,0.5005555555555555,0.495
cbow,1,1,18,0.01,0.5005555555555555,0.495
skipgram,1,1,18,0.01,0.5005555555555555,0.495
SVD,1,1,19,0.06951927961775606,0.5005555555555555,0.495
cbow,1,1,19,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,19,0.01,0.5005555555555555,0.495
SVD,1,1,20,0.026366508987303583,0.5005555555555555,0.495
cbow,1,1,20,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,20,0.01,0.5122222222222222,0.515
SVD,1,2,2,1.2742749857031335,0.5005555555555555,0.495
cbow,1,2,2,0.01,0.5005555555555555,0.495
skipgram,1,2,2,0.04281332398719394,0.5005555555555555,0.495
SVD,1,2,3,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,3,0.01,0.5005555555555555,0.495
skipgram,1,2,3,0.016237767391887217,0.5005555555555555,0.495
SVD,1,2,4,0.01,0.5005555555555555,0.495
cbow,1,2,4,0.01,0.5005555555555555,0.495
skipgram,1,2,4,0.01,0.5005555555555555,0.495
SVD,1,2,5,0.4832930238571752,0.5005555555555555,0.495
cbow,1,2,5,0.01,0.5005555555555555,0.495
skipgram,1,2,5,0.01,0.5005555555555555,0.495
SVD,1,2,6,0.7847599703514611,0.5005555555555555,0.495
cbow,1,2,6,0.01,0.5005555555555555,0.495
skipgram,1,2,6,0.06951927961775606,0.5005555555555555,0.495
SVD,1,2,7,0.01,0.5005555555555555,0.495
cbow,1,2,7,0.01,0.5005555555555555,0.495
skipgram,1,2,7,0.18329807108324356,0.5005555555555555,0.495
SVD,1,2,8,0.01,0.5005555555555555,0.495
cbow,1,2,8,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,2,8,0.11288378916846889,0.5005555555555555,0.495
SVD,1,2,9,0.01,0.5005555555555555,0.495
cbow,1,2,9,0.01,0.5005555555555555,0.495
skipgram,1,2,9,0.026366508987303583,0.5005555555555555,0.495
SVD,1,2,10,0.01,0.5005555555555555,0.495
cbow,1,2,10,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,10,0.026366508987303583,0.5005555555555555,0.495
SVD,1,2,11,0.016237767391887217,0.5005555555555555,0.495
cbow,1,2,11,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,2,11,0.01,0.5005555555555555,0.495
SVD,1,2,12,0.7847599703514611,0.5005555555555555,0.495
cbow,1,2,12,0.01,0.5005555555555555,0.495
skipgram,1,2,12,0.01,0.5005555555555555,0.495
SVD,1,2,13,0.026366508987303583,0.5005555555555555,0.495
cbow,1,2,13,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,2,13,0.01,0.5005555555555555,0.495
SVD,1,2,14,0.18329807108324356,0.5005555555555555,0.495
cbow,1,2,14,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,2,14,0.04281332398719394,0.5005555555555555,0.495
SVD,1,2,15,0.29763514416313175,0.545,0.515
cbow,1,2,15,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,15,0.01,0.5005555555555555,0.495
SVD,1,2,16,0.4832930238571752,0.5572222222222222,0.515
cbow,1,2,16,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,2,16,0.01,0.5005555555555555,0.495
SVD,1,2,17,1.2742749857031335,0.5905555555555555,0.57
cbow,1,2,17,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,17,0.01,0.5005555555555555,0.495
SVD,1,2,18,0.7847599703514611,0.645,0.58
cbow,1,2,18,0.016237767391887217,0.5005555555555555,0.495
skipgram,1,2,18,0.01,0.5005555555555555,0.495
SVD,1,2,19,1.2742749857031335,0.6977777777777778,0.68
cbow,1,2,19,0.01,0.5005555555555555,0.495
skipgram,1,2,19,0.29763514416313175,0.5005555555555555,0.495
SVD,1,2,20,37.92690190732246,0.7355555555555555,0.75
cbow,1,2,20,0.01,0.5005555555555555,0.495
skipgram,1,2,20,0.026366508987303583,0.5005555555555555,0.495
SVD,2,1,2,0.01,0.5005555555555555,0.495
cbow,2,1,2,0.29763514416313175,0.49460431654676257,0.5483870967741935
skipgram,2,1,2,0.01,0.5005555555555555,0.495
SVD,2,1,3,2.06913808111479,0.5005555555555555,0.495
cbow,2,1,3,0.01,0.5368705035971223,0.5725806451612904
skipgram,2,1,3,0.01,0.5005555555555555,0.495
SVD,2,1,4,0.026366508987303583,0.5005555555555555,0.495
cbow,2,1,4,0.01,0.7491007194244604,0.7903225806451613
skipgram,2,1,4,0.01,0.5027777777777778,0.5
SVD,2,1,5,0.01,0.5005555555555555,0.495
cbow,2,1,5,0.11288378916846889,0.5053956834532374,0.45161290322580644
skipgram,2,1,5,0.01,0.5055555555555555,0.495
SVD,2,1,6,0.01,0.5005555555555555,0.495
cbow,2,1,6,0.06951927961775606,0.5053956834532374,0.45161290322580644
skipgram,2,1,6,0.01,0.5044444444444445,0.51
SVD,2,1,7,0.4832930238571752,0.5005555555555555,0.495
cbow,2,1,7,0.026366508987303583,0.5053956834532374,0.45161290322580644
skipgram,2,1,7,0.026366508987303583,0.5005555555555555,0.495
SVD,2,1,8,0.29763514416313175,0.5005555555555555,0.495
cbow,2,1,8,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,8,0.01,0.5005555555555555,0.505
SVD,2,1,9,0.01,0.5005555555555555,0.495
cbow,2,1,9,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,9,0.01,0.5022222222222222,0.495
SVD,2,1,10,0.11288378916846889,0.5005555555555555,0.495
cbow,2,1,10,0.026366508987303583,0.5053956834532374,0.45161290322580644
skipgram,2,1,10,0.01,0.5011111111111111,0.495
SVD,2,1,11,0.01,0.5005555555555555,0.495
cbow,2,1,11,0.18329807108324356,0.5053956834532374,0.45161290322580644
skipgram,2,1,11,0.01,0.5016666666666667,0.495
SVD,2,1,12,0.7847599703514611,0.5005555555555555,0.495
cbow,2,1,12,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,12,0.01,0.5244444444444445,0.52
SVD,2,1,13,0.11288378916846889,0.5005555555555555,0.495
cbow,2,1,13,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,13,0.01,0.5683333333333334,0.55
SVD,2,1,14,0.01,0.5005555555555555,0.495
cbow,2,1,14,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,14,0.01,0.5905555555555555,0.64
SVD,2,1,15,2.06913808111479,0.5005555555555555,0.495
cbow,2,1,15,0.026366508987303583,0.5053956834532374,0.45161290322580644
skipgram,2,1,15,0.01,0.6111111111111112,0.605
SVD,2,1,16,0.01,0.5005555555555555,0.495
cbow,2,1,16,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,16,0.01,0.6566666666666666,0.65
SVD,2,1,17,3.359818286283781,0.5005555555555555,0.495
cbow,2,1,17,0.29763514416313175,0.5053956834532374,0.45161290322580644
skipgram,2,1,17,0.01,0.6816666666666666,0.65
SVD,2,1,18,0.026366508987303583,0.775,0.835
cbow,2,1,18,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,18,0.01,0.7261111111111112,0.68
SVD,2,1,19,0.11288378916846889,0.8166666666666667,0.8
cbow,2,1,19,0.01,0.5053956834532374,0.45161290322580644
skipgram,2,1,19,0.01,0.7533333333333333,0.775
SVD,2,1,20,0.7847599703514611,0.8555555555555555,0.835
cbow,2,1,20,0.016237767391887217,0.5053956834532374,0.45161290322580644
skipgram,2,1,20,0.01,0.7783333333333333,0.785
SVD,2,2,2,0.7847599703514611,0.5005555555555555,0.495
cbow,2,2,2,0.01,0.4981981981981982,0.5161290322580645
skipgram,2,2,2,0.01,0.5005555555555555,0.495
SVD,2,2,3,0.29763514416313175,0.5005555555555555,0.495
