emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.29763514416313175,0.19854991634132738,0.21303258145363407
cbow,1,1,2,14.38449888287663,0.1976302257992399,0.22132796780684105
skipgram,1,1,2,0.18329807108324356,0.1976302257992399,0.22132796780684105
SVD,1,1,3,0.18329807108324356,0.20384829894032347,0.21553884711779447
cbow,1,1,3,3.359818286283781,0.19807735300693047,0.22132796780684105
skipgram,1,1,3,5.455594781168514,0.1976302257992399,0.22132796780684105
SVD,1,1,4,0.29763514416313175,0.24595649749023982,0.2581453634085213
cbow,1,1,4,14.38449888287663,0.1976302257992399,0.22132796780684105
skipgram,1,1,4,0.7847599703514611,0.19830091661077576,0.22132796780684105
SVD,1,1,5,23.357214690901213,0.19854991634132738,0.21303258145363407
cbow,1,1,5,0.7847599703514611,0.1976302257992399,0.22132796780684105
skipgram,1,1,5,0.18329807108324356,0.1976302257992399,0.22132796780684105
SVD,1,1,6,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,6,2.06913808111479,0.1976302257992399,0.22132796780684105
skipgram,1,1,6,0.7847599703514611,0.1974066621953946,0.22132796780684105
SVD,1,1,7,14.38449888287663,0.19854991634132738,0.21303258145363407
cbow,1,1,7,14.38449888287663,0.1976302257992399,0.22132796780684105
skipgram,1,1,7,61.584821106602604,0.1974066621953946,0.22132796780684105
SVD,1,1,8,2.06913808111479,0.19854991634132738,0.21303258145363407
cbow,1,1,8,0.18329807108324356,0.19718309859154928,0.22132796780684105
skipgram,1,1,8,61.584821106602604,0.1974066621953946,0.22132796780684105
SVD,1,1,9,3.359818286283781,0.19854991634132738,0.21303258145363407
cbow,1,1,9,100.0,0.19718309859154928,0.21730382293762576
skipgram,1,1,9,37.92690190732246,0.19718309859154928,0.22132796780684105
SVD,1,1,10,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,10,8.858667904100823,0.1967359713838587,0.22132796780684105
skipgram,1,1,10,100.0,0.1974066621953946,0.22132796780684105
SVD,1,1,11,0.016237767391887217,0.1988287785833798,0.21303258145363407
cbow,1,1,11,100.0,0.19718309859154928,0.22132796780684105
skipgram,1,1,11,100.0,0.1976302257992399,0.22132796780684105
SVD,1,1,12,0.11288378916846889,0.19854991634132738,0.21303258145363407
cbow,1,1,12,37.92690190732246,0.1967359713838587,0.22132796780684105
skipgram,1,1,12,100.0,0.196959534987704,0.22132796780684105
SVD,1,1,13,8.858667904100823,0.19854991634132738,0.21303258145363407
cbow,1,1,13,61.584821106602604,0.19830091661077576,0.2193158953722334
skipgram,1,1,13,61.584821106602604,0.1974066621953946,0.22132796780684105
SVD,1,1,14,0.06951927961775606,0.19854991634132738,0.21303258145363407
cbow,1,1,14,100.0,0.1976302257992399,0.21730382293762576
skipgram,1,1,14,37.92690190732246,0.1967359713838587,0.22132796780684105
SVD,1,1,15,0.18329807108324356,0.19854991634132738,0.21303258145363407
cbow,1,1,15,37.92690190732246,0.19651240778001342,0.2152917505030181
skipgram,1,1,15,61.584821106602604,0.19718309859154928,0.2193158953722334
SVD,1,1,16,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,16,100.0,0.1976302257992399,0.2152917505030181
skipgram,1,1,16,23.357214690901213,0.196959534987704,0.2193158953722334
SVD,1,1,17,0.29763514416313175,0.19854991634132738,0.21303258145363407
cbow,1,1,17,61.584821106602604,0.19450033534540576,0.22334004024144868
skipgram,1,1,17,23.357214690901213,0.1976302257992399,0.21730382293762576
SVD,1,1,18,2.06913808111479,0.19854991634132738,0.21303258145363407
cbow,1,1,18,8.858667904100823,0.19651240778001342,0.2152917505030181
skipgram,1,1,18,37.92690190732246,0.19628884417616813,0.2193158953722334
SVD,1,1,19,0.04281332398719394,0.19854991634132738,0.21303258145363407
cbow,1,1,19,14.38449888287663,0.19718309859154928,0.2193158953722334
skipgram,1,1,19,3.359818286283781,0.19628884417616813,0.2193158953722334
