emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.06951927961775606,0.19854991634132738,0.21303258145363407
cbow,1,1,2,0.01,0.1976302257992399,0.22132796780684105
skipgram,1,1,2,0.016237767391887217,0.1976302257992399,0.22132796780684105
SVD,1,1,3,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,3,5.455594781168514,0.20232506147999105,0.22736418511066397
skipgram,1,1,3,0.026366508987303583,0.1976302257992399,0.22132796780684105
SVD,1,1,4,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,4,0.29763514416313175,0.1976302257992399,0.22132796780684105
skipgram,1,1,4,3.359818286283781,0.21842164095685224,0.23340040241448692
SVD,1,1,5,0.04281332398719394,0.19854991634132738,0.21303258145363407
cbow,1,1,5,0.18329807108324356,0.1976302257992399,0.22132796780684105
skipgram,1,1,5,0.06951927961775606,0.20858484238765929,0.22937625754527163
SVD,1,1,6,0.04281332398719394,0.19854991634132738,0.21303258145363407
cbow,1,1,6,0.06951927961775606,0.1976302257992399,0.22132796780684105
skipgram,1,1,6,0.01,0.1976302257992399,0.22132796780684105
SVD,1,1,7,0.016237767391887217,0.19854991634132738,0.21303258145363407
cbow,1,1,7,0.026366508987303583,0.1976302257992399,0.22132796780684105
skipgram,1,1,7,0.4832930238571752,0.2052313883299799,0.22334004024144868
SVD,1,1,8,0.11288378916846889,0.19854991634132738,0.21303258145363407
cbow,1,1,8,1.2742749857031335,0.21283255086071987,0.23340040241448692
skipgram,1,1,8,0.04281332398719394,0.1976302257992399,0.22132796780684105
SVD,1,1,9,0.11288378916846889,0.19854991634132738,0.21303258145363407
cbow,1,1,9,0.29763514416313175,0.1976302257992399,0.22132796780684105
skipgram,1,1,9,0.7847599703514611,0.28034875922199864,0.31388329979879276
SVD,1,1,10,0.29763514416313175,0.19854991634132738,0.21303258145363407
cbow,1,1,10,0.7847599703514611,0.19852448021462105,0.22132796780684105
skipgram,1,1,10,0.06951927961775606,0.1976302257992399,0.22132796780684105
SVD,1,1,11,0.04281332398719394,0.19854991634132738,0.21303258145363407
cbow,1,1,11,3.359818286283781,0.1976302257992399,0.22334004024144868
skipgram,1,1,11,0.4832930238571752,0.1976302257992399,0.22132796780684105
SVD,1,1,12,0.29763514416313175,0.19854991634132738,0.21303258145363407
cbow,1,1,12,0.7847599703514611,0.1976302257992399,0.22132796780684105
skipgram,1,1,12,0.29763514416313175,0.1976302257992399,0.22132796780684105
SVD,1,1,13,14.38449888287663,0.19994422755158953,0.21303258145363407
cbow,1,1,13,0.06951927961775606,0.1976302257992399,0.22132796780684105
skipgram,1,1,13,0.01,0.1976302257992399,0.22132796780684105
SVD,1,1,14,0.18329807108324356,0.19854991634132738,0.21303258145363407
cbow,1,1,14,0.06951927961775606,0.1976302257992399,0.22132796780684105
skipgram,1,1,14,0.29763514416313175,0.1976302257992399,0.22132796780684105
SVD,1,1,15,0.18329807108324356,0.19854991634132738,0.21303258145363407
cbow,1,1,15,23.357214690901213,0.3234965347641404,0.3319919517102616
skipgram,1,1,15,0.4832930238571752,0.1976302257992399,0.22132796780684105
SVD,1,1,16,0.7847599703514611,0.19854991634132738,0.21303258145363407
cbow,1,1,16,14.38449888287663,0.30739995528727926,0.3460764587525151
skipgram,1,1,16,0.11288378916846889,0.1976302257992399,0.22132796780684105
SVD,1,1,17,8.858667904100823,0.1988287785833798,0.21303258145363407
cbow,1,1,17,1.2742749857031335,0.30672926447574334,0.33400402414486924
skipgram,1,1,17,0.01,0.1976302257992399,0.22132796780684105
SVD,1,1,18,5.455594781168514,0.19910764082543222,0.21303258145363407
cbow,1,1,18,14.38449888287663,0.6445338698859826,0.6780684104627767
skipgram,1,1,18,0.016237767391887217,0.1976302257992399,0.22132796780684105
SVD,1,1,19,8.858667904100823,0.19854991634132738,0.21303258145363407
cbow,1,1,19,14.38449888287663,0.38944779789850215,0.3963782696177062
skipgram,1,1,19,0.01,0.1976302257992399,0.22132796780684105
SVD,1,1,20,0.01,0.19854991634132738,0.21303258145363407
cbow,1,1,20,2.06913808111479,0.6156941649899397,0.5975855130784709
skipgram,1,1,20,0.06951927961775606,0.1976302257992399,0.22132796780684105
SVD,1,2,2,14.38449888287663,0.4191279887482419,0.4240506329113924
cbow,1,2,2,3.359818286283781,0.1947097722263042,0.24752475247524752
skipgram,1,2,2,0.016237767391887217,0.20175438596491227,0.18421052631578946
SVD,1,2,3,0.18329807108324356,0.6279887482419128,0.6772151898734177
cbow,1,2,3,0.016237767391887217,0.1947097722263042,0.24752475247524752
skipgram,1,2,3,0.4832930238571752,0.20175438596491227,0.18421052631578946
SVD,1,2,4,0.11288378916846889,0.19760900140646975,0.22151898734177214
cbow,1,2,4,2.06913808111479,0.23916238060249817,0.29042904290429045
skipgram,1,2,4,0.01,0.20175438596491227,0.18421052631578946
SVD,1,2,5,0.7847599703514611,0.19971870604781997,0.22151898734177214
cbow,1,2,5,0.016237767391887217,0.1947097722263042,0.24752475247524752
skipgram,1,2,5,0.06951927961775606,0.20175438596491227,0.18421052631578946
SVD,1,2,6,0.7847599703514611,0.19760900140646975,0.22151898734177214
cbow,1,2,6,0.06951927961775606,0.1947097722263042,0.24752475247524752
skipgram,1,2,6,0.04281332398719394,0.20175438596491227,0.18421052631578946
SVD,1,2,7,0.29763514416313175,0.19831223628691982,0.22151898734177214
cbow,1,2,7,0.04281332398719394,0.1947097722263042,0.24752475247524752
skipgram,1,2,7,0.04281332398719394,0.20175438596491227,0.18421052631578946
SVD,1,2,8,0.11288378916846889,0.19831223628691982,0.22151898734177214
cbow,1,2,8,0.026366508987303583,0.1947097722263042,0.24752475247524752
skipgram,1,2,8,0.29763514416313175,0.20175438596491227,0.18421052631578946
SVD,1,2,9,0.016237767391887217,0.19760900140646975,0.22151898734177214
cbow,1,2,9,2.06913808111479,0.26671565025716387,0.3069306930693069
skipgram,1,2,9,0.06951927961775606,0.20175438596491227,0.18421052631578946
SVD,1,2,10,0.01,0.19760900140646975,0.22151898734177214
cbow,1,2,10,0.026366508987303583,0.1947097722263042,0.24752475247524752
skipgram,1,2,10,0.06951927961775606,0.20175438596491227,0.18421052631578946
SVD,1,2,11,0.7847599703514611,0.19831223628691982,0.22151898734177214
cbow,1,2,11,0.026366508987303583,0.1947097722263042,0.24752475247524752
skipgram,1,2,11,0.29763514416313175,0.20175438596491227,0.18421052631578946
SVD,1,2,12,2.06913808111479,0.19760900140646975,0.22151898734177214
